"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.844041667E-2,7.360344086E0,-8.093818817E0,-1.980381775E-1,1.094183656E1
3.838341666E-2,7.324718170E0,-8.087980957E0,-3.001258850E-1,1.091590618E1
4.832641670E-2,7.231312408E0,-8.008945312E0,-3.805087280E-1,1.079721589E1
5.826941668E-2,7.216044159E0,-7.882158966E0,-4.703219604E-1,1.069677176E1
6.821241666E-2,7.219786377E0,-7.611072693E0,-4.572990417E-1,1.050061261E1
7.815541670E-2,7.255561981E0,-7.238198090E0,-3.113525391E-1,1.025337172E1
8.809841669E-2,7.363188171E0,-6.868017883E0,-1.478924561E-1,1.007015799E1
9.804141667E-2,7.425608368E0,-6.563551025E0,4.790039062E-3,9.910594565E0
1.079844167E-1,7.426656189E0,-6.362519073E0,9.954299927E-2,9.779917173E0
1.179274167E-1,7.291038208E0,-6.224955139E0,1.315763855E-1,9.587836929E0
1.278704167E-1,7.045249329E0,-6.122268677E0,1.312770081E-1,9.334610089E0
1.378134167E-1,6.830446014E0,-6.133345642E0,9.729766846E-2,9.180544012E0
1.477564167E-1,6.696624298E0,-6.344406738E0,4.909790039E-2,9.224894821E0
1.576994167E-1,6.507866821E0,-6.657854919E0,1.257385254E-2,9.310183714E0
1.676424167E-1,6.222410431E0,-6.891069946E0,-9.729766846E-2,9.285187312E0
1.775854167E-1,5.975424042E0,-6.935826874E0,-1.657054138E-1,9.156355453E0
1.875284167E-1,5.757327576E0,-6.959178314E0,-2.037263489E-1,9.034295105E0
1.974724167E-1,5.524711304E0,-6.997348938E0,-1.420545959E-1,8.916586043E0
2.074154167E-1,5.282215576E0,-7.057673492E0,-5.777984619E-2,8.815661917E0
2.173584167E-1,5.057383118E0,-7.093149719E0,9.789642334E-2,8.712030799E0
2.273014167E-1,4.891677704E0,-7.109166412E0,1.719923401E-1,8.631242043E0
2.372444167E-1,4.686903534E0,-7.189249878E0,2.380050659E-1,8.585396028E0
2.471874167E-1,4.456831970E0,-7.175628204E0,3.231779480E-1,8.453249986E0
2.571304167E-1,4.300407257E0,-7.101382599E0,4.442761230E-1,8.313875069E0
2.670734167E-1,4.221221924E0,-6.978637848E0,5.676196289E-1,8.175713595E0
2.770164167E-1,4.187242584E0,-6.864724731E0,5.998027039E-1,8.063324958E0
2.869594167E-1,4.261488190E0,-6.901997223E0,5.125341797E-1,8.127763440E0
2.969024167E-1,4.390519867E0,-7.051835632E0,3.124003601E-1,8.312800038E0
3.068454167E-1,4.510869598E0,-7.327562256E0,3.113525391E-2,8.604770918E0
3.167884167E-1,4.525988159E0,-7.673642578E0,-2.451901245E-1,8.912321663E0
3.267314167E-1,4.504283295E0,-7.949818268E0,-4.909790039E-1,9.150368237E0
3.366744167E-1,4.589755554E0,-8.181835785E0,-6.682104492E-1,9.405041098E0
3.466138333E-1,4.707710266E0,-8.356073456E0,-6.978488159E-1,9.616313874E0
3.565568334E-1,4.938979340E0,-8.620274048E0,-6.909631348E-1,9.958919200E0
3.664998334E-1,5.288053436E0,-8.956774292E0,-6.834786987E-1,1.042374491E1
3.764428333E-1,5.542075195E0,-9.328900452E0,-6.872209167E-1,1.087268383E1
3.863858334E-1,5.911806335E0,-1.016506165E1,-6.592291260E-1,1.177762775E1
3.963288334E-1,6.149062958E0,-1.100077377E1,-6.412664795E-1,1.261900240E1
4.062718333E-1,6.088439026E0,-1.138038437E1,-4.116439819E-1,1.291323697E1
4.162148333E-1,5.858966217E0,-1.129161896E1,1.392105103E-2,1.272117674E1
4.261578334E-1,5.567372589E0,-1.029394363E1,6.004014587E-1,1.171842118E1
4.361008334E-1,5.777385864E0,-9.214388580E0,1.175505524E0,1.093914794E1
4.460438333E-1,6.094725952E0,-8.000113678E0,1.595532074E0,1.018298708E1
4.559868334E-1,6.364465027E0,-6.813531189E0,1.707050171E0,9.478641391E0
4.659298334E-1,6.718778229E0,-5.938600616E0,1.370400238E0,9.071215739E0
4.758728333E-1,7.207811279E0,-5.391638031E0,6.216572571E-1,9.022680413E0
4.858158334E-1,7.598648529E0,-5.136718140E0,-2.817141724E-1,9.176311655E0
4.957588334E-1,7.920628967E0,-5.170098724E0,-1.119372253E0,9.524666834E0
5.057018333E-1,8.160879364E0,-5.467081146E0,-1.728755035E0,9.973841899E0
5.156448333E-1,8.270301819E0,-6.023773499E0,-2.185006256E0,1.046221734E1
5.255888334E-1,8.262817383E0,-6.661447449E0,-2.438129883E0,1.089006476E1
5.355318334E-1,8.190068665E0,-7.140900421E0,-2.510878601E0,1.115231792E1
5.454748333E-1,8.147856445E0,-7.424111481E0,-2.315385132E0,1.126348100E1
5.554178333E-1,8.066874847E0,-7.491770782E0,-1.834584961E0,1.116094984E1
5.653608334E-1,7.850574646E0,-7.299720154E0,-1.159788208E0,1.078251108E1
5.753038333E-1,7.575446777E0,-6.990463257E0,-5.291496277E-1,1.032152943E1
5.852468333E-1,7.336543579E0,-6.687942352E0,-5.942642212E-2,9.927586620E0
5.951898334E-1,7.063062286E0,-6.323300629E0,3.085084534E-1,9.485049139E0
6.051328334E-1,6.771468658E0,-5.948629761E0,5.285508728E-1,9.028751290E0
6.150758333E-1,6.541846161E0,-5.605842590E0,6.207591248E-1,8.637509145E0
6.250188334E-1,6.376440125E0,-5.312153320E0,6.026467896E-1,8.321126409E0
6.349618334E-1,6.268664246E0,-5.049748993E0,4.558021545E-1,8.062497871E0
6.449048333E-1,6.171815643E0,-4.831353149E0,1.805245972E-1,7.840017265E0
6.548478333E-1,6.039490814E0,-4.705015869E0,-1.514849854E-1,7.657386716E0
6.647908334E-1,5.950126648E0,-4.687951355E0,-4.468208313E-1,7.588184492E0
6.747338334E-1,5.942193146E0,-4.689597931E0,-6.509962463E-1,7.597748630E0
6.846768333E-1,6.029311981E0,-4.679119720E0,-7.970924377E-1,7.673468621E0
