"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.442999994E-3,6.545887756E-1,-2.866539001E-1,-4.451742554E-1,8.419246055E-1
1.338200000E-2,1.443598022E0,-7.810757446E-1,3.631448364E-1,1.681049893E0
2.332199999E-2,1.426383820E0,-8.653504944E-1,-3.667373657E-2,1.668756196E0
3.326100000E-2,1.215921478E0,-5.495072937E-1,-2.495310974E-1,1.357456841E0
4.320099999E-2,9.762698364E-1,-5.040019226E-1,-2.395019531E-1,1.124491848E0
5.314000000E-2,6.789880371E-1,-5.128335571E-1,-2.772235107E-1,8.949166926E-1
6.307899999E-2,4.529580688E-1,-4.884342957E-1,-3.335064697E-1,7.449601591E-1
7.301900000E-2,3.683839417E-1,-4.649331665E-1,-2.966830444E-1,6.632423438E-1
8.295799998E-2,3.620970154E-1,-4.725672913E-1,-2.237846375E-1,6.360138814E-1
9.289699999E-2,3.791615295E-1,-5.487588501E-1,-2.248324585E-1,7.038816487E-1
1.028370000E-1,3.906875610E-1,-7.476951599E-1,-2.561174011E-1,8.816353814E-1
1.127760000E-1,3.926335144E-1,-1.070573730E0,-3.291654968E-1,1.186861034E0
1.227160000E-1,4.912783813E-1,-1.448388062E0,-3.050656128E-1,1.559566431E0
1.326550000E-1,3.832031250E-2,-3.222199402E0,9.468859406E0,1.000216656E1
1.425940000E-1,-2.573448486E0,-7.848928070E0,1.559801376E1,1.765010885E1
1.525340000E-1,-3.325634308E0,-7.474556580E0,8.523275757E-1,8.225284306E0
1.624730000E-1,-5.602998505E0,-7.275769958E0,6.703210602E0,1.136940865E1
1.724120000E-1,-6.606511688E0,-1.073732162E1,2.755020905E0,1.290450358E1
1.823520000E-1,-8.116721191E0,-1.457938202E1,-1.253343658E0,1.673351168E1
1.922910000E-1,-1.079420334E1,-1.904160278E1,-4.158352661E-1,2.189224477E1
2.022310000E-1,-1.254840546E1,-2.883154449E1,5.696104889E0,3.195568883E1
2.121700000E-1,-1.477277985E1,-3.563310059E1,5.511389008E0,3.896573226E1
2.221090000E-1,-1.565654205E1,-3.742966461E1,3.001109161E0,4.068308934E1
2.320490000E-1,-1.362811020E1,-4.113670578E1,3.311264191E0,4.346168911E1
2.419880000E-1,-5.781876526E0,-3.841252075E1,3.602558441E0,3.901192477E1
2.519280000E-1,-9.922865295E-1,-3.156141769E1,2.676883392E0,3.169027334E1
2.618670000E-1,-3.600762177E0,-2.881507874E1,3.323987732E0,2.922880677E1
2.718060000E-1,-6.103407898E0,-2.821213257E1,3.831881561E0,2.911802411E1
2.817460000E-1,-6.662046204E0,-2.868080795E1,4.210144958E0,2.974385525E1
2.916850000E-1,-5.787115631E0,-2.932252350E1,4.581822052E0,3.023729791E1
3.016240000E-1,-4.850662994E0,-2.780018921E1,5.116809540E0,2.868032760E1
3.115640000E-1,-4.793332214E0,-2.423310699E1,5.250331879E0,2.525441532E1
3.215030000E-1,-5.226381683E0,-1.996817596E1,4.520299988E0,2.112998412E1
3.314430000E-1,-5.858966217E0,-1.595083008E1,2.873724060E0,1.723411603E1
3.413820000E-1,-6.179449768E0,-1.263462616E1,1.413809967E0,1.413570784E1
3.513210000E-1,-5.713019714E0,-1.014799713E1,7.851173401E-1,1.167205420E1
3.612610000E-1,-4.672683105E0,-7.866890717E0,4.555027771E-1,9.161300111E0
3.712000000E-1,-3.356170807E0,-5.870043182E0,-2.230361938E-1,6.765429372E0
3.811390000E-1,-1.763782196E0,-4.359833679E0,-9.632469177E-1,4.800720984E0
3.910790000E-1,-1.333726501E-1,-3.242557068E0,-1.359023895E0,3.518367597E0
4.010180000E-1,1.063688049E0,-2.124981079E0,-1.656006317E0,2.896434666E0
4.109580000E-1,1.667831726E0,-9.849517822E-1,-1.889820099E0,2.706143508E0
4.208970000E-1,1.839973755E0,-1.234931946E-1,-1.660496979E0,2.481532632E0
4.308360000E-1,1.895508270E0,6.596781921E-1,-6.860234070E-1,2.121026882E0
4.407760000E-1,2.011666718E0,1.553020477E0,1.165476379E0,2.795891768E0
4.507150000E-1,2.493963776E0,2.994822235E0,4.091441803E0,5.650549669E0
4.606550000E-1,3.230282593E0,4.378844147E0,5.127138062E0,7.476399293E0
4.705940000E-1,3.502266998E0,4.456532593E0,3.350332947E0,6.584169479E0
4.805330000E-1,2.661016388E0,2.681374054E0,1.776356049E0,4.174471924E0
4.904730000E-1,9.610015869E-1,9.231303406E-1,1.175954590E0,1.777234614E0
5.004120000E-1,-8.711883545E-2,1.522334290E-1,8.547225952E-1,8.725339095E-1
5.103510000E-1,-5.789959717E-1,-2.653981018E-1,6.249504089E-1,8.923202908E-1
5.202910000E-1,-9.819580078E-1,-5.029541016E-1,5.204676819E-1,1.219873340E0
5.302300000E-1,-1.260678406E0,-5.287005615E-1,3.032693481E-1,1.400288050E0
5.401700000E-1,-1.309027863E0,-3.909869385E-1,-1.386117554E-1,1.373185330E0
5.501090000E-1,-1.169817352E0,-2.468367004E-1,-6.185137939E-1,1.346090750E0
5.600480000E-1,-1.017434235E0,-1.390608215E-1,-8.893006897E-1,1.358442509E0
5.699880000E-1,-8.740324402E-1,-2.933898926E-2,-1.053958282E0,1.369533331E0
5.799270000E-1,-7.188052368E-1,1.299298096E-1,-1.196012878E0,1.401431243E0
5.898660000E-1,-6.276448059E-1,2.752775574E-1,-1.194515991E0,1.377165273E0
5.998060000E-1,-5.709127808E-1,4.333488464E-1,-1.133892059E0,1.341433497E0
6.097450000E-1,-5.595364380E-1,5.861810303E-1,-1.015338593E0,1.299077243E0
6.196850000E-1,-6.337820435E-1,6.312373352E-1,-7.695497131E-1,1.179977548E0
6.296240000E-1,-8.009843445E-1,4.388873291E-1,-3.579057312E-1,9.809661157E-1
6.395630000E-1,-1.052910461E0,6.676116943E-2,6.417155457E-1,1.234858832E0
6.495030000E-1,-1.504072266E0,-4.917274475E-1,2.543660431E0,2.995703198E0
6.594420000E-1,-1.993255005E0,-1.478924561E0,4.440366211E0,5.086957387E0
6.693820000E-1,-2.848426666E0,-3.666924591E0,9.470805359E0,1.054779714E1
6.793210000E-1,-2.636018372E0,-7.936196594E0,1.902558609E1,2.078231785E1
6.892600000E-1,-1.817670135E0,-9.652976532E0,1.135688324E1,1.501541467E1
6.992000000E-1,-2.003733215E0,-5.054838409E0,-5.326224060E0,7.611504508E0
7.091390000E-1,-3.183879089E0,-6.433172150E0,-3.742667084E0,8.095081646E0
7.190780000E-1,-5.629044342E0,-9.840536499E0,-3.797902222E0,1.195601773E1
7.290180000E-1,-8.416547699E0,-1.343037140E1,-3.705544281E0,1.627710691E1
7.389570000E-1,-1.065469345E1,-1.713980759E1,-3.202290802E0,2.043404422E1
7.488970000E-1,-1.243943207E1,-2.365261414E1,-5.852828979E-2,2.672431573E1
7.588360000E-1,-1.468865479E1,-3.800551712E1,7.573351135E0,4.144311232E1
7.687750000E-1,-1.658865372E1,-4.174249603E1,7.101232910E-1,4.492353150E1
7.787150000E-1,-1.644150970E1,-4.172453339E1,-1.534459076E0,4.487331604E1
7.886540000E-1,-8.484207001E0,-4.258180069E1,5.165757751E0,4.372501082E1
7.985930000E-1,5.057981873E-1,-3.252930496E1,1.039603134E1,3.415390140E1
8.085330000E-1,-2.552941132E0,-2.354753265E1,8.484805756E0,2.515940642E1
8.184720000E-1,-6.159241791E0,-2.011726593E1,8.473429413E0,2.268126218E1
8.284120000E-1,-7.238796844E0,-2.058698914E1,5.977220306E0,2.262634447E1
8.383510000E-1,-6.417005768E0,-2.269056473E1,3.110381927E0,2.378474651E1
8.482900000E-1,-5.631888428E0,-2.335473358E1,9.138496399E-1,2.404156545E1
8.582300000E-1,-5.323379974E0,-2.213701584E1,-8.864566040E-1,2.278533849E1
8.681690000E-1,-5.180427246E0,-1.917258041E1,-1.818568268E0,1.994321581E1
8.781080000E-1,-5.110223236E0,-1.607282639E1,-1.579964447E0,1.693949283E1
8.880480000E-1,-4.594844971E0,-1.337244186E1,-1.012195129E0,1.417601286E1
8.979870000E-1,-3.676354980E0,-1.077249847E1,-7.223977661E-1,1.140544466E1
