"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.446375001E-3,7.709118805E0,-3.529660034E0,5.631289673E-1,8.497418840E0
1.238537498E-2,7.525151367E0,-3.348386993E0,6.695576477E-1,8.263649678E0
2.232437499E-2,7.338040466E0,-3.240162048E0,7.168592834E-1,8.053531847E0
3.226337500E-2,7.171287231E0,-3.153641968E0,6.625222778E-1,7.862045153E0
4.220237499E-2,7.063062286E0,-3.129242706E0,5.477110291E-1,7.744610781E0
5.214137500E-2,6.984176331E0,-3.133733368E0,4.517605591E-1,7.668317380E0
6.208037501E-2,6.963219910E0,-3.163072357E0,3.478765869E-1,7.655878550E0
7.201937499E-2,6.965465240E0,-3.207080841E0,2.875520325E-1,7.673705735E0
8.195837500E-2,6.979985046E0,-3.276985474E0,2.517764282E-1,7.715064252E0
9.189737498E-2,6.962471466E0,-3.371588745E0,2.874023438E-1,7.741202729E0
1.018363750E-1,6.924749908E0,-3.494632874E0,3.820056152E-1,7.765986641E0
1.117753750E-1,6.879843292E0,-3.654949493E0,4.507127380E-1,7.803463430E0
1.217143750E-1,6.826105042E0,-3.798351288E0,4.980143738E-1,7.827592277E0
1.316533750E-1,6.791377258E0,-3.886517944E0,5.658233643E-1,7.845252251E0
1.415923750E-1,6.764433289E0,-3.942950592E0,6.101312256E-1,7.853450019E0
1.515313750E-1,6.749614105E0,-4.005071411E0,6.256988525E-1,7.873333896E0
1.614703750E-1,6.775510254E0,-4.100123749E0,6.527925110E-1,7.946363446E0
1.714093750E-1,6.747967529E0,-4.199666748E0,6.828799438E-1,7.977379995E0
1.813483750E-1,6.664141846E0,-4.302802277E0,7.068301392E-1,7.963950202E0
1.912863750E-1,6.577771454E0,-4.434678040E0,7.301815796E-1,7.966593485E0
2.012253750E-1,6.498735809E0,-4.557123413E0,7.408094788E-1,7.971809055E0
2.111653750E-1,6.425687714E0,-4.665048981E0,7.406597900E-1,7.975006051E0
2.211033750E-1,6.383475494E0,-4.812192993E0,7.586224365E-1,8.030035417E0
2.310423750E-1,6.380930786E0,-5.027744751E0,7.915539551E-1,8.162172054E0
2.409813750E-1,6.459367676E0,-5.319637756E0,8.491841125E-1,8.410891171E0
2.509203750E-1,6.605763245E0,-5.606141968E0,9.069639587E-1,8.711344295E0
