"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.221291664E-3,-4.917274475E-1,3.715872803E0,-1.466410583E1,1.513557090E1
1.916029165E-2,3.911366272E-1,3.584446106E0,-1.179247742E1,1.233141376E1
2.909929166E-2,1.697470093E-1,2.952759705E0,-8.400830383E0,8.906264933E0
3.903929165E-2,-8.770262146E-1,2.067201233E0,-5.719606018E0,6.144622765E0
4.897829166E-2,-2.171234894E0,1.084943848E0,-3.921395416E0,4.611800747E0
5.891729167E-2,-3.155438232E0,3.673361206E-1,-2.640808411E0,4.131052569E0
6.885629165E-2,-3.567082214E0,-1.231938171E-1,-9.740245056E-1,3.699726473E0
7.879529166E-2,-3.895798645E0,-3.064128113E-1,5.134323120E-2,3.908167348E0
8.873529165E-2,-4.169579315E0,-5.101391602E-1,1.682501221E-1,4.204038741E0
9.867429166E-2,-4.640350342E0,-8.375083923E-1,2.812651062E-1,4.723704231E0
1.086132916E-1,-4.921765137E0,-8.906478882E-1,2.444416809E-1,5.007671860E0
1.185522916E-1,-4.576582947E0,-6.661148071E-1,1.559756470E-1,4.627434366E0
1.284922916E-1,-3.831432495E0,-4.498146057E-1,3.766168213E-1,3.876086735E0
1.384312916E-1,-2.890489197E0,-2.784210205E-1,7.940986633E-1,3.010488125E0
1.483702917E-1,-1.930385742E0,-3.817062378E-2,1.317410431E0,2.337395207E0
1.583092916E-1,-1.098715210E0,2.174977112E-1,1.675615540E0,2.015482028E0
1.682482917E-1,-4.962181091E-1,3.725752258E-1,1.775757294E0,1.881052545E0
1.781882916E-1,5.239105225E-3,3.799099731E-1,1.649719391E0,1.692906703E0
1.881272917E-1,7.020401001E-1,1.366658020E-1,1.334774323E0,1.514318439E0
1.980662917E-1,1.703757019E0,-6.930587769E-1,8.946894836E-1,2.045382048E0
2.080052916E-1,3.269051971E0,-2.650837555E0,9.654922485E-2,4.209864878E0
2.179452917E-1,5.895789642E0,-5.835165710E0,-8.216413879E-1,8.335741655E0
2.278842916E-1,8.580606537E0,-1.013692017E1,-1.641636200E0,1.338203753E1
2.378232917E-1,1.150851791E1,-1.518397476E1,-2.881657562E0,1.926922480E1
2.477622917E-1,1.643851593E1,-1.918784866E1,-3.695515137E0,2.553537105E1
2.577012916E-1,2.175650711E1,-2.093561417E1,-3.726650391E0,3.042258150E1
