"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.396458352E-3,1.493010269E1,-4.114344177E0,-1.654659119E0,1.557477740E1
1.233545833E-2,1.548335220E1,-4.133354645E0,-1.468895416E0,1.609274588E1
2.227545835E-2,1.573288330E1,-3.782633972E0,-1.509011993E0,1.625143237E1
3.221445833E-2,1.522888138E1,-3.159779205E0,-1.989512787E0,1.567996154E1
4.215445835E-2,1.409199554E1,-2.564916229E0,-2.991828461E0,1.463264061E1
5.209345833E-2,1.296648605E1,-2.158062286E0,-4.090244293E0,1.376652069E1
6.203345835E-2,1.187765030E1,-1.861828308E0,-5.045108643E0,1.303833204E1
7.197345834E-2,1.101708984E1,-1.554667053E0,-5.999823303E0,1.264085195E1
8.191245835E-2,1.060514648E1,-1.333127747E0,-6.784341888E0,1.265992324E1
9.185245834E-2,1.057341248E1,-1.604513397E0,-6.919061737E0,1.273754018E1
1.017914583E-1,1.063388672E1,-2.291434937E0,-6.666686554E0,1.275832789E1
1.117314583E-1,1.051653076E1,-3.011437683E0,-6.016139374E0,1.248439462E1
1.216704583E-1,1.017329453E1,-3.647015991E0,-5.186115417E0,1.198717816E1
1.316104583E-1,9.678722992E0,-4.825664978E0,-3.899840240E0,1.149667235E1
1.415494583E-1,9.966873779E0,-5.244793396E0,-3.120560760E0,1.168692989E1
1.514894583E-1,9.869127045E0,-5.153932343E0,-2.514321442E0,1.141422356E1
1.614284583E-1,9.903854828E0,-5.707032166E0,-2.041155396E0,1.161132516E1
1.713684583E-1,1.017539017E1,-5.973627777E0,-1.402733002E0,1.188235893E1
1.813084584E-1,1.053314621E1,-5.796546021E0,-1.478325806E0,1.211332168E1
1.912474583E-1,1.052745804E1,-6.050268402E0,-1.448837128E0,1.222833797E1
2.011874584E-1,1.039947418E1,-6.192921753E0,-1.015188904E0,1.214627316E1
2.111264583E-1,1.011162277E1,-6.064189453E0,-8.765771484E-1,1.182318469E1
2.210664584E-1,9.757309570E0,-5.845643921E0,-6.959028625E-1,1.139565372E1
2.310054583E-1,9.517059174E0,-5.531746674E0,-6.135740662E-1,1.102502198E1
2.409454584E-1,9.358089752E0,-5.226381683E0,-6.017486572E-1,1.073550235E1
2.508844583E-1,9.251810760E0,-4.963228912E0,-7.164102173E-1,1.052344464E1
2.608244584E-1,9.102571106E0,-4.808301086E0,-9.828561401E-1,1.034130390E1
2.707634583E-1,8.867110748E0,-4.723128204E0,-1.334025879E0,1.013475299E1
2.807034584E-1,8.546926575E0,-4.758604431E0,-1.709594879E0,9.930608474E0
2.906434583E-1,8.281827850E0,-4.894222412E0,-2.004930725E0,9.826588054E0
3.005824584E-1,8.053702240E0,-5.028792572E0,-2.206711121E0,9.747843273E0
3.105224583E-1,7.853418732E0,-5.147196350E0,-2.401905212E0,9.692211548E0
3.204614584E-1,7.683821411E0,-5.280569000E0,-2.559228058E0,9.668255722E0
3.304014583E-1,7.499853973E0,-5.402116241E0,-2.632874908E0,9.610551482E0
3.403404584E-1,7.282356262E0,-5.492677917E0,-2.634072418E0,9.494238302E0
3.502804583E-1,6.997199249E0,-5.582341461E0,-2.558180237E0,9.309544546E0
3.602194584E-1,6.657405853E0,-5.625900879E0,-2.408790894E0,9.042902574E0
3.701595833E-1,6.465953979E0,-5.524711304E0,-2.181862793E0,8.780177737E0
3.800995833E-1,6.410419464E0,-5.413941650E0,-1.927691345E0,8.609310996E0
3.900385833E-1,6.425088959E0,-5.318290558E0,-1.684297485E0,8.508985874E0
3.999785833E-1,6.349945221E0,-5.173391876E0,-1.522334290E0,8.330863671E0
4.099175833E-1,6.282435608E0,-5.069358215E0,-1.419348450E0,8.196458986E0
4.198575833E-1,6.246510315E0,-5.070406036E0,-1.392554169E0,8.164993301E0
4.297965833E-1,6.220464478E0,-5.166955261E0,-1.451232147E0,8.215697154E0
4.397365833E-1,6.238726501E0,-5.301076355E0,-1.556463318E0,8.333408483E0
4.496755833E-1,6.284680939E0,-5.499563599E0,-1.693428497E0,8.521156867E0
4.596155833E-1,6.365363159E0,-5.788013763E0,-1.889969788E0,8.808571807E0
4.695545833E-1,6.469696198E0,-6.113586731E0,-2.025887146E0,9.128917260E0
4.794945833E-1,6.588249664E0,-6.406527557E0,-2.061962128E0,9.418084561E0
4.894345833E-1,6.720574493E0,-6.635251923E0,-2.007325745E0,9.655156459E0
4.993735833E-1,6.794820099E0,-6.766079865E0,-1.853445740E0,9.766507975E0
5.093135833E-1,6.849905548E0,-6.775659943E0,-1.707050171E0,9.784926876E0
5.192525834E-1,6.968309326E0,-6.798861694E0,-1.626667328E0,9.870557320E0
5.291925833E-1,7.163503418E0,-6.994205475E0,-1.742227020E0,1.016218709E1
5.391315834E-1,7.351961517E0,-7.354057159E0,-1.971550140E0,1.058397396E1
5.490715833E-1,7.386838989E0,-7.695796509E0,-2.130519562E0,1.087794961E1
5.590105834E-1,7.210655365E0,-7.798033905E0,-2.064806213E0,1.081971849E1
