"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.286999978E-3,-1.601669312E0,-9.353000336E0,1.494641876E0,9.606139402E0
1.522599999E-2,-1.372645569E0,-9.246272278E0,1.888772278E0,9.536517583E0
2.516399999E-2,-1.541793823E0,-9.383237457E0,2.335443420E0,9.791658151E0
3.510299997E-2,-2.228565674E0,-9.736353149E0,2.582878876E0,1.031670204E1
4.504199998E-2,-3.938459930E0,-1.010368927E1,1.607806549E0,1.096271159E1
5.498099999E-2,-5.377866669E0,-1.012359787E1,2.862048340E-1,1.146693494E1
6.491999998E-2,-6.265520782E0,-9.831106110E0,-1.553768921E-1,1.165896822E1
7.485799998E-2,-6.948849792E0,-9.469009094E0,9.400451660E-2,1.174553036E1
8.479699999E-2,-7.522157593E0,-9.245074768E0,5.243595886E-1,1.193018086E1
9.473600000E-2,-7.979306946E0,-9.081315308E0,8.937913513E-1,1.212181876E1
1.046750000E-1,-8.117469635E0,-8.923693085E0,1.490450592E0,1.215512462E1
1.146140000E-1,-7.841892700E0,-8.936716003E0,2.428250427E0,1.213493198E1
1.245520000E-1,-6.905290375E0,-9.336983643E0,3.194506989E0,1.204438349E1
1.344910000E-1,-5.852080536E0,-1.007569748E1,3.619024200E0,1.220097793E1
1.444300000E-1,-5.197192383E0,-1.108055786E1,3.387455750E0,1.269899317E1
1.543690000E-1,-5.264402618E0,-1.206805435E1,2.767145691E0,1.345395726E1
1.643080000E-1,-5.720803528E0,-1.274195297E1,2.888543243E0,1.426284125E1
1.742470000E-1,-5.934858398E0,-1.275288025E1,3.718716888E0,1.454947951E1
1.841850000E-1,-6.020031281E0,-1.190698929E1,4.035607910E0,1.393927192E1
1.941240000E-1,-6.108647003E0,-1.083297272E1,1.769320679E0,1.256182159E1
2.040630000E-1,-5.875881042E0,-9.836644592E0,-4.466711426E-1,1.146669394E1
2.140020000E-1,-5.552104340E0,-9.303902435E0,5.619314575E-1,1.084915804E1
2.239410000E-1,-4.800666962E0,-9.556127930E0,2.872825928E0,1.107335148E1
2.338790000E-1,-3.610941010E0,-1.018257523E1,2.598296814E0,1.111192510E1
2.438180000E-1,-2.703378296E0,-1.083551743E1,4.209246826E-1,1.117559259E1
2.537570000E-1,-2.065105591E0,-1.115824631E1,-1.825753326E0,1.149367204E1
2.636960000E-1,-2.010169830E0,-1.124042542E1,-3.376528473E0,1.190751405E1
2.736350000E-1,-2.496059418E0,-1.157198593E1,-3.996539154E0,1.249453866E1
2.835740000E-1,-3.313210144E0,-1.231833389E1,-3.683240662E0,1.327723515E1
2.935120000E-1,-3.991898804E0,-1.281230667E1,-2.932402039E0,1.373642748E1
3.034510000E-1,-4.372706909E0,-1.290571243E1,-2.062860260E0,1.378163167E1
3.133900000E-1,-4.443359985E0,-1.265513351E1,-1.057251434E0,1.345413070E1
3.233290000E-1,-4.393962708E0,-1.197689392E1,-1.197509766E-1,1.275802636E1
3.332680000E-1,-4.596790924E0,-1.102936432E1,9.503736877E-1,1.198668320E1
3.432060000E-1,-4.175866241E0,-1.025068359E1,1.060993652E0,1.111935612E1
3.531450000E-1,-3.777694244E0,-9.852960663E0,-1.981878662E-1,1.055419756E1
3.630847083E-1,-3.707340546E0,-9.625882874E0,-1.109792175E0,1.037466306E1
3.730237083E-1,-3.751798096E0,-9.510622559E0,-1.355880432E0,1.031340594E1
3.829627083E-1,-3.714076538E0,-9.216933289E0,-8.527766418E-1,9.973637841E0
3.929017083E-1,-3.695664825E0,-8.603658600E0,-3.752696228E-1,9.371323658E0
4.028397083E-1,-3.762875061E0,-8.066126404E0,1.636097717E-1,8.902156595E0
4.127787083E-1,-3.411106567E0,-7.697443085E0,5.233117676E-1,8.435646582E0
4.227177083E-1,-2.736609192E0,-7.329957275E0,2.742297363E-1,7.828953026E0
4.326567083E-1,-1.945055237E0,-7.085216217E0,-3.727249146E-2,7.347442954E0
4.425957083E-1,-1.369951172E0,-6.996899872E0,-2.273771667E-1,7.133377489E0
4.525337083E-1,-1.132544861E0,-7.030579834E0,-1.913021851E-1,7.123784611E0
4.624727083E-1,-1.115630035E0,-7.055577850E0,-1.766326904E-2,7.143257042E0
