"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.707916618E-4,7.120093689E0,-1.215397568E1,6.436614990E-1,1.410067938E1
9.269208327E-3,6.567143555E0,-1.172556656E1,-1.637594604E-1,1.344035352E1
1.920820834E-2,5.602998505E0,-1.071531738E1,-7.430548096E-1,1.211460892E1
2.914720832E-2,5.202132111E0,-9.044641571E0,-2.943029938E0,1.084108596E1
3.908720834E-2,6.338868256E0,-8.172854462E0,-5.704637146E0,1.181184515E1
4.902620832E-2,7.316185913E0,-8.511749725E0,-4.255051575E0,1.200341300E1
5.896620834E-2,6.450236664E0,-8.308173065E0,3.528163147E-1,1.052405682E1
6.890520832E-2,4.913232880E0,-8.268505554E0,5.264252930E0,1.096450639E1
7.884420833E-2,3.305276642E0,-7.636070709E0,5.155578918E0,9.788484231E0
8.878420832E-2,3.692820740E0,-7.970175934E0,-1.561403046E0,8.921805249E0
9.872320833E-2,3.521127777E0,-9.096284180E0,-3.370091858E0,1.031979873E1
1.086632083E-1,3.643273773E0,-1.022897873E1,-3.519032135E0,1.141442232E1
1.186022083E-1,4.289479980E0,-1.133278336E1,-3.749852142E0,1.268436077E1
1.285412083E-1,5.047952728E0,-1.189845703E1,-3.064726868E0,1.328336016E1
1.384812083E-1,5.251230011E0,-1.156854309E1,-1.756896515E0,1.282549380E1
1.484202083E-1,5.018164673E0,-1.044198578E1,-5.135820007E-1,1.159658614E1
1.583602083E-1,5.013823700E0,-9.417067108E0,1.377136230E-2,1.066863490E1
1.682992083E-1,5.050497437E0,-8.794212341E0,3.098556519E-1,1.014601920E1
1.782382083E-1,4.651127930E0,-8.106841736E0,8.774752808E-1,9.387429724E0
1.881782083E-1,4.412973175E0,-7.562124481E0,1.269959106E0,8.847194756E0
1.981172083E-1,4.132157135E0,-7.453600159E0,1.263372803E0,8.615508618E0
2.080572083E-1,3.996988220E0,-7.571854248E0,1.280437317E0,8.657275051E0
2.179962083E-1,3.757336578E0,-7.405250702E0,1.257684631E0,8.398636006E0
2.279352083E-1,3.479514313E0,-7.115153961E0,1.203497314E0,8.011294623E0
2.378752083E-1,3.280578003E0,-7.160060577E0,1.246158600E0,7.973805287E0
2.478142083E-1,3.080893250E0,-7.401059418E0,1.624571686E0,8.179658726E0
2.577542083E-1,2.815195770E0,-7.544910278E0,1.989063721E0,8.295020965E0
2.676932083E-1,2.800226898E0,-7.426057434E0,2.061213684E0,8.199768384E0
2.776332083E-1,2.838846588E0,-7.302414551E0,1.878743134E0,8.056921495E0
2.875722083E-1,2.740351410E0,-7.185058594E0,1.906884613E0,7.922802646E0
2.975112083E-1,2.743195496E0,-7.069049835E0,2.032623138E0,7.850359477E0
3.074512083E-1,2.693349152E0,-7.073690186E0,2.051184540E0,7.842103067E0
3.173902083E-1,2.736758881E0,-7.032076721E0,2.025438080E0,7.812960489E0
3.273302083E-1,2.641706543E0,-7.101382599E0,2.019001465E0,7.841212610E0
3.372692083E-1,2.585423584E0,-7.002737732E0,2.024390259E0,7.734397635E0
