"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.283916692E-3,3.096460876E0,-5.197641449E0,-8.752299500E-1,6.113065848E0
1.222291667E-2,1.940564575E0,-5.315596161E0,-1.218466187E0,5.788437895E0
2.216291669E-2,7.833210754E-1,-5.305567017E0,-1.290017395E0,5.516047331E0
3.210191667E-2,-2.336640930E-1,-5.144501953E0,-1.019380188E0,5.249727157E0
4.204191669E-2,-1.217418365E0,-4.863985291E0,-5.924679565E-1,5.048908661E0
5.198091667E-2,-2.092648315E0,-4.639601898E0,-1.733395386E-1,5.092654449E0
6.191991668E-2,-2.774181061E0,-4.626129913E0,1.796264648E-2,5.394208115E0
7.185991667E-2,-2.977907410E0,-4.942272491E0,5.755531311E-1,5.798728423E0
8.179891668E-2,-2.185305634E0,-5.583538971E0,2.262245636E0,6.408527403E0
9.173891667E-2,2.709365845E-2,-6.081703033E0,4.723427582E0,7.700559329E0
1.016779167E-1,2.560575256E0,-6.436614990E0,7.220534821E0,1.000613218E1
1.116179167E-1,5.343737640E0,-7.095395050E0,1.046608566E1,1.372731263E1
1.215569167E-1,8.037984924E0,-8.505313110E0,1.389006546E1,1.816269449E1
1.314959167E-1,1.051697983E1,-1.075453583E1,1.479283813E1,2.109727389E1
1.414359167E-1,1.255065079E1,-1.298085617E1,1.392928391E1,2.280452613E1
1.513749167E-1,1.450079544E1,-1.347946930E1,1.485121674E1,2.474929897E1
1.613149167E-1,1.613419876E1,-1.122470810E1,1.415591263E1,2.422181463E1
1.712539167E-1,1.642354706E1,-7.544610901E0,1.180250656E1,2.158594943E1
1.811939167E-1,1.442235855E1,-3.989952850E0,8.584797821E0,1.725175074E1
1.911329167E-1,1.155716675E1,-1.635948029E0,6.443051605E0,1.333256701E1
2.010729167E-1,9.969568176E0,-8.322692871E-1,3.980223083E0,1.076694653E1
2.110119167E-1,9.427844696E0,-2.312091980E0,-1.761087799E0,9.865670538E0
2.209519167E-1,9.332792358E0,-5.715863800E0,-7.818990326E0,1.345023130E1
2.308909167E-1,8.911867676E0,-9.417216797E0,-1.040501266E1,1.662436905E1
2.408299167E-1,8.525072021E0,-1.141795624E1,-1.040052200E1,1.764135583E1
2.507699167E-1,8.943152618E0,-1.220352264E1,-7.682025146E0,1.696818947E1
