"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.410750003E-3,3.251239014E-1,-1.041833496E-1,1.106499023E0,1.157972284E0
8.592250000E-3,9.749226379E-1,-1.270857239E-1,1.444945221E0,1.747710394E0
1.859425000E-2,1.484313354E0,-1.445993042E-1,1.289119263E0,1.971274605E0
2.859725000E-2,1.875899048E0,-1.585203552E-1,1.334325256E0,2.307498609E0
3.859925000E-2,2.128423920E0,-1.568737793E-1,1.117575989E0,2.409102292E0
4.860225000E-2,2.177821198E0,-2.948867798E-1,8.487350464E-1,2.355889335E0
5.860425000E-2,2.406096497E0,-5.086422729E-1,4.082011414E-1,2.492919069E0
6.860725000E-2,2.606978760E0,-7.273374939E-1,-5.001100159E-1,2.752356829E0
7.860925000E-2,2.837948456E0,-8.795709229E-1,-1.229842529E0,3.215604001E0
8.861225000E-2,2.420915680E0,-1.073717194E0,-1.200353851E0,2.907671011E0
9.861425000E-2,1.622326355E0,-1.267115021E0,-1.987417145E0,2.861354607E0
1.086172500E-1,6.379733276E-1,-1.062640228E0,-4.620591431E0,4.783939735E0
1.186192500E-1,1.463955688E-1,-1.083746338E0,-6.187083893E0,6.282988531E0
1.286222500E-1,1.213975525E0,-9.223818970E-1,-3.954776001E0,4.238487720E0
1.386242500E-1,1.538051605E0,-7.053332520E-1,-2.267185364E0,2.828997563E0
1.486272500E-1,1.061592407E0,-6.286926270E-1,-1.565145264E0,1.992965769E0
1.586292500E-1,5.424719238E-1,-5.441184998E-1,-1.056652679E0,1.306466844E0
1.686322500E-1,1.779798889E-1,-3.803590393E-1,-8.520281982E-1,9.498957260E-1
1.786342500E-1,-1.719923401E-1,-6.017486572E-2,-4.948709106E-1,5.273514935E-1
1.886362500E-1,-2.941383362E-1,1.199006653E-1,1.437011719E-1,3.486309756E-1
1.986392500E-1,-2.188449097E-1,1.959425354E-1,9.289682007E-1,9.743041053E-1
2.086412500E-1,-9.077124023E-1,7.005432129E-2,1.404229889E0,1.673532490E0
2.186442500E-1,-1.499581604E0,-4.565505981E-2,1.534758453E0,2.146232253E0
2.286462500E-1,-1.265618134E0,4.445755005E-2,1.833836517E0,2.228614392E0
2.386492500E-1,-5.073100433E0,-2.694396973E-3,2.864742737E0,5.826071250E0
2.486512500E-1,-1.473685455E1,-1.226998444E0,4.804409180E0,1.554872197E1
2.586542500E-1,-2.836316849E1,-2.335443420E0,6.927294617E0,2.929011836E1
2.686562500E-1,-2.938808716E1,3.843257904E0,5.459896088E0,3.013703309E1
2.786592500E-1,-3.258049850E1,1.238434662E1,1.076860657E0,3.487148624E1
2.886612500E-1,-4.200879227E1,1.435365143E1,7.826025696E0,4.507785061E1
2.986642500E-1,-4.051894043E1,9.598639526E0,1.806907516E1,4.539173814E1
3.086662500E-1,-2.984269180E1,1.069076843E1,1.913890045E1,3.702939770E1
3.186692500E-1,-2.331761078E1,1.032477951E1,1.848565887E1,3.149653359E1
3.286712500E-1,-2.169573349E1,8.195457458E0,1.775697418E1,2.920925379E1
3.386742500E-1,-1.680016388E1,5.395529938E0,1.154414383E1,2.108612118E1
3.486762500E-1,-1.436787186E1,2.566862183E0,7.445067902E0,1.638455246E1
3.586792500E-1,-2.105416763E1,2.838397522E0,8.874146118E0,2.302357367E1
3.686812500E-1,-2.869368118E1,4.273762665E0,1.165371597E1,3.126342085E1
3.786842500E-1,-2.879412231E1,4.564458160E0,1.385803207E1,3.227972756E1
3.886862500E-1,-1.894205978E1,4.143832855E0,1.223031693E1,2.292495653E1
3.986892500E-1,-1.339399704E1,3.878584442E0,8.918453979E0,1.655238337E1
4.086912500E-1,-1.130823441E1,4.064048767E0,8.090675354E0,1.448625850E1
4.186942500E-1,-9.955198059E0,4.729864197E0,7.294481049E0,1.321692239E1
4.286962500E-1,-1.030666718E1,5.988746338E0,6.469097443E0,1.356251056E1
4.386992500E-1,-1.218481155E1,7.203021240E0,6.267017670E0,1.547994374E1
4.487012500E-1,-1.267219803E1,7.424710236E0,5.851182404E0,1.580972044E1
4.587042500E-1,-1.188019501E1,6.834786987E0,5.252277832E0,1.467786664E1
4.687062500E-1,-1.184696411E1,6.390361176E0,5.176984406E0,1.442180440E1
4.787092500E-1,-1.259495865E1,5.936954041E0,4.925657043E0,1.476964806E1
4.887112500E-1,-1.313862808E1,5.194048920E0,4.660558319E0,1.487691150E1
4.987142500E-1,-1.264495468E1,4.277953949E0,4.005071411E0,1.393687074E1
5.087162500E-1,-1.173439819E1,3.379971313E0,3.352877655E0,1.266341564E1
5.187182500E-1,-1.005249573E1,2.517614594E0,2.926863556E0,1.076836031E1
5.287212500E-1,-8.116122437E0,1.700763245E0,2.683020630E0,8.715654807E0
5.387232500E-1,-6.292015686E0,1.028511200E0,2.384840698E0,6.806964216E0
5.487262500E-1,-4.829407196E0,5.114863586E-1,2.047891388E0,5.270545636E0
5.587282500E-1,-3.635639648E0,2.442919922E-1,1.962419128E0,4.138676487E0
5.687312500E-1,-2.738106079E0,-4.790039063E-2,1.828597412E0,3.292914794E0
5.787332500E-1,-2.015558624E0,-2.312690735E-1,1.814526672E0,2.721850289E0
5.887362500E-1,-1.412462769E0,-2.847079468E-1,1.650467834E0,2.190925321E0
5.987383750E-1,-8.776249695E-1,-3.294648743E-1,1.356479187E0,1.648880977E0
6.087413750E-1,-4.058061218E-1,-2.145039368E-1,1.208287354E0,1.292535832E0
6.187433750E-1,1.167572021E-2,-1.041833496E-1,1.100212097E0,1.105195526E0
6.287463750E-1,2.505789185E-1,-6.451583862E-2,8.756790161E-1,9.131077850E-1
