"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.878333373E-4,-2.799179077E-1,-6.083648987E0,-3.332220612E0,6.942105821E0
1.039083333E-2,-6.256988525E-1,-7.241940308E0,-3.046165466E0,7.881390900E0
2.039283334E-2,-8.765771484E-1,-8.075107727E0,-2.962938538E0,8.646083337E0
3.039583333E-2,-1.246607666E0,-8.200696564E0,-2.968776398E0,8.810169584E0
4.039883333E-2,-1.144070892E0,-7.846383362E0,-2.591710510E0,8.342157601E0
5.040083334E-2,-6.698570251E-1,-7.435487823E0,-3.211870880E0,8.127195221E0
6.040383333E-2,-2.661465454E-1,-7.084767151E0,-3.433110809E0,7.877246308E0
7.040683334E-2,1.219963074E-1,-7.261399841E0,-4.208797760E0,8.393854260E0
8.040883333E-2,3.890409851E-1,-8.040829010E0,-4.877008209E0,9.412305410E0
9.041183333E-2,6.387217712E-1,-8.636440430E0,-4.598886566E0,9.805397822E0
1.004148333E-1,2.065704346E-1,-8.851842499E0,-4.442910919E0,9.906424401E0
1.104178333E-1,-4.722679138E-1,-8.866511993E0,-4.969066772E0,1.017495437E1
1.204198333E-1,-1.214574280E0,-9.030121765E0,-5.699847107E0,1.074739721E1
1.304228333E-1,-2.238295441E0,-9.280401306E0,-6.041736145E0,1.129771616E1
1.404258333E-1,-3.581152954E0,-9.017996979E0,-6.281238098E0,1.155867112E1
1.504278333E-1,-4.772226105E0,-8.374185791E0,-7.067103882E0,1.195178175E1
1.604308333E-1,-4.288731537E0,-8.327482910E0,-6.893614655E0,1.163022411E1
1.704338333E-1,-2.934647369E0,-9.609866180E0,-6.256988525E0,1.183687411E1
1.804354583E-1,-2.337688751E0,-1.067774551E1,-6.550228729E0,1.274301904E1
1.904384583E-1,-2.218386841E0,-1.117246674E1,-7.519762573E0,1.364888575E1
2.004414583E-1,-1.836231537E0,-1.137858810E1,-8.042026520E0,1.405411698E1
2.104444583E-1,-1.416504364E0,-1.164727936E1,-8.327183533E0,1.438775822E1
2.204464583E-1,-1.120569763E0,-1.202030365E1,-8.751401367E0,1.491074788E1
2.304494583E-1,-1.122366028E0,-1.255304581E1,-9.074729004E0,1.553027273E1
2.404524583E-1,-1.483564911E0,-1.298160461E1,-8.406069489E0,1.553657065E1
2.504544583E-1,-1.986069946E0,-1.323802139E1,-8.531059570E0,1.587352077E1
2.604574583E-1,-2.545007629E0,-1.338336914E1,-9.808802490E0,1.678702593E1
2.704604583E-1,-3.251089325E0,-1.376806915E1,-1.002809647E1,1.734047372E1
2.804624583E-1,-3.550317078E0,-1.436876999E1,-1.081306412E1,1.832999340E1
2.904654583E-1,-3.268303528E0,-1.575503723E1,-1.259944931E1,2.043646567E1
3.004684583E-1,-3.303779755E0,-1.688099579E1,-1.245799347E1,2.123875186E1
3.104714583E-1,-3.466940460E0,-1.726345047E1,-1.312006668E1,2.195865542E1
