"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.652083343E-4,2.074386292E0,6.793472900E0,6.215075684E-1,7.130261159E0
1.086820833E-2,2.086211700E0,6.986571350E0,7.309300232E-1,7.327940856E0
2.087120833E-2,2.135608978E0,7.182513885E0,8.232879639E-1,7.538377444E0
3.087420833E-2,2.237696686E0,7.369774475E0,8.761280823E-1,7.751674831E0
4.087720833E-2,2.468965759E0,7.553741913E0,8.910969543E-1,7.996803273E0
5.088120834E-2,2.816692657E0,7.694000244E0,8.063731384E-1,8.232960277E0
6.088420833E-2,3.220702515E0,7.834258575E0,5.565426636E-1,8.488714382E0
7.088720833E-2,3.511398010E0,7.940986633E0,2.441423035E-1,8.686126304E0
8.089020833E-2,3.552712097E0,8.053402863E0,-1.270857239E-1,8.803136469E0
9.089320833E-2,3.430266724E0,8.141719208E0,-4.125421143E-1,8.844462248E0
1.008962083E-1,3.252436523E0,8.233628082E0,-4.414320374E-1,8.863737190E0
1.108992083E-1,3.141068115E0,8.449928284E0,-1.306782532E-1,9.015801335E0
1.209022083E-1,3.014281769E0,8.646918640E0,4.519102478E-1,9.168386959E0
1.309052083E-1,2.977757721E0,8.943302307E0,1.022673340E0,9.481326804E0
1.409092083E-1,3.000211029E0,9.254056091E0,1.532812500E0,9.848265559E0
1.509122083E-1,3.088527374E0,9.626930695E0,1.994302826E0,1.030504923E1
1.609152083E-1,3.243754578E0,1.002270767E1,2.412682800E0,1.080729620E1
1.709182083E-1,3.391048279E0,1.028675858E1,2.740950165E0,1.117270863E1
1.809212083E-1,3.433859253E0,1.037193146E1,2.915636902E0,1.130793041E1
1.909242083E-1,3.467239838E0,1.046848068E1,2.996618500E0,1.142762278E1
2.009272083E-1,3.489693146E0,1.078537170E1,2.947520599E0,1.171281686E1
2.109302083E-1,3.555705872E0,1.125614273E1,2.776725769E0,1.212658235E1
2.209342083E-1,3.620371399E0,1.179981216E1,2.558479614E0,1.260509715E1
2.309372083E-1,3.602558441E0,1.226773911E1,2.286495209E0,1.298860695E1
2.409402083E-1,3.516487427E0,1.264226028E1,2.111509094E0,1.329100822E1
2.509432083E-1,3.428320770E0,1.312934738E1,2.066153412E0,1.372596575E1
2.609462083E-1,3.390299835E0,1.378004425E1,2.170935516E0,1.435606887E1
2.709492083E-1,3.408861237E0,1.438927734E1,2.394420776E0,1.498014981E1
2.809522083E-1,3.523223419E0,1.470332428E1,2.653082886E0,1.535056015E1
2.909552083E-1,3.746708679E0,1.438673264E1,2.990630951E0,1.516442466E1
3.009582083E-1,3.818259888E0,1.347542770E1,3.221151581E0,1.437157187E1
3.109622083E-1,3.384162598E0,1.221355179E1,3.190914459E0,1.306925166E1
3.209652083E-1,2.878065033E0,1.083177521E1,2.903961182E0,1.157772011E1
3.309682083E-1,2.474354553E0,9.645492096E0,2.392774200E0,1.024125562E1
3.409712083E-1,1.956880646E0,8.546627197E0,1.890269165E0,8.969243883E0
3.509742083E-1,1.414558411E0,7.522456970E0,1.547182617E0,7.809104201E0
3.609772083E-1,8.632548523E-1,6.727609863E0,1.367705841E0,6.919289174E0
3.709802083E-1,3.457809448E-1,6.467450867E0,1.393601990E0,6.624923523E0
3.809832083E-1,-1.218466187E-1,6.673871613E0,1.674567719E0,6.881830130E0
3.909872083E-1,-5.239105225E-1,7.467521210E0,2.118394775E0,7.779842651E0
4.009902083E-1,-9.618997192E-1,8.903634796E0,2.829715576E0,9.391871693E0
4.109932083E-1,-1.398691406E0,1.048329987E1,3.930526428E0,1.128294960E1
4.209962083E-1,-1.751358032E0,1.181912201E1,5.047803040E0,1.297070605E1
4.309992083E-1,-2.085912323E0,1.246368164E1,5.901777191E0,1.394723500E1
4.410022083E-1,-2.327210541E0,1.217178864E1,6.459816742E0,1.397489105E1
4.510052083E-1,-2.357597351E0,1.146421005E1,6.323150940E0,1.330295513E1
