"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.345749999E-3,4.935386810E0,-1.080992065E1,-4.126918030E-1,1.189044751E1
1.234875000E-2,5.780679016E0,-1.265393600E1,-8.006849670E-1,1.393482841E1
2.235175000E-2,4.242477722E0,-1.390832748E1,-1.016386414E-1,1.454133835E1
3.235575000E-2,1.803000641E0,-1.436323151E1,4.050576782E-1,1.448161947E1
4.235875000E-2,-1.149759064E0,-1.402628220E1,-6.617738342E-1,1.408887798E1
5.236175000E-2,-2.809208221E0,-1.318832474E1,-3.381019135E0,1.390161324E1
6.236575000E-2,-1.566342773E0,-1.261366974E1,-4.849166107E0,1.360413562E1
7.236875000E-2,1.138682098E0,-1.230965195E1,-3.602558441E0,1.287643411E1
8.237175000E-2,2.853665771E0,-1.248748215E1,-1.981579285E0,1.296176204E1
9.237575000E-2,3.055895233E0,-1.244976059E1,-2.232008514E0,1.301218262E1
1.023787500E-1,3.241359558E0,-1.199156342E1,-2.475102997E0,1.266610200E1
1.123817500E-1,2.847229156E0,-1.201401672E1,-8.686436462E-1,1.237731205E1
1.223857500E-1,1.050964508E0,-1.237820938E1,1.166524200E0,1.247739446E1
1.323887500E-1,-2.616708527E0,-1.310404999E1,1.788031769E0,1.348185251E1
1.423917500E-1,-6.453679504E0,-1.345896194E1,2.345472565E0,1.510943008E1
1.523947500E-1,-7.870333557E0,-1.294058990E1,3.718567200E0,1.559579300E1
1.623987500E-1,-7.640860748E0,-1.313413742E1,3.964655457E0,1.570371968E1
1.724017500E-1,-7.678881683E0,-1.370190674E1,3.185825043E0,1.602675742E1
1.824047500E-1,-7.229067078E0,-1.423539734E1,7.117698669E-1,1.598163210E1
1.924087500E-1,-5.752088470E0,-1.444675781E1,-2.793041840E0,1.579862069E1
2.024117500E-1,-4.254452820E0,-1.339938583E1,-3.346441040E0,1.445138669E1
2.124147500E-1,-2.279908905E0,-1.239377701E1,-1.902094574E0,1.274447554E1
