"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.669499991E-3,3.170407104E-1,-2.283651123E0,7.107220459E-1,2.412613332E0
1.460950001E-2,1.694326630E0,-4.157155151E0,-6.915618896E-2,4.489706478E0
2.454849999E-2,3.996988220E0,-7.046746216E0,-8.990304565E-1,8.151122795E0
3.448850001E-2,6.937323761E0,-1.091889404E1,-2.081870728E0,1.310278191E1
4.442749999E-2,1.062026505E1,-1.556343567E1,-3.747157745E0,1.921071968E1
5.436750001E-2,1.567675003E1,-2.060300583E1,-5.636977844E0,2.649565738E1
6.430750000E-2,2.066931793E1,-2.387699753E1,-7.542964325E0,3.246887780E1
7.424650001E-2,2.128109573E1,-2.190769272E1,-9.085207214E0,3.186491842E1
8.418650000E-2,2.022983185E1,-1.906959457E1,-9.612111511E0,2.941578184E1
9.412550001E-2,2.211605942E1,-1.986489075E1,-8.903185730E0,3.103225233E1
1.040655000E-1,2.425361435E1,-2.234268814E1,-7.952063599E0,3.392150996E1
1.140045000E-1,2.493978745E1,-2.406575500E1,-7.295528870E0,3.541720349E1
1.239445000E-1,2.414404221E1,-2.466495895E1,-6.243217163E0,3.507524390E1
1.338845000E-1,2.258473480E1,-2.481554581E1,-4.734205170E0,3.388649079E1
1.438235000E-1,2.032233948E1,-2.435555237E1,-3.463497620E0,3.190903052E1
1.537635000E-1,1.802686295E1,-2.279145493E1,-3.018922119E0,2.921527162E1
1.637022083E-1,1.603300919E1,-2.030183212E1,-3.468437347E0,2.610080130E1
1.736422083E-1,1.491079285E1,-1.711510895E1,-4.615651703E0,2.316382823E1
1.835812083E-1,1.447564774E1,-1.390129211E1,-6.104006653E0,2.097734962E1
1.935212083E-1,1.405038208E1,-1.089554260E1,-7.395820313E0,1.925679733E1
2.034602083E-1,1.323772202E1,-7.985444183E0,-7.884553986E0,1.735427309E1
2.134002083E-1,1.198273178E1,-5.135670319E0,-7.500602417E0,1.504061193E1
2.233402084E-1,1.052985306E1,-2.321372681E0,-6.359824677E0,1.251854410E1
2.332792083E-1,9.028924255E0,2.174977112E-1,-4.770878906E0,1.021420893E1
2.432192084E-1,7.575895844E0,2.284100189E0,-3.124602356E0,8.507317520E0
2.531582083E-1,6.159541168E0,3.801794128E0,-1.672921143E0,7.429148750E0
2.630982084E-1,4.552183685E0,4.806205444E0,-4.962181091E-1,6.638389827E0
2.730372083E-1,2.683918762E0,5.401816864E0,3.350033569E-1,6.041131732E0
2.829772083E-1,4.023632813E-1,5.532944183E0,8.869056702E-1,5.618004024E0
2.929172083E-1,-1.957479401E0,4.871769104E0,1.194515991E0,5.384489601E0
3.028562083E-1,-4.001329193E0,3.679648132E0,1.066981201E0,5.539755823E0
3.127962083E-1,-5.335504761E0,2.570305023E0,6.322851562E-1,5.955993912E0
3.227352083E-1,-5.871540070E0,1.726060638E0,1.862127686E-1,6.122821516E0
3.326752083E-1,-5.757327576E0,9.395960999E-1,-1.637594604E-1,5.835792903E0
3.426142083E-1,-5.026696930E0,2.266287231E-1,-3.537144470E-1,5.044220110E0
3.525542083E-1,-4.118834839E0,-3.564088440E-1,-4.287084961E-1,4.156394912E0
3.624932083E-1,-3.515140228E0,-7.798782349E-1,-4.191284180E-1,3.624926139E0
3.724332083E-1,-2.868335266E0,-9.171427917E-1,-2.915936279E-1,3.025479291E0
3.823732083E-1,-1.998793488E0,-8.505313110E-1,1.516346741E-1,2.177515096E0
3.923122083E-1,-9.744735718E-1,-6.075865173E-1,9.452842712E-1,1.487387801E0
4.022522083E-1,-1.676513672E-2,-3.523672485E-1,1.961371307E0,1.992842481E0
4.121912083E-1,6.291416931E-1,-2.068698120E-1,2.929408264E0,3.003339336E0
4.221312083E-1,1.116827545E0,-5.388793945E-2,3.824546814E0,3.984641265E0
4.320702083E-1,1.564995575E0,1.871109009E-1,4.635111237E0,4.895761209E0
4.420102083E-1,1.932182007E0,4.971162415E-1,5.262905731E0,5.628377084E0
4.519502083E-1,2.182162170E0,8.652008057E-1,5.620961151E0,6.091437304E0
4.618892083E-1,2.442171478E0,1.124910736E0,5.562732239E0,6.178480044E0
4.718292083E-1,2.678230591E0,1.064885559E0,4.882995758E0,5.670145318E0
4.817682083E-1,2.700234833E0,6.520440674E-1,3.493285675E0,4.463123842E0
4.917082083E-1,2.677631836E0,4.580474854E-2,1.806742859E0,3.230499974E0
5.016472083E-1,3.087030487E0,-7.972421265E-1,2.137554932E-1,3.195472367E0
5.115872083E-1,3.900289307E0,-2.097588043E0,-1.138083344E0,4.572457323E0
5.215262084E-1,5.034031677E0,-4.059109039E0,-2.337539063E0,6.876185715E0
5.314662083E-1,6.718927917E0,-6.852749634E0,-3.611689453E0,1.025419283E1
5.414062083E-1,8.979227600E0,-1.089404572E1,-5.031786346E0,1.498751594E1
5.513452083E-1,1.207389221E1,-1.610830261E1,-6.528074799E0,2.116298766E1
5.612852083E-1,1.668101166E1,-2.216201385E1,-7.890541534E0,2.883871796E1
5.712242083E-1,2.141132492E1,-2.642305298E1,-8.455766144E0,3.504457939E1
5.811642083E-1,2.157927567E1,-2.509321838E1,-7.425458679E0,3.391861117E1
5.911032083E-1,2.158211975E1,-2.404794205E1,-5.463189240E0,3.277099093E1
6.010432083E-1,2.392055695E1,-2.560545319E1,-3.294948120E0,3.519501329E1
6.109832083E-1,2.496388733E1,-2.607831985E1,-1.547481995E0,3.613404402E1
6.209222083E-1,2.409494431E1,-2.511582138E1,-5.495072937E-1,3.480909052E1
6.308622083E-1,2.264610718E1,-2.398627029E1,-3.173400879E-2,3.298769983E1
6.408012083E-1,2.110581024E1,-2.303799225E1,1.040336609E-1,3.124444168E1
6.507412083E-1,1.946866470E1,-2.205827957E1,-3.308120728E-1,2.942288292E1
6.606802083E-1,1.768721924E1,-2.081331848E1,-1.352587280E0,2.734705547E1
6.706202083E-1,1.596834366E1,-1.876213394E1,-2.899769897E0,2.480754592E1
6.805592083E-1,1.444047089E1,-1.560115723E1,-4.871020660E0,2.180940505E1
