"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.443958346E-3,-1.921808578E1,-4.559219055E0,6.225374268E1,6.531194207E1
1.138395834E-2,-1.892709091E1,-1.620979156E0,2.090343109E1,2.824563285E1
2.132295835E-2,-1.097622482E1,2.274669800E0,7.874375153E0,1.369881083E1
3.126195833E-2,-1.384635635E1,2.058519287E0,-5.096302185E0,1.489736157E1
4.120195835E-2,-1.546958084E1,7.411088562E-1,-5.134772186E0,1.631634331E1
5.114095833E-2,-1.308084824E1,8.095166016E-1,-2.415077820E0,1.332653400E1
6.107995834E-2,-9.948013000E0,8.370593262E-1,-9.642947388E-1,1.002963087E1
7.101995836E-2,-7.664511566E0,2.866539001E-1,-2.070195007E-1,7.672663493E0
8.095895834E-2,-5.897136841E0,-3.704795837E-1,-1.206491089E-1,5.909994437E0
9.089895835E-2,-4.292623444E0,-8.406518555E-1,-2.656974792E-1,4.382226229E0
1.008379583E-1,-2.953508148E0,-9.593550110E-1,-4.481680298E-1,3.137582987E0
1.107769583E-1,-1.974992981E0,-7.197033691E-1,-4.758604431E-1,2.155229309E0
1.207169583E-1,-1.308129730E0,-3.918850708E-1,-3.893403625E-1,1.419987048E0
1.306559583E-1,-7.361691284E-1,-2.683918762E-1,-5.520520020E-1,9.585095710E-1
1.405949583E-1,-2.565664673E-1,-1.679507446E-1,-3.861968994E-1,4.931347178E-1
1.505349583E-1,1.796264648E-3,-1.209484863E-1,-3.447331238E-1,3.653391432E-1
1.604739583E-1,2.399510193E-1,-1.321751404E-1,-3.616479492E-1,4.536915236E-1
1.704139583E-1,5.289999390E-1,-2.037263489E-1,-5.378315735E-1,7.814142065E-1
1.803529583E-1,9.136999512E-1,-4.748126221E-1,-1.254690857E0,1.623127775E0
1.902919583E-1,1.476379852E0,-7.542814636E-1,-2.780168610E0,3.236970110E0
2.002319584E-1,2.283202057E0,-7.330256653E-1,-4.574936371E0,5.165305514E0
2.101709583E-1,3.151246948E0,-6.715036011E-1,-5.348976746E0,6.244423644E0
2.201099583E-1,3.755091248E0,-5.595364380E-1,-5.679339752E0,6.831448699E0
2.300499583E-1,3.955973511E0,-2.872526550E-1,-5.861211548E0,7.077149236E0
2.399889583E-1,4.005520477E0,-7.589218140E-2,-5.944288788E0,7.168299876E0
