"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.248416670E-3,1.357571915E1,-1.354398514E1,3.144960022E0,1.943271616E1
1.618841666E-2,1.181493073E1,-1.367810623E1,2.398162994E0,1.823278267E1
2.612841665E-2,1.039707916E1,-1.332289490E1,1.177750854E0,1.694065762E1
3.606741666E-2,9.930200043E0,-1.270363266E1,2.372566223E-1,1.612598668E1
4.600741665E-2,9.314230957E0,-1.202733902E1,-4.430786133E-2,1.521228929E1
5.594641666E-2,8.359965363E0,-1.121527771E1,1.645079041E-1,1.398922935E1
6.588641665E-2,7.525301056E0,-1.034768188E1,6.420149231E-1,1.281081026E1
7.582541666E-2,6.409072266E0,-8.978479156E0,9.342073059E-1,1.107077407E1
8.576541665E-2,5.009931793E0,-7.147037659E0,1.350791016E0,8.831998655E0
9.570541666E-2,3.608995056E0,-5.136568451E0,1.583706665E0,6.474357695E0
1.056444166E-1,2.206860809E0,-3.406765594E0,1.657353516E0,4.384416395E0
1.155844167E-1,8.265811157E-1,-2.056423645E0,1.763183441E0,2.832124714E0
1.255234167E-1,-2.002835083E-1,-9.020242310E-1,1.673968964E0,1.912049499E0
1.354634167E-1,-9.427395630E-1,6.421646118E-2,1.434017944E0,1.717349441E0
1.454024167E-1,-1.522633667E0,6.918612671E-1,1.282832336E0,2.107781796E0
1.553424167E-1,-2.118544464E0,1.180894318E0,1.210981750E0,2.710944270E0
1.652824167E-1,-2.511926422E0,1.434916077E0,9.304650879E-1,3.038835925E0
1.752214167E-1,-2.664010162E0,1.496138763E0,9.912387085E-1,3.212154343E0
1.851614167E-1,-3.152594147E0,1.337768097E0,1.800455933E0,3.869123273E0
1.951004167E-1,-3.673510895E0,9.584568787E-1,2.272424469E0,4.424616916E0
2.050404167E-1,-3.497027893E0,5.852828979E-1,1.320254517E0,3.783494700E0
2.149794167E-1,-2.820285187E0,4.843927002E-1,-2.948867798E-2,2.861732763E0
2.249194167E-1,-2.284848633E0,5.146298218E-1,-5.792953491E-1,2.412666622E0
2.348594167E-1,-1.743574219E0,4.885839844E-1,-5.167254639E-1,1.883021660E0
2.447984167E-1,-1.036594391E0,2.761756897E-1,-3.505709839E-1,1.128583607E0
2.547384167E-1,-7.502398682E-1,9.385482788E-2,-4.598437500E-1,8.849434236E-1
2.646774166E-1,-7.340734863E-1,2.005828857E-2,-5.766009521E-1,9.336674335E-1
2.746174167E-1,-7.640112305E-1,1.796264648E-3,-6.056405640E-1,9.749445520E-1
2.845564166E-1,-7.589218140E-1,4.490661621E-4,-6.099815369E-1,9.736734549E-1
2.944964167E-1,-6.872209167E-1,1.975891113E-2,-6.288423157E-1,9.317218796E-1
3.044354166E-1,-5.294490051E-1,4.969665527E-2,-6.474037170E-1,8.378052157E-1
3.143754167E-1,-4.135899353E-1,8.083190918E-2,-7.259902954E-1,8.394357278E-1
3.243154167E-1,-3.906875610E-1,8.756790161E-2,-7.673043823E-1,8.654830575E-1
3.342544167E-1,-3.225791931E-1,-4.745132446E-2,-7.277865601E-1,7.974849472E-1
3.441944167E-1,-2.683918762E-1,-4.185296631E-1,-5.114863586E-1,7.133159000E-1
3.541334167E-1,-5.563929749E-1,-1.454225922E0,2.747835846E0,3.158314109E0
3.640734167E-1,-4.799020386E-1,-2.962489471E0,8.001311188E0,8.545620548E0
3.740124167E-1,-4.355941772E-2,-2.727478180E0,2.037862244E0,3.404984166E0
3.839524167E-1,1.608105927E0,-3.980672150E0,-5.821394348E-1,4.332509868E0
3.938924167E-1,6.505322113E0,-9.229207764E0,3.806135101E0,1.191571048E1
4.038314167E-1,1.008991791E1,-1.504371643E1,1.717737946E1,2.496361777E1
4.137714167E-1,1.052655991E1,-1.670795563E1,6.624324646E0,2.082896833E1
4.237104167E-1,1.267743713E1,-1.921599014E1,-4.224814453E0,2.340557085E1
