"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.626875019E-3,5.999823303E0,-5.360353088E-1,-2.146835632E0,6.394850800E0
1.156587500E-2,5.737868042E0,1.191522217E-1,-1.667232971E0,5.976369525E0
2.150587502E-2,6.101312256E0,6.783892822E-1,-6.297404480E-1,6.171126015E0
3.144587501E-2,7.558082886E0,7.717950439E-1,1.507964172E0,7.745594906E0
4.138487502E-2,8.809031525E0,4.670288086E-2,3.976780243E0,9.665195221E0
5.132487501E-2,7.154073029E0,-2.789598999E0,6.936575317E0,1.034788387E1
6.126387502E-2,3.432961121E0,-7.340136108E0,1.151854706E1,1.408331447E1
7.120387501E-2,2.119592285E-1,-1.231833389E1,1.627056519E1,2.040876204E1
8.114387502E-2,-1.735491028E0,-1.692141174E1,1.520822433E1,2.281745367E1
9.108287501E-2,-1.417402496E0,-2.073353439E1,1.363454681E1,2.485536854E1
1.010228750E-1,-7.247927856E-1,-2.482916748E1,1.649255356E1,2.981639155E1
1.109618750E-1,1.190474396E0,-2.579630630E1,1.353006409E1,2.915354665E1
1.209018750E-1,3.829785919E0,-2.119053406E1,8.105644226E0,2.300885617E1
1.308408750E-1,1.993404694E0,-1.458536957E1,5.140610046E0,1.559270789E1
1.407808750E-1,-6.783892822E-1,-1.016566040E1,4.809648285E0,1.126648037E1
1.507208750E-1,-2.170037384E0,-7.339836731E0,5.575455780E0,9.469317433E0
1.606598750E-1,-1.729353790E0,-5.993536377E0,2.346071320E0,6.664622530E0
1.705998750E-1,2.153721313E0,-5.939349060E0,-4.466112671E0,7.736959683E0
1.805388750E-1,6.844965820E0,-6.258036346E0,-8.766819305E0,1.276219796E1
1.904788750E-1,9.135802002E0,-7.356452179E0,-8.595575409E0,1.454180812E1
2.004188750E-1,9.404642944E0,-8.924441528E0,-6.720724182E0,1.460346189E1
2.103578750E-1,9.395212555E0,-1.241847565E1,8.684939575E-1,1.559624436E1
2.202978750E-1,1.104927292E1,-1.794528259E1,1.609168716E1,2.651531624E1
2.302368750E-1,1.498114655E1,-1.642953461E1,2.681972809E0,2.239547582E1
2.401768750E-1,1.597522934E1,-1.061352905E1,-3.216062164E0,1.944731363E1
2.501158750E-1,1.292607010E1,-5.397026825E0,-1.389560394E0,1.407629443E1
2.600558750E-1,1.113803833E1,-1.935175781E0,-3.486250305E-1,1.131027597E1
2.699958750E-1,9.384734344E0,4.480183411E-1,-8.964857483E-1,9.438095457E0
2.799348750E-1,7.273674316E0,-4.840933228E-1,-4.274361420E0,8.450494066E0
2.898748750E-1,6.765481110E0,-2.239492950E0,-6.161337433E0,9.420676318E0
2.998138750E-1,7.373367004E0,-3.063379669E0,-6.177952881E0,1.009544144E1
3.097538750E-1,8.666527863E0,-3.967649231E0,-5.283712463E0,1.089809905E1
3.196938750E-1,8.776698761E0,-4.968468018E0,-4.039649506E0,1.086438603E1
3.296328750E-1,8.057145081E0,-5.796096954E0,-3.112477570E0,1.040191537E1
3.395728750E-1,7.289092255E0,-6.537056122E0,-2.461331635E0,1.009564867E1
3.495118750E-1,6.973099365E0,-7.274722137E0,-1.980980530E0,1.026985788E1
3.594518750E-1,7.335346069E0,-8.006400604E0,-1.688189392E0,1.098907348E1
3.693908750E-1,7.809260559E0,-8.650960236E0,-1.412462769E0,1.173962157E1
3.793308750E-1,7.646698608E0,-9.075327759E0,-1.262324982E0,1.193427995E1
3.892708750E-1,7.095844116E0,-9.248218231E0,-1.258133698E0,1.172448057E1
3.992098750E-1,6.460864563E0,-9.195527802E0,-1.284628601E0,1.131153275E1
4.091498750E-1,5.717210999E0,-9.013955383E0,-1.205143890E0,1.074198609E1
4.190888750E-1,4.986131287E0,-8.780590668E0,-1.081051941E0,1.015524254E1
4.290288750E-1,4.336931305E0,-8.652457123E0,-1.445094910E0,9.785820696E0
4.389688750E-1,3.577859802E0,-8.925339661E0,-2.221829681E0,9.869108164E0
4.489078750E-1,1.581611023E0,-8.985215149E0,2.308649139E0,9.410921610E0
4.588478750E-1,8.202941895E-1,-8.738827515E0,4.333638153E0,9.788789942E0
4.687868750E-1,1.386117554E0,-8.180488586E0,3.005599823E0,8.824700883E0
4.787268750E-1,2.509980469E0,-7.881410522E0,1.741478577E0,8.452773593E0
4.886658750E-1,3.404669952E0,-8.052205353E0,1.054557037E0,8.805786681E0
4.986058750E-1,3.868106232E0,-8.385412445E0,3.727249146E-1,9.242094544E0
5.085458750E-1,3.820205841E0,-8.551117859E0,3.742218018E-2,9.365734874E0
5.184848750E-1,3.425925751E0,-8.340954895E0,5.427713013E-1,9.033443225E0
5.284248750E-1,3.465443573E0,-8.301437073E0,9.569599915E-1,9.046487111E0
5.383638750E-1,3.776496735E0,-8.616681519E0,1.005309448E0,9.461489051E0
5.483038750E-1,3.722159729E0,-9.321715393E0,7.265890503E-1,1.006363665E1
5.582438750E-1,3.909420319E0,-1.022418869E1,9.913883972E-1,1.099092592E1
5.681828750E-1,4.285737762E0,-1.057146652E1,1.550625458E0,1.151207592E1
5.781228750E-1,4.185296631E0,-1.023766068E1,2.178419952E0,1.127261804E1
5.880618750E-1,3.611689453E0,-9.551038513E0,3.032543793E0,1.065189933E1
5.980018750E-1,2.807711334E0,-9.320517883E0,3.638633423E0,1.039206186E1
6.079408750E-1,2.259401550E0,-9.793983307E0,3.486998749E0,1.063889866E1
6.178808750E-1,2.247426453E0,-1.069121750E1,2.444416809E0,1.119500919E1
6.278208750E-1,2.704875183E0,-1.167706741E1,1.249601440E0,1.205121392E1
6.377598750E-1,3.246898041E0,-1.243374390E1,5.547463989E-1,1.286266216E1
6.476998750E-1,3.405867462E0,-1.292397446E1,4.267625427E-1,1.337202958E1
6.576388750E-1,3.445085907E0,-1.280302597E1,8.247848511E-1,1.328406417E1
6.675788750E-1,3.705993347E0,-1.211864914E1,1.622176666E0,1.277605185E1
6.775188750E-1,4.064048767E0,-1.143636795E1,2.352807312E0,1.236295703E1
6.874578750E-1,4.362528076E0,-1.100391724E1,2.759511566E0,1.215453618E1
6.973978750E-1,4.366120605E0,-1.108430008E1,2.860401764E0,1.225180051E1
7.073361667E-1,4.117487640E0,-1.167137924E1,2.796334991E0,1.268835243E1
7.172761667E-1,3.891607361E0,-1.279449371E1,2.576142883E0,1.361911118E1
7.272151667E-1,3.697012024E0,-1.411624512E1,2.270927582E0,1.476798518E1
7.371551667E-1,3.751648407E0,-1.446621735E1,2.575095062E0,1.516500658E1
7.470951667E-1,3.775598602E0,-1.290511368E1,2.945275269E0,1.376487378E1
7.570341667E-1,3.384012909E0,-1.114567245E1,2.752176819E0,1.196879422E1
7.669741667E-1,2.706072693E0,-1.016176849E1,1.693578186E0,1.065141190E1
7.769131667E-1,2.819387054E0,-9.491013336E0,1.530267792E0,1.001848277E1
7.868531667E-1,3.862717438E0,-8.815617828E0,2.534828796E0,9.952942315E0
7.967931667E-1,5.207071838E0,-8.738079071E0,3.478167114E0,1.075012881E1
8.067321667E-1,6.325545959E0,-8.977281647E0,3.018922119E0,1.138938138E1
8.166721667E-1,7.300767975E0,-9.592801666E0,1.328337708E0,1.212796512E1
8.266111667E-1,8.396190033E0,-1.069675598E1,-1.359173584E-1,1.359908339E1
8.365511667E-1,9.769883423E0,-1.188962540E1,-6.509962463E-1,1.540251961E1
8.464901667E-1,1.152438492E1,-1.287248154E1,-2.215393066E-1,1.727892671E1
8.564301667E-1,1.338681198E1,-1.377016479E1,5.572911072E-1,1.921287971E1
8.663701667E-1,1.472922043E1,-1.401834869E1,8.279283142E-1,2.035066338E1
8.763091667E-1,1.502440659E1,-1.317230804E1,1.787283325E-1,1.998185267E1
8.862491667E-1,1.439780960E1,-1.162841858E1,-5.176235962E-1,1.851445311E1
8.961881667E-1,1.263806900E1,-9.830207977E0,-8.226892090E-1,1.603217373E1
9.061281667E-1,1.038734940E1,-8.102201385E0,-1.057550812E0,1.321594145E1
9.160681667E-1,8.195756836E0,-6.771618347E0,-4.074526978E-1,1.063913826E1
9.260071667E-1,6.326444092E0,-6.066135406E0,3.469784546E-1,8.771675305E0
9.359471667E-1,4.991520081E0,-5.929020538E0,1.024020538E0,7.817747458E0
9.458861667E-1,4.295916595E0,-5.888903961E0,1.501677246E0,7.442386970E0
9.558261667E-1,3.603606262E0,-6.212830353E0,1.659299469E0,7.371466192E0
9.657651667E-1,3.302282867E0,-6.279292145E0,1.237776031E0,7.201851948E0
9.757051667E-1,2.989583130E0,-6.119125214E0,8.393046570E-1,6.861904472E0
9.856451667E-1,2.832709351E0,-5.932313690E0,4.962181091E-1,6.592633798E0
9.955841667E-1,2.654579773E0,-5.783672791E0,3.879931641E-1,6.375594358E0
1.005524167E0,2.033072205E0,-5.660928040E0,4.956193542E-1,6.035323306E0
1.015463167E0,1.538500671E0,-5.456303558E0,6.988966370E-1,5.711977709E0
1.025403167E0,1.620829468E0,-5.127736816E0,6.848258972E-1,5.421232289E0
1.035342167E0,2.189347229E0,-4.608766022E0,2.827619934E-1,5.110178067E0
1.045282167E0,2.988834686E0,-4.000580750E0,-4.031117249E-1,5.010017782E0
1.055222167E0,3.527414703E0,-3.460503845E0,-9.644444275E-1,5.034669245E0
1.065161167E0,4.059707794E0,-2.835254059E0,-1.288221130E0,5.116581538E0
1.075101167E0,4.740492096E0,-2.176473999E0,-1.461560669E0,5.417145371E0
1.085040167E0,5.316494293E0,-1.552571411E0,-1.614692230E0,5.769126498E0
1.094980167E0,5.546116791E0,-9.710307312E-1,-1.665436707E0,5.871625973E0
1.104920167E0,5.383554840E0,-4.369413757E-1,-1.790426788E0,5.690273154E0
1.114859167E0,4.921914825E0,9.160949707E-2,-1.799857178E0,5.241481061E0
1.124799167E0,5.000052338E0,6.550378418E-1,-1.075962524E0,5.156286775E0
1.134738167E0,6.377637634E0,8.752299500E-1,7.340734863E-1,6.479132129E0
1.144678167E0,7.973768463E0,6.882687378E-1,3.029699707E0,8.557673613E0
1.154617167E0,7.354955292E0,-1.653311920E0,7.322323151E0,1.050929227E1
1.164557167E0,3.712130585E0,-7.053182831E0,1.521151749E1,1.717316412E1
1.174497167E0,4.586462402E-1,-1.368065094E1,2.332045486E1,2.704097228E1
1.184436167E0,-6.081852722E-1,-1.981564316E1,1.693862595E1,2.607578670E1
1.194376167E0,1.276994476E0,-2.335982300E1,1.164563278E1,2.613298315E1
1.204315167E0,3.112627258E0,-2.608430740E1,1.297037796E1,2.929693236E1
1.214255167E0,4.837640076E0,-2.323243790E1,1.010234207E1,2.579159257E1
1.224195167E0,4.434528351E0,-1.498773285E1,7.480693817E0,1.732795307E1
1.234134167E0,2.286195831E0,-9.361682281E0,6.281238098E0,1.150311865E1
1.244074167E0,7.896080017E-1,-6.649472351E0,7.462282104E0,1.002619656E1
1.254013167E0,9.779164124E-1,-6.340215454E0,1.171179520E1,1.335368111E1
1.263953167E0,2.313588867E0,-9.779313812E0,1.171763306E1,1.543666404E1
1.273892167E0,3.496279449E0,-1.457504105E1,4.511168976E0,1.565268146E1
1.283832167E0,4.780309296E0,-1.617955444E1,-4.220323792E0,1.739081573E1
1.293772167E0,7.507937164E0,-1.419782547E1,-1.154923325E1,1.978211710E1
1.303711167E0,8.044870605E0,-1.133532806E1,-1.128218857E1,1.790244073E1
1.313651167E0,6.789431305E0,-8.015381927E0,-2.864293671E0,1.088792465E1
1.323590167E0,7.129075012E0,-4.404889984E0,7.709867249E0,1.138722175E1
1.333530167E0,5.931565247E0,-3.363954620E0,2.060315552E0,7.123521400E0
1.343469167E0,5.674699402E0,-2.296524353E0,-3.136577454E0,6.878543125E0
1.353409167E0,7.791148224E0,-3.521876221E0,-7.352560272E0,1.127677903E1
1.363349167E0,1.008557693E1,-5.369484100E0,-7.649243317E0,1.374995072E1
1.373288167E0,1.133323242E1,-5.682632904E0,-6.562054138E0,1.427567961E1
1.383228167E0,1.172017776E1,-5.614075470E0,-5.380261688E0,1.406512090E1
1.393167167E0,1.144939087E1,-5.920488281E0,-4.849465485E0,1.377163927E1
1.403107167E0,1.079240707E1,-6.435567169E0,-3.842060394E0,1.313978703E1
1.413046167E0,9.828112335E0,-6.592740326E0,-2.501897278E0,1.209609470E1
