"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.067625009E-3,-1.972897339E-1,-4.306544495E-1,8.008346558E-2,4.804163355E-1
1.100762500E-2,-7.095245361E-2,-4.120930481E-1,8.143066406E-2,4.260116008E-1
2.094662501E-2,-2.888992310E-2,-4.559518433E-1,2.469863892E-2,4.575333144E-1
3.088662500E-2,-1.213975525E-1,-5.831872559E-1,2.709365845E-2,5.963042910E-1
4.082562501E-2,-2.091151428E-1,-7.212002563E-1,4.086502075E-2,7.520165574E-1
5.076562500E-2,-2.186952209E-1,-8.369096375E-1,2.544708252E-2,8.653859803E-1
6.070462501E-2,-2.639012146E-1,-9.241781616E-1,9.250762939E-2,9.655603487E-1
7.064362502E-2,-7.182064819E-1,-1.200503540E0,3.072660370E0,3.376132558E0
8.058362501E-2,-5.535488892E-1,-1.945504303E0,4.673581238E0,5.092520491E0
9.052262502E-2,8.330177307E-1,-1.974094849E0,-8.024812317E-1,2.288000249E0
1.004626250E-1,2.270628204E0,-2.368075562E0,-1.085542603E0,3.455710788E0
1.104016250E-1,3.879781952E0,-3.678450623E0,-9.684860229E-1,5.433384963E0
1.203416250E-1,6.678811340E0,-6.453978882E0,-1.064586182E0,9.348460198E0
1.302806250E-1,1.190594147E1,-1.355985214E1,-4.285737762E0,1.854692914E1
1.402206250E-1,2.010304550E1,-2.255434799E1,-4.640050964E0,3.056732119E1
1.501596250E-1,3.285113571E1,-3.478062332E1,-2.442770233E0,4.790465533E1
1.600986250E-1,4.907784210E1,-5.025110229E1,1.586700439E0,7.025898865E1
1.700386250E-1,5.408148697E1,-5.273189346E1,5.483247528E0,7.573325442E1
1.799776250E-1,4.300227631E1,-3.982543259E1,8.041278076E0,5.916014707E1
1.899176250E-1,2.664429291E1,-1.815140396E1,1.101035385E1,3.406786906E1
1.998566250E-1,1.880793869E1,-5.136269073E0,6.863078156E0,2.066934105E1
2.097966250E-1,1.663610504E1,-2.832559662E0,1.247805176E0,1.692159576E1
2.197356250E-1,1.400382889E1,-2.402354279E0,-1.502276001E0,1.428759472E1
2.296746250E-1,9.693093109E0,-1.449435883E0,-2.012265472E0,1.000530513E1
2.396146250E-1,5.476361847E0,-5.990542603E-1,-1.469494171E0,5.701650481E0
2.495536250E-1,2.418520660E0,8.801696777E-2,-8.018824768E-1,2.549510674E0
2.594936250E-1,-9.984237671E-2,6.204597473E-1,-1.980381775E-1,6.589066079E-1
2.694326250E-1,-1.681752777E0,1.046623535E0,7.035369873E-1,2.102065061E0
2.793726250E-1,-2.939886475E0,1.283281403E0,1.376537476E0,3.490644505E0
2.893116250E-1,-4.346810760E0,1.410516815E0,4.008663940E-1,4.587484642E0
2.992506250E-1,-5.877377930E0,1.484013977E0,-2.370021515E0,6.508676578E0
3.091906250E-1,-1.152558243E1,6.979985046E-1,-6.453978882E0,1.322800422E1
3.191296250E-1,-1.734398300E1,-2.054477692E0,-2.337988129E0,1.762103327E1
3.290696250E-1,-9.508975983E0,-1.982477417E0,2.223925323E0,9.964772190E0
3.390086250E-1,-6.685098267E0,-1.653012543E0,2.229463806E0,7.238335317E0
3.489486250E-1,-5.108726349E0,-1.174757080E0,5.488486633E0,7.589639295E0
3.588876250E-1,-2.761756897E0,-3.932322693E-1,4.391417999E0,5.202545994E0
