"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.665624994E-3,2.241887970E0,6.870712280E-2,1.439556427E0,2.665165107E0
1.160462500E-2,2.901117096E0,1.806742859E-1,1.129401398E0,3.118440495E0
2.154362499E-2,5.210514679E0,1.573228455E-1,1.650617523E0,5.467975119E0
3.148262500E-2,1.080168777E1,-1.222956848E-1,2.725083160E0,1.114080308E1
4.142162498E-2,1.320523956E1,-5.948629761E-1,6.824009399E0,1.487613250E1
5.136062499E-2,1.177062286E1,-3.772155762E-2,1.211745163E1,1.689324183E1
6.130062498E-2,1.748274445E1,1.651964722E0,9.528585205E0,1.997922113E1
7.123962499E-2,2.575663879E1,6.315217438E0,9.905351715E0,2.830905166E1
8.117862500E-2,3.061748062E1,1.370130798E1,1.555265808E1,3.697351935E1
9.111762498E-2,3.337893814E1,2.604673553E1,1.926284271E1,4.651497665E1
1.010566250E-1,3.089380600E1,2.997351974E1,1.847158813E1,4.684056685E1
1.109956250E-1,2.384676041E1,1.844988327E1,1.609722565E1,3.417874849E1
1.209346250E-1,2.469010666E1,1.247116608E1,2.010768585E1,3.419722767E1
1.308736250E-1,3.903507614E1,1.658356430E1,2.352717499E1,4.850030657E1
1.408136250E-1,4.596865768E1,2.278367111E1,1.499476822E1,5.345143808E1
1.507526250E-1,2.706387039E1,1.385309235E1,3.924838257E0,3.065559661E1
1.606916250E-1,1.218585938E1,5.868097229E0,1.798659668E1,2.250438610E1
1.706306250E-1,2.011352371E1,1.182331329E1,1.056697586E1,2.561260534E1
1.805696250E-1,2.028985703E1,1.232776428E1,7.477999420E0,2.489121423E1
1.905086250E-1,1.734547989E1,1.046863037E1,3.123853912E0,2.049917944E1
2.004476250E-1,1.355356522E1,7.757617950E0,1.875150604E0,1.572882564E1
2.103876250E-1,9.139693909E0,4.920118561E0,3.116070099E0,1.083750268E1
2.203266250E-1,7.412735138E0,4.414919128E0,3.291654968E0,9.234454265E0
2.302656250E-1,4.287384338E0,3.756438446E0,3.655398560E0,6.771590130E0
2.402046250E-1,2.715353394E0,3.392545166E0,4.875661011E0,6.531047163E0
2.501436250E-1,1.485061798E0,2.523901520E0,5.903723145E0,6.590101243E0
2.600826250E-1,-3.297642517E-1,2.102228394E0,4.993316345E0,5.427828001E0
2.700216250E-1,-1.547032928E0,1.708696747E0,3.723357239E0,4.379080335E0
2.799616250E-1,-2.265239410E0,8.695417786E-1,2.304457855E0,3.346332096E0
2.898996666E-1,-1.928589478E0,3.146456909E-1,9.583071899E-1,2.176421824E0
2.998386667E-1,-1.091081085E0,8.681945801E-2,-6.256988525E-2,1.096316808E0
3.097776667E-1,-8.075706482E-1,-1.525328064E-1,-5.104385376E-1,9.674627174E-1
3.197166667E-1,-9.994715881E-1,-4.873864746E-1,-6.108796692E-1,1.268724951E0
3.296556667E-1,-8.813671875E-1,-6.491999817E-1,-7.340734863E-1,1.318003270E0
3.395946667E-1,-9.943821716E-1,-9.449848938E-1,-4.625381470E-1,1.447664979E0
3.495336667E-1,-1.291663971E0,-1.570683746E0,4.254153442E-1,2.077599928E0
3.594736667E-1,-1.859133911E0,-2.239642639E0,1.246008911E0,3.166214815E0
3.694126667E-1,-1.535207520E0,-2.788850555E0,1.521585846E0,3.528423591E0
3.793516667E-1,-4.590953064E-1,-3.023412781E0,9.840536499E-1,3.212499794E0
3.892906666E-1,-1.892065430E-1,-3.094065857E0,4.119433594E-1,3.127097692E0
3.992296667E-1,-7.405101013E-1,-2.723286896E0,2.288740540E-1,2.831436042E0
4.091686667E-1,-9.377998352E-1,-2.051034851E0,1.047821045E-2,2.255287628E0
4.191076666E-1,-6.933581543E-1,-1.047521667E0,-1.062789917E-1,1.260691238E0
4.290476667E-1,-2.094145203E-1,-2.387535095E-1,2.695893860E-1,4.165766636E-1
4.389866666E-1,3.191363525E-1,-2.933898926E-2,3.288661194E-1,4.591968121E-1
4.489256667E-1,2.719844055E-1,3.607498169E-2,9.235794067E-2,2.894942320E-1
4.588646667E-1,-1.646575928E-3,2.543211365E-1,5.987548828E-3,2.543969387E-1
4.688036666E-1,-1.487905884E-1,3.141966248E-1,-9.145980835E-2,3.594760837E-1
4.787426667E-1,-1.544787598E-1,2.760260010E-1,-4.520599365E-2,3.195271855E-1
4.886816667E-1,-2.694396973E-3,2.246827698E-1,1.945953369E-3,2.247073509E-1
4.986216667E-1,1.083746338E-1,1.923500061E-1,1.541793823E-2,2.213171907E-1
5.085606667E-1,1.627116394E-1,2.264790344E-1,5.044509888E-2,2.833946694E-1
5.184996667E-1,1.050814819E-1,2.579136658E-1,1.061293030E-1,2.980352425E-1
5.284386667E-1,4.236190796E-2,2.302212524E-1,2.109114075E-1,3.150872548E-1
5.383776667E-1,1.213975525E-1,1.993853760E-1,2.622546387E-1,3.510974073E-1
