"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.025249996E-3,-2.261197815E0,-3.986210632E-1,1.151779861E1,1.174442843E1
1.196425001E-2,-2.425855408E0,-1.034498749E0,1.404065231E1,1.428617792E1
2.190325002E-2,-2.969524841E0,-9.641450500E-1,1.710627731E1,1.738885784E1
3.184325001E-2,-3.974235535E0,3.243754578E-1,1.762614624E1,1.807154666E1
4.178225002E-2,-4.137246552E0,4.073030090E-1,1.670735687E1,1.721680802E1
5.172125000E-2,-2.727178802E0,7.991880798E-1,1.603241043E1,1.628233368E1
6.166025001E-2,8.592132568E-2,1.691781921E0,1.457863358E1,1.467671848E1
7.160025000E-2,3.108136597E0,1.698966980E0,1.314461563E1,1.361351982E1
8.153925001E-2,5.772446136E0,1.243015137E0,1.229094086E1,1.363574157E1
9.147824999E-2,7.681426392E0,6.120771790E-1,1.069840256E1,1.318464134E1
1.014182500E-1,7.794591064E0,-1.526824951E-1,1.026086243E1,1.288659224E1
1.113572500E-1,7.622598724E0,2.652484131E-1,9.432784424E0,1.213061375E1
1.212962500E-1,6.242319031E0,-3.547622681E-2,9.180858307E0,1.110207029E1
1.312352500E-1,4.152514801E0,-3.632945251E-1,9.879305878E0,1.072268841E1
1.411752500E-1,2.230811005E0,-4.718188477E-1,1.108205475E1,1.131419764E1
1.511142500E-1,-1.651066589E-1,-7.217990112E-1,1.174667267E1,1.176998610E1
1.610532500E-1,-1.319955139E0,-9.117539978E-1,1.209948898E1,1.220537630E1
1.709922500E-1,-1.687291260E0,-1.172661438E0,1.153531219E1,1.171689012E1
1.809322500E-1,-1.288819885E0,-1.625619507E0,1.097592545E1,1.117025671E1
1.908712500E-1,-7.135661316E-1,-1.907034302E0,1.042058029E1,1.061764805E1
2.008102500E-1,3.210823059E-1,-1.490899658E0,9.386081543E0,9.509174642E0
2.107502500E-1,1.334175568E0,-2.043999481E0,8.741821289E0,9.076199523E0
2.206892500E-1,2.208956451E0,-1.979783020E0,8.429869995E0,8.936539461E0
2.306282500E-1,2.570754089E0,-1.739981689E0,7.707621918E0,8.309256796E0
2.405672500E-1,2.366728363E0,-1.497485962E0,7.700287170E0,8.193795815E0
2.505072500E-1,1.313668213E0,-1.500779114E0,8.361312561E0,8.595906576E0
2.604462500E-1,9.265731812E-2,-1.414408722E0,8.332123260E0,8.451829118E0
2.703852500E-1,-1.333726501E0,-1.144519958E0,7.892337799E0,8.085650762E0
