"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.402916529E-4,-8.988957367E0,1.134790192E0,-2.331551514E0,9.355492279E0
1.038029164E-2,-9.030720520E0,1.935624847E0,-2.474504242E0,9.561575597E0
2.032029166E-2,-9.450597382E0,2.318678284E0,-2.600542145E0,1.007238201E1
3.025929167E-2,-1.012344818E1,2.327060852E0,-2.478695526E0,1.067910796E1
4.019929166E-2,-1.074839859E1,1.803300018E0,-2.234403534E0,1.112530999E1
5.013929165E-2,-1.099658249E1,9.280700684E-1,-1.701362000E0,1.116605450E1
6.007829166E-2,-1.069675598E1,2.212399292E-1,-1.038839722E0,1.074935922E1
7.001829165E-2,-1.003842499E1,-5.149291992E-1,-3.956272888E-1,1.005940601E1
7.995829167E-2,-9.468709717E0,-1.104702759E0,8.801696777E-2,9.533340384E0
8.989729165E-2,-8.846603394E0,-1.553768921E0,3.983216858E-1,8.990842543E0
9.983729167E-2,-8.198151855E0,-2.026635590E0,6.505471802E-1,8.469956156E0
1.097772917E-1,-7.705077209E0,-2.392474823E0,8.285270691E-1,8.110401204E0
1.197162917E-1,-7.287894745E0,-2.559377747E0,1.004261627E0,7.789246798E0
1.296562917E-1,-6.851252747E0,-2.509232025E0,1.285077667E0,7.408598664E0
1.395962916E-1,-6.525979156E0,-2.012864227E0,1.623224487E0,7.019607118E0
1.495362917E-1,-6.126459961E0,-1.120719452E0,2.061662750E0,6.560486037E0
1.594752916E-1,-5.781277771E0,-2.035766602E-1,2.420915680E0,6.271000626E0
1.694152917E-1,-5.696703644E0,5.370831299E-1,2.651885376E0,6.306614523E0
1.793552916E-1,-5.871091003E0,1.075663147E0,2.750829620E0,6.572200878E0
1.892942917E-1,-6.219566345E0,1.477277985E0,2.752176819E0,6.959873060E0
1.992342916E-1,-6.703809357E0,1.641785889E0,2.663411407E0,7.397991695E0
2.091742917E-1,-7.225324860E0,1.662143555E0,2.614612885E0,7.861567341E0
2.191132916E-1,-7.604935455E0,1.442400513E0,2.662363586E0,8.185581371E0
2.290532917E-1,-7.748037872E0,9.559121704E-1,2.847229156E0,8.309787772E0
2.389932917E-1,-7.742200012E0,3.912863159E-1,3.271147614E0,8.413986732E0
2.489332916E-1,-7.768395538E0,-1.431024170E-1,4.067192230E0,8.769863179E0
2.588722917E-1,-7.884703674E0,-5.541476440E-1,5.055137787E0,9.382433037E0
2.688122916E-1,-7.945477295E0,-7.442523193E-1,5.952821045E0,9.955932872E0
2.787522917E-1,-7.879015503E0,-6.014492798E-1,6.346352692E0,1.013493064E1
2.886912916E-1,-8.003257141E0,-4.273612976E-1,6.134992218E0,1.009321020E1
2.986312917E-1,-8.290809174E0,-9.325607300E-2,5.753884735E0,1.009224470E1
3.085712917E-1,-8.690927124E0,5.116360474E-1,5.424419861E0,1.025759799E1
3.185102917E-1,-9.082213440E0,1.307381287E0,4.939428406E0,1.042083489E1
3.284502917E-1,-9.220675507E0,2.010768585E0,4.214186554E0,1.033554137E1
3.383902917E-1,-9.333241425E0,2.442770233E0,3.378923492E0,1.022221335E1
3.483292916E-1,-9.332193604E0,2.525398407E0,2.709365845E0,1.004032558E1
3.582692917E-1,-9.577234039E0,1.977088623E0,2.522254944E0,1.009921092E1
3.682092917E-1,-9.966424713E0,9.228309631E-1,2.950664062E0,1.043492487E1
3.781492916E-1,-1.041519150E1,2.327659607E-1,3.916605377E0,1.112969863E1
3.880882917E-1,-1.087174210E1,-4.026626587E-2,5.158273315E0,1.203346090E1
3.980282916E-1,-1.104612946E1,-1.245410156E-1,6.673422546E0,1.290608596E1
4.079682917E-1,-1.101843704E1,1.586700439E-2,8.140222321E0,1.369924911E1
4.179072916E-1,-1.086111420E1,4.887336731E-1,8.796757050E0,1.398519205E1
4.278466667E-1,-1.123578506E1,5.978567505E-1,8.704099731E0,1.422538755E1
4.377866666E-1,-1.215382599E1,-1.591191101E-1,7.776029663E0,1.442939508E1
4.477256667E-1,-1.299836975E1,-1.250349884E0,6.444997559E0,1.456224518E1
4.576656666E-1,-1.385339172E1,-2.107766876E0,4.955744476E0,1.486332893E1
4.676056667E-1,-1.484358261E1,-2.501148834E0,3.313060455E0,1.541311324E1
4.775456667E-1,-1.574111618E1,-2.324366455E0,1.805395660E0,1.601389620E1
4.874846667E-1,-1.534758453E1,-1.325942688E0,3.526666260E-1,1.540879128E1
4.974246667E-1,-1.312365921E1,-6.316864014E-2,-8.018824768E-1,1.314828646E1
5.073646666E-1,-1.100915634E1,7.870632935E-1,-1.389710083E0,1.112440048E1
5.173036667E-1,-9.325008545E0,1.040785675E0,-1.434167633E0,9.491883690E0
5.272436666E-1,-7.830666046E0,4.828958130E-1,-1.028810577E0,7.912709416E0
5.371836667E-1,-7.082671509E0,-9.984237671E-1,-3.730242920E-1,7.162418086E0
5.471226667E-1,-7.499704285E0,-2.723436584E0,2.080673218E-2,7.978916224E0
5.570626667E-1,-8.581953735E0,-4.065395966E0,5.777984619E-2,9.496352604E0
5.670026666E-1,-9.805958405E0,-4.864434357E0,-1.935475159E-1,1.094792229E1
5.769426667E-1,-1.097323105E1,-4.965324554E0,-7.438032532E-1,1.206729012E1
5.868816666E-1,-1.120779327E1,-3.632496185E0,-1.239721985E0,1.184679574E1
5.968216667E-1,-1.049871780E1,-1.686842194E0,-1.274000702E0,1.070941595E1
6.067616667E-1,-1.016296600E1,-1.363664246E-1,-9.470805359E-1,1.020791043E1
6.167006667E-1,-1.013991394E1,9.512718201E-1,-2.776725769E-1,1.018822236E1
6.266406667E-1,-1.024349854E1,1.656156006E0,7.042854309E-1,1.040039100E1
6.365806666E-1,-1.023945694E1,2.049687653E0,1.667232971E0,1.057484580E1
6.465196667E-1,-9.903854828E0,2.287842407E0,2.576142883E0,1.048604194E1
6.564596666E-1,-9.313033447E0,2.340832214E0,3.274889832E0,1.014578685E1
6.663996667E-1,-8.480913849E0,2.087708588E0,3.315305786E0,9.342145327E0
6.763396667E-1,-7.625293121E0,1.428778839E0,2.940036163E0,8.296403847E0
6.862786667E-1,-7.054230652E0,6.933581543E-1,2.292931824E0,7.449862547E0
6.962186666E-1,-6.820865936E0,3.876937866E-2,1.690584412E0,7.027360161E0
7.061586667E-1,-6.853647766E0,-3.767665100E-1,1.233435059E0,6.973937392E0
7.160976666E-1,-6.734046478E0,-5.560935974E-1,8.852590942E-1,6.814712446E0
7.260376667E-1,-6.559808807E0,-6.221063232E-1,7.033872986E-1,6.626678018E0
7.359776667E-1,-6.390959930E0,-5.791456604E-1,7.229965210E-1,6.457747479E0
7.459166667E-1,-6.242768097E0,-6.038442993E-1,8.026309204E-1,6.323052890E0
7.558566667E-1,-6.221063232E0,-6.845265198E-1,8.861572266E-1,6.321034641E0
7.657966666E-1,-6.374045105E0,-9.771679688E-1,1.222507782E0,6.563370591E0
7.757356667E-1,-6.808591461E0,-1.403930511E0,1.809586945E0,7.183491037E0
7.856756666E-1,-7.256460114E0,-1.787582703E0,2.472558289E0,7.871798383E0
7.956156667E-1,-7.547904053E0,-2.101180573E0,3.112178192E0,8.430389581E0
8.055556667E-1,-7.660320282E0,-2.225422211E0,3.732488251E0,8.807069852E0
8.154946667E-1,-7.702083435E0,-1.995350647E0,4.125570831E0,8.962357286E0
8.254346667E-1,-7.709717560E0,-1.643582153E0,4.405339050E0,9.030399731E0
8.353746667E-1,-7.787106628E0,-1.211131439E0,4.972210236E0,9.318194226E0
8.453136667E-1,-7.783813477E0,-6.285429382E-1,5.720504150E0,9.680236887E0
8.552536667E-1,-8.013885040E0,2.604583740E-2,6.131848755E0,1.009071856E1
8.651936667E-1,-8.563841400E0,4.462220764E-1,5.887556763E0,1.040201030E1
8.751326667E-1,-9.131760406E0,3.686833191E-1,5.484594727E0,1.065860004E1
8.850726667E-1,-9.572593689E0,-9.116043091E-2,5.058281250E0,1.082723738E1
8.950126666E-1,-9.858648834E0,-9.777667236E-1,4.528832245E0,1.089308524E1
9.049516667E-1,-1.003213806E1,-2.075883179E0,4.145030365E0,1.105144162E1
9.148916666E-1,-1.008961853E1,-2.956052856E0,3.962859192E0,1.123578673E1
9.248316667E-1,-1.030038025E1,-3.361260223E0,3.900888062E0,1.151576447E1
9.347716667E-1,-1.037267990E1,-3.218008118E0,4.235592041E0,1.165711390E1
9.447106667E-1,-1.017269577E1,-2.500250702E0,5.154231720E0,1.167480610E1
9.546506667E-1,-1.018841309E1,-1.827399902E0,6.501879272E0,1.222364862E1
9.645906667E-1,-1.022254211E1,-1.359622650E0,7.993377686E0,1.304772117E1
9.745296667E-1,-1.014859589E1,-8.735833740E-1,9.140442352E0,1.368593558E1
9.844696667E-1,-1.054961197E1,-1.475930786E-1,9.320517883E0,1.407793131E1
9.944096667E-1,-1.196521820E1,5.674699402E-1,8.411757660E0,1.463714916E1
1.004348667E0,-1.344818436E1,9.876461792E-1,7.036567383E0,1.520994372E1
1.014288667E0,-1.464270035E1,8.422984314E-1,5.435197449E0,1.564159555E1
1.024228667E0,-1.527303955E1,3.264710999E-1,3.919599152E0,1.577135308E1
