"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.955416519E-4,1.595681763E-1,-4.639901276E0,-1.724414063E0,4.952549819E0
1.013454166E-2,-1.296903076E0,-4.523443451E0,-1.103505249E0,4.833344813E0
2.007354167E-2,-2.349214783E0,-4.440216522E0,-1.086440735E0,5.139521994E0
3.001354166E-2,-2.765648804E0,-4.401447144E0,-1.180145874E0,5.330506031E0
3.995254167E-2,-2.915038147E0,-4.386777649E0,-1.098116455E0,5.380253274E0
4.989154165E-2,-3.055745544E0,-4.314777374E0,-8.461903381E-1,5.354523575E0
5.983154167E-2,-3.044518890E0,-4.188739471E0,-6.650669861E-1,5.220818684E0
6.977054165E-2,-2.859353943E0,-4.171974335E0,-2.305206299E-1,5.063044003E0
7.971054167E-2,-2.471959534E0,-4.376000061E0,1.176553345E0,5.161805715E0
8.964954165E-2,-7.589218140E-1,-4.955894165E0,4.153412933E0,6.510582792E0
9.958854166E-2,3.019520874E0,-5.776787109E0,1.073462723E1,1.255870206E1
1.095285417E-1,8.000263367E0,-6.476132812E0,2.095582214E1,2.334718381E1
1.194675417E-1,1.184606598E1,-8.422535248E0,2.070299789E1,2.529589890E1
1.294075417E-1,1.210622498E1,-1.248164429E1,1.236743179E1,2.133788875E1
1.393465417E-1,1.302261932E1,-1.710478043E1,1.758393402E1,2.777331207E1
1.492855417E-1,1.404873550E1,-1.963766327E1,1.887664581E1,3.064853251E1
1.592255417E-1,1.305674835E1,-1.821142914E1,1.348006805E1,2.615046966E1
1.691645417E-1,1.137768997E1,-1.401236115E1,6.973997498E0,1.935031615E1
1.791045417E-1,9.097332001E0,-8.855584717E0,3.599265289E0,1.319611840E1
1.890435417E-1,6.065386963E0,-4.434228973E0,3.763024750E0,8.403074489E0
1.989825417E-1,4.052073669E0,-1.369801483E0,5.986051941E0,7.357205649E0
2.089225417E-1,3.504811707E0,8.565188599E-1,8.544531555E0,9.275039038E0
2.188615417E-1,4.862488403E0,3.278182983E-1,6.928192749E0,8.470602876E0
2.288015417E-1,6.927294617E0,-3.894900513E0,-1.269659729E0,8.047962260E0
2.387405417E-1,7.775430908E0,-9.189989319E0,-1.118339401E1,1.643111473E1
2.486795417E-1,7.510032806E0,-1.430784668E1,-1.603959549E1,2.276804104E1
2.586195417E-1,7.084767151E0,-1.794528259E1,-1.250843857E1,2.299321918E1
2.685585417E-1,7.506589966E0,-2.032563263E1,-3.604055328E0,2.196518722E1
2.784975417E-1,1.390099274E1,-2.428534836E1,3.386482773E1,4.392997042E1
2.884375417E-1,4.929548950E0,-2.043206131E1,1.354159012E1,2.500288474E1
2.983765417E-1,-2.058519287E0,-1.267938309E1,-1.038660095E1,1.651925351E1
3.083165417E-1,-4.682263184E0,-8.585097198E0,-7.518864441E0,1.233534778E1
3.182555417E-1,-6.834936676E0,-5.548811188E0,-3.537892914E0,9.488010921E0
3.281945417E-1,-5.823639679E0,-4.855752411E0,-3.601510620E0,8.394283134E0
3.381345417E-1,-2.990930328E0,-5.223537598E0,-3.922592926E0,7.184549013E0
3.480735417E-1,-1.990710297E0,-5.450166321E0,-2.580483856E0,6.350286398E0
3.580135417E-1,-1.769620056E0,-6.065985718E0,-2.051184540E0,6.643425012E0
3.679525417E-1,-1.773212585E0,-7.116800537E0,-2.235151978E0,7.667400936E0
3.778915417E-1,-1.583107910E0,-8.520132294E0,-2.327060852E0,8.972964792E0
3.878315417E-1,-8.267308044E-1,-9.661209412E0,-1.892813873E0,9.879534173E0
3.977705417E-1,-8.996292114E-2,-1.039947418E1,-1.570234680E0,1.051773709E1
4.077105417E-1,2.490820312E-1,-1.080857346E1,-1.503922577E0,1.091554328E1
4.176495417E-1,4.608915710E-1,-1.080992065E1,-1.649420013E0,1.094474266E1
4.275885417E-1,4.643344116E-1,-1.044932053E1,-1.922003174E0,1.063475444E1
4.375285417E-1,2.441423035E-1,-9.826765137E0,-2.222278748E0,1.007786889E1
4.474675417E-1,2.884501648E-1,-9.402547302E0,-2.508333893E0,9.735647805E0
4.574065417E-1,6.255491638E-1,-9.316625977E0,-2.748284912E0,9.733647893E0
4.673465417E-1,1.161584473E0,-9.353150024E0,-2.844085693E0,9.844771064E0
4.772855417E-1,1.654359741E0,-9.213939514E0,-2.869233398E0,9.791122909E0
4.872255417E-1,2.229613495E0,-8.975934448E0,-2.610421600E0,9.610040400E0
4.971645417E-1,2.816992035E0,-8.762777710E0,-2.323917389E0,9.493277061E0
5.071035417E-1,3.221450958E0,-8.609646149E0,-2.068398743E0,9.422421474E0
5.170435417E-1,3.577261047E0,-8.539442139E0,-1.456022186E0,9.372239287E0
5.269825417E-1,4.499642944E0,-8.127349091E0,3.135978699E-1,9.295102662E0
5.369225417E-1,5.381908264E0,-8.430319061E0,1.825154572E0,1.016692703E1
5.468615417E-1,5.854625244E0,-8.791517944E0,2.282303925E0,1.080631000E1
5.568005417E-1,5.744154968E0,-8.751551056E0,2.991529083E0,1.088734166E1
5.667405417E-1,5.163961487E0,-8.584348755E0,3.681893463E0,1.067304461E1
5.766795417E-1,4.553231506E0,-8.311615906E0,2.947221222E0,9.924766448E0
5.866185417E-1,4.378993835E0,-7.925568695E0,1.491498413E0,9.176861864E0
5.965585417E-1,4.428091736E0,-7.418123932E0,1.231339417E0,8.726554638E0
6.064975417E-1,4.616998901E0,-6.944359131E0,1.654659119E0,8.501688032E0
6.164375417E-1,4.840035095E0,-7.025789795E0,1.100511475E0,8.602254790E0
6.263765417E-1,5.439837799E0,-7.761809235E0,3.221301270E-1,9.483737960E0
6.363155417E-1,6.443800049E0,-8.686586151E0,6.032455444E-2,1.081586691E1
6.462555417E-1,7.064259796E0,-9.633816376E0,-1.010398865E-1,1.194673150E1
6.561945417E-1,7.189399567E0,-1.021775208E1,-3.293151855E-2,1.249363870E1
6.661345417E-1,7.251670074E0,-1.033870056E1,5.322930908E-1,1.263957215E1
6.760735417E-1,7.432044983E0,-1.004411316E1,1.330583038E0,1.256542689E1
6.860125417E-1,7.376211090E0,-9.564660187E0,2.242935791E0,1.228503055E1
6.959525417E-1,6.888674927E0,-9.213939514E0,3.264411621E0,1.195854953E1
7.058915417E-1,6.155349884E0,-9.191935272E0,3.841012573E0,1.171039640E1
7.158315417E-1,5.667364655E0,-9.462422791E0,3.241509247E0,1.149625371E1
7.257705417E-1,5.781726837E0,-9.733359375E0,2.029329987E0,1.150151425E1
7.357095417E-1,6.224955139E0,-9.868528290E0,9.596543884E-1,1.170721374E1
7.456495417E-1,6.601871338E0,-9.958790588E0,2.374063110E-1,1.195067265E1
7.555885417E-1,6.779252472E0,-1.013602203E1,-1.073268127E-1,1.219461872E1
7.655275417E-1,7.071893921E0,-1.043016037E1,-8.681945801E-2,1.260188345E1
7.754675417E-1,7.465126190E0,-1.066217789E1,4.819976807E-1,1.302468687E1
7.854065417E-1,8.216563568E0,-1.095481934E1,1.633553009E0,1.379088391E1
7.953465417E-1,9.389225006E0,-1.140283768E1,3.216062164E0,1.511705359E1
8.052855417E-1,1.043584854E1,-1.173769135E1,4.740791473E0,1.640595735E1
8.152245417E-1,1.040097107E1,-1.119701569E1,5.458848267E0,1.622813556E1
8.251645417E-1,9.398505707E0,-1.004396347E1,5.234015808E0,1.471760963E1
8.351028333E-1,7.937693481E0,-9.244476013E0,4.385430450E0,1.294987702E1
8.450428333E-1,7.140151978E0,-8.971743164E0,3.406615906E0,1.196156251E1
8.549818333E-1,6.627617798E0,-9.601333923E0,1.508712616E0,1.176380655E1
8.649208333E-1,6.393504639E0,-1.088147186E1,-7.487429810E-1,1.264294062E1
8.748608333E-1,6.481371918E0,-1.170610703E1,-3.101101227E0,1.373528130E1
8.847998333E-1,6.612499237E0,-1.214634155E1,-4.434079285E0,1.452307882E1
8.947388333E-1,6.288123779E0,-1.306782532E1,-4.279301147E0,1.512021751E1
9.046788333E-1,5.955964508E0,-1.445903229E1,-3.278182983E0,1.597759718E1
9.146178333E-1,5.686375122E0,-1.603944580E1,-2.039508820E0,1.713937805E1
9.245578333E-1,5.004093933E0,-1.780352737E1,-6.150709534E-1,1.850364438E1
9.344968333E-1,3.597618713E0,-1.941762085E1,1.853445740E0,1.983487134E1
9.444358333E-1,1.863923950E0,-1.996158966E1,6.001469879E0,2.092742017E1
9.543758333E-1,1.187929688E0,-1.884566025E1,6.687343597E0,2.003224030E1
9.643148333E-1,1.272952881E0,-1.671648788E1,2.063009949E0,1.689134057E1
9.742548333E-1,1.055604858E0,-1.464764008E1,-1.245410156E0,1.473834142E1
9.841938333E-1,6.864724731E-1,-1.262085480E1,-2.950514374E0,1.297932030E1
9.941328333E-1,6.071374512E-1,-1.063268921E1,-4.052971802E0,1.139514265E1
1.004072833E0,5.266049194E-1,-8.940308533E0,-3.660787354E0,9.675112064E0
