"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.290666667E-3,3.263214111E-1,1.823208618E-1,3.707789612E-1,5.265012802E-1
1.123066666E-2,-2.674937439E-1,8.440946960E-1,1.164578247E-1,8.930908038E-1
2.117166665E-2,-9.406439209E-1,1.130898285E0,6.295907593E-1,1.600039512E0
3.111166667E-2,-1.706301727E0,1.043180695E0,1.042581940E0,2.255364416E0
4.105166666E-2,-1.989213409E0,9.827064514E-1,1.101409607E0,2.477051691E0
5.099166665E-2,-1.500479736E0,1.164428558E0,1.297202454E0,2.300014677E0
6.093166667E-2,-8.292755127E-2,1.496288452E0,1.567540283E0,2.168625982E0
7.087166666E-2,2.675685883E0,1.702110443E0,1.823657684E0,3.658169249E0
8.081166664E-2,6.481521606E0,1.583407288E0,1.817819824E0,6.915328617E0
9.075166666E-2,1.038225998E1,7.602690125E-1,1.746867371E0,1.055560879E1
1.006916667E-1,1.435200485E1,-5.456153870E-1,3.041375427E0,1.468086182E1
1.106316667E-1,1.902768173E1,-1.555565186E0,3.559897156E0,1.942022973E1
1.205716667E-1,2.542088699E1,-2.093995514E0,2.061063995E0,2.559012109E1
1.305116666E-1,3.207859222E1,-2.379302216E0,1.526675262E0,3.220291750E1
1.404526666E-1,3.621239594E1,-2.269879761E0,2.657872925E0,3.638068529E1
1.503926667E-1,3.717893600E1,-1.629511414E0,2.301314392E0,3.728571627E1
1.603326667E-1,3.368639877E1,-2.677781525E0,3.323838043E0,3.395573406E1
1.702726667E-1,2.731295242E1,-4.496948547E0,4.406386871E0,2.802920194E1
1.802126667E-1,2.197355576E1,-1.756148071E0,4.867727509E0,2.257467563E1
1.901526666E-1,2.453862167E1,2.181114349E0,5.387297058E0,2.521753721E1
2.000926667E-1,2.892509995E1,-1.202449493E0,6.846612396E0,2.974867044E1
2.100326667E-1,2.521746002E1,-6.492299194E0,9.580527191E0,2.774629237E1
2.199726667E-1,2.060914307E1,-4.886139221E0,9.082363129E0,2.304561682E1
2.299126667E-1,1.656889481E1,-3.587290192E0,2.297123108E0,1.710770881E1
2.398526667E-1,7.423213348E0,5.215454407E0,-1.028092072E1,1.371139642E1
2.497926667E-1,5.144651642E0,3.694916382E0,-8.037386169E0,1.023325090E1
2.597336667E-1,3.478765869E0,1.351090393E0,-4.793032837E0,6.074571672E0
2.696736667E-1,2.090702362E0,5.291496277E-1,-3.328179016E0,3.965830463E0
2.796136667E-1,1.319206696E0,1.203497314E-1,-3.023562469E0,3.301018081E0
2.895536667E-1,1.087787933E0,-3.472778320E-2,-2.922672272E0,3.118734008E0
2.994936667E-1,4.098477173E-1,-2.104623413E-1,-2.661615143E0,2.701196905E0
3.094336667E-1,-3.742218018E-2,-2.921923828E-1,-2.506837006E0,2.524085692E0
3.193735417E-1,-2.210902405E-1,-2.627037048E-1,-2.537373505E0,2.560499645E0
3.293135416E-1,-2.344125366E-1,-1.968406677E-1,-1.823208618E0,1.848725277E0
3.392535417E-1,2.570155334E-1,-6.167175293E-2,-1.215023346E0,1.243439633E0
3.491935417E-1,3.353027344E-1,-2.386038208E-1,-7.788304138E-1,8.808725904E-1
3.591335417E-1,1.998344421E-1,-4.213737488E-1,-2.942880249E-1,5.514481680E-1
3.690745417E-1,2.095642090E-2,-5.845344543E-1,1.871109009E-1,6.141092648E-1
3.790145417E-1,-3.005749512E-1,-6.104306030E-1,4.447251892E-1,8.128661122E-1
3.889545416E-1,-7.839198303E-1,-6.375242615E-1,5.471122742E-1,1.149042786E0
3.988945417E-1,-1.108145599E0,-6.101312256E-1,5.999523926E-1,1.400067732E0
4.088345417E-1,-1.220262451E0,-5.902226257E-1,7.488926697E-1,1.548626304E0
4.187745417E-1,-1.108444977E0,-5.466632080E-1,9.160949707E-1,1.538415069E0
4.287145417E-1,-7.927514648E-1,-1.806742859E-1,9.253756714E-1,1.231835304E0
4.386545416E-1,-3.251239014E-1,3.306623840E-1,9.202862549E-1,1.030519264E0
4.485945417E-1,4.225712585E-1,7.006929016E-1,9.782157898E-1,1.275320800E0
4.585345417E-1,1.584305420E0,8.530760193E-1,1.165476379E0,2.143851102E0
4.684745416E-1,3.400328979E0,8.539741516E-1,1.006806335E0,3.647624983E0
4.784145417E-1,5.677693176E0,6.036946106E-1,6.976991272E-1,5.752167510E0
4.883555417E-1,8.207133179E0,3.014730835E-1,1.160087585E-1,8.213487631E0
4.982955416E-1,1.113519424E1,1.639091492E-1,2.140548706E-1,1.113845755E1
5.082355417E-1,1.477427673E1,1.913021851E-1,2.659968567E-1,1.477790932E1
5.181755417E-1,2.011861313E1,6.885681152E-1,-8.116122437E-1,2.014674750E1
5.281155416E-1,2.683634354E1,8.315208435E-1,-1.382075958E0,2.688477069E1
5.380555417E-1,3.222438904E1,-4.802014160E-1,1.233734436E0,3.225157272E1
5.479955417E-1,3.395598816E1,-3.329376526E0,3.294798431E0,3.427753749E1
5.579355417E-1,3.310845062E1,-4.896168365E0,3.553310852E0,3.365661874E1
5.678755417E-1,2.905787384E1,-5.877527618E0,4.615651703E0,3.000349319E1
5.778155416E-1,2.287258621E1,-5.444328461E0,5.416785736E0,2.412752536E1
5.877555417E-1,1.684072952E1,-1.816322937E0,5.323529663E0,1.775525747E1
5.976965417E-1,2.034329590E1,1.415755920E0,5.035977631E0,2.100512136E1
6.076365417E-1,3.056074860E1,-2.103725281E0,5.125790863E0,3.105895598E1
6.175765417E-1,2.462095047E1,-4.993016968E0,7.514673157E0,2.622197043E1
6.275165417E-1,2.006756927E1,-3.854035492E0,7.804320831E0,2.187391940E1
6.374565416E-1,1.626382919E1,3.083587646E-1,3.267405396E0,1.659165945E1
6.473965417E-1,9.796677704E0,4.431833954E0,-8.654103699E0,1.380251995E1
6.573365417E-1,7.005432129E0,4.508175201E0,-8.108937378E0,1.162560056E1
6.672765417E-1,6.177054749E0,3.210823059E0,-4.315076752E0,8.190560265E0
6.772165417E-1,5.090464325E0,2.176623688E0,-2.774480438E0,6.192597147E0
6.871565417E-1,3.596720581E0,1.512305145E0,-2.331850891E0,4.545436653E0
6.970965417E-1,2.044298859E0,4.906796265E-1,-2.006876678E0,2.906454597E0
7.070365417E-1,1.015338593E0,-5.622308350E-1,-1.857637024E0,2.190395234E0
7.169775417E-1,2.098635864E-1,-8.057743835E-1,-2.518512726E0,2.652587686E0
7.269175417E-1,1.474433899E-1,-3.441343689E-1,-2.550246735E0,2.577581507E0
7.368575417E-1,1.437011719E-1,1.954934692E-1,-2.120191040E0,2.134028531E0
7.467975417E-1,1.216969299E-1,2.531236267E-1,-1.731748810E0,1.754376144E0
7.567375417E-1,9.879455566E-3,1.347198486E-2,-1.137185211E0,1.137307919E0
7.666775417E-1,1.788780212E-1,-5.463638306E-2,-6.168672180E-1,6.445988252E-1
7.766175416E-1,-8.981323242E-3,-3.983216858E-1,-3.143463135E-2,3.996610634E-1
7.865575417E-1,-5.309458923E-1,-5.611830139E-1,2.694396973E-1,8.181855940E-1
7.964975417E-1,-8.159532166E-1,-6.297404480E-1,5.026547241E-1,1.146740797E0
8.064375417E-1,-9.092092896E-1,-5.264552307E-1,6.656657410E-1,1.243755410E0
8.163775417E-1,-8.144563293E-1,-3.444337463E-1,7.816744995E-1,1.180249440E0
8.263175417E-1,-5.462141418E-1,-4.400848389E-2,5.270539856E-1,7.603108175E-1
8.362585416E-1,-1.821711731E-1,2.151026917E-1,2.282752991E-1,3.627190599E-1
8.461985417E-1,2.532733154E-1,3.486250305E-1,1.574725342E-1,4.587857705E-1
8.561385417E-1,7.759863281E-1,4.065545654E-1,2.392025757E-1,9.081075202E-1
8.660785417E-1,2.216291199E0,8.119116211E-1,5.769003296E-1,2.429806813E0
8.760185417E-1,4.954546967E0,1.045725403E0,8.785231018E-1,5.139346272E0
8.859585417E-1,7.697143707E0,5.020559692E-1,5.822891235E-1,7.735447115E0
8.958985417E-1,9.965975647E0,-3.451821899E-1,1.752854919E-1,9.973492184E0
9.058385417E-1,1.286933807E1,-9.316625977E-1,9.889933777E-1,1.294086417E1
9.157785416E-1,1.701496719E1,-8.469387817E-1,1.448837128E0,1.709753032E1
9.257185417E-1,2.263503021E1,-2.903961182E-1,1.844614105E0,2.271192471E1
9.356585417E-1,2.946203339E1,1.200503540E-1,2.606380005E0,2.957733998E1
9.455985417E-1,3.643079178E1,-7.451504517E-1,2.058369598E0,3.649650290E1
9.555395417E-1,3.884841431E1,-2.365530853E0,3.518433380E0,3.907907885E1
9.654795417E-1,3.350243134E1,-4.700974274E0,4.933740234E0,3.418850475E1
9.754195416E-1,2.422292816E1,-7.288194122E0,5.196144562E0,2.582378633E1
9.853595417E-1,1.739218277E1,-6.532565460E0,4.663552094E0,1.915492498E1
9.952995417E-1,1.952704330E1,-8.210426331E-1,5.285359039E0,2.024634662E1
1.005239542E0,3.093616791E1,-1.476230164E0,3.594026184E0,3.117920404E1
1.015179542E0,2.627261581E1,-4.009562073E0,4.619992676E0,2.697538252E1
1.025119542E0,1.939397003E1,-2.982847137E0,5.855523376E0,2.047707510E1
1.035059542E0,1.607477234E1,-9.722282410E-1,5.659580841E0,1.706969211E1
1.044999542E0,1.037342834E1,2.663112030E0,-3.812422028E0,1.136814598E1
