"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.738333370E-4,-6.873706055E-1,2.429447937E-1,4.744982758E0,4.800662651E0
1.071383333E-2,-2.433938599E-1,5.800437927E-1,4.504732361E0,4.548439844E0
2.065483332E-2,1.808239746E0,4.616400146E-1,5.883515167E0,6.172405788E0
3.059483334E-2,8.629854126E0,-3.176394653E-1,1.190549240E1,1.470768596E1
4.053483333E-2,2.546100357E1,-2.530936890E0,2.131687134E1,3.330281291E1
5.047483332E-2,5.086153290E1,-5.175487518E0,2.542822174E1,5.709882364E1
6.041483334E-2,7.846173798E1,-5.057981873E0,2.120026382E1,8.143266355E1
7.035583333E-2,7.852311035E1,-6.342311096E-1,9.899962921E0,7.914727016E1
8.029583332E-2,7.654706955E1,6.547384644E-1,-1.400936737E0,7.656268780E1
9.023583334E-2,5.713633438E1,-1.991758118E0,-9.463320923E0,5.794896246E1
1.001758333E-1,2.885444687E1,-5.084177399E0,-2.688798615E1,3.976671677E1
1.101158333E-1,9.991722107E-1,-6.677613831E0,-5.002312637E1,5.047674756E1
1.200568333E-1,-1.137349869E1,-6.489904175E0,-4.834840897E1,5.009035814E1
1.299968333E-1,-8.133486328E0,-3.888763275E0,-2.543720306E1,2.698754119E1
1.399368333E-1,-4.576732635E0,-2.945874023E0,-9.385183411E0,1.084925449E1
1.498768333E-1,-1.832639008E0,-1.878743134E0,-2.779420166E0,3.822750051E0
1.598180000E-1,-9.627978516E-1,-1.270557861E0,-5.556445312E-1,1.688205505E0
1.697580000E-1,-5.096900940E-1,-1.037492523E0,8.768765259E-1,1.450891853E0
1.796980000E-1,-4.143383789E-1,-7.562274170E-1,1.823058929E0,2.016705248E0
1.896380000E-1,-5.129832458E-1,-6.638694763E-1,1.998194733E0,2.167177123E0
1.995780000E-1,-4.159849548E-1,-5.628295898E-1,1.763333130E0,1.897146372E0
2.095190000E-1,-3.333567810E-1,-4.532574463E-1,1.566492462E0,1.664472196E0
2.194590000E-1,-1.336720276E-1,-3.746708679E-1,1.454525299E0,1.507942411E0
2.293990000E-1,2.215393066E-2,-3.966751099E-1,1.589694214E0,1.638587695E0
2.393390000E-1,-2.469863892E-2,-5.381309509E-1,2.072290649E0,2.141164048E0
2.492790000E-1,1.646575928E-2,-8.524772644E-1,2.410287781E0,2.556653241E0
2.592200000E-1,1.341210938E-1,-1.340312805E0,2.919828186E0,3.215559597E0
2.691600000E-1,8.801696777E-1,-1.691632233E0,3.612437897E0,4.084853220E0
2.791000000E-1,2.860701141E0,-1.465302887E0,4.400848389E0,5.449604583E0
2.890400000E-1,4.394711151E0,-1.155447235E0,5.941145325E0,7.479689311E0
2.989800000E-1,4.016447754E0,-1.104852448E0,7.202272797E0,8.320173371E0
3.089210000E-1,2.066452789E0,-1.034798126E0,6.455625458E0,6.856831217E0
3.188610000E-1,6.303392029E-1,-9.289682007E-1,5.347629547E0,5.464197215E0
3.288010000E-1,-2.791694641E-1,-7.556286621E-1,4.834795990E0,4.901444943E0
3.387410000E-1,-9.668394470E-1,-6.800358582E-1,4.496050415E0,4.648838201E0
3.486820000E-1,-1.555714874E0,-7.047344971E-1,4.149521027E0,4.487251300E0
3.586220000E-1,-1.939367065E0,-6.454577637E-1,3.844904480E0,4.354428872E0
3.685620000E-1,-2.186203766E0,-4.695735168E-1,3.765569458E0,4.379440551E0
3.785020000E-1,-2.474803619E0,-8.382568359E-2,3.493135986E0,4.281784525E0
3.884420000E-1,-2.611619110E0,4.905299377E-1,2.765648804E0,3.835360127E0
3.983830000E-1,-1.386566620E0,7.827223206E-1,3.384911041E0,3.740701001E0
4.083230000E-1,2.521805878E0,4.749623108E-1,6.762637024E0,7.233142719E0
