"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.236541652E-3,3.996239777E0,-3.969295807E0,9.490264893E0,1.103586740E1
1.217554166E-2,4.111799469E0,-3.714076538E0,-4.198319550E0,6.951772899E0
2.211554165E-2,5.273234253E0,-4.022584991E0,-5.055586853E0,8.339493266E0
3.205554164E-2,8.420589294E0,-5.870641937E0,-4.186494141E0,1.108591422E1
4.199554166E-2,1.184202438E1,-8.134833527E0,-4.611460419E0,1.508889079E1
5.193554165E-2,1.500000732E1,-9.851014709E0,-5.394631805E0,1.873885703E1
6.187454166E-2,1.839210342E1,-1.130673752E1,-5.862558746E0,2.237144110E1
7.181454165E-2,2.294787964E1,-1.382899246E1,-5.626200256E0,2.737700389E1
8.175454166E-2,2.968836273E1,-1.781699936E1,-4.882397003E0,3.496687216E1
9.169454165E-2,4.026461929E1,-2.387175842E1,-5.568420410E-1,4.681250357E1
1.016345416E-1,4.347978333E1,-2.621723099E1,1.039932449E1,5.182644796E1
1.115735417E-1,3.137999496E1,-2.155951675E1,3.200195160E1,4.973571908E1
1.215135416E-1,2.124532013E1,-1.769844589E1,8.582253113E0,2.895261099E1
1.314535417E-1,1.747136810E1,-1.522933044E1,-4.555776215E0,2.362067539E1
1.413935416E-1,1.453522385E1,-1.183843185E1,-7.715854797E0,2.027204026E1
1.513335417E-1,1.202659058E1,-9.051078186E0,-6.666387177E0,1.646212669E1
1.612725416E-1,8.706943817E0,-7.347919922E0,-3.107088776E0,1.180918280E1
1.712125417E-1,4.771028595E0,-6.350993042E0,4.757107544E-1,7.957645832E0
1.811525417E-1,3.040776672E0,-5.114564209E0,1.059347076E0,6.043782429E0
1.910925416E-1,3.248095551E0,-4.079317017E0,2.700384521E-1,5.221481858E0
2.010325417E-1,3.391946411E0,-3.315605164E0,-2.088157654E-1,4.747856578E0
2.109715416E-1,3.075205078E0,-2.406994629E0,-2.266287231E-1,3.911760473E0
2.209115417E-1,2.369871826E0,-1.209035797E0,2.371069336E-1,2.671007250E0
2.308515417E-1,1.425485687E0,5.915698242E-1,4.393363953E-1,1.604674662E0
2.407915416E-1,1.881587219E-1,2.317031708E0,6.340814209E-1,2.409584796E0
2.507315417E-1,-4.890330505E-1,2.892584839E0,9.274713135E-1,3.076752088E0
2.606705416E-1,-5.197192383E-1,2.729873199E0,8.725355530E-1,2.912667860E0
2.706105417E-1,-2.880010986E-1,2.370769958E0,6.042933655E-1,2.463466115E0
2.805505416E-1,-2.356100464E-1,1.828148346E0,-1.913021851E-1,1.853168906E0
2.904905417E-1,-1.368154907E-1,1.234782257E0,-1.129700775E0,1.679175257E0
3.004305417E-1,-9.400451660E-2,8.482859802E-1,-1.585053864E0,1.800228237E0
3.103705416E-1,-2.713856506E-1,7.216493225E-1,-1.676214294E0,1.845026362E0
3.203095417E-1,-5.375321960E-1,7.379653931E-1,-1.646126862E0,1.882356881E0
