"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.837999996E-3,-7.791297913E0,-8.316705322E-1,3.909719696E0,8.756820607E0
1.177799999E-2,-8.082741852E0,-5.719606018E-1,3.903881836E0,8.994339785E0
2.171700000E-2,-8.338559875E0,-2.779719543E-1,3.912713470E0,9.215105854E0
3.165699998E-2,-8.473878479E0,1.317260742E-2,3.961811371E0,9.354289889E0
4.159700000E-2,-8.439749451E0,2.628533936E-1,4.024081879E0,9.353699678E0
5.153599998E-2,-8.316705322E0,3.920347595E-1,4.147275696E0,9.301675890E0
6.147600000E-2,-8.476572876E0,2.107617188E-1,4.367318115E0,9.537828670E0
7.141499998E-2,-9.003028107E0,-2.652484131E-1,4.650828552E0,1.013681794E1
8.135500000E-2,-9.609267426E0,-9.015751648E-1,4.894222412E0,1.082147269E1
9.129399998E-2,-1.013991394E1,-1.639390869E0,5.041067047E0,1.144193227E1
1.012340000E-1,-1.041010208E1,-2.512076111E0,5.050647125E0,1.184017686E1
1.111730000E-1,-1.064526306E1,-3.146756287E0,5.088817749E0,1.221146047E1
1.211130000E-1,-1.077983322E1,-3.337160339E0,5.195695496E0,1.242323207E1
1.310520000E-1,-1.058044785E1,-3.057092743E0,5.377118225E0,1.225581874E1
1.409920000E-1,-1.043450134E1,-2.362537079E0,5.919590149E0,1.222709889E1
1.509310000E-1,-1.051263885E1,-1.414708099E0,6.780300293E0,1.258925918E1
1.608710000E-1,-1.082668579E1,-4.775070190E-1,7.682324524E0,1.328394701E1
1.708100000E-1,-1.152692963E1,2.468367004E-1,8.317004700E0,1.421631465E1
1.807496667E-1,-1.257969040E1,4.101470947E-1,7.775131531E0,1.479423879E1
1.906886667E-1,-1.352557343E1,-8.382568359E-2,6.077511749E0,1.482849663E1
2.006286667E-1,-1.356509125E1,-6.026467896E-1,4.449347534E0,1.428886200E1
2.105676667E-1,-1.276216095E1,-9.295669556E-1,3.226240997E0,1.319641913E1
2.205076667E-1,-1.175565399E1,-1.085392914E0,2.273771667E0,1.202262518E1
2.304466667E-1,-1.090227859E1,-1.083596649E0,1.455124054E0,1.105220549E1
2.403866667E-1,-1.024155258E1,-7.658074951E-1,8.054750061E-1,1.030168192E1
2.503256667E-1,-9.763297119E0,-1.202000427E-1,3.502716064E-1,9.770317747E0
2.602656667E-1,-9.591604156E0,5.957611084E-1,-1.347198486E-3,9.610088626E0
2.702046667E-1,-9.823322296E0,1.198108521E0,-1.541793823E-1,9.897317629E0
2.801446667E-1,-1.033031799E1,1.635648651E0,-2.510279846E-1,1.046201851E1
2.900836667E-1,-1.087039490E1,1.900148621E0,-4.311035156E-1,1.104363619E1
3.000236667E-1,-1.149235153E1,1.954335938E0,-6.997947693E-1,1.167832545E1
3.099636667E-1,-1.205952209E1,1.713187408E0,-1.061592407E0,1.222677646E1
3.199026667E-1,-1.219753510E1,1.217867432E0,-1.415755920E0,1.233966889E1
3.298426667E-1,-1.162093414E1,6.652166748E-1,-1.713486786E0,1.176540099E1
3.397816667E-1,-1.073208252E1,2.285746765E-1,-2.067799988E0,1.093186344E1
