"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.948583333E-3,-6.271957397E-2,1.966311035E0,6.890171814E-1,2.084480153E0
6.054416670E-3,-1.118623810E0,1.683698730E0,9.764195251E-1,2.244895484E0
1.605741667E-2,-2.381397858E0,1.335522766E0,1.381477203E0,3.059927463E0
2.605941667E-2,-3.420087891E0,1.072968750E0,1.609303436E0,3.929137395E0
3.606241666E-2,-4.543501740E0,7.825726318E-1,1.572480011E0,4.871193013E0
4.606541667E-2,-5.516478424E0,5.786965942E-1,1.393452301E0,5.719102488E0
5.606741667E-2,-6.379583588E0,3.288661194E-1,8.797206116E-1,6.448344596E0
6.607041667E-2,-8.048313446E0,-3.996688843E-1,2.671943665E-1,8.062659448E0
7.607341667E-2,-1.036010605E1,-1.349144440E0,2.850073242E-1,1.045146962E1
8.607641666E-2,-1.275243118E1,-2.499801636E0,8.973838806E-1,1.302608180E1
9.607841667E-2,-1.535476959E1,-3.842210083E0,1.651365967E0,1.591409869E1
1.060814167E-1,-1.872276581E1,-5.677244110E0,2.750230865E0,1.975694384E1
1.160844167E-1,-2.243130386E1,-7.883805542E0,4.706213379E0,2.423770260E1
1.260864167E-1,-2.529170563E1,-9.681118011E0,6.901398468E0,2.794680161E1
1.360894167E-1,-2.756442947E1,-1.094374237E1,8.612789612E0,3.088273651E1
1.460924167E-1,-3.012365753E1,-1.211445786E1,9.951755219E0,3.395927361E1
1.560944167E-1,-3.158686478E1,-1.280736694E1,1.051039352E1,3.566829189E1
1.660974167E-1,-3.168745560E1,-1.215173035E1,1.046024780E1,3.551304235E1
1.761004167E-1,-3.156545929E1,-1.095990875E1,1.106394241E1,3.519813407E1
1.861034167E-1,-3.281805450E1,-1.077668976E1,1.270273453E1,3.680382056E1
1.961054167E-1,-3.479649033E1,-1.131482071E1,1.475930786E1,3.945450640E1
2.061084167E-1,-3.604788803E1,-1.171748337E1,1.648566788E1,4.133433069E1
2.161114167E-1,-3.623469955E1,-1.187345901E1,1.754291931E1,4.197244928E1
2.261134167E-1,-3.494288589E1,-1.151690048E1,1.746268616E1,4.072578642E1
2.361164167E-1,-3.225627274E1,-1.055904236E1,1.608674744E1,3.755987153E1
2.461194167E-1,-2.855387192E1,-9.521549835E0,1.391057281E1,3.315852151E1
2.561214167E-1,-2.468082596E1,-9.074878693E0,1.147064667E1,2.868923715E1
2.661244167E-1,-2.048250641E1,-8.693771210E0,8.852141876E0,2.394734103E1
2.761274167E-1,-1.626382919E1,-7.882757721E0,6.553072815E0,1.922479578E1
2.861294167E-1,-1.255304581E1,-6.630910950E0,5.063670044E0,1.507277988E1
2.961324167E-1,-9.621092834E0,-5.001399536E0,4.356989594E0,1.168600800E1
3.061354167E-1,-7.475305023E0,-3.163222046E0,4.133504333E0,9.108897682E0
3.161384167E-1,-6.009702759E0,-1.396745453E0,4.193529510E0,7.460101532E0
3.261404167E-1,-4.802912292E0,-6.885681152E-3,4.116589508E0,6.325687558E0
3.361434167E-1,-3.458258514E0,9.958790588E-1,3.695365448E0,5.158202482E0
3.461464167E-1,-1.902244263E0,2.105820923E0,3.109184418E0,4.209518112E0
3.561484167E-1,-7.438032532E-1,2.778821411E0,2.549498291E0,3.843830544E0
3.661514167E-1,2.245330811E-2,2.565514984E0,1.753902740E0,3.107820154E0
3.761544167E-1,9.616003418E-1,2.129771118E0,6.912625122E-1,2.436892302E0
3.861564167E-1,1.885628815E0,1.589993591E0,-4.816983032E-1,2.513107420E0
3.961594167E-1,2.638413391E0,8.566685486E-1,-1.610800323E0,3.207769304E0
4.061624167E-1,3.635340271E0,2.267784119E-1,-2.799478455E0,4.593931535E0
4.161654167E-1,4.529730377E0,-3.159928894E-1,-3.973786469E0,6.034010913E0
4.261674167E-1,4.891228638E0,-7.943980408E-1,-4.906047821E0,6.973126347E0
4.361704167E-1,4.760550385E0,-1.115779724E0,-5.479505310E0,7.343894253E0
4.461734167E-1,4.320764923E0,-1.183588715E0,-5.671705627E0,7.227595485E0
4.561754167E-1,3.592229919E0,-1.074315948E0,-5.511538696E0,6.665983000E0
4.661784167E-1,2.562221832E0,-8.158035278E-1,-4.961133270E0,5.642992064E0
4.761814167E-1,1.683549042E0,-5.664221191E-1,-4.163741455E0,4.526799565E0
4.861834167E-1,8.158035278E-1,-3.553610229E-1,-3.528761902E0,3.639227585E0
4.961864167E-1,-2.574645996E-2,-6.062393188E-2,-2.668650513E0,2.669463186E0
5.061894167E-1,-6.604266357E-1,2.523751831E-1,-1.835782471E0,1.967219829E0
5.161914167E-1,-1.343755646E0,5.533992004E-1,-1.038839722E0,1.786370028E0
5.261944167E-1,-1.926194458E0,9.433383179E-1,-2.576142883E-1,2.160203091E0
5.361974167E-1,-2.174528046E0,1.348845062E0,4.463717651E-1,2.597537868E0
5.462004167E-1,-2.168839874E0,1.687740326E0,9.262738037E-1,2.900054649E0
5.562024167E-1,-1.912273407E0,1.759141846E0,1.181193695E0,2.854222865E0
5.662054167E-1,-1.588197327E0,1.734892273E0,1.244062958E0,2.660810890E0
5.762084167E-1,-1.096918945E0,1.681154022E0,1.084345093E0,2.281515790E0
5.862104167E-1,-4.996609497E-1,1.560654602E0,8.765771484E-1,1.858410974E0
5.962134167E-1,-1.056802368E-1,1.425934753E0,5.969586182E-1,1.549457268E0
6.062164167E-1,2.610571289E-1,1.384171600E0,2.249821472E-1,1.426428691E0
6.162184167E-1,4.837939453E-1,1.353335724E0,-8.322692871E-2,1.439618312E0
6.262214167E-1,5.441184998E-1,1.380579071E0,-2.544708252E-1,1.505595867E0
6.362244167E-1,5.101391602E-1,1.445394287E0,-4.296066284E-1,1.591844359E0
6.462264167E-1,4.056564331E-1,1.444645844E0,-7.129673767E-1,1.661289028E0
6.562294167E-1,2.809657288E-1,1.473386078E0,-9.343569946E-1,1.767153437E0
6.662324167E-1,1.245410156E-1,1.561702423E0,-1.010249176E0,1.864142784E0
6.762354167E-1,-2.145039368E-1,1.612147522E0,-1.046324158E0,1.933862925E0
6.862374167E-1,-7.176077271E-1,1.503174133E0,-9.714797974E-1,1.928280665E0
6.962404167E-1,-1.558558960E0,1.271905060E0,-7.762857056E-1,2.156262509E0
7.062442917E-1,-2.814297638E0,1.032552795E0,-4.926255798E-1,3.037946088E0
7.162462917E-1,-4.414919128E0,9.613009644E-1,-4.565505981E-2,4.518594343E0
7.262492917E-1,-5.805826721E0,1.100062408E0,4.490661621E-1,5.926164159E0
7.362522917E-1,-6.998097382E0,1.216220856E0,4.558021545E-1,7.117606040E0
7.462542917E-1,-8.817114716E0,5.900729370E-1,2.948867798E-2,8.836886757E0
7.562572917E-1,-1.173814041E1,-9.186396790E-1,1.371148682E-1,1.177483077E1
7.662602917E-1,-1.573857147E1,-3.071163483E0,1.103505249E0,1.607334442E1
7.762632917E-1,-2.009017227E1,-5.800288239E0,2.570454712E0,2.106811816E1
7.862652917E-1,-2.425436279E1,-8.366252289E0,4.181255035E0,2.599521467E1
7.962682917E-1,-2.817755447E1,-1.007345215E1,6.235283661E0,3.056677570E1
8.062712917E-1,-3.206257553E1,-1.066277664E1,8.946595459E0,3.495347087E1
8.162732917E-1,-3.651102493E1,-1.071801178E1,1.182046921E1,3.984537878E1
8.262762917E-1,-4.066443787E1,-1.115255814E1,1.395173721E1,4.441426608E1
8.362792917E-1,-4.345792877E1,-1.082444046E1,1.507320511E1,4.725422306E1
8.462812917E-1,-4.426819382E1,-9.336235199E0,1.554577240E1,4.783836652E1
8.562842917E-1,-4.246624100E1,-8.543783112E0,1.524669434E1,4.592210298E1
8.662872917E-1,-3.864244263E1,-9.177265778E0,1.425994629E1,4.219960483E1
8.762902917E-1,-3.415776855E1,-1.043614792E1,1.310045746E1,3.804324279E1
