"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.701583333E-2,-9.801617432E-1,-5.923781433E0,-1.030008087E0,6.092029232E0
2.701983333E-2,-1.328337708E0,-5.742807770E0,-2.156415710E0,6.276499889E0
3.702383333E-2,-1.243913269E0,-5.167104950E0,-2.042951660E0,5.693851532E0
4.702783333E-2,-1.105750580E0,-4.848267975E0,-1.198707275E0,5.115201446E0
5.703183333E-2,-1.199605408E0,-4.673281860E0,-8.096662903E-1,4.892256737E0
6.703483333E-2,-1.143771515E0,-4.076921997E0,-3.137475586E-1,4.245932616E0
7.703883333E-2,-1.124012604E0,-4.343218231E0,4.161346436E-1,4.505565112E0
8.704283333E-2,-1.112037506E0,-5.232668610E0,1.147364044E0,5.471187480E0
9.704683333E-2,-2.803669739E-1,-2.681329147E1,1.469045105E0,2.685496786E1
1.070508333E-1,-1.660496979E0,-4.729639664E1,7.812254333E-1,4.733198388E1
1.170548333E-1,-1.023436752E1,-3.909674789E1,1.113384705E0,4.042941503E1
1.270588333E-1,-1.242805573E1,-3.056658646E1,4.067491608E0,3.324631205E1
1.370628333E-1,-4.421804810E0,-1.754800873E1,3.676654358E0,1.846625992E1
1.470658333E-1,-3.028202820E-1,-1.136017639E1,5.019062805E-1,1.137528978E1
1.570698333E-1,7.165599060E-1,-8.200397186E0,-2.349514160E0,8.560384857E0
1.670738333E-1,2.568658447E-1,-7.631280670E0,-3.430715790E0,8.370916053E0
1.770778333E-1,-1.061891785E0,-9.721683655E0,-3.148402863E0,1.027381077E1
1.870818333E-1,-4.071533203E-1,-1.152213959E1,-2.076481934E0,1.171483042E1
1.970858333E-1,1.038540344E0,-1.207763443E1,-1.681603088E0,1.223828454E1
2.070898333E-1,1.946402435E0,-1.157093811E1,-2.016456757E0,1.190551087E1
2.170938333E-1,1.943708038E0,-1.129955246E1,-1.900298309E0,1.162191982E1
2.270968333E-1,1.391206970E0,-1.141406433E1,-7.592211914E-1,1.152357315E1
2.371008333E-1,7.894583130E-1,-1.111678253E1,1.522334290E-1,1.114581865E1
2.471048333E-1,7.828720093E-1,-1.068987030E1,1.165925446E0,1.078172518E1
2.571088333E-1,1.521436157E0,-1.001686981E1,1.885479126E0,1.030570135E1
2.671128333E-1,2.125579834E0,-9.172326050E0,2.834505615E0,9.832806155E0
2.771168333E-1,2.646346893E0,-8.553961945E0,2.976260834E0,9.435652886E0
2.871208333E-1,2.383044434E0,-8.794811096E0,1.580114136E0,9.247938347E0
2.971248333E-1,1.347497864E0,-9.109756165E0,1.816622314E0,9.386347772E0
3.071288333E-1,6.840774536E-1,-9.469907227E0,2.030677185E0,9.709312781E0
3.171318333E-1,8.683442688E-1,-1.025442581E1,6.649172974E-1,1.031258384E1
3.271358333E-1,1.387315063E0,-1.111393845E1,-7.767347717E-1,1.122709169E1
3.371398333E-1,1.629960480E0,-1.180774567E1,-1.153201904E0,1.197537071E1
3.471438333E-1,1.327140198E0,-1.216969299E1,-1.004111938E0,1.228295443E1
3.571478333E-1,1.144819336E0,-1.217029175E1,-8.358618164E-1,1.225256208E1
3.671518333E-1,1.583107910E0,-1.196417038E1,-4.481680298E-1,1.207677350E1
3.771558333E-1,1.629062347E0,-1.112726074E1,-3.198847961E-1,1.125042675E1
3.871598333E-1,1.807940369E0,-9.967322845E0,-7.261399841E-1,1.015595650E1
3.971628333E-1,1.659598846E0,-9.117689667E0,-1.265019379E0,9.353438257E0
4.071668333E-1,1.275946655E0,-8.657696228E0,-1.925895081E0,8.960625855E0
4.171708333E-1,1.159339142E0,-8.619675293E0,-2.133962402E0,8.955259066E0
4.271748333E-1,1.324445801E0,-8.739725647E0,-2.035167847E0,9.070770046E0
4.371788333E-1,1.410965881E0,-8.773854675E0,-2.284998322E0,9.175650817E0
4.471828333E-1,1.666783905E0,-8.800948334E0,-2.407294006E0,9.275231781E0
4.571868333E-1,1.287772064E0,-8.992400208E0,-1.788181458E0,9.258467006E0
4.671908333E-1,8.650511169E-1,-9.266031189E0,-2.492915955E0,9.634431866E0
4.771938333E-1,5.372328186E-1,-9.341474304E0,-3.183280334E0,9.883573998E0
4.871978333E-1,3.363505554E-1,-8.904981995E0,-2.366129608E0,9.220108749E0
4.972018333E-1,5.845344543E-1,-8.070617065E0,-1.999541931E0,8.335148966E0
5.072058333E-1,1.672921143E0,-7.053182831E0,-2.107766876E0,7.549088316E0
5.172098333E-1,2.423610077E0,-6.262676697E0,-1.461111603E0,6.872397859E0
5.272138333E-1,2.999911652E0,-5.676046600E0,-1.146465912E0,6.521607088E0
5.372178333E-1,3.400328979E0,-4.958738251E0,-7.487429810E-1,6.059037734E0
5.472218333E-1,3.539090424E0,-4.559518433E0,-4.867877197E-1,5.792351133E0
