"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.293750000E-3,-6.309229889E0,-2.800436462E1,5.357209625E0,2.920189231E1
8.709250003E-3,-5.403762817E0,-2.810181198E1,8.031248932E0,2.972227193E1
1.871125000E-2,-5.174589386E0,-2.766966064E1,9.212442627E0,2.961850088E1
2.871425000E-2,-5.098397827E0,-2.631572617E1,9.200766907E0,2.834016965E1
3.871625000E-2,-5.038971405E0,-2.513064056E1,9.350455627E0,2.728316969E1
4.871925000E-2,-5.381159821E0,-2.518183411E1,9.495204620E0,2.744522838E1
5.872125000E-2,-5.839806061E0,-2.519605453E1,8.776249695E0,2.731239751E1
6.872325000E-2,-5.192252655E0,-2.271855652E1,7.090904388E0,2.435925333E1
7.872625000E-2,-4.023782501E0,-1.989722351E1,5.954916687E0,2.115540975E1
8.872825000E-2,-2.881956940E0,-1.689102493E1,5.012925568E0,1.785334204E1
9.873125000E-2,-1.579066315E0,-1.374037674E1,3.867956543E0,1.436149335E1
1.087332500E-1,-5.472619629E-1,-1.068957092E1,2.865042114E0,1.108038305E1
1.187362500E-1,-1.559756470E-1,-7.895331573E0,2.173779602E0,8.190598685E0
1.287382500E-1,-2.502795410E-1,-5.601651306E0,1.587149506E0,5.827536423E0
1.387402500E-1,-1.884580994E-1,-3.615880737E0,1.348246307E0,3.863661226E0
1.487430000E-1,2.348616028E-1,-1.634301453E0,1.383872223E0,2.154345269E0
1.587450000E-1,8.280780029E-1,1.472637634E0,1.552571411E0,2.294526698E0
1.687480000E-1,2.623444519E0,7.865992584E0,1.755100250E0,8.475652032E0
1.787500000E-1,4.162094879E0,9.723030853E0,1.840572510E0,1.073536538E1
1.887520000E-1,3.295247498E0,5.450316010E0,1.532513123E0,6.550816525E0
1.987550000E-1,2.608176270E0,4.152664490E0,1.341210938E0,5.083901317E0
2.087570000E-1,2.493664398E0,4.434977417E0,1.208736420E0,5.229572693E0
2.187600000E-1,2.100432129E0,4.107009430E0,1.023870850E0,4.725214609E0
2.287620000E-1,1.586550751E0,3.479065247E0,8.201445007E-1,3.910712886E0
2.387650000E-1,1.088985443E0,3.029250641E0,6.035449219E-1,3.275135908E0
2.487670000E-1,6.448590088E-1,2.597847748E0,4.279600525E-1,2.710683653E0
2.587690000E-1,2.043251038E-1,2.119442596E0,4.050576782E-1,2.167454126E0
2.687720000E-1,-2.080673218E-1,1.548529816E0,4.589456177E-1,1.628455612E0
2.787740000E-1,-5.658233643E-1,8.617579651E-1,5.465135193E-1,1.166816137E0
2.887770000E-1,-8.372090149E-1,2.243833923E-1,6.396199036E-1,1.077209572E0
2.987790000E-1,-9.897418213E-1,-3.249742126E-1,7.509883118E-1,1.284204250E0
