"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.158833329E-3,-1.965113525E0,-5.525010681E-1,-2.974314880E0,3.607419799E0
8.844166667E-3,-1.713337097E0,1.017883301E-1,-1.986219635E0,2.625062535E0
1.884616667E-2,-1.268761597E0,8.723858643E-1,-1.397643585E0,2.079476058E0
2.884916667E-2,-1.222058716E0,1.294058990E0,-1.008602600E0,2.045799448E0
3.885116667E-2,-1.102457428E0,1.568438416E0,-7.789801025E-1,2.069352905E0
4.885416666E-2,-8.330177307E-1,1.654359741E0,-6.015989685E-1,1.947497371E0
5.885716667E-2,-5.551954651E-1,1.430275726E0,-5.532495117E-1,1.630955450E0
6.885916667E-2,-2.074685669E-1,8.180488586E-1,-4.740641785E-1,9.679793317E-1
7.886216667E-2,1.609153748E-1,-3.719764709E-1,-3.008743286E-1,5.047629289E-1
8.886516667E-2,3.680845642E-1,-1.091230774E0,2.225871277E-1,1.172951780E0
9.886716666E-2,7.580236816E-1,-1.446591797E0,8.876541138E-1,1.858805411E0
1.088701667E-1,1.445244598E0,-1.501377869E0,1.457070007E0,2.542817426E0
1.188731667E-1,1.500779114E0,-1.186881866E0,3.870950317E-1,1.952144738E0
1.288751667E-1,5.752537537E-1,-6.478527832E-1,-4.101470947E0,4.191979728E0
1.388781667E-1,1.213077393E0,-1.483415222E-1,-1.369053040E0,1.835175248E0
1.488801667E-1,1.182840271E0,3.058140564E-1,7.988887024E-1,1.459745355E0
1.588831667E-1,4.141886902E-1,4.607418823E-1,1.202599182E0,1.352804548E0
1.688861667E-1,1.362167358E-1,-6.735992432E-2,1.235381012E0,1.244692172E0
1.788881667E-1,8.369096375E-1,-5.251080322E-1,1.278341675E0,1.615646504E0
1.888911667E-1,1.044078827E0,-5.331912231E-1,7.394622803E-1,1.386072848E0
1.988941667E-1,6.755451965E-1,-4.484674072E-1,-1.362167358E-1,8.222161073E-1
2.088961667E-1,2.459385681E-1,-2.384541321E-1,-3.905378723E-1,5.194862675E-1
2.188991667E-1,-4.373904419E-1,-3.531156921E-1,-3.658392334E-1,6.707007048E-1
2.289021667E-1,-9.142987061E-1,-7.578739929E-1,-1.266366577E-1,1.194299776E0
2.389041667E-1,-6.758445740E-1,-1.926793213E0,-6.182144165E-2,2.042821545E0
2.489064167E-1,2.664459229E-2,-3.868106232E0,1.059796143E-1,3.869649523E0
2.589084167E-1,1.018482056E0,-6.164331207E0,-3.962260437E-1,6.260453658E0
2.689114167E-1,2.852468262E0,-8.709039459E0,-3.390000458E0,9.771184503E0
2.789144167E-1,6.158044281E0,-1.297187485E1,-9.691296844E0,1.732374904E1
2.889164167E-1,8.551117859E0,-2.020228912E1,-1.238015533E1,2.518972704E1
2.989194167E-1,9.400002594E0,-2.777040115E1,-1.087847809E1,3.127133695E1
3.089224167E-1,7.923173676E0,-3.435640549E1,-1.791040512E1,3.954645231E1
3.189244167E-1,6.696474609E0,-3.671415253E1,-1.323832077E1,3.959829422E1
3.289274167E-1,7.273524628E0,-3.142056061E1,-1.409169617E1,3.519562033E1
3.389304167E-1,5.673801270E0,-2.191577591E1,-1.125644211E1,2.528241965E1
3.489324167E-1,6.279591522E0,-1.668669983E1,-5.456453247E0,1.864543115E1
3.589354167E-1,7.249125366E0,-1.485211487E1,-8.608298950E0,1.863432171E1
3.689384167E-1,7.980055389E0,-1.525103531E1,-1.119506973E1,2.053302093E1
3.789404167E-1,7.733817444E0,-1.681378555E1,-1.084165466E1,2.144893454E1
3.889434167E-1,5.843697968E0,-1.947824478E1,-1.258463013E1,2.391492716E1
3.989454167E-1,5.255271606E0,-2.250584885E1,-1.392105103E1,2.698011812E1
4.089484167E-1,5.076842651E0,-2.466675522E1,-1.178035263E1,2.780287489E1
4.189514167E-1,4.401447144E0,-2.534738983E1,-1.011611343E1,2.764414331E1
4.289534167E-1,5.209017792E0,-2.344170273E1,-9.129066010E0,2.569021486E1
4.389564167E-1,7.158713379E0,-2.030347870E1,-7.515870667E0,2.280277914E1
4.489594167E-1,7.908354492E0,-1.730880615E1,-6.213129730E0,2.001848701E1
4.589614167E-1,7.241491241E0,-1.434362228E1,-5.032235413E0,1.683752027E1
4.689644167E-1,5.618566132E0,-1.126003464E1,-4.161346436E0,1.325418687E1
4.789674167E-1,3.731590118E0,-8.012837219E0,-3.186872864E0,9.396088748E0
4.889694167E-1,1.891316986E0,-5.413642273E0,-1.982477417E0,6.067521678E0
4.989724167E-1,3.493734741E-1,-4.016148376E0,-1.401535492E0,4.267998517E0
5.089754167E-1,-1.128353577E0,-3.072959747E0,-1.523681488E0,3.610798898E0
5.189774167E-1,-8.247848511E-1,-1.545086975E0,-2.001787262E0,2.659833839E0
5.289804167E-1,-1.005459137E0,-1.769320679E-1,-1.365161133E0,1.704675321E0
5.389824167E-1,-1.090033264E0,2.924917603E-1,-1.392254791E0,1.792232505E0
5.489854167E-1,-4.299060059E-1,1.323996735E0,-2.291884003E0,2.681514275E0
5.589884167E-1,-8.068222046E-1,1.830693054E0,-1.497935028E0,2.499241580E0
5.689904167E-1,-6.792874146E-1,2.129471741E0,-1.111588440E0,2.496339349E0
5.789934167E-1,-6.629713440E-1,2.354453888E0,-9.056167603E-1,2.608280244E0
5.889964167E-1,-1.093326416E0,2.367476807E0,-8.143066406E-1,2.731923203E0
5.989984167E-1,-1.356479187E0,1.700763245E0,-8.075706482E-1,2.320517561E0
6.090014167E-1,-1.012195129E0,-1.842668152E-1,-8.186476135E-1,1.314791677E0
6.190044167E-1,-1.368304596E0,-1.597927094E0,-6.909631348E-1,2.214285103E0
6.290064167E-1,-1.149459686E0,-2.061213684E0,-3.918850708E-1,2.392369815E0
6.390094167E-1,-5.625302124E-1,-2.198478241E0,-1.966909790E-1,2.277813460E0
6.490114167E-1,6.975494385E-2,-2.364632721E0,-5.433700562E-2,2.366285310E0
