"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.491833333E-3,-8.843310242E0,1.084794159E0,7.881859589E0,1.189557165E1
1.349483333E-2,-8.263266449E0,7.367678833E-1,8.103249207E0,1.159685505E1
2.349683333E-2,-7.598049774E0,7.695497131E-1,8.393795013E0,1.134805542E1
3.349983333E-2,-7.397466888E0,1.135688324E0,8.696615295E0,1.147359673E1
4.350183333E-2,-7.975564728E0,2.046244812E0,8.760682068E0,1.202274099E1
5.350483333E-2,-8.816366272E0,3.269950104E0,8.714877319E0,1.282068542E1
6.350683333E-2,-9.711504822E0,4.685706024E0,8.579708405E0,1.377971564E1
7.350983333E-2,-1.053389465E1,6.122568054E0,8.251740417E0,1.471529803E1
8.351183333E-2,-1.077309723E1,6.812932434E0,7.506889343E0,1.479287193E1
9.351483333E-2,-1.070139633E1,6.402935028E0,6.368057556E0,1.400248612E1
1.035168333E-1,-1.101334763E1,4.942122803E0,5.302722931E0,1.318473641E1
1.135198333E-1,-1.179187866E1,3.370540924E0,5.004842377E0,1.324603321E1
1.235218333E-1,-1.247820145E1,2.484683075E0,5.121449890E0,1.371526195E1
1.335248333E-1,-1.308863205E1,2.003433838E0,5.585185547E0,1.437081534E1
1.435278333E-1,-1.363050522E1,1.758692780E0,5.475314026E0,1.479401016E1
1.535298333E-1,-1.383752472E1,1.732796631E0,5.121898956E0,1.485643037E1
1.635328333E-1,-1.365894608E1,2.217488708E0,5.037624207E0,1.472622564E1
1.735348333E-1,-1.274928772E1,3.030298462E0,5.470523987E0,1.420048164E1
1.835378333E-1,-1.133218460E1,3.889212341E0,5.738167419E0,1.328423674E1
1.935398333E-1,-1.011461655E1,4.165388031E0,5.864205322E0,1.241147974E1
2.035428333E-1,-9.072932739E0,3.935316467E0,6.107299805E0,1.162342183E1
2.135448333E-1,-8.242310028E0,3.665577393E0,6.214776306E0,1.095424926E1
2.235478333E-1,-7.265142059E0,3.383713531E0,6.125711517E0,1.008742524E1
2.335498333E-1,-6.336473236E0,3.226390686E0,5.567821655E0,9.031119970E0
2.435528333E-1,-5.409450989E0,2.997217255E0,5.251828766E0,8.113394891E0
2.535548333E-1,-4.638853455E0,2.828967133E0,4.924609222E0,7.333061598E0
2.635578333E-1,-4.034260712E0,2.621049500E0,4.471501465E0,6.568065569E0
2.735598333E-1,-3.343746643E0,2.392474823E0,4.186793518E0,5.868033517E0
2.835628333E-1,-2.852617950E0,2.297572174E0,3.891457672E0,5.344128543E0
2.935658333E-1,-2.241588593E0,2.234702911E0,3.608246613E0,4.799797927E0
3.035678333E-1,-1.901196442E0,2.157762909E0,3.470682678E0,4.507341449E0
3.135708333E-1,-1.642684021E0,2.196083221E0,3.395089874E0,4.364381693E0
3.235729583E-1,-1.263073425E0,2.253563690E0,3.265908508E0,4.164140027E0
3.335759583E-1,-1.229393463E0,2.480791168E0,3.298540649E0,4.306518724E0
3.435779583E-1,-1.176852722E0,2.836451569E0,3.357368317E0,4.549984818E0
3.535809583E-1,-1.822609863E0,3.136577454E0,3.323688354E0,4.920053771E0
3.635829583E-1,-2.771636353E0,3.244503021E0,3.359613647E0,5.431000993E0
3.735859583E-1,-3.415148163E0,3.347039795E0,3.491040344E0,5.920580634E0
3.835879583E-1,-3.851640472E0,3.620221710E0,3.814218292E0,6.518389428E0
3.935909583E-1,-4.344116364E0,3.927382965E0,4.101021881E0,7.149410074E0
4.035929583E-1,-4.731510773E0,4.123026123E0,4.237537994E0,7.572533715E0
4.135959583E-1,-5.124593353E0,4.200864258E0,4.502487030E0,8.011311191E0
4.235979583E-1,-5.616919556E0,4.109404449E0,4.878804474E0,8.499395468E0
4.336009583E-1,-6.050717468E0,3.868106232E0,5.212011566E0,8.873471264E0
4.436029583E-1,-6.343358917E0,3.585344238E0,5.643863525E0,9.216620376E0
4.536059583E-1,-6.682703247E0,3.347638550E0,6.184389496E0,9.701127769E0
4.636089583E-1,-6.953789520E0,3.215313721E0,6.804100800E0,1.024642468E1
4.736109583E-1,-7.507937164E0,3.064427490E0,7.338938599E0,1.093708627E1
4.836139583E-1,-8.137527924E0,2.887495422E0,7.816894684E0,1.164735305E1
4.936159583E-1,-8.374934235E0,2.541714478E0,8.238567810E0,1.201972693E1
5.036189583E-1,-8.639583893E0,1.787283325E0,8.376281433E0,1.216547912E1
5.136209583E-1,-8.820108490E0,9.412426758E-1,8.436306610E0,1.224138557E1
5.236239583E-1,-8.779842224E0,3.547622681E-1,8.312663727E0,1.209594411E1
5.336259583E-1,-8.223898315E0,2.847079468E-1,8.713081055E0,1.198462947E1
5.436289583E-1,-7.474556580E0,1.060993652E0,9.316027222E0,1.199095771E1
5.536309583E-1,-7.164700928E0,2.338586884E0,9.195677490E0,1.188959261E1
5.636339583E-1,-7.394024048E0,3.330274658E0,8.718320160E0,1.190678073E1
5.736359583E-1,-7.747888184E0,4.123175812E0,8.093818817E0,1.193902229E1
5.836389583E-1,-8.322692871E0,4.592599640E0,7.928861847E0,1.237845056E1
5.936419583E-1,-8.941056976E0,4.361779633E0,7.955057373E0,1.273776115E1
6.036439583E-1,-9.794132996E0,2.702629852E0,7.968229980E0,1.291208497E1
6.136469583E-1,-1.049407745E1,8.954379272E-1,7.957302704E0,1.320023246E1
6.236489583E-1,-1.077175003E1,-7.544311523E-2,7.613767090E0,1.319112352E1
6.336519583E-1,-1.113624207E1,-2.191442871E-1,7.406897278E0,1.337632382E1
6.436539583E-1,-1.148890869E1,5.665718079E-1,7.037764893E0,1.348503471E1
6.536569583E-1,-1.196701447E1,2.083666992E0,6.401587830E0,1.373067479E1
6.636589583E-1,-1.291080185E1,3.632196808E0,5.554649048E0,1.451674151E1
6.736619583E-1,-1.407238632E1,4.592749329E0,5.088668060E0,1.565311298E1
6.836639583E-1,-1.503278915E1,5.184917908E0,4.757855988E0,1.659835284E1
6.936669583E-1,-1.522498947E1,5.132676544E0,4.603227539E0,1.671329940E1
7.036689583E-1,-1.493983246E1,4.375850372E0,5.042563934E0,1.636380492E1
7.136719583E-1,-1.400427795E1,3.342549133E0,6.309678955E0,1.571955738E1
7.236739583E-1,-1.228390549E1,2.554138641E0,7.273973694E0,1.450271187E1
7.336769583E-1,-1.057266403E1,2.060465240E0,7.358847198E0,1.304528167E1
7.436799583E-1,-9.085356903E0,1.615889740E0,7.418722687E0,1.184028108E1
7.536819583E-1,-7.828271027E0,1.327589264E0,7.061266022E0,1.062571402E1
7.636849583E-1,-7.163503418E0,1.000519409E0,6.913523254E0,1.000567959E1
7.736869583E-1,-6.518644409E0,7.653584290E-1,6.685397644E0,9.368726707E0
7.836899583E-1,-5.903274078E0,5.393284607E-1,6.329737244E0,8.672087039E0
7.936919583E-1,-5.389243011E0,4.692741394E-1,5.966742096E0,8.053953668E0
8.036949583E-1,-4.899461517E0,4.390370178E-1,5.492079163E0,7.372951254E0
8.136969583E-1,-4.475692749E0,3.824546814E-1,4.974605255E0,6.702596110E0
8.236999583E-1,-4.284839630E0,3.477268982E-1,4.360282745E0,6.123138923E0
8.337019583E-1,-4.245920563E0,2.820135498E-1,3.967649231E0,5.818042066E0
8.437049583E-1,-4.333638153E0,1.463955688E-1,3.678750000E0,5.686391902E0
8.537069583E-1,-4.403842163E0,4.385879517E-2,3.321892090E0,5.516404304E0
8.637099583E-1,-4.559368744E0,4.475692749E-2,3.060236206E0,5.491347026E0
8.737119583E-1,-4.646487579E0,8.801696777E-2,2.852917328E0,5.453139563E0
8.837149583E-1,-4.743186493E0,1.465452576E-1,2.865940247E0,5.543726826E0
8.937179583E-1,-4.908293152E0,1.730401611E-1,2.954705658E0,5.731628921E0
9.037199583E-1,-5.026996307E0,1.219963074E-1,3.108136597E0,5.911521638E0
9.137229583E-1,-5.049898682E0,1.425036621E-1,3.327280884E0,6.049180281E0
9.237249583E-1,-5.014572144E0,1.805245972E-1,3.545527039E0,6.144044669E0
9.337279583E-1,-4.930596771E0,2.972817993E-1,3.842060394E0,6.257842205E0
9.437299583E-1,-4.832101593E0,4.170327759E-1,4.175566864E0,6.399881310E0
9.537329583E-1,-4.726870422E0,4.704716492E-1,4.540358276E0,6.571111081E0
9.637349583E-1,-4.690046997E0,5.180726624E-1,4.957690430E0,6.844240974E0
9.737379583E-1,-4.724176025E0,5.144801331E-1,5.353916473E0,7.158697544E0
9.837399583E-1,-4.889582062E0,3.987707520E-1,5.732030182E0,7.544746573E0
9.937429583E-1,-5.082231445E0,3.351530457E-1,6.177653503E0,8.006547748E0
1.003744958E0,-5.244643707E0,2.793191528E-1,6.747219086E0,8.550396026E0
1.013747958E0,-5.450914764E0,1.947450256E-1,7.286996613E0,9.102236924E0
1.023750958E0,-5.849086761E0,1.002914429E-1,7.875872040E0,9.810771361E0
1.033752958E0,-6.283184052E0,1.221459961E-1,8.355175323E0,1.045477289E1
1.043755958E0,-6.809489594E0,3.451821899E-1,8.763077087E0,1.110314457E1
1.053757958E0,-7.556735687E0,7.954458618E-1,9.240733795E0,1.196361774E1
1.063760958E0,-8.574319611E0,1.659898224E0,9.719887390E0,1.306715079E1
1.073762958E0,-9.592202911E0,2.865191803E0,1.002300705E1,1.416616924E1
1.083765958E0,-9.753717041E0,4.095483398E0,9.591604156E0,1.427959561E1
1.093767958E0,-9.022188263E0,4.951553192E0,8.359067230E0,1.325864869E1
1.103770958E0,-8.323441315E0,4.844226379E0,7.300318909E0,1.208473668E1
1.113772958E0,-7.906408539E0,3.720812531E0,6.908733215E0,1.113940467E1
1.123775958E0,-7.842491455E0,2.348017273E0,7.130422211E0,1.085637040E1
1.133777958E0,-7.665110321E0,1.612746277E0,7.262597351E0,1.068176891E1
1.143780958E0,-7.362290039E0,1.457668762E0,7.785460052E0,1.081394937E1
1.153782958E0,-7.294181671E0,1.887275391E0,8.282276917E0,1.119656222E1
1.163785958E0,-8.045319672E0,2.961741028E0,8.179141388E0,1.184894225E1
1.173788958E0,-9.208101654E0,4.414769440E0,8.059390411E0,1.300896226E1
1.183790958E0,-1.012793884E1,5.849984894E0,7.678731995E0,1.399144001E1
1.193793958E0,-1.073313034E1,7.073839874E0,7.095844116E0,1.468299360E1
1.203795958E0,-1.141556122E1,7.309300232E0,5.712420959E0,1.470961118E1
1.213798958E0,-1.205637863E1,6.142626343E0,4.068539429E0,1.412944221E1
1.223800958E0,-1.285167480E1,4.455335083E0,3.811823273E0,1.412605935E1
1.233803958E0,-1.381147888E1,2.982547760E0,4.008065186E0,1.468731175E1
1.243805958E0,-1.436068680E1,1.758992157E0,4.237088928E0,1.507568577E1
1.253808958E0,-1.426443695E1,1.175206146E0,4.434827728E0,1.498409050E1
1.263810958E0,-1.295436127E1,1.605860596E0,4.697681122E0,1.387308444E1
1.273813958E0,-1.122560623E1,2.973865814E0,4.839586029E0,1.258092628E1
1.283815958E0,-9.902058563E0,4.091890869E0,4.936883698E0,1.179691296E1
1.293818958E0,-9.015152893E0,4.460723877E0,5.732329559E0,1.157716033E1
1.303820958E0,-8.414601746E0,4.612508240E0,6.494245148E0,1.158688806E1
1.313823958E0,-7.667954407E0,4.522844696E0,6.627468109E0,1.109851262E1
1.323827375E0,-6.980583801E0,4.157304840E0,6.578220520E0,1.045393318E1
1.333829375E0,-6.417604523E0,3.459306335E0,6.291865997E0,9.630162297E0
1.343832375E0,-5.753735046E0,2.794389038E0,6.284830627E0,8.967339243E0
1.353834375E0,-5.253325653E0,2.254761200E0,6.080206146E0,8.345674644E0
1.363837375E0,-4.838089142E0,1.878144379E0,5.722450104E0,7.725345820E0
1.373839375E0,-4.395758972E0,1.686093750E0,5.314548340E0,7.100002333E0
1.383842375E0,-4.065246277E0,1.751358032E0,5.163362732E0,6.801014406E0
1.393844375E0,-3.994892578E0,2.075284424E0,5.029391327E0,6.749870315E0
1.403847375E0,-4.018842773E0,2.425556030E0,4.320465546E0,6.379721140E0
1.413849375E0,-4.133055267E0,2.792143707E0,3.758085022E0,6.245111317E0
1.423852375E0,-4.251159668E0,3.079396362E0,3.576362915E0,6.351803852E0
1.433854375E0,-4.250261536E0,3.231929169E0,3.564238129E0,6.419803946E0
1.443857375E0,-4.113895111E0,3.242856445E0,3.477718048E0,6.287668386E0
1.453859375E0,-3.954925690E0,3.125799866E0,3.478466492E0,6.124687024E0
1.463862375E0,-3.779340820E0,2.948718109E0,3.625311127E0,6.010094532E0
1.473865375E0,-3.680546265E0,2.685715027E0,3.789070587E0,5.925921188E0
1.483867375E0,-3.629652100E0,2.420167236E0,4.002377014E0,5.920355190E0
1.493870375E0,-3.634741516E0,2.244732056E0,4.214934998E0,6.001320265E0
1.503872375E0,-3.638334045E0,2.138602753E0,4.440066833E0,6.125788916E0
1.513875375E0,-3.652255096E0,2.215692444E0,4.725523224E0,6.370151492E0
1.523877375E0,-3.736679535E0,2.308499451E0,5.121898956E0,6.747280384E0
1.533880375E0,-3.918102264E0,2.436782684E0,5.422324219E0,7.119763700E0
1.543882375E0,-4.233197021E0,2.537523193E0,5.745053101E0,7.573943234E0
1.553885375E0,-4.545447693E0,2.628384247E0,6.125861206E0,8.068189016E0
1.563887375E0,-4.982838135E0,2.807861023E0,6.551276550E0,8.696665099E0
1.573890375E0,-5.369184723E0,3.027604065E0,6.836583252E0,9.205074770E0
1.583892375E0,-5.755681000E0,3.244203644E0,7.091652832E0,9.692484766E0
