"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.367083314E-4,-1.059032730E1,-2.003134460E0,1.151555328E0,1.083944923E1
1.236729167E-2,-1.038585251E1,-1.842368774E0,5.933660889E-1,1.056467408E1
2.237029167E-2,-1.023975632E1,-1.688788147E0,3.662882996E-1,1.038454534E1
3.237329167E-2,-1.002136047E1,-1.494342499E0,4.245172119E-1,1.014105222E1
4.237629167E-2,-9.729617157E0,-1.319655762E0,7.795788574E-1,9.849603268E0
5.238029167E-2,-9.362879791E0,-1.208886108E0,1.307830353E0,9.530757779E0
6.238329167E-2,-8.933273163E0,-1.176253967E0,1.889520721E0,9.206369065E0
7.238629167E-2,-8.531658325E0,-1.106049957E0,2.402653656E0,8.932260905E0
8.238929167E-2,-8.079748077E0,-1.016087036E0,2.622696075E0,8.555308093E0
9.239329167E-2,-7.648045807E0,-1.012943573E0,2.849773865E0,8.224346201E0
1.023962917E-1,-7.235054626E0,-9.720785522E-1,3.124302979E0,7.940542882E0
1.123992917E-1,-6.927294617E0,-9.647438049E-1,3.347937927E0,7.754149191E0
1.224022917E-1,-6.721622314E0,-9.500743103E-1,3.491190033E0,7.633561134E0
1.324062917E-1,-6.633755035E0,-9.596543884E-1,3.609144745E0,7.612724099E0
1.424092917E-1,-6.711892548E0,-9.592053223E-1,3.656745758E0,7.703334730E0
1.524122917E-1,-6.790329437E0,-9.189390564E-1,3.504212952E0,7.696267359E0
1.624152917E-1,-6.840475159E0,-8.927435303E-1,3.135829010E0,7.577764511E0
1.724182917E-1,-6.842720490E0,-9.048683167E-1,2.739752655E0,7.426160177E0
1.824222917E-1,-6.774761810E0,-9.174421692E-1,2.414928131E0,7.250584500E0
1.924252917E-1,-6.770869904E0,-9.692344666E-1,2.212548981E0,7.188843279E0
2.024282917E-1,-6.857839050E0,-1.039288788E0,2.133064270E0,7.256723834E0
2.124312917E-1,-6.998696136E0,-1.138233032E0,2.105222168E0,7.396572343E0
2.224352917E-1,-7.212900696E0,-1.266516266E0,2.068997498E0,7.609911336E0
2.324382917E-1,-7.534581757E0,-1.407672729E0,2.029479675E0,7.929076397E0
2.424412917E-1,-7.970625000E0,-1.555116119E0,1.906884613E0,8.341789854E0
2.524442917E-1,-8.425229645E0,-1.797162781E0,1.667981415E0,8.774762141E0
2.624482917E-1,-8.837771759E0,-2.050585785E0,1.392703857E0,9.178819955E0
2.724512917E-1,-9.077273712E0,-2.266885986E0,1.166524200E0,9.428491334E0
2.824542917E-1,-9.193731537E0,-2.470612335E0,1.067130890E0,9.579529906E0
2.924572917E-1,-9.260642395E0,-2.711461487E0,1.122366028E0,9.714485394E0
3.024612917E-1,-9.377100220E0,-2.938539276E0,1.255588989E0,9.906640466E0
3.124642917E-1,-9.630822601E0,-3.099304962E0,1.423988800E0,1.021695548E1
3.224672917E-1,-9.949509888E0,-3.171005859E0,1.696122894E0,1.057945452E1
3.324702917E-1,-1.041968216E1,-3.237767029E0,1.970202942E0,1.108758816E1
3.424742917E-1,-1.099748062E1,-3.360212402E0,2.165995789E0,1.170158729E1
3.524772917E-1,-1.138846756E1,-3.510200500E0,2.241139526E0,1.212606314E1
3.624802917E-1,-1.169083878E1,-3.606749725E0,2.276016998E0,1.244446095E1
3.724832917E-1,-1.198452805E1,-3.602558441E0,2.278861084E0,1.272008442E1
3.824862917E-1,-1.233809280E1,-3.616778870E0,2.291584625E0,1.305989983E1
3.924902917E-1,-1.283311340E1,-3.815116425E0,2.252066803E0,1.357629249E1
4.024932917E-1,-1.340163116E1,-4.226610718E0,2.156715088E0,1.421686942E1
4.124962917E-1,-1.384949982E1,-4.690795441E0,2.093696136E0,1.477145120E1
4.224992917E-1,-1.396715515E1,-5.015470276E0,2.051932983E0,1.498154845E1
4.325032917E-1,-1.371747437E1,-5.003644867E0,2.141147461E0,1.475771247E1
4.425062917E-1,-1.338082443E1,-4.771178284E0,2.436333618E0,1.441340786E1
4.525092917E-1,-1.303624100E1,-4.287234650E0,2.750979309E0,1.399613688E1
4.625122917E-1,-1.248972748E1,-3.493135986E0,2.896027679E0,1.328842608E1
4.725162917E-1,-1.209499832E1,-2.964285736E0,3.027454376E0,1.281567222E1
4.825192917E-1,-1.185250259E1,-2.731070709E0,3.177592163E0,1.257130291E1
4.925222917E-1,-1.167063080E1,-2.656376038E0,3.404520264E0,1.244390273E1
5.025252917E-1,-1.149399811E1,-2.814746704E0,3.599714355E0,1.236902320E1
5.125292917E-1,-1.136047577E1,-3.261717224E0,3.731739807E0,1.239455892E1
5.225322917E-1,-1.123234222E1,-3.926784210E0,3.798500977E0,1.249054666E1
5.325352917E-1,-1.109073669E1,-4.591551819E0,3.815266113E0,1.259535804E1
