Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
14.91400412,0.009879455566,2.166594543,-6.087241516,6.461326396
14.92394313,-0.8999285889,1.86392395,-4.788542175,5.216725038
14.93388312,-1.656605072,1.65331192,-3.542383575,4.245734573
14.94382213,-2.429447937,1.654808807,-2.473157043,3.841499086
14.95376212,-3.381318512,1.764380951,-1.642534332,4.152622551
14.96370113,-4.325255585,1.844464417,-1.113085327,4.832064135
14.97364112,-4.958588562,1.842069397,-0.8560697937,5.358514317
14.98358113,-5.401966553,1.628912659,-0.8178991699,5.701189186
14.99352012,-5.491779785,1.401984558,-1.01099762,5.75737111
15.00346013,-4.995411987,1.303639069,-1.353335724,5.337146553
15.01339912,-4.024980011,1.297950897,-1.669478302,4.546679934
15.02333913,-2.806364136,1.410516815,-1.778751068,3.609597306
15.03327812,-1.633253632,1.579066315,-1.71887558,2.84877186
15.04321813,-0.5239105225,1.741777954,-1.636846161,2.446944632
15.05315713,0.4484674072,1.876946869,-1.691332855,2.566059117
15.06309713,1.121767273,1.939666443,-1.833237762,2.895069674
15.07303613,1.628463593,1.983824615,-2.086960144,3.307998854
15.08297613,2.22901474,2.122286682,-2.412233734,3.910432081
15.09291513,2.796185303,2.28050766,-2.733914795,4.526992107
15.10285513,3.247496796,2.28754303,-3.019520874,4.989648771
15.11279413,3.725901947,2.130519562,-3.239413605,5.377291086
15.12273413,4.398004303,1.722767487,-3.344644775,5.787660869
15.13267412,5.152585144,0.8581654358,-3.301085358,6.179218892
15.14261313,5.898633728,-0.6688092041,-3.139720917,6.715581363
15.15255312,7.090305634,-3.348686371,-2.951262817,8.378310486
15.16249213,8.859326935,-7.222780151,-2.519560547,11.70488839
15.17243212,10.20607635,-11.77975388,-1.616488495,15.66970424
15.18237113,11.83019897,-15.81880463,-0.6119274902,19.76265779
15.19231112,15.22304352,-18.79087418,0.1619631958,24.18396655
15.20225013,19.39696381,-21.70995392,1.010548553,29.13049111
15.21219012,24.08252014,-24.77692612,1.795516205,34.59895551
15.22212913,29.23705124,-27.94299225,2.211201782,40.50315289
15.23206912,32.24923737,-29.32806198,2.261497192,43.64931729
15.24200813,30.69142685,-27.78911224,1.946552124,41.44861284
15.25194812,28.26167953,-26.91238541,1.798210602,39.06702676
15.26188713,26.28114807,-26.60133224,2.775079193,37.49707569
15.27182712,23.50023102,-25.19201294,4.407883759,34.73223018
15.28176713,20.45810715,-22.96838699,5.811215515,31.30257457
15.29170612,17.8125087,-20.17803955,6.993157654,27.80904529
15.30164613,15.41928543,-16.97485062,7.695796509,24.18936131
15.31158512,13.35792206,-13.61224319,7.628436584,20.54069841
15.32152513,11.80759598,-10.41309586,6.732250214,17.12235618
15.33146412,10.64436493,-7.598648529,4.705764313,13.89914321
15.34140413,9.698032837,-5.123395844,2.046394501,11.15745295
15.35134313,8.923244019,-3.198698273,-0.8931925964,9.521226154
15.36128313,7.920179901,-1.754950562,-3.862867126,8.985034423
15.37122213,6.406527557,-0.4020639038,-6.831344147,9.374034008
15.38116213,4.154610443,1.031055908,-9.451046448,10.37526593
15.39110113,1.544039154,2.448757782,-11.17785553,11.54664132
15.40104113,-0.3165916443,3.520529022,-11.38517441,11.92126466
15.41098013,-1.199904785,4.08126297,-9.545350342,10.45036804
15.42092013,-1.427731018,4.121229858,-6.838828583,8.111259322
15.43086012,-1.879491577,3.993246002,-4.665647736,6.422364908
15.44079913,-2.697540436,3.760330353,-3.275189209,5.669539057
15.45073912,-3.265908508,3.358565826,-2.530637512,5.324495189
15.46067813,-3.99818573,2.901266785,-2.293829956,5.446512091
15.47061812,-4.66160614,2.301314392,-2.415377197,5.732422415
15.48055713,-4.947511597,1.774709473,-2.699636078,5.908933886
15.49049712,-4.821024628,1.529369659,-3.061882782,5.912391748
15.50043613,-4.169279938,1.504072266,-3.285667419,5.517312658
15.51037612,-3.226839752,1.464554443,-3.205883331,4.778608839
15.52031513,-2.15761322,1.504221954,-2.827320557,3.861569632
15.53025512,-1.028062134,1.577120361,-2.320025482,2.987764821
15.54019413,0.02514770508,1.570384369,-1.821112976,2.404826801
15.55013412,0.8538244629,1.515747986,-1.414109344,2.241921811
15.56007313,1.514999542,1.480571136,-1.104253693,2.388868084
15.57001312,2.082170105,1.426084442,-0.8653504944,2.667954396
15.57995213,2.549049225,1.335223389,-0.6486012268,2.949772364
15.58989212,3.112178192,1.17939743,-0.4369413757,3.356717022
15.59983213,3.691922607,1.050066376,-0.2929408264,3.84951247
15.60977112,4.380041656,0.8442443848,-0.3179388428,4.471979271
15.61971113,5.354814606,0.1266366577,-0.4677772522,5.376698974
15.62965012,6.763684845,-1.429078217,-0.6533912659,6.943818645
15.63959013,8.453071747,-4.00986145,-0.6478527832,9.37833269
15.64952913,10.30711624,-7.652686157,-0.4782554626,12.84636053
15.65946913,12.18630844,-12.20651642,-0.2655477905,17.2503818
15.66940813,14.47804276,-16.18569168,-0.002844085693,21.71613099
15.67934813,17.54067398,-19.23335403,0.4499642944,26.03458505
15.68928713,20.59327606,-22.02968903,0.9927355957,30.17243347
15.69922713,23.03350159,-24.2143959,1.38656662,33.44849371
15.70916613,25.76217728,-26.17247406,1.539249115,36.75673359
15.71910613,28.59458725,-28.08384933,1.573527832,40.11021071
15.72904513,29.60902771,-28.30224518,1.685794373,40.9945546
15.73898513,28.18713455,-26.60148193,1.996697845,38.80902212
15.74892512,26.08879807,-24.28804276,2.724783783,35.74855035
15.75886413,24.00408325,-21.66819077,3.514691162,32.52782744
15.76880412,21.66953796,-18.79012573,4.199966125,28.98753898
15.77874313,19.38438995,-16.00801117,4.609065399,25.55884347
15.78868312,17.27377899,-13.20987991,4.656217346,22.2388113
15.79862213,15.24220367,-10.37297928,4.213737488,18.91240481
15.80856212,13.26227097,-7.808512115,3.106040955,15.70057907
15.81850113,11.31766479,-5.656587067,1.402433624,12.73001704
15.82844112,9.576934662,-3.901486816,-0.7328759766,10.36708175
15.83838013,8.004304962,-2.391726379,-2.878514099,8.836011341
15.84832012,6.293362885,-1.085093536,-4.906347198,8.05332771
15.85825913,4.243226166,0.03876937866,-6.856491852,8.063370999
15.86819912,2.007026367,0.96414505,-8.33212326,8.624500481
15.87813813,0.09310638428,1.843865662,-8.851094055,9.041591417
15.88807812,-1.367406464,2.656974792,-8.347840576,8.866552756
15.89801713,-2.446512451,3.366798706,-7.11290863,8.24100879
15.90795712,-3.233126678,3.798201599,-5.484445038,7.413405485
15.91789713,-3.75718689,4.046834564,-4.051923981,6.849190555
15.92783612,-3.839964752,4.144581299,-3.043171692,6.417458795
15.93777613,-3.68339035,4.065395966,-2.481539612,6.021033771
15.94771513,-3.584146729,3.763773193,-2.232607269,5.656556518
15.95765513,-3.368894348,3.113675079,-2.290836182,5.127606853
15.96759413,-3.15918045,2.277364197,-2.567610626,4.664700755
15.97753413,-3.255430298,1.42518631,-2.859054565,4.561049819
15.98747313,-3.594026184,0.7936495972,-3.079096985,4.798722969
15.99741313,-3.823648682,0.4800517273,-3.259471893,5.047266183
16.00735213,-3.701951752,0.2676434326,-3.401376801,5.034425878
16.01729213,-3.107388153,0.2603086853,-3.398682404,4.61244662
16.02723113,-1.973196716,0.4667294312,-3.1054422,3.708788603
16.03717113,-0.6108796692,0.6378236389,-2.487676849,2.639797165
16.04711013,0.5706134033,0.627046051,-1.8592836,2.043458321
16.05705013,1.366957397,0.4649331665,-1.384770355,2.000580994
16.06698913,1.999841309,0.1438508606,-0.9391470337,2.214058599
16.07692913,2.763852539,-0.4005670166,-0.5662724304,2.84956124
16.08686813,3.597169647,-1.227746887,-0.3403921509,3.81613138
16.09680813,4.504732361,-2.47360611,-0.2221380615,5.143995154
16.10674812,6.093528442,-4.545597382,-0.2213896179,7.605429495
16.11668713,8.238717499,-7.544161835,-0.09445358276,11.17138153
16.12662712,10.58673477,-10.98370926,0.1853146362,15.25631554
16.13656613,13.38995544,-14.41277847,0.3972738647,19.67681165
16.14650612,17.08562027,-17.91354858,0.4364923096,24.75892099
16.15644513,21.46880539,-21.44695084,0.4430786133,30.34926068
16.16638512,26.11634079,-24.85221954,0.4977149963,36.05473329
16.17632433,29.38239899,-26.70222244,0.5101391602,39.70635082
16.18626433,30.44429077,-27.46413803,0.6161187744,41.00625953
16.19620333,30.01468414,-27.55619659,1.183439026,40.76304408
16.20614333,27.98894669,-25.92473923,1.98098053,38.20206178
16.21608233,25.47043396,-23.50801483,2.741698608,34.76904771
16.22602233,23.077061,-21.43437698,3.205434265,31.65845969
16.23596133,20.66198318,-19.76429993,3.311413879,28.78385941
16.24590133,18.38402023,-18.21127945,3.313509521,26.08835458
16.25584033,16.27610367,-16.47548904,3.348985748,23.40019221
16.26578033,14.26503571,-14.39810898,3.269051971,20.530063
16.27572033,12.46472946,-11.72391998,2.920426941,17.35939728
16.28565933,11.00481537,-8.625064087,2.114502869,14.141033
16.29559933,9.916278992,-5.52516037,0.9696835327,11.39299225
16.30553833,9.150471497,-2.741399231,-0.420176239,9.561534732
16.31547833,8.451125793,-0.3362008667,-1.812131653,8.649761808
16.32541733,7.492369537,1.715732117,-3.124003601,8.296911261
16.33535733,6.332581329,3.228336639,-4.370611267,8.344218753
16.34529633,4.9540979,4.07662262,-5.357059937,8.358231222
16.35523633,3.567231903,4.335883484,-5.97213089,8.19703461
16.36517533,2.151326294,4.112098846,-6.109545135,7.67229454
16.37511533,0.5038522339,3.41784256,-5.764063568,6.720114854
16.38505433,-1.405876465,2.799179077,-5.177882538,6.051641076
16.39499433,-3.1346315,2.679278412,-4.657714233,6.220831884
16.40493333,-4.326004028,2.868185577,-4.229754181,6.695641851
16.41487333,-4.862937469,3.063828735,-3.786974945,6.883050674
16.42481233,-4.767436066,3.165467377,-3.246598663,6.579440192
16.43475233,-4.129762115,3.137176208,-2.591560822,5.797671704
16.44469133,-3.369343414,2.987038422,-1.961520996,4.911459884
16.45463133,-2.7789711,2.797532501,-1.516795807,4.224871358
16.46457133,-2.249821472,2.619402924,-1.22041214,3.66229083
16.47451033,-1.777852936,2.420017548,-1.06249054,3.18529938
16.48445033,-1.414558411,2.151475983,-1.034947815,2.775057005
16.49438933,-1.064586182,1.885329437,-1.04602478,2.404574529
16.50432933,-0.6614744568,1.584904175,-1.019380188,1.997149385
16.51426833,-0.3034190369,1.340761871,-0.9584568787,1.675811772
16.52420833,0.1311273193,1.255439301,-0.9145980835,1.558785381
16.53414733,0.7631130981,1.237027588,-0.8324189758,1.674962747
16.54408733,1.468745728,1.122366028,-0.6858737183,1.971634416
16.55402633,2.06405777,0.8952882385,-0.5528004456,2.316778764
16.56396633,2.693199463,0.5583389282,-0.5545967102,2.805823091
16.57390533,3.504212952,-0.05463638306,-0.7424560547,3.582420207
16.58384533,4.855003967,-1.49883316,-1.068777466,5.192287515
16.59378433,6.700067139,-4.260889435,-1.331780548,8.051069362
16.60372433,8.799750824,-8.421038361,-1.610800323,12.28593421
16.61366333,11.13324829,-13.79037277,-1.870659943,17.82197989
16.62360333,14.0593634,-18.68414612,-1.681902466,23.44337457
16.63354333,17.78242126,-22.02774307,-1.549577637,28.35202218
16.64348233,20.95043335,-24.05931839,-1.213077393,31.9255856
16.65342233,22.97676956,-25.77789459,-0.6342311096,34.53742953
16.66336133,25.44768127,-29.27432373,0.1716929626,38.78917363
16.67330133,28.68469986,-33.0503714,1.379082184,43.78402589
16.68324033,28.7067041,-32.55819489,2.739752655,43.49272536
16.69318033,26.43772247,-28.70460846,3.860771484,39.21496236
16.70311933,25.14516037,-24.81494705,4.772675171,35.64883049
16.71305933,24.51227646,-21.21493332,5.229375458,32.83704403
16.72299833,23.56968658,-17.9690831,5.162614288,30.08439229
16.73293833,22.1971907,-15.24085648,4.672234039,27.32816774
16.74287733,20.29195267,-12.83790344,3.763324127,24.30509651
16.75281733,17.90097473,-10.43075912,2.504441986,20.86906471
16.76275633,15.3466864,-7.993377686,0.916993103,17.32788927
16.77269633,12.72009842,-5.829776917,-0.953966217,14.02487983
16.78263533,10.2120639,-4.033961334,-3.140319672,11.4201883
16.79257533,7.741900635,-2.137405243,-5.423521729,9.691239062
16.80251433,5.11561203,-0.2302212524,-7.679181061,9.229968041
16.81245433,2.517015839,1.381028137,-9.296867065,9.730074238
16.82239333,0.4704716492,2.440524902,-9.555080109,9.873047212
16.83233333,-0.8665480042,2.921774139,-8.158783722,8.70938697
16.84227333,-1.942809906,3.102747803,-6.076014862,7.093624663
16.85221233,-3.311264191,3.24465271,-4.357139282,6.362146216
16.86215233,-4.731361084,3.353027344,-3.120710449,6.585393214
16.87209133,-5.742358704,3.249742126,-2.324516144,6.995633114
16.88203133,-6.264023895,2.80352005,-1.764081573,7.085880597
16.89197033,-6.902745667,1.982627106,-1.3841716,7.314002939
16.90191033,-7.390581207,1.21801712,-1.327289886,7.606967512
16.91184933,-7.317084045,0.832868042,-1.505419464,7.516626628
16.92178933,-6.892566833,0.4513114929,-1.688039703,7.110600373
16.93172833,-6.03993988,0.2700384521,-1.815724182,6.312737032
16.94166833,-4.517156525,0.4254153442,-1.818717957,4.888089227
16.95160733,-2.720143433,0.5861810303,-1.645228729,3.232578857
16.96154733,-1.067879333,0.6237528992,-1.46500351,1.917203493
16.97148633,0.3647914124,0.6761439514,-1.371448059,1.57197748
16.98142633,1.559008026,0.7732919312,-1.451681213,2.266244643
16.99136533,2.444566498,0.8692424011,-1.652563477,3.076110167
17.00130533,3.069666595,0.9475296021,-1.924547882,3.744936569
17.01124433,3.633693695,0.8997789001,-2.138003998,4.310961961
17.02118433,4.143533478,0.6858737183,-2.256856842,4.767881631
17.03112333,4.638853455,0.3686833191,-2.360142059,5.217773405
17.04106333,5.274581451,-0.203127594,-2.44202179,5.816007284
17.05100333,6.217770081,-1.539099426,-2.484832764,6.870508401
17.06094233,7.45225296,-3.73368576,-2.300266571,8.646832359
17.07088233,8.836873627,-6.580765228,-2.062411194,11.20938653
17.08082133,10.33480865,-10.08273285,-2.060914307,14.58482566
17.09076133,12.41428436,-14.30709824,-2.271226959,19.07789265
17.10070033,15.89724152,-19.20775726,-2.678230591,25.07654574
17.11064033,20.75269455,-24.64220627,-2.779569855,32.33633667
17.12057933,24.42246323,-27.6623259,-2.290536804,36.97171274
17.13051933,23.74916336,-26.70087524,-1.50826355,35.76638587
17.14045833,24.07189224,-28.04837311,-0.5176235962,36.96532381
17.15039833,25.30847076,-30.25987427,0.9776170349,39.46054255
17.16033733,24.3392363,-29.57220428,2.777923279,38.40091858
17.17027733,22.09615082,-27.29963013,4.590354309,35.42006548
17.18021588,20.24360321,-24.73695923,6.328839111,32.58488649
17.19015587,18.88338181,-21.65067719,7.766000519,29.75978318
17.20009488,17.95216827,-18.28522568,8.622070312,27.03645539
17.21003487,17.43080246,-14.49570602,8.845555573,24.33520538
17.21997388,17.08966187,-10.60245209,8.083490295,21.67513202
17.22991387,16.42639114,-7.029082947,6.264472961,18.93351406
17.23985288,15.0441655,-4.152065735,3.649860077,16.02772735
17.24979287,12.98534683,-2.321372681,0.7568261719,13.21290238
17.25973288,10.2054776,-1.331032104,-2.285597076,10.54264547
17.26967187,6.987918549,-0.3141966248,-5.313949585,8.784519643
17.27961188,3.51723587,1.38656662,-8.289611664,9.111046959
17.28955087,-0.01062789917,3.218756561,-10.52880524,11.009825
17.29949088,-2.583777008,3.912414093,-10.74151291,11.7201957
17.30942987,-3.700005798,3.552562408,-8.977581024,10.33961816
17.31936988,-4.327800293,2.940185852,-6.697971497,8.499257049
17.32930887,-5.242398376,2.830763397,-4.968018951,7.757394824
17.33924888,-5.990093536,2.808310089,-3.785478058,7.622182775
17.34918787,-6.199208679,2.482138367,-2.923420715,7.289553333
17.35912788,-5.83292038,2.26179657,-2.264640656,6.653366154
17.36906687,-4.90619751,2.080972595,-1.621278534,5.5704367
17.37900688,-3.58040451,1.977388,-1.288819885,4.288404885
17.38894587,-2.050286407,2.071542206,-1.252894592,3.172492131
17.39888588,-0.5956114197,2.204765167,-1.306034088,2.630868192
17.40882487,0.7116201782,2.212698669,-1.443598022,2.736131198
17.41876488,1.823507996,2.017654266,-1.644480286,3.178116668
17.42870387,2.608026581,1.758992157,-1.755549316,3.602472686
17.43864388,3.177891541,1.634750519,-1.695673828,3.955592703
17.44858287,3.562142487,1.657652893,-1.472338257,4.195765979
17.45852288,3.859274597,1.706301727,-1.139580231,4.370824762
17.46846188,4.153263245,1.714085541,-0.6929090881,4.546186075
17.47840188,4.428540802,1.662293243,-0.1959425354,4.734298886
17.48834187,4.761298828,1.566941528,0.2633024597,5.019422324
17.49828088,5.131029968,1.391356659,0.6441105652,5.355204973
17.50822087,5.560187531,1.042432251,0.8915460205,5.726884378
17.51815988,6.136638794,0.2691403198,1.024020538,6.227310034
17.52809987,6.826853485,-1.177750854,1.06593338,7.009225318
17.53803888,7.597900085,-3.362607422,1.048120422,8.374590784
17.54797887,8.653055878,-6.376140747,1.003363495,10.79524364
17.55791788,10.06491989,-10.27328659,0.8333171082,14.40616004
17.56785787,11.99874847,-14.74119553,0.6129753113,19.01705943
17.57779688,14.93743744,-19.24502975,0.2032772827,24.36266671
17.58773687,19.07154053,-23.84301819,-0.3357518005,30.53401224
17.59767588,23.96157166,-27.96873871,-0.9964778137,36.84291288
17.60761587,26.85505463,-29.38419525,-1.732497253,39.84503026
