Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.001443958346,-19.21808578,-4.559219055,62.25374268,65.31194207
0.01138395834,-18.92709091,-1.620979156,20.90343109,28.24563285
0.02132295835,-10.97622482,2.2746698,7.874375153,13.69881083
0.03126195833,-13.84635635,2.058519287,-5.096302185,14.89736157
0.04120195835,-15.46958084,0.7411088562,-5.134772186,16.31634331
0.05114095833,-13.08084824,0.8095166016,-2.41507782,13.326534
0.06107995834,-9.948013,0.8370593262,-0.9642947388,10.02963087
0.07101995836,-7.664511566,0.2866539001,-0.2070195007,7.672663493
0.08095895834,-5.897136841,-0.3704795837,-0.1206491089,5.909994437
0.09089895835,-4.292623444,-0.8406518555,-0.2656974792,4.382226229
0.1008379583,-2.953508148,-0.959355011,-0.4481680298,3.137582987
0.1107769583,-1.974992981,-0.7197033691,-0.4758604431,2.155229309
0.1207169583,-1.30812973,-0.3918850708,-0.3893403625,1.419987048
0.1306559583,-0.7361691284,-0.2683918762,-0.552052002,0.958509571
0.1405949583,-0.2565664673,-0.1679507446,-0.3861968994,0.4931347178
0.1505349583,0.001796264648,-0.1209484863,-0.3447331238,0.3653391432
0.1604739583,0.2399510193,-0.1321751404,-0.3616479492,0.4536915236
0.1704139583,0.528999939,-0.2037263489,-0.5378315735,0.7814142065
0.1803529583,0.9136999512,-0.4748126221,-1.254690857,1.623127775
0.1902919583,1.476379852,-0.7542814636,-2.78016861,3.23697011
0.2002319584,2.283202057,-0.7330256653,-4.574936371,5.165305514
0.2101709583,3.151246948,-0.6715036011,-5.348976746,6.244423644
0.2201099583,3.755091248,-0.559536438,-5.679339752,6.831448699
0.2300499583,3.955973511,-0.287252655,-5.861211548,7.077149236
0.2399889583,4.005520477,-0.0758921814,-5.944288788,7.168299876
0.2499279583,3.718118134,-0.002395019531,-5.898633728,6.972681554
0.2598679583,3.713328094,0.1905537415,-5.618865509,6.737712214
0.2698069583,3.801494751,0.3135978699,-5.211113434,6.457972529
0.2797469583,3.638483734,0.3332070923,-4.688101044,5.943726293
0.2896859583,3.457510071,0.5095404053,-4.090992737,5.380541691
0.2996249583,3.107687531,0.7104226685,-3.476819916,4.717064647
0.3095649584,2.569406891,0.8228388977,-2.74618927,3.849736501
0.3195039583,2.04175415,0.8273295593,-1.989363098,2.968299134
0.3294429583,1.63460083,0.809815979,-1.400188293,2.299619327
0.3393829583,1.353934479,0.7786807251,-0.9035211182,1.8043926
0.3493219583,1.051413574,0.6912625122,-0.4869374084,1.349230301
0.3592619583,0.8524772644,0.6517446899,-0.1926493835,1.09023044
0.3692009583,0.9689350891,0.6725514221,-0.1083746338,1.184443196
0.3791399583,1.28118576,0.6535409546,-0.1978884888,1.451796331
0.3890799583,1.752555542,0.5932164001,-0.5128335571,1.919988251
0.3990189583,2.240540771,0.5685177612,-0.8942404175,2.478487708
0.4089579583,2.55084549,0.5396278381,-1.215472412,2.876696734
0.4188979583,2.473157043,0.5647755432,-1.312770081,2.856368754
0.4288369583,1.821562042,0.5813909912,-1.163231049,2.2381265
0.4387769584,0.9903405762,0.5149291992,-0.8825646973,1.422971181
0.4487159583,0.4638853455,0.4658312988,-0.7926017761,1.029760161
0.4586549583,0.003742218018,0.4173321533,-1.385818176,1.447298224
0.4685949583,-0.8825646973,0.2053729248,-3.501219177,3.616577693
0.4785339583,-2.823578339,-0.365539856,-7.349117432,7.881354011
0.4884729583,-6.837182007,-1.058448944,-8.513396301,10.97020002
0.4984129583,-18.40228226,-2.551294556,-9.691745911,20.95430827
0.5083519583,-53.88838852,-8.721313934,-12.36788086,55.97306683
0.5182909583,-80.23854309,-16.21278534,-17.05837692,83.61857706
0.5282309583,-78.26414886,-10.45291306,-3.075055389,79.01896199
0.5381699583,-78.63388,-2.262844391,19.00043839,80.92851295
0.5481099583,-60.49415176,-1.83473465,59.70289719,85.01379054
0.5580489583,-26.03476044,-4.521647186,62.0039122,67.39984549
0.5679879583,-22.66182449,-0.6858737183,23.28902023,32.502418
0.5779279583,-13.1383287,3.644022217,9.347012787,16.53061484
0.5878669583,-15.85008957,1.996997223,-4.569397888,16.61603847
0.5978059583,-15.85622681,0.5685177612,-3.755240936,16.30475316
0.6077459583,-12.89463547,0.9211843872,-0.7744894409,12.95067714
0.6176849583,-9.470356293,0.4852908325,0.5254074097,9.497326384
0.6276249583,-6.677913208,-0.5132826233,0.9693841553,6.767399021
0.6375639583,-4.797822876,-1.152752838,0.5158273315,4.961251988
0.6475029583,-3.273093567,-1.225651245,-0.1197509766,3.497099193
0.6574429583,-1.990859985,-1.040935364,-0.4679269409,2.294782241
0.6673819583,-1.126407623,-0.6917115784,-0.5941145325,1.449217416
0.6773209583,-0.7417076111,-0.423918457,-0.5837860107,1.034718872
0.6872609583,-0.672102356,-0.2583627319,-0.6137237549,0.946112956
0.6971999583,-0.5014572144,-0.1029858398,-0.9611512756,1.088979888
0.7071399583,-0.3246748352,-0.08322692871,-2.00552948,2.033344281
0.7170789583,-0.4076023865,-0.03847000122,-2.78944931,2.819334514
0.7270179583,-0.6665638733,-0.03891906738,-3.349883881,3.415778697
0.7369579583,-0.2995271301,-0.1824705505,-4.492757263,4.506426503
0.7468969583,1.210682373,-0.1794767761,-5.635630646,5.76700065
0.7568359583,2.745889893,-0.2588117981,-6.859485626,7.393202142
0.7667764167,4.154011688,-0.2163002014,-7.717201996,8.766858361
0.7767154167,5.222639465,-0.05463638306,-7.666008453,9.276132477
0.7866554167,5.708678741,0.1645079041,-6.87774765,8.939770051
0.7965944167,5.867348785,0.03173400879,-5.926176453,8.339445795
0.8065334167,5.744753723,-0.1001417542,-5.486989746,7.944764325
0.8164734167,5.12728775,0.2007325745,-5.220244446,7.319858285
0.8264124167,4.298161926,0.3131488037,-4.417014771,6.171083989
0.8363514167,3.992796936,0.3727249146,-3.547922058,5.354353571
0.8462914167,3.652105408,0.4818479919,-2.767744446,4.607652408
0.8562304167,3.171903992,0.5644761658,-2.162403259,3.880154137
0.8661704167,2.54845047,0.6381230164,-1.463057556,3.007048086
0.8761094167,1.854044495,0.699944458,-0.7012916565,2.102192479
0.8860484167,1.137035522,0.6306385803,-0.2257305908,1.319662494
0.8959884167,0.807121582,0.5412744141,-0.04909790039,0.9730538748
0.9059274167,0.6664141846,0.6239025879,0.189206543,0.9322882711
0.9158664167,0.6638694763,0.7024891663,0.4120930481,1.050730408
0.9258064167,1.049916687,0.8144563293,0.5275030518,1.429658572
0.9357454167,1.622026978,0.8845106506,0.5634283447,1.931523261
0.9456854167,2.167193298,0.9111552429,0.3176394653,2.372303838
0.9556244167,2.869981842,1.128203888,-0.08951385498,3.085069289
0.9655634167,3.043321381,1.500928802,-0.4851411438,3.427820623
0.9755034167,1.510209503,1.093625793,-0.7316784668,2.003023589
0.9854424167,0.5474116516,0.6053411865,-0.4718188477,0.9427144284
0.9953814167,0.2149530029,0.3951782227,-0.06541397095,0.4545872949
1.005321417,0.1273851013,0.2047741699,0.0975970459,0.260162657
1.015260417,0.05149291992,-0.07933502197,-1.388662262,1.391879465
1.025199417,-1.458117828,-0.615819397,-4.997058563,5.241749271
1.035139417,-4.911286926,-1.812730408,-8.762478333,10.20724044
1.045078417,-13.68723724,-3.873944092,-9.551786957,17.13430886
1.055018417,-46.15067917,-10.67879333,-11.82705551,48.82418516
1.064957417,-80.12687531,-27.68298294,-15.18337601,86.12315947
1.074896417,-78.48838257,-19.55593323,-0.9053173828,80.89301776
1.084836417,-78.55768845,-0.936302948,16.62981812,80.30403432
1.094775417,-69.4768222,4.130211182,42.64526871,81.62540298
1.104714417,-28.70820099,-2.586321716,69.04497025,74.82016961
1.114654417,-23.42044693,-0.7897576904,26.34955582,35.26244664
1.124593417,-11.32963989,3.357518005,11.78484329,16.68880459
1.134533417,-9.755962372,2.461331635,-1.171912994,10.12967597
1.144472417,-10.14260834,0.7906558228,-3.576063538,10.78359267
1.154411417,-8.414751434,0.537532196,-2.064207458,8.680894827
1.164351417,-6.144272919,0.5780978394,-1.672172699,6.393938407
1.174290417,-3.674259338,0.2826123047,-1.240021362,3.888149223
1.184230417,-2.06046524,-0.1222956848,-1.27190506,2.424503191
1.194169417,-1.088686066,-0.3644920349,-1.514400787,1.9003951
1.204108417,-0.4852908325,-0.4869374084,-1.664388885,1.800779163
1.214048417,-0.2424957275,-0.4776567078,-1.718127136,1.799700243
1.223987417,-0.3447331238,-0.4670288086,-1.852397919,1.941219947
1.233926417,-0.7005432129,-0.3972738647,-2.052831116,2.205153715
1.243866417,-1.127305756,-0.3622467041,-2.341430969,2.62380257
1.253805417,-1.288819885,-0.3685336304,-2.754871216,3.063688814
1.263745417,-1.350192261,-0.3132984924,-3.323538666,3.600983803
1.273684417,-1.394949188,-0.3610491943,-4.037104797,4.286543468
1.283623417,-1.267264709,-0.5574407959,-4.932692413,5.12329528
1.293563417,-0.03502716064,-0.7988887024,-5.899980927,5.953925175
1.303502417,1.90254364,-0.5246589661,-6.937174072,7.212442266
1.313441417,3.85074234,-0.1727407837,-7.267986145,8.226887537
1.323381417,5.32158371,-0.15328125,-7.394173737,9.111342029
1.333320417,6.226901093,-0.2606080627,-7.397017822,9.672542915
1.343260417,6.205495605,-0.4372407532,-6.010151825,8.649929488
1.353199417,5.305417328,-0.426612854,-4.4006987,6.906200156
1.363138417,4.359234924,-0.1514849854,-3.675307159,5.703837265
1.373078417,3.994593201,0.07035369873,-3.531007233,5.331954291
1.383017417,3.81212265,0.2333647156,-3.527265015,5.198878405
1.392956417,3.328029327,0.4034111023,-3.175795898,4.617813261
1.402896417,2.83510437,0.5459147644,-2.611020355,3.892719745
