Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.003442999994,0.6545887756,-0.2866539001,-0.4451742554,0.8419246055
0.013382,1.443598022,-0.7810757446,0.3631448364,1.681049893
0.02332199999,1.42638382,-0.8653504944,-0.03667373657,1.668756196
0.033261,1.215921478,-0.5495072937,-0.2495310974,1.357456841
0.04320099999,0.9762698364,-0.5040019226,-0.2395019531,1.124491848
0.05314,0.6789880371,-0.5128335571,-0.2772235107,0.8949166926
0.06307899999,0.4529580688,-0.4884342957,-0.3335064697,0.7449601591
0.073019,0.3683839417,-0.4649331665,-0.2966830444,0.6632423438
0.08295799998,0.3620970154,-0.4725672913,-0.2237846375,0.6360138814
0.09289699999,0.3791615295,-0.5487588501,-0.2248324585,0.7038816487
0.102837,0.390687561,-0.7476951599,-0.2561174011,0.8816353814
0.112776,0.3926335144,-1.07057373,-0.3291654968,1.186861034
0.122716,0.4912783813,-1.448388062,-0.3050656128,1.559566431
0.132655,0.0383203125,-3.222199402,9.468859406,10.00216656
0.142594,-2.573448486,-7.84892807,15.59801376,17.65010885
0.152534,-3.325634308,-7.47455658,0.8523275757,8.225284306
0.162473,-5.602998505,-7.275769958,6.703210602,11.36940865
0.172412,-6.606511688,-10.73732162,2.755020905,12.90450358
0.182352,-8.116721191,-14.57938202,-1.253343658,16.73351168
0.192291,-10.79420334,-19.04160278,-0.4158352661,21.89224477
0.202231,-12.54840546,-28.83154449,5.696104889,31.95568883
0.21217,-14.77277985,-35.63310059,5.511389008,38.96573226
0.222109,-15.65654205,-37.42966461,3.001109161,40.68308934
0.232049,-13.6281102,-41.13670578,3.311264191,43.46168911
0.241988,-5.781876526,-38.41252075,3.602558441,39.01192477
0.251928,-0.9922865295,-31.56141769,2.676883392,31.69027334
0.261867,-3.600762177,-28.81507874,3.323987732,29.22880677
0.271806,-6.103407898,-28.21213257,3.831881561,29.11802411
0.281746,-6.662046204,-28.68080795,4.210144958,29.74385525
0.291685,-5.787115631,-29.3225235,4.581822052,30.23729791
0.301624,-4.850662994,-27.80018921,5.11680954,28.6803276
0.311564,-4.793332214,-24.23310699,5.250331879,25.25441532
0.321503,-5.226381683,-19.96817596,4.520299988,21.12998412
0.331443,-5.858966217,-15.95083008,2.87372406,17.23411603
0.341382,-6.179449768,-12.63462616,1.413809967,14.13570784
0.351321,-5.713019714,-10.14799713,0.7851173401,11.6720542
0.361261,-4.672683105,-7.866890717,0.4555027771,9.161300111
0.3712,-3.356170807,-5.870043182,-0.2230361938,6.765429372
0.381139,-1.763782196,-4.359833679,-0.9632469177,4.800720984
0.391079,-0.1333726501,-3.242557068,-1.359023895,3.518367597
0.401018,1.063688049,-2.124981079,-1.656006317,2.896434666
0.410958,1.667831726,-0.9849517822,-1.889820099,2.706143508
0.420897,1.839973755,-0.1234931946,-1.660496979,2.481532632
0.430836,1.89550827,0.6596781921,-0.686023407,2.121026882
0.440776,2.011666718,1.553020477,1.165476379,2.795891768
0.450715,2.493963776,2.994822235,4.091441803,5.650549669
0.460655,3.230282593,4.378844147,5.127138062,7.476399293
0.470594,3.502266998,4.456532593,3.350332947,6.584169479
0.480533,2.661016388,2.681374054,1.776356049,4.174471924
0.490473,0.9610015869,0.9231303406,1.17595459,1.777234614
0.500412,-0.08711883545,0.152233429,0.8547225952,0.8725339095
