Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
19.88536942,-0.703686676,-2.734064484,-0.08322692871,2.824395557
19.89530942,-0.904119873,-2.194736023,-0.1396595764,2.377772856
19.90524842,-0.8045768738,-1.584155731,-0.2543211365,1.79487397
19.91518842,-0.386945343,-1.033450928,-0.4959187317,1.209827635
19.92512742,-0.05852828979,-0.5993536377,-0.8686436462,1.056973097
19.93506742,0.1245410156,-0.2501298523,-1.272054749,1.30238193
19.94500642,0.4475692749,0.02499801636,-1.478026428,1.544508103
19.95494642,0.659229126,0.1043330383,-1.46500351,1.609876923
19.96488642,0.8126600647,0.02409988403,-1.392853546,1.612773445
19.97482542,1.068927155,-0.1318757629,-1.29181366,1.681897443
19.98476542,1.25199646,-0.5602848816,-1.19930603,1.822017903
19.99470442,1.484912109,-1.347497864,-1.035845947,2.256920754
20.00464442,2.003284149,-2.397115173,-0.7746391296,3.218598191
20.01458342,3.522924042,-4.01105896,2.079026642,5.729043512
20.02452342,7.544610901,-6.712640991,10.61652283,14.65234656
20.03446242,10.95062805,-8.558302917,8.645421753,16.36777691
20.04440242,10.54886353,-8.197253723,-1.317709808,13.42422621
20.05434142,13.70040985,-9.773625641,-1.336720276,16.88229278
20.06428142,20.56962524,-14.30335602,3.417393494,25.28584692
20.07422142,29.30755463,-20.07864624,3.59806778,35.70757461
20.08416042,34.93974243,-25.29859131,3.462898865,43.27581301
20.09410042,37.1736969,-30.3324733,6.116281128,48.36684373
20.10403942,36.0085199,-32.13741989,6.327192535,48.67710579
20.11397942,29.19768311,-30.1121315,6.798861694,42.4908188
20.12391842,23.23558136,-24.03671539,6.795269165,34.11497635
20.13385842,21.95484467,-17.51477783,4.981640625,28.52366369
20.14379742,20.5197789,-14.03975418,4.597389679,25.28462014
20.15373742,18.21547073,-11.90399551,4.945715332,22.31520969
20.16367642,16.56335632,-10.99388809,3.58743988,20.20099188
20.17361642,15.69695801,-10.16401382,2.100581818,18.81791996
20.18355542,14.86259308,-9.071136475,0.9117539978,17.43598249
20.19349542,13.54488327,-8.011040955,-0.2865042114,15.73920978
20.20343542,11.64159119,-6.810238037,-1.137933655,13.53517198
20.21337442,9.24956543,-5.723497925,-1.704056396,11.00984547
20.22331442,6.887627106,-4.613556061,-1.697320404,8.461985773
20.23325342,4.880151672,-3.390748901,-1.12565918,6.04815402
20.24319342,3.235521698,-2.225122833,-0.4549040222,3.953063363
20.25313242,1.641037445,-1.46021347,0.05748046875,2.197391927
20.26307242,0.1682501221,-0.9403445435,0.1797761536,0.9720470304
20.27301142,-1.211580505,-0.629740448,-0.03682342529,1.365963513
20.28295142,-2.4034021,-0.1848655701,-0.3224295044,2.431969925
20.29289042,-3.426374817,0.3561094666,-0.4773573303,3.477747598
20.30283042,-4.102668457,0.9036708069,0.1028361511,4.20227137
20.31277042,-4.263434143,1.27894043,1.017583923,4.565964997
20.32270942,-4.029620361,1.428928528,1.875150604,4.668604372
20.33264942,-3.50795517,1.030606842,3.271896057,4.906445123
20.34258842,-2.464774475,-0.7631130981,5.07818985,5.696092254
20.35252842,-2.06166275,-2.962938538,6.19561615,7.170433568
20.36246742,-2.410587158,-4.227209473,6.014043732,7.736210466
20.37240742,-2.572700043,-4.37031189,4.643793182,6.87628
20.38234642,-2.407294006,-3.817511444,2.879711609,5.353615321
20.39228642,-1.905836792,-2.697690125,1.4239888,3.596872251
20.40222542,-1.196312256,-1.453028412,0.6354286194,1.986510536
20.41216542,-0.4312532043,-0.7450007629,0.07948471069,0.8644786187
20.42210542,0.2830613708,-0.4031117249,-0.3694317627,0.6157131066
20.43204442,0.8128097534,-0.06301895142,-0.7217990112,1.088864039
20.44198442,1.086889801,0.1995350647,-1.125509491,1.577312682
20.45192342,1.15844101,0.347277832,-1.459914093,1.895768083
20.46186342,1.325643311,0.3841012573,-1.641935577,2.144951375
20.47180242,1.366208954,0.4197271729,-1.60765686,2.151106317
20.48174242,1.245260468,0.4278103638,-1.44973526,1.958424791
20.49168142,1.143322449,0.3668870544,-1.419198761,1.859009805
20.50162142,1.13493988,0.2137554932,-1.395997009,1.811791266
20.51156042,1.236279144,-0.2480342102,-1.266366577,1.787062226
20.52150042,1.582658844,-1.089883575,-1.072669373,2.200744149
20.53144042,2.254312134,-2.129771118,-0.8774752808,3.223012734
20.54137942,3.535198517,-3.219055939,-0.6950047302,4.831457468
20.55131942,5.941295013,-5.051395569,2.289039917,8.127440395
20.56125821,10.78731766,-8.662635956,12.06161774,18.35456636
20.57119821,16.82201843,-12.2584584,6.427933044,21.78459157
20.58113721,18.44988327,-12.50739075,-0.9461824036,22.30982468
20.59107721,23.94675247,-16.82156937,0.6635700989,29.27204255
