Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
19.88150992,0.4953199768,-0.3884422302,1.764231262,1.873163418
19.89144992,2.223027191,1.162033539,1.791923676,3.082719951
19.90138992,5.029840393,2.147284698,1.728605347,5.735695459
19.91132992,8.870852966,1.917362823,0.9412426758,9.124376709
19.92126992,12.96783325,0.9264234924,0.135617981,13.00159036
19.93120992,18.48371292,-0.5592370605,1.271605682,18.53584016
19.94114992,22.74744644,-1.172062683,2.429597626,22.90683294
19.95108992,27.09680191,-0.5816903687,1.910327454,27.17028503
19.96102992,30.42617844,0.08652008057,2.749632111,30.55029127
19.97096992,31.54989166,0.7788304138,3.343896332,31.7361605
19.98091092,28.5195932,0.9337582397,4.772076416,28.93115646
19.99085092,22.5277034,-0.5264552307,5.989045715,23.31615843
20.00079092,19.54650284,-0.8604107666,4.353097687,20.04384043
20.01073092,19.49950058,-0.01796264648,3.793112183,19.86500807
20.02067092,23.0638884,0.02993774414,2.936443634,23.250087
20.03061092,24.04524765,-0.4641847229,1.613943787,24.10382162
20.04055092,19.14743271,-0.3158432007,1.660946045,19.22193221
20.05049092,15.54696991,-2.244133301,10.3023262,18.78516257
20.06043092,14.26877792,-5.807922363,16.58431274,22.63557852
20.07037092,4.88973175,2.445614319,-11.16857483,12.43493344
20.08031192,-0.7631130981,6.752907257,-20.12040939,21.23711308
20.09025192,1.865271149,2.917582855,-11.72661438,12.22722417
20.10019192,1.444346466,1.276695099,-6.345753937,6.6320947
20.11013192,-0.7875123596,0.2260299683,-3.311563568,3.41141005
20.12007192,-1.460812225,-0.2659968567,-1.601070557,2.183610225
20.13001192,-1.932780762,-0.1336720276,-1.041833496,2.199756059
20.13995192,-2.262095947,-1.408271484,-0.2371069336,2.675168471
20.14989192,-1.866169281,-1.44734024,0.8544232178,2.511457862
20.15983192,-1.243613892,-0.4248165894,0.8336164856,1.556265109
20.16977192,-0.8704399109,-0.3189866638,0.2029779053,0.9490090412
20.17971292,-1.0086026,-0.725690918,1.187031555,1.718415091
20.18965292,-1.135388947,-0.5182223511,1.209035797,1.73765072
20.19959292,-1.097817078,-0.4209246826,1.367406464,1.80338026
20.20953292,-0.9475296021,-0.3811074829,1.115180969,1.512178513
20.21947292,-0.6698570251,-0.08816665649,1.656605072,1.789084167
20.22941292,0.4595443726,0.5378315735,2.490071869,2.588610002
20.23935292,3.106040955,1.40527771,3.171305237,4.656122073
20.24929292,6.809339905,2.139500885,3.381617889,7.898095563
20.25923292,11.37289993,2.367177429,2.9169841,11.97727757
20.26917292,15.68797668,1.680405579,2.060165863,15.91165167
20.27911392,19.55922638,0.200433197,1.275647278,19.60180568
20.28905392,23.87130936,-1.108744354,1.004710693,23.91815561
20.29899392,27.78881287,-2.184407501,0.9364526367,27.89026174
20.30893392,30.08653473,-1.366957397,1.814526672,30.17218341
20.31887392,30.26002396,-0.5905220032,1.834884338,30.32135496
20.32881392,27.55694504,-1.437311096,3.319796448,27.79338287
20.33875358,23.55561584,-2.298470306,3.714824982,23.9572521
20.34869358,20.43415695,-2.921923828,3.847898254,20.99758868
20.35863358,20.87573868,-1.628463593,3.668720856,21.25812484
20.36857358,22.58069321,-1.024020538,3.186274109,22.82736661
20.37851458,21.71534271,-0.01916015625,3.16980835,21.94548157
20.38845458,18.55765915,0.7156617737,4.06958725,19.01211259
20.39839458,15.21121811,0.3459306335,13.4715358,20.32198566
20.40833458,11.04508163,-1.912273407,22.07100311,24.75438944
20.41827458,4.191134491,2.812201996,-7.762557678,9.259124694
20.42821458,-0.9111552429,4.446802826,-21.02153549,21.50602738
20.43815458,0.9270222473,1.909878387,-11.59443924,11.78719759
20.44809458,1.543141022,0.5298980713,-6.526877289,6.727719028
20.45803458,-1.447639618,-0.4867877197,-3.583547974,3.895438207
20.46797458,-2.501298523,-0.1675016785,-2.366428986,3.447395721
20.47791558,-2.915337524,-0.3709286499,-1.857337646,3.476562106
20.48785558,-2.629731445,0.4933740234,-1.832639008,3.243065083
20.49779558,-1.238823853,-0.1954934692,-1.113833771,1.677357417
20.50773558,-0.1794767761,0.266894989,-0.3475772095,0.4735554507
20.51767558,0.3580554199,-0.2989283752,-0.1857637024,0.5020657431
20.52761558,0.6063890076,-0.2164498901,-0.2065704346,0.6761874946
20.53755558,0.6518943787,-0.3977229309,-0.08637039185,0.7685113241
20.54749558,0.2950364685,-0.9809101868,0.2447410583,1.053152172
20.55743558,0.01571731567,-1.491049347,0.3399430847,1.529390888
20.56737558,-0.200433197,-1.475332031,0.9301657104,1.755558691
20.57731658,0.00209564209,-0.8081694031,1.976340179,2.135196169
20.58725658,1.88263504,0.270637207,2.972518616,3.528941217
20.59719658,5.526058502,1.397942963,3.027304688,6.45415686
20.60713658,10.1192569,1.644031219,1.982028351,10.44177356
20.61707658,14.91917542,0.5905220032,0.9011260986,14.95802592
20.62701658,19.17377792,-1.796713715,1.708397369,19.33340533
20.63695658,24.05348053,-3.379372559,2.649939423,24.4338344
20.64689658,28.425439,-3.918850708,1.575623474,28.73752881
20.65683658,31.18629776,-2.763852539,0.752485199,31.31757147
20.66677658,31.70811264,-0.9361532593,0.7999365234,31.73201362
20.67671658,27.46294052,-0.5007087708,2.349364471,27.56779507
20.68665758,21.85290665,-1.367556152,4.636009369,22.38107061
20.69659758,18.76961838,-1.196761322,4.016298065,19.2317826
20.70653758,22.17788086,0.5128335571,3.852987671,22.51592573
20.71647758,26.63755692,0.7111711121,2.998414764,26.81521385
20.72641758,24.0817717,-0.2158511353,2.52390152,24.21463191
20.73635758,18.62501907,-1.245709534,7.319928131,20.05054801
20.74629758,15.69456299,-4.512067108,18.44045288,24.6318566
20.75623758,10.03109024,-4.192631378,5.373525696,12.12747738
20.76617758,-0.1104702759,8.481811981,-20.80209183,22.46509209
