Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.009221291664,-0.4917274475,3.715872803,-14.66410583,15.1355709
0.01916029165,0.3911366272,3.584446106,-11.79247742,12.33141376
0.02909929166,0.1697470093,2.952759705,-8.400830383,8.906264933
0.03903929165,-0.8770262146,2.067201233,-5.719606018,6.144622765
0.04897829166,-2.171234894,1.084943848,-3.921395416,4.611800747
0.05891729167,-3.155438232,0.3673361206,-2.640808411,4.131052569
0.06885629165,-3.567082214,-0.1231938171,-0.9740245056,3.699726473
0.07879529166,-3.895798645,-0.3064128113,0.0513432312,3.908167348
0.08873529165,-4.169579315,-0.5101391602,0.1682501221,4.204038741
0.09867429166,-4.640350342,-0.8375083923,0.2812651062,4.723704231
0.1086132916,-4.921765137,-0.8906478882,0.2444416809,5.00767186
0.1185522916,-4.576582947,-0.6661148071,0.155975647,4.627434366
0.1284922916,-3.831432495,-0.4498146057,0.3766168213,3.876086735
0.1384312916,-2.890489197,-0.2784210205,0.7940986633,3.010488125
0.1483702917,-1.930385742,-0.03817062378,1.317410431,2.337395207
0.1583092916,-1.09871521,0.2174977112,1.67561554,2.015482028
0.1682482917,-0.4962181091,0.3725752258,1.775757294,1.881052545
0.1781882916,0.005239105225,0.3799099731,1.649719391,1.692906703
0.1881272917,0.7020401001,0.136665802,1.334774323,1.514318439
0.1980662917,1.703757019,-0.6930587769,0.8946894836,2.045382048
0.2080052916,3.269051971,-2.650837555,0.09654922485,4.209864878
0.2179452917,5.895789642,-5.83516571,-0.8216413879,8.335741655
0.2278842916,8.580606537,-10.13692017,-1.6416362,13.38203753
0.2378232917,11.50851791,-15.18397476,-2.881657562,19.2692248
0.2477622917,16.43851593,-19.18784866,-3.695515137,25.53537105
0.2577012916,21.75650711,-20.93561417,-3.726650391,30.4225815
0.2676412917,25.76741638,-20.79026642,-3.777993622,33.32368768
0.2775802916,30.19940002,-21.43437698,-4.793781281,37.34188824
0.2875192917,33.88518539,-23.49050125,-6.019881592,41.66831425
0.2974582917,34.12558548,-24.2834024,-6.43317215,42.3748147
0.3073982917,32.57076874,-24.26768509,-4.844226379,40.90528138
0.3173372917,29.59675323,-24.26274536,-0.6695576477,38.27658451
0.3272762916,25.24470337,-23.10834595,4.206552429,34.48167316
0.3372152917,20.271595,-20.68338867,8.232879639,30.10847784
0.3471542917,15.87014786,-17.35041962,11.42753632,26.14358889
0.3570942917,12.93624893,-13.70430176,13.703703,23.30119952
0.3670332917,10.86545517,-10.21580612,14.71335342,20.95002577
0.3769722916,9.669442291,-7.498207397,13.67840561,18.35265671
0.3869112917,9.275760956,-6.191275177,10.42641815,15.26701756
0.3968512916,8.716374207,-5.973178711,6.049519958,12.17582584
0.4067902917,7.328310699,-5.677393799,1.73294632,9.430802776
0.4167292916,5.003495178,-5.014123077,-2.534230042,7.523211823
0.4266682916,1.660646667,-4.122726746,-6.941964111,8.242905367
0.4366072917,-2.051932983,-2.6701474,-11.1158844,11.61477516
0.4465472916,-4.82431778,-0.4969665527,-15.06587036,15.82723815
0.4564862917,-5.876030731,1.682351532,-17.76101578,18.78328313
0.4664252916,-4.893923035,2.777923279,-16.85270462,17.76741381
0.4763642917,-3.243604889,3.318748627,-12.55873398,13.38868419
0.4863032917,-3.147355042,4.143832855,-8.210276642,9.720382555
0.4962432917,-4.310885468,5.159770203,-4.720433807,8.215196735
0.5061822917,-5.109474792,5.936055908,-2.907404022,8.354429397
0.5161216666,-5.272785187,5.874683533,-2.04175415,8.153706534
0.5260606667,-5.095553741,4.984634399,-1.217717743,7.231464895
0.5360006666,-4.624333649,3.771257629,-0.9151968384,6.036922316
0.5459396667,-4.299359436,2.503244476,-1.043629761,5.08329495
0.5558786667,-4.669090576,0.9857002258,-1.478176117,4.995699788
0.5658176666,-5.09809845,-0.1585203552,-2.099384308,5.515718537
0.5757566667,-4.514911194,-0.3573069763,-2.498604126,5.172534576
