Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
14.910976,-1.587448883,-1.710792389,3.195405121,3.956945595
14.920916,-1.78204422,-2.152523804,3.626808014,4.578512498
14.930856,-1.892813873,-2.687211914,4.305796051,5.416985496
14.940796,-1.64986908,-3.197201385,5.107678528,6.24760311
14.950736,-1.580413513,-3.350782013,6.257437592,7.27193043
14.960676,-1.515149231,-3.310815125,7.551646271,8.383587262
14.970616,-1.620380402,-3.165018311,8.781937866,9.474460736
14.980556,-2.249522095,-2.91234375,9.848320312,10.51339663
14.990496,-3.55825058,-2.74035141,10.04126907,10.99989807
15.000437,-4.247267761,-2.358345795,8.969797211,10.200899
15.010377,-3.879482574,-1.732646942,7.477550354,8.600361025
15.020317,-2.278262329,-0.7807763672,5.696703644,6.184862438
15.030257,-1.511407013,0.5393284607,5.240003357,5.480224587
15.040197,-1.020727386,1.491049347,5.259163513,5.560927388
15.050137,0.1556762695,2.19159256,5.367987213,5.800224114
15.060077,3.178041229,2.323168945,7.52949234,8.496488387
15.070017,12.74973679,1.211281128,15.43006302,20.0526765
15.079957,33.83114777,0.7035369873,21.35818542,40.01516723
15.089897,64.56209244,0.09999206543,22.0353772,68.21899755
15.099837,77.25928848,1.141376495,13.43920303,78.42775386
15.109777,78.57565109,0.07708969116,-3.344345398,78.64682787
15.119717,65.59943527,-4.517904968,-9.163045349,66.39020088
15.129657,34.93809586,-6.231541443,-16.12401993,38.9805935
15.139597,2.073787537,-9.254056091,-49.05419128,49.96250426
15.149537,-32.27049316,-13.23427917,-72.509366,80.46203472
15.159477,-1.896107025,-6.342311096,-20.9921965,22.01118911
15.16941871,4.702171783,-3.212469635,-4.1140448,7.025364421
15.17935871,3.911815338,-2.087259521,-0.5239105225,4.464687423
15.18929871,2.913690948,-1.605561218,1.682052155,3.727830632
15.19923871,1.242266693,-1.541494446,2.195783844,2.956501032
15.20917871,0.1797761536,-1.407822418,2.919079742,3.245814223
15.21911871,-0.4426295471,-1.153501282,3.159030762,3.392043849
15.22905871,-0.6339317322,-0.8512797546,2.863395538,3.053781372
15.23899871,-0.7891589355,-0.6965016174,2.738255768,2.933586709
15.24893871,-0.9036708069,-0.6207591248,2.695145416,2.909599909
15.25887871,-0.9337582397,-0.5119354248,2.916385345,3.104719925
15.26881871,-0.9635462952,-0.4589456177,3.361110535,3.526487852
15.27875871,-0.9544152832,-0.4683760071,3.723955994,3.872742292
15.28869871,-1.037791901,-0.4932243347,3.878434753,4.045063462
15.29863871,-1.453327789,-0.7349716187,4.072880402,4.386422199
15.30857871,-1.878144379,-1.178199921,4.014202423,4.585782644
15.31851971,-2.243235168,-1.953737183,4.070635071,5.041751965
15.32845971,-2.417023773,-2.917582855,4.230802002,5.679258686
15.33839971,-2.426903229,-3.36395462,4.557273102,6.162368708
15.34833971,-2.503843231,-3.423530731,5.285359039,6.776784914
15.35827971,-2.47944397,-3.361559601,6.038592682,7.342501408
15.36821971,-2.209854584,-3.190615082,6.772815857,7.8060564
15.37815971,-1.900148621,-2.747686157,7.146588593,7.888857491
15.38809971,-1.578018494,-1.600771179,7.190447388,7.533601023
15.39803971,-0.6559359741,-0.5854325867,7.418722687,7.470637832
15.40797971,1.122216339,-0.03113525391,8.057444458,8.135278121
15.41791971,4.856201477,-0.1460961914,10.38929535,11.46915405
15.42785971,13.8218074,-2.004032593,16.09872253,21.31261067
15.43779971,29.67833359,-3.877237244,20.16157379,36.08774738
15.44773971,55.5767276,-6.306535492,16.79163162,58.39951997
15.45767971,68.40041061,-8.310568085,11.39250916,69.83889302
15.46761971,69.71916824,-6.538553009,3.265908508,70.10122149
15.47755971,58.09494095,-5.837860107,0.6336323547,58.39096047
15.48749971,40.79601425,-5.106181641,-3.791016541,41.28873546
15.49744071,25.95542542,-4.636308746,-9.811496887,28.1326312
15.50738071,9.983938293,-4.518803101,-25.57312042,27.82234881
15.51732071,-20.68249054,-4.475992126,-64.5188324,67.90051292
15.52726071,-18.78279099,-3.949686584,-43.65806259,47.69087639
15.53720071,-0.2315684509,-1.793570251,-7.344028015,7.563416271
15.54714071,1.363664246,-1.545985107,-3.498973846,4.061091984
15.55708071,2.646496582,-1.34674942,-0.4095483398,2.997567014
15.56702071,2.190095673,-1.463656311,0.4593946838,2.673920778
15.57696071,1.810934143,-1.288819885,0.8996292114,2.397889048
15.58690071,1.382225647,-0.8882528687,1.206940155,2.038687184
15.59684071,1.02027832,-0.5846841431,1.444795532,1.862862724
15.60678071,0.8298742676,-0.3941304016,1.564546509,1.814341713
15.61672071,0.7494914246,-0.2941383362,1.673819275,1.857397567
15.62666071,0.8210426331,-0.2531236267,1.849553833,2.039370481
15.63660071,0.9147477722,-0.1987866211,1.993554382,2.202393853
15.64654071,0.8292755127,-0.2531236267,1.967059479,2.149672635
15.65648071,1.0776091,-0.228874054,2.146536255,2.41272514
15.66642171,1.258582764,-0.3302133179,2.888692932,3.168220047
15.67636171,0.9253756714,-0.7042854309,3.518134003,3.705348157
15.68630171,0.6827302551,-0.9039701843,3.872147827,4.03445306
15.69624171,0.1270857239,-1.166823578,4.147575073,4.310453228
15.70618171,-0.4034111023,-1.25199646,4.196822662,4.398130979
15.71612171,-0.7075785828,-1.136436768,4.053420868,4.268767587
15.72606171,-0.8786727905,-1.316512299,4.021686859,4.321948137
15.73600171,-0.6001020813,-1.177301788,4.214336243,4.416649406
15.74594171,-0.3049159241,-1.079255676,5.237758026,5.356479784
15.75588171,0.03053649902,-1.087787933,7.389832764,7.469527652
15.76582171,1.440454559,-0.8731343079,10.54931259,10.6829429
15.77576171,6.084547119,-0.8689430237,14.43553116,15.68952948
15.78570171,16.53521484,-1.409768372,20.0353862,26.01571596
15.79564171,34.79454437,-2.412982178,26.61300797,43.87180181
15.80558171,53.09399048,-3.151546326,25.88432327,59.15151951
15.81552171,69.52262695,-4.133803711,19.86563919,72.42325326
15.82546171,69.91121887,-6.266119537,8.480913849,70.70197082
15.83540171,50.27654938,-6.055507507,0.7854167175,50.6460015
15.84534271,31.06983994,-4.076472931,-4.788841553,31.69993042
15.85528271,17.37945923,-4.148772583,-13.20164703,22.21579171
15.86522271,2.91114624,-5.084476776,-36.3257103,36.79516144
15.87516271,-18.81212997,-8.641829224,-69.12864624,72.16195104
15.88510271,-10.87997498,-5.217699738,-27.43210464,29.96862712
15.89504271,2.154020691,-2.538421326,-3.291355591,4.681496512
15.90498271,3.305875397,-2.397115173,-1.289568329,4.28228441
15.91492271,3.257226562,-2.194436646,0.9111552429,4.031783842
15.92486271,2.145488434,-2.033371582,1.095721436,3.152511074
15.93480271,1.381626892,-1.792821808,1.369801483,2.645649071
15.94474271,0.7833210754,-1.47084137,1.602268066,2.311758897
15.95468271,0.2794688416,-1.106349335,1.730102234,2.072526338
15.96462271,0.03936813354,-0.8120613098,1.685345306,1.871198071
15.97456271,-0.1333726501,-0.7027885437,1.658101959,1.805824495
15.98450271,-0.3493734741,-0.7300318909,1.688339081,1.872297316
15.99444271,-0.55579422,-0.8129594421,1.715881805,1.978398504
16.00438271,-0.6532415771,-0.8011340332,2.082319794,2.324778704
16.01432271,-0.7089257812,-0.8610095215,2.63272522,2.859222839
16.02426371,-0.6137237549,-0.9369017029,2.833008728,3.046371629
16.03420371,-0.5132826233,-0.9671388245,3.057092743,3.247250005
16.04414371,-0.6872209167,-1.061742096,3.503165131,3.724477789
16.05408371,-0.6709048462,-1.203197937,4.194577332,4.415005955
16.06402371,-0.7705975342,-1.355581055,5.46663208,5.684671218
16.07396371,-1.055604858,-1.428180084,6.794371033,7.022640365
16.08390371,-1.008153534,-1.378633118,7.265591125,7.463632978
16.09384371,-0.6123765564,-1.408870239,7.354655914,7.513380332
16.10378371,-0.6939569092,-1.162332916,7.807913361,7.924399349
16.11372371,-1.257235565,-0.1574725342,8.559051361,8.652329112
16.12366371,-0.6954537964,0.8810678101,8.752748566,8.824428816
16.13360371,1.301393738,1.697170715,9.572144623,9.808158175
16.14354371,7.055128784,2.421514435,13.64203125,15.5481057
16.15348371,23.22854599,2.836002502,22.98230804,32.79931009
16.16342371,49.27198837,1.325343933,28.99141205,57.18380319
16.17336321,69.64701828,0.8240364075,24.0856636,73.6987475
16.18330321,78.84030075,-0.3817062378,11.61060562,79.69156094
16.19324321,69.44029816,-3.595822449,1.182840271,69.54339694
16.20318321,43.79472839,-3.753893738,-5.075944519,44.24743118
16.21312421,23.14666626,-5.131179657,-15.79425568,28.48781627
16.22306421,-0.5343887329,-8.971593475,-53.12138351,53.87630692
16.23300421,-21.45383652,-14.87337067,-70.73211182,75.39572865
16.24294421,-2.799478455,-6.663842468,-17.49726425,18.93140598
16.25288421,3.623664551,-3.909869385,-2.908451843,6.072653086
16.26282421,3.284170532,-3.492986298,-0.7577243042,4.853954623
