Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
14.91194204,-2.352058868,2.397115173,1.932331696,3.874564215
14.92188204,-1.550924835,2.903212738,0.6355783081,3.352308433
14.93182204,-0.8132588196,2.60817627,-0.7306306458,2.828037217
14.94176204,-0.5945635986,2.368824005,-0.9862989807,2.633935975
14.95170204,-0.3650907898,2.366129608,-0.7340734863,2.504141468
14.96164104,-0.09894424438,2.422861633,-1.380579071,2.790348908
14.97158067,-0.08592132568,2.339185638,-2.896776123,3.724309846
14.98152067,-0.2520758057,2.370470581,-2.718347168,3.615533752
14.99146067,-0.2779719543,2.485730896,-1.869163055,3.12248251
15.00140067,-0.06182144165,2.506986694,-0.7183561707,2.608608779
15.01133967,-0.3161425781,2.184407501,2.499801636,3.334754935
15.02127967,-0.832868042,0.8089178467,12.80093033,12.85347558
15.03121967,0.833915863,0.2046244812,5.285658417,5.354948342
15.04115967,1.913021851,0.4834945679,-1.675016785,2.588262125
15.05109967,3.930227051,0.1029858398,-0.3141966248,3.944110834
15.06103867,5.852978668,-0.3809577942,-1.089883575,5.965763517
15.07097867,12.81215698,-3.106639709,3.072211304,13.53665613
15.08091867,22.03747284,-6.615493011,7.236252136,24.12008089
15.09085867,27.29948044,-7.494614868,0.9036708069,28.32397404
15.10079867,37.92603241,-10.2346669,-2.508782959,39.36275312
15.11073767,52.66468323,-14.19153854,-0.6700067139,54.54738797
15.12067767,57.80304794,-14.36532715,-3.870950317,59.68701058
15.13061767,46.59121307,-8.471483459,-0.693507843,47.36019553
15.14055767,28.40253662,-2.062261505,3.27503952,28.66501165
15.15049767,19.61476089,-0.1017883301,1.652713165,19.68452861
15.16043667,14.30066162,-0.3626957703,-0.163460083,14.30619412
15.17037667,10.60005707,-1.805545349,-0.5384303284,10.76620226
15.18031667,7.962841187,-3.112776947,-0.1574725342,8.551082837
15.19025667,6.087540894,-3.832330627,0.1187031555,7.194372982
15.20019667,4.196672974,-3.712280273,0.1782792664,5.605789184
15.21013567,2.581681366,-3.012186127,0.4116439819,3.988457685
15.22007567,1.648821259,-2.153571625,0.6466552734,2.7883051
15.23001567,1.251846771,-1.352287903,0.5075944519,1.911401328
15.23995567,0.8655001831,-0.3659889221,0.2219883728,0.9655657905
15.24989567,0.2713856506,0.589025116,-0.03278182983,0.6493653879
15.25983467,-0.2766247559,1.446741486,0.04939727783,1.473778231
15.26977467,-0.6942562866,2.265688477,0.676892395,2.464451131
15.27971467,-0.8976832581,3.005150757,1.036295013,3.303130887
15.28965467,-0.6313870239,3.092718658,-0.2815644836,3.16904352
15.29959467,-0.09445358276,2.679128723,-2.188149719,3.460440924
15.30953467,0.3944297791,2.329455872,-2.911894684,3.74980935
15.31947367,0.5806425476,2.271526337,-2.427501984,3.374869412
15.32941367,0.3968247986,2.342029724,-1.364562378,2.739453163
15.33935367,-0.3535647583,2.794239349,0.806073761,2.929596643
15.34929367,-1.776356049,3.223097534,4.068090363,5.485723081
15.35923367,-2.771037598,2.493963776,6.48466507,7.479932202
15.36917267,-2.694396973,0.7518864441,5.915847931,6.543879966
15.37911267,-1.368005219,-1.150357819,4.723427582,5.050299942
15.38905267,0.9386979675,-3.235671387,6.827751617,7.613732025
15.39899267,3.702550507,-4.369563446,6.560407562,8.708668804
15.40893267,5.269192657,-2.989882507,0.3272195435,6.067195505
15.41887167,5.154980164,-1.130149841,-5.296885071,7.477168622
15.42881167,6.943760376,-1.405577087,-5.745801544,9.121715326
15.43875167,11.21662491,-2.322121124,-6.188131714,13.01913572
15.44869167,19.24607758,-3.828588409,-5.700296173,20.43435753
15.45863167,33.68684784,-6.316864014,-2.850222931,34.39229942
15.46857067,44.66022858,-8.814420319,-5.981860657,45.91309921
15.47851067,58.40838913,-11.6692836,-1.288370819,59.57660615
15.48845067,66.34413666,-10.90033264,23.18633377,71.11939113
15.49839067,40.07331711,-7.265890503,18.50332214,44.73295026
15.50833067,21.51610703,-6.262527008,-0.3520678711,22.41173929
15.51826967,13.54563171,-6.367009735,-3.050057373,15.27500578
15.52820967,10.10578491,-7.079677734,-1.686542816,12.45364012
15.53814967,6.87655014,-7.522906036,3.275189209,10.70550893
15.54808967,5.493426361,-6.463409271,2.433040466,8.824572426
15.55802967,5.286107483,-4.408632202,-0.1369651794,6.884600909
15.56796867,4.891528015,-2.493215332,-1.552122345,5.705458158
15.57790867,4.003574524,-1.409618683,-1.815424805,4.616427301
15.58784867,2.389031982,-0.6215075684,-1.291065216,2.785784425
15.59778867,0.6727011108,0.1547781372,-0.3942800903,0.7949464422
15.60772867,-0.6876699829,0.9047186279,0.4695735168,1.229595498
15.61766767,-1.377435608,1.489402771,0.5827381897,2.110742349
15.62760767,-1.242266693,1.755848694,-0.2597099304,2.166490346
15.63754767,-0.7943980408,1.691332855,-1.340163116,2.29950261
15.64748767,-0.5316943359,1.676813049,-1.845661926,2.54968014
15.65742767,-0.3776646423,1.663341064,-2.112407227,2.71506876
15.66736667,-0.2683918762,1.863025818,-2.137854309,2.848389096
15.67730667,-0.1182540894,2.162403259,-1.774709473,2.799922427
15.68724667,0.1194515991,2.480192413,-1.323847046,2.813928587
15.69718667,0.2689906311,2.67478775,-0.8738827515,2.826750171
15.70712667,0.2676434326,2.777025146,-0.3393443298,2.810454811
15.71706667,0.1067280579,2.749033356,0.2219883728,2.760046033
15.72700567,-0.2028282166,2.396666107,0.5221142578,2.461249888
15.73694567,-0.6174659729,1.782642975,0.6691085815,2.001695905
15.74688567,-0.9472302246,1.071621552,0.9851014709,1.736675777
15.75682567,-1.112935638,0.2168989563,2.491419067,2.737305219
15.76676567,0.1371148682,-1.085093536,5.627846832,5.733139492
15.77670467,2.453248444,-1.076860657,3.555556183,4.451969965
15.78664467,3.207978973,-0.6355783081,-0.5665718079,3.319049938
15.79658467,5.917195129,-1.270857239,-0.2192939758,6.056101565
15.80652467,12.14753906,-2.590363312,1.133892059,12.47230526
15.81646467,17.48379227,-2.862946472,-2.50743576,17.8932023
15.82640367,30.57721436,-5.076393585,-3.070714417,31.14747336
15.83634367,48.25395538,-8.382268982,-2.624342651,49.04685329
15.84628367,66.41898102,-12.99866913,0.2294728088,67.67938457
15.85622367,74.92758728,-15.56029221,9.247020721,77.08289967
15.86616367,43.22965347,-10.62640228,14.82711685,46.92085633
15.87610267,19.06690018,-6.815477142,5.725593567,21.0423343
15.88604267,11.373349,-5.75208847,-1.374591522,12.81909088
15.89598267,8.690927124,-5.481002197,-2.943628693,10.68824351
15.90592267,6.941215668,-5.115462341,-1.841320953,8.816966188
15.91586267,5.498515778,-4.002676392,-0.9470805359,6.866735439
15.92580167,4.308640137,-2.565065918,-0.699944458,5.062989753
15.93574167,3.418141937,-1.316661987,-0.8249345398,3.75470506
15.94568167,2.40564743,-0.652792511,-1.229243774,2.779265709
15.95562167,0.9485774231,-0.297431488,-1.287173309,1.626370113
15.96556242,-0.5084925842,0.01362167358,-1.682650909,1.757857884
15.97550142,-1.368903351,0.4354444885,-1.986668701,2.451603723
15.98544142,-1.677112427,0.7533833313,-1.747466125,2.536519347
15.99538142,-1.665137329,0.963097229,-1.705553284,2.570826832
16.00532142,-1.458866272,1.180894318,-1.621577911,2.480386484
16.01526142,-1.22864502,1.443448334,-1.275946655,2.284983926
16.02520042,-0.9907896423,1.582209778,-1.03674408,2.135389937
16.03514042,-0.5920188904,1.694775696,-0.7710466003,1.953781944
16.04508042,-0.22348526,1.939067688,-0.47271698,2.008330277
16.05502042,0.05553451538,2.257305908,-0.2204914856,2.268728838
16.06496042,0.1110690308,2.467618561,-0.07349716187,2.471210134
16.07490042,-0.01257385254,2.481240234,0.02874023438,2.481438535
16.08483942,-0.254021759,2.162852325,0.2029779053,2.187157348
16.09477942,-0.8719367981,1.199904785,1.234033813,1.929477838
16.10471942,-1.610650635,-1.353934479,9.512568512,9.742499358
16.11465942,-0.7469467163,-3.102897491,13.21287369,13.59286332
16.12459942,-0.1911524963,-0.2366578674,-1.800006866,1.825533057
16.13453842,0.7042854309,0.1133143616,-3.548371124,3.619363998
16.14447842,2.422861633,-0.1881587219,-3.126398621,3.95980183
16.15441842,4.200265503,-0.3495231628,-3.284619598,5.343512201
16.16435842,9.980495453,-1.280587006,-0.2243833923,10.06481696
16.17429842,15.92388611,-1.475032654,-3.762126617,16.42861731
16.18423742,27.73866714,-2.569406891,-5.654940491,28.42558458
16.19417742,51.47031693,-8.043673096,-3.398682404,52.20579703
16.20411742,74.87220245,-15.5086496,-0.5757028198,76.46369299
16.21405742,73.06755524,-17.81550247,26.60552353,79.77539495
16.22399742,35.58026047,-12.42850479,17.98659668,41.76051157
16.23393642,16.62218399,-8.231233063,-4.165837097,19.01063905
16.24387642,10.99433716,-5.918392639,-7.683222656,14.66065249
16.25381642,5.278323669,-4.198169861,-3.410657501,7.557639548
16.26375642,2.130968628,-2.711760864,0.5249583435,3.488589334
16.27369642,2.893183594,-1.284179535,-0.7512876892,3.253315475
16.28363542,3.049009552,-0.4819976807,-1.456171875,3.413095009
16.29357542,2.44666214,0.1683998108,-1.40527771,2.826538442
16.30351542,1.07880661,0.4755610657,-1.591041412,1.980251197
16.31345542,-0.3737727356,0.593815155,-1.870659943,1.997921699
16.32339542,-1.405427399,0.7056326294,-2.25595871,2.749998778
16.33333442,-1.713786163,0.9795629883,-2.497705994,3.183573761
16.34327442,-1.525028687,1.130149841,-2.498753815,3.137948659
16.35321442,-1.271006927,1.235081635,-2.107018433,2.753254788
16.36315442,-0.9782157898,1.398392029,-1.472188568,2.253829092
16.37309442,-0.5921685791,1.610950012,-0.8400531006,1.910893189
16.38303342,-0.5896238708,2.009271698,0.1534309387,2.099611897
16.39297342,-1.085243225,2.747087402,1.747017059,3.431662958
16.40291342,-1.702559509,3.198249207,2.552042999,4.431752513
16.41285342,-1.705253906,2.975362701,2.004930725,3.972457841
16.42279342,-1.536255341,2.573149109,1.667682037,3.429626829
16.43273342,-1.464105377,1.916913757,1.364712067,2.771389892
16.44267242,-1.361269226,0.7098239136,2.534230042,2.962975835
16.45261242,-0.4634362793,-1.316212921,8.703351288,8.814505844
16.46255242,2.420466614,-1.677711182,6.620432739,7.245930105
16.47249242,2.765349426,-0.1983375549,-0.7033872986,2.860288259
16.48243242,2.072140961,0.1413061523,-2.746488647,3.443390114
16.49237142,3.543581085,-0.367635498,-2.340682526,4.262735912
16.50231142,6.787934418,-1.116079102,-2.047142944,7.177219549
16.51225142,11.28652954,-1.772015076,-3.519930267,11.95473528
16.52219142,21.07347748,-3.00949173,-4.152814178,21.6885767
16.53213142,35.60840195,-5.034181366,-5.483397217,36.37813789
16.54207042,53.32421173,-8.829389191,-6.164181519,54.400614
16.55201042,73.61347,-14.60632599,-1.579216003,75.06518266
16.56195042,63.85241821,-15.38710236,10.06566833,66.44706096
16.57189042,29.56995895,-11.40149048,19.27885941,37.09515976
16.58183042,19.41447739,-9.250164185,4.281995544,21.92767556
16.59176942,13.98526749,-7.637567596,-0.5752537537,15.94525203
16.60170942,8.760233002,-6.611750793,-0.8144563293,11.00546546
16.61164942,5.046156464,-5.598956909,0.7391629028,7.573531232
16.62158942,1.093027039,-4.658762054,3.601360931,5.989037698
16.63152942,-0.7012916565,-3.459156647,3.08433609,4.687291735
16.64146842,-0.6277944946,-2.214644623,0.8997789001,2.471513464
16.65140842,-0.2300715637,-1.414408722,-0.3791615295,1.482311851
16.66134842,0.2680924988,-0.7990383911,-1.272503815,1.526303344
16.67128842,0.54292099,-0.1722917175,-2.154469757,2.228494463
16.68122842,0.5242098999,0.2671943665,-3.350183258,3.401458027
16.69116742,0.5201683044,0.5016069031,-4.173321533,4.235421723
16.70110742,0.04909790039,0.8414002991,-3.740571442,3.834349981
16.71104742,-0.5589376831,1.130748596,-2.970572662,3.227275269
16.72098742,-0.9698332214,1.199156342,-2.395618286,2.849129583
16.73092742,-1.103205872,1.258882141,-2.023641815,2.626208986
16.74086642,-1.109492798,1.302441559,-1.617536316,2.354517364
16.75080642,-1.422192535,1.675914917,-0.4927752686,2.252587375
16.76074642,-2.369273071,2.568059692,1.623374176,3.852756051
16.77068642,-2.073937225,2.692001953,1.251397705,3.621337646
16.78062642,-1.197509766,2.374961243,0.1655557251,2.664935129
16.79056642,-0.7839198303,2.192939758,0.1815724182,2.335911734
16.80050542,-0.3658392334,1.964065704,2.493215332,3.194920207
16.81044542,1.487756195,1.111139374,7.264094238,7.497673926
16.82038542,2.83630188,0.492026825,3.516337738,4.544373426
16.83032542,1.70600235,0.489332428,-1.48012207,2.310984982
16.84026542,1.902094574,0.07798782349,-1.630409546,2.506447916
16.85020442,5.186863861,-0.9246272278,0.01990859985,5.268670475
16.86014442,10.60020676,-2.11315567,0.6637197876,10.82914282
16.87008442,16.74822189,-3.055446167,-1.062340851,17.05776234
16.88002442,29.55184662,-5.282514954,-0.43409729,30.02340826
16.88996442,44.34258911,-7.879614258,-2.370470581,45.09958604
16.89990342,63.36772614,-12.11430817,2.139949951,64.55079057
16.90984342,70.94706482,-15.08428207,9.619595947,73.16801349
16.91978342,41.97750732,-11.2765004,9.232650604,44.43548604
16.92972342,19.80621277,-7.196135559,3.903582458,21.43148122
16.93966342,12.38075409,-5.338348846,0.5051994324,13.49208163
16.94960242,9.050030365,-3.995042267,-0.6099815369,9.911381831
16.95954242,7.673792267,-3.105741577,-0.1239422607,8.279376799
16.96948179,6.964866486,-2.31209198,0.4525090027,7.352543702
16.97942179,5.848188629,-1.56679184,0.9048683167,6.12167735
16.98936179,4.910239105,-1.334774323,0.8348139954,5.156450811
16.99930079,4.183500366,-1.369651794,0.5962101746,4.442194044
17.00924079,3.340453491,-1.377585297,0.840352478,3.70979286
17.01918079,2.469414825,-1.214274902,0.5999523926,2.816454507
17.02912079,2.015558624,-1.047072601,-0.6400689697,2.359772423
17.03906079,2.140848083,-0.8288264465,-2.279160461,3.234927542
17.04900079,1.676513672,-0.4302053833,-2.928659821,3.401885229
17.05893979,0.6239025879,0.02260299683,-2.753374329,2.823266818
17.06887979,-0.2887495422,0.4278103638,-2.384092255,2.439322423
17.07881979,-0.9553134155,0.8342152405,-2.093546448,2.447749072
17.08875979,-1.213526459,1.160237274,-1.813778229,2.471555879
17.09869979,-1.215023346,1.370549927,-1.610650635,2.439033477
17.10863879,-1.10919342,1.41934845,-1.472338257,2.326508115
17.11857879,-0.8863069153,1.43686203,-1.254391479,2.103238081
17.12851879,-0.5857319641,1.567540283,-0.9851014709,1.9418263
17.13845879,-0.4577481079,1.629661102,-0.6680607605,1.819789498
17.14839879,-0.4297563171,1.559606781,-0.4243675232,1.672468714
17.15833779,-0.4141886902,1.390757904,-0.1300794983,1.456942173
17.16827779,-0.3911366272,1.113983459,0.1896556091,1.19579106
17.17821779,-0.616867218,0.6390211487,1.410965881,1.667242607
17.18815779,0.413739624,-1.547931061,12.14873657,12.25394105
17.19809779,4.98927475,-3.496728516,13.05570053,14.40733456
17.20803679,6.898105316,-3.989653473,6.584806824,10.33735327
17.21797679,5.379662933,-2.415227509,-3.362457733,6.788241245
17.22791679,4.750371552,-1.131347351,-7.338040466,8.814352761
17.23785679,7.85716095,-1.231040039,-5.680836639,9.773553228
17.24779679,18.36471039,-1.169817352,0.5054988098,18.40887257
17.25773579,30.51135132,-2.831362152,-2.673141174,30.75881751
17.26767579,45.33367813,-6.95962738,-5.420527954,46.18398975
17.27761579,69.30557831,-12.93639862,3.134032745,70.57220243
17.28755579,72.84436935,-14.00607422,9.214538269,74.7487791
17.29749579,35.14107376,-8.290360107,2.768343201,36.21172269
17.30743579,16.49809204,-5.137616272,-3.579057312,17.64629687
17.31737479,11.57198593,-3.692671051,-5.163362732,13.19874966
17.32731479,7.412884827,-2.570754089,-3.476969604,8.581896974
17.33725479,3.746259613,-1.881587219,-0.5882766724,4.233308516
17.34719479,1.902843018,-1.126856689,1.110690308,2.474722309
17.35713479,1.966760101,-0.2330653381,1.000070343,2.218694535
