Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.001067625009,-0.1972897339,-0.4306544495,0.08008346558,0.4804163355
0.011007625,-0.07095245361,-0.4120930481,0.08143066406,0.4260116008
0.02094662501,-0.0288899231,-0.4559518433,0.02469863892,0.4575333144
0.030886625,-0.1213975525,-0.5831872559,0.02709365845,0.596304291
0.04082562501,-0.2091151428,-0.7212002563,0.04086502075,0.7520165574
0.050765625,-0.2186952209,-0.8369096375,0.02544708252,0.8653859803
0.06070462501,-0.2639012146,-0.9241781616,0.09250762939,0.9655603487
0.07064362502,-0.7182064819,-1.20050354,3.07266037,3.376132558
0.08058362501,-0.5535488892,-1.945504303,4.673581238,5.092520491
0.09052262502,0.8330177307,-1.974094849,-0.8024812317,2.288000249
0.100462625,2.270628204,-2.368075562,-1.085542603,3.455710788
0.110401625,3.879781952,-3.678450623,-0.9684860229,5.433384963
0.120341625,6.67881134,-6.453978882,-1.064586182,9.348460198
0.130280625,11.90594147,-13.55985214,-4.285737762,18.54692914
0.140220625,20.1030455,-22.55434799,-4.640050964,30.56732119
0.150159625,32.85113571,-34.78062332,-2.442770233,47.90465533
0.160098625,49.0778421,-50.25110229,1.586700439,70.25898865
0.170038625,54.08148697,-52.73189346,5.483247528,75.73325442
0.179977625,43.00227631,-39.82543259,8.041278076,59.16014707
0.189917625,26.64429291,-18.15140396,11.01035385,34.06786906
0.199856625,18.80793869,-5.136269073,6.863078156,20.66934105
0.209796625,16.63610504,-2.832559662,1.247805176,16.92159576
0.219735625,14.00382889,-2.402354279,-1.502276001,14.28759472
0.229674625,9.693093109,-1.449435883,-2.012265472,10.00530513
0.239614625,5.476361847,-0.5990542603,-1.469494171,5.701650481
0.249553625,2.41852066,0.08801696777,-0.8018824768,2.549510674
0.259493625,-0.09984237671,0.6204597473,-0.1980381775,0.6589066079
0.269432625,-1.681752777,1.046623535,0.7035369873,2.102065061
0.279372625,-2.939886475,1.283281403,1.376537476,3.490644505
0.289311625,-4.34681076,1.410516815,0.400866394,4.587484642
0.299250625,-5.87737793,1.484013977,-2.370021515,6.508676578
0.309190625,-11.52558243,0.6979985046,-6.453978882,13.22800422
0.319129625,-17.343983,-2.054477692,-2.337988129,17.62103327
0.329069625,-9.508975983,-1.982477417,2.223925323,9.96477219
0.339008625,-6.685098267,-1.653012543,2.229463806,7.238335317
0.348948625,-5.108726349,-1.17475708,5.488486633,7.589639295
0.358887625,-2.761756897,-0.3932322693,4.391417999,5.202545994
0.368826625,-0.4787045288,-0.1299298096,1.14437027,1.247246205
0.378766625,1.018781433,-0.0940045166,0.05373825073,1.024519525
0.388705625,1.910177765,0.03607498169,0.02185455322,1.910643378
0.3986452917,2.388882294,0.07469467163,-0.03068618774,2.390246755
0.4085842917,2.672392731,0.01137634277,-0.07110214233,2.673362647
0.4185242917,2.614912262,0.0296383667,-0.08113128662,2.616338445
0.4284632917,2.195783844,0.16615448,-0.1038839722,2.204510349
0.4384022917,1.883982239,0.2330653381,-0.3592529297,1.932038094
0.4483422917,2.253414001,0.05658233643,0.4052073669,2.290255277
0.4582812917,3.215014343,-0.8012837219,1.786385193,3.764245593
0.4682212917,2.064207458,-1.592238922,-2.009122009,3.291314094
0.4781602917,3.214864655,-2.426603851,-2.307301941,4.641918057
0.4881002917,5.664819946,-3.980821838,-2.102228394,7.235778586
0.4980392917,10.73268127,-7.608527985,-2.536026306,13.39819297
0.5079782917,22.14180588,-14.97590744,-3.754492493,26.99321369
0.5179182917,39.8332164,-25.5123468,-5.716013489,47.64701227
0.5278572917,59.62685532,-36.16898621,-5.008883972,69.91885552
0.5377972917,72.746922,-41.66675354,0.807121582,83.83844259
0.5477362917,60.98423264,-32.35910889,10.3568129,69.81011482
0.5576762917,34.68901382,-15.22394165,7.670199738,38.65136535
0.5676152917,24.12368454,-8.428672485,-1.874701538,25.62243512
0.5775542917,18.97424286,-5.704786835,-3.703897705,20.15652111
0.5874942917,12.61217285,-3.090323639,-3.674858093,13.4952431
0.5974332917,7.694598999,-1.858235779,-4.116739197,8.922299904
0.6073732917,3.905079346,-0.955612793,-3.916904755,5.612930016
0.6173122917,1.149609375,0.09205856323,-2.859952698,3.083732467
0.6272522917,-1.206191711,1.320853271,-0.006137237549,1.788739633
0.6371912917,-4.011208649,2.182012482,4.169130249,6.183253215
0.6471302917,-5.348078613,2.154619446,5.338049469,7.857423365
0.6570702917,-5.451663208,1.601369934,3.990102539,6.94304945
0.6670092917,-5.140909424,1.182840271,1.795067139,5.572282014
0.6769492917,-4.330345001,0.9874964905,-0.4683760071,4.466140754
0.6868882917,-3.943699036,0.5457650757,-1.270857239,4.179198455
0.6968282917,-4.267475739,-0.2163002014,-0.6487509155,4.321922339
0.7067672917,-4.805307312,-0.9568103027,0.5046006775,4.925554401
0.7167062917,-5.25721756,-1.466949463,1.226100311,5.594068213
0.7266462917,-4.630919952,-1.303639069,0.3135978699,4.821124148
0.7365852917,-3.578757935,-0.9821076965,-0.5381309509,3.749883838
0.7465252917,-2.848726044,-0.7545808411,-0.5760021973,3.002733896
0.7564642917,-2.278561707,-0.6415658569,-0.4781057739,2.414960731
0.7664042917,-1.837129669,-0.6080355835,-0.422870636,1.980800916
0.7763432917,-1.454525299,-0.6478527832,-0.3854484558,1.638269693
0.7862822917,-1.257534943,-0.7756869507,-0.2821632385,1.504227533
0.7962222917,-1.124910736,-1.032852173,-0.1904040527,1.538980662
0.8061612917,-0.7984396362,-1.363065491,-0.1422042847,1.586088094
0.8161012917,-0.1992356873,-1.520388336,0.03592529297,1.533807738
0.8260402917,0.2396516418,-1.610950012,0.2086660767,1.641990981
0.8359802917,1.422641602,-2.450404358,3.061134338,4.171202954
0.8459192917,2.437830505,-3.884871368,5.167554016,6.9093312
0.8558582917,2.135010223,-3.222947845,-0.7842192078,3.944700399
0.8657982917,4.983287201,-4.723577271,-0.7170089722,6.903581348
0.8757372917,8.833430786,-7.107819214,-0.8373587036,11.36889454
0.8856772917,14.64749039,-10.64526306,-1.327140198,18.15576772
0.8956162917,25.86291779,-17.75203445,-3.067720642,31.51882221
