Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
25.00473675,-8.663384399,3.962110748,0.1218466187,9.527192526
25.01473875,-8.336464233,3.445684662,-0.9457333374,9.069938823
25.02474175,-7.664810944,2.643353119,-0.8000862122,8.147194637
25.03474375,-6.501130829,1.604812775,-1.067879333,6.780891709
25.04474675,-4.902006226,0.7212002563,-1.241069183,5.107841772
25.05474875,-3.279380493,0.02799179077,-1.495689697,3.604470506
25.06475075,-1.774559784,-0.5080435181,-1.878144379,2.63336229
25.07475375,-0.682281189,-0.8331674194,-1.835632782,2.12819719
25.08475575,0.1112187195,-0.8327183533,-2.522853699,2.65905627
25.09475875,1.028960266,-0.7173083496,-2.888543243,3.149122507
25.10476075,1.289568329,-1.056053925,-2.76609787,3.229478873
25.11476375,1.109492798,-1.230441284,-1.777104492,2.429621452
25.12476575,1.45796814,-1.307680664,-0.4806504822,2.016612184
25.13476875,2.539319458,-1.416803741,-0.5872288513,2.966532298
25.14477075,2.977158966,-1.325194244,-0.4032614136,3.283631383
25.15477375,3.251388702,-1.003513184,0.5710624695,3.450315862
25.16477575,3.877536621,-0.6047424316,0.1471440125,3.92716883
25.17477775,3.504512329,-0.2022294617,-0.3652404785,3.529292284
25.18478075,3.231180725,0.2398013306,-1.687141571,3.65300975
25.19478275,2.123933258,0.3043171692,-2.084415436,2.991402536
25.20478575,1.04138443,-0.1722917175,-1.622326355,1.935486701
25.21478775,0.5801934814,-0.1483415222,-0.9608518982,1.132195236
25.22479075,-0.109871521,0.4343966675,-0.1010398865,0.4593269799
25.23479275,-0.1574725342,0.6839277649,0.4478686523,0.8325509692
25.24479575,-0.2481838989,0.7586224365,0.5126838684,0.9486558901
25.25479775,-0.2700384521,0.8544232178,0.3691323853,0.9691328694
25.26479975,-0.3568579102,0.7096742249,0.7339237976,1.081493973
25.27480275,-0.4468208313,0.6920109558,0.8045768738,1.151465138
25.28480475,-0.212258606,0.4417314148,0.3611988831,0.6088062021
25.29480775,-0.4385879517,0.2157014465,-0.3201841736,0.5842982204
25.30480975,-0.636177063,0.1297801208,-0.720302124,0.9697418652
25.31481275,-0.3588038635,-0.2980302429,-0.1498384094,0.4899120198
25.32481475,-0.3243754578,-0.290994873,-0.02649490356,0.4365769504
25.33481775,-0.3320095825,-0.06032455444,-0.4379891968,0.5529050111
25.34481975,-0.5292993164,0.09864486694,-0.4376898193,0.6938738748
25.35482175,-0.8988807678,0.6047424316,-0.02679428101,1.083705669
25.36482475,-1.976489868,0.8161029053,0.3839515686,2.172545732
