Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
15.00005954,-15.44113998,-5.625451813,7.790998535,18.18719798
15.01006154,-13.92464355,-4.409081268,6.332731018,15.91977317
15.02006454,-12.32536926,-3.24929306,5.240602112,13.78174675
15.03006754,-10.57371185,-2.307751007,4.50248703,11.72183802
15.04006954,-8.660091248,-1.413061523,3.962559814,9.627865992
15.05007254,-6.72910675,-0.6092330933,3.464695129,7.593165016
15.06007554,-5.086123352,-0.08352630615,3.047362976,5.929759565
15.07007754,-3.780688019,0.1914518738,2.638413391,4.614269275
15.08008054,-2.55428833,0.3402424622,2.024989014,3.277305953
15.09008354,-1.33267868,0.3059637451,1.071172485,1.736967695
15.10008554,-0.1314266968,0.05014572144,-0.2213896179,0.2622993193
15.11008854,1.219663696,-0.2254312134,-1.79371994,2.180786553
15.12009054,2.418221283,-0.4231700134,-3.386856995,4.183021317
15.13009354,3.202290802,-0.6650669861,-4.711602173,5.735518766
15.14009654,3.536246338,-0.9521699524,-5.673501892,6.752798642
15.15009854,3.599115601,-1.09871521,-6.214027863,7.264636983
15.16010154,3.392994232,-1.172062683,-6.294859772,7.246475028
15.17010454,2.915337524,-1.249451752,-5.963748322,6.754747708
15.18010654,2.198029175,-1.12910202,-5.253924408,5.806024915
15.19010954,1.426234131,-0.8930429077,-4.294719086,4.612621972
15.20011254,0.850531311,-0.6631210327,-3.489094391,3.651973807
15.21011454,0.2233355713,-0.4809498596,-2.786605225,2.836610693
15.22011754,-0.4011657715,-0.2707868958,-2.152074738,2.20582982
15.23012054,-1.050216064,0.03023712158,-1.486259308,1.820119445
15.24012254,-1.594035187,0.2607577515,-0.8798703003,1.839324476
15.25012554,-1.665436707,0.5150788879,-0.5394781494,1.824834885
15.26012854,-1.616787872,0.5517526245,-0.3013233948,1.734713167
15.27013054,-1.386117554,0.519868927,-0.08427474976,1.482797291
15.28013354,-0.8683442688,0.6023474121,0.1140628052,1.06294614
15.29013654,-0.2987786865,0.6161187744,0.3026705933,0.7486524799
15.30013854,0.2417472839,0.6012995911,0.5065466309,0.8225523915
15.31014154,0.7560777283,0.6173162842,0.7586224365,1.23622042
15.32014354,1.24960144,0.665665741,0.9166937256,1.686695594
15.33014654,1.68489624,0.7077282715,0.9416917419,2.055854563
15.34014954,1.927541656,0.6813830566,0.8539741516,2.215619904
15.35015154,1.994302826,0.5939648438,0.5945635986,2.164149688
15.36015454,1.943708038,0.5496569824,0.2354603577,2.033608939
15.37015754,1.91077652,0.5656736755,-0.219743042,2.004829324
15.38015954,1.759441223,0.4664300537,-0.5718109131,1.907919844
15.39016254,1.398841095,0.336051178,-0.7072792053,1.603100333
15.40016554,1.143023071,0.3406915283,-0.6249504089,1.34652719
15.41016754,0.872535553,0.3608995056,-0.4131408691,1.030656161
15.42017054,0.2685415649,0.314046936,-0.09026229858,0.422950745
15.43017354,-0.4818479919,0.4577481079,0.2279759216,0.7026263861
15.44017554,-1.669777679,0.6170169067,0.4483177185,1.835716792
15.45017854,-2.806364136,0.6607260132,0.8611592102,3.008958908
15.46018054,-3.853885803,0.5060975647,1.124910736,4.046479296
15.47018354,-6.357729034,-0.7388635254,1.255439301,6.522481554
15.48018654,-9.81,-2.958447876,1.596729584,10.37005589
15.49018854,-13.83018997,-5.448220367,2.168241119,15.02193494
15.50019154,-19.25071793,-8.557105408,2.999312897,21.27933438
15.51019454,-26.07622421,-12.24199265,4.257745972,29.11982579
15.52019654,-32.86879898,-14.5903093,5.655389557,36.40355069
15.53019954,-40.43601288,-15.38994644,7.50030304,43.91100243
15.54020254,-47.55475937,-15.8310791,10.15308655,51.13866806
15.55020454,-51.16076065,-15.66372711,12.28210922,54.89650248
15.56020754,-48.72831894,-14.22716446,13.30732727,52.47805479
15.57021054,-43.01365265,-14.64943634,14.23240356,47.61661066
15.58021254,-37.23896118,-16.75944855,16.60392197,44.08298504
15.59021554,-31.90570175,-17.56761795,20.1774408,41.63801294
15.60021754,-27.8852124,-16.95209793,23.18408844,40.03074633
15.61022054,-25.37223816,-15.8283847,24.20855804,38.47521948
15.62022354,-23.80499725,-14.12717239,23.2257019,36.13430673
15.63022554,-22.25392273,-12.1337677,20.75284424,32.75890626
15.64022854,-19.98284546,-10.07000931,17.1077742,28.16727069
15.65023154,-17.43274841,-7.583080902,13.05839493,23.06351039
15.66023354,-15.37348068,-5.021308136,9.22381897,18.6181707
15.67023654,-13.72046814,-2.431992645,6.036197662,15.18556935
15.68023954,-12.60798157,0.0636177063,3.374133453,13.05182068
15.69024154,-11.84367096,1.723216553,1.205592957,12.02894307
15.70024454,-11.00062408,2.394121399,-0.203127594,11.25996485
15.71024754,-9.832004242,2.515369263,-1.09991272,10.20809473
15.72024942,-8.253386993,2.563569031,-2.455344086,8.984375194
15.73025242,-6.00132019,2.873125305,-6.886728973,9.575893118
15.74025542,-4.330195312,2.605332184,-12.58717484,13.56375013
15.75025742,-6.022575989,1.424886932,-2.557880859,6.696602034
15.76026042,-3.199895782,0.8951385498,-0.569715271,3.37122849
15.77026242,0.02634521484,0.1655557251,-4.099375305,4.102801562
15.78026542,2.382894745,-0.9017248535,-6.270759888,6.768583651
15.79026842,3.774999847,-1.59837616,-6.751260681,7.89841446
15.80027042,6.051765289,-2.004631348,-8.565338287,10.67742618
15.81027342,6.790928192,-1.942809906,-8.665480042,11.17952416
15.82027642,6.044430542,-0.953966217,-9.16648819,11.02132922
15.83027842,8.151448975,-0.4698728943,-7.91793457,11.37367965
15.84028142,6.762637024,-0.2323168945,-6.264323273,9.221115807
15.85028442,5.223088531,-0.05403762817,-4.283941498,6.755422165
15.86028642,3.973786469,0.3595523071,-2.554737396,4.737820166
15.87028942,2.712808685,0.6509962463,-1.400487671,3.121617016
15.88029242,1.754052429,0.9006770325,-0.366587677,2.005568639
15.89029442,0.8635542297,1.195264435,0.6047424316,1.593767984
15.90029742,0.2844085693,1.488953705,1.45093277,2.098351084
15.91029942,-0.00853225708,1.719474335,1.922901306,2.579576365
15.92030242,0.2436932373,1.836830292,1.813329163,2.592584534
15.93030542,0.8978329468,1.590742035,1.250649261,2.213749714
15.94030742,1.629511414,1.177301788,0.3736230469,2.044734978
15.95031042,2.354304199,0.9638456726,-0.396076355,2.574611276
15.96031342,2.896327057,0.7845185852,-0.712817688,3.084199878
15.97031542,3.152743835,0.646355896,-0.6313870239,3.279667546
15.98031842,3.293151855,0.6065386963,-0.3463796997,3.36641014
15.99032142,3.238066406,0.6448590088,-0.016615448,3.301695514
16.00032342,2.966531067,0.8400531006,0.2290237427,3.091673925
16.01032642,2.234702911,1.234333191,0.400866394,2.584215431
16.02032942,1.358874207,1.187480621,0.4363426208,1.856621722
16.03033142,1.147064667,1.274749146,0.2847079468,1.738332922
16.04033442,1.303938446,1.957180023,0.1730401611,2.358124681
16.05033642,1.075064392,2.287842407,-0.2752775574,2.542786672
16.06033942,-0.0288899231,1.598675537,-0.8912466431,1.830551469
16.07034242,-0.8384065247,1.48251709,-1.319057007,2.154226963
16.08034442,-1.799408112,1.72935379,-1.456620941,2.88968487
16.09034742,-4.121229858,1.438508606,-1.168619843,4.518795735
16.10035042,-5.652096405,1.479972382,-0.5180726624,5.86556999
16.11035242,-6.28453125,2.499053192,-0.3433859253,6.771891448
16.12035542,-8.806486816,1.30932724,-0.4721182251,8.915797412
16.13035842,-11.9824324,-1.053359528,-0.01541793823,12.02865289
16.14036042,-15.59501999,-3.579805756,1.104104004,16.03866277
16.15036342,-21.24936172,-7.322772217,2.639161835,22.63014675
16.16036642,-27.97786972,-10.99179245,4.649780731,30.41711946
16.17036842,-35.52637253,-12.82038986,7.549101563,38.515899
16.18037142,-43.79383026,-12.21115677,12.31414261,47.10254799
16.19037342,-50.92425247,-10.76905563,18.16667221,55.12966559
16.20037642,-54.55540146,-9.311985626,22.44073425,59.72094656
16.21037942,-53.75142334,-9.175170135,23.12062042,59.22805371
16.22038142,-49.1694516,-11.36346954,21.92760132,55.02347781
16.23038442,-42.14875122,-13.29250809,21.48257675,49.13968971
16.24038742,-34.8565155,-13.4622551,21.96083221,43.34151747
16.25038942,-29.05832291,-12.39901611,22.43025604,38.74581418
16.26039242,-25.38301575,-10.7469017,21.61624878,35.02935335
16.27039542,-23.10595093,-8.817414093,19.19293808,31.30496177
16.28039742,-21.00926102,-6.793622589,15.66971466,27.07549287
16.29040042,-18.61334335,-4.969216461,11.75340866,22.56750492
16.30040342,-15.9824144,-3.095562744,8.193960571,18.22528651
16.31040542,-13.21317307,-1.116827545,5.196893005,14.24229417
16.32040842,-10.9287735,0.4429289246,2.885100403,11.31185575
16.33041042,-9.274713135,1.253044281,1.117575989,9.425465495
16.34041342,-7.689359894,1.316512299,-0.6743476868,7.830338755
16.35041642,-5.499713287,1.063987427,-2.781216431,6.254125064
16.36041842,-3.117566986,0.5138813782,-4.934788055,5.859644284
16.37042142,-0.7068301392,-0.2854563904,-6.415508881,6.460638389
16.38042442,1.759141846,-1.096170502,-7.416327667,7.700525039
16.39042642,4.378694458,-1.901046753,-8.007149048,9.322090956
16.40042942,6.673272858,-2.528242493,-8.032446442,10.7445231
16.41043242,8.326135712,-2.928959198,-7.590415649,11.64120903
16.42043442,9.064999237,-3.155288544,-7.048243103,11.90830751
16.43043742,8.891659698,-3.364403687,-6.279591522,11.39359882
16.44044042,7.937394104,-3.420237579,-5.17294281,10.07271501
16.45044242,6.469995575,-3.151845703,-3.635939026,8.063189609
16.46044542,5.072651367,-2.573448486,-2.437531128,6.188375151
16.47044742,3.686683502,-2.150877228,-1.609303436,4.561552986
16.48045042,2.253414001,-1.682650909,-0.8813671875,2.947201531
16.49045342,1.008901978,-1.093027039,-0.379460907,1.535116246
16.50045542,-0.03921844482,-0.6090834045,-0.07125183105,0.6144896285
16.51045842,-1.060245209,-0.1960922241,0.2764750671,1.113108497
16.52046142,-1.835632782,0.1332229614,0.7887098694,2.002338464
16.53046342,-2.327360229,0.3909869385,1.371448059,2.729532231
16.54046642,-2.411634979,0.6047424316,1.77381134,3.054194387
16.55046942,-2.187401276,0.7740403748,1.917662201,3.01019786
16.56047142,-2.021097107,0.8360115051,1.93293045,2.918898573
16.57047442,-1.878294067,0.8244854736,1.85808609,2.767715451
16.58047742,-1.592089233,0.9144483948,1.708097992,2.507700689
16.59047942,-1.317260742,1.133293304,1.491049347,2.28970691
16.60048242,-0.9120533752,1.327888641,0.9238787842,1.85706263
16.61048442,-0.442180481,1.397793274,0.1999841309,1.479642953
16.62048742,0.004640350342,1.492097168,-0.4284091187,1.552388439
16.63049042,0.567020874,1.614392853,-1.200353851,2.090125911
16.64049242,1.063987427,1.748963013,-2.035018158,2.886561929
16.65049542,1.504521332,1.903292084,-2.848726044,3.741837151
16.66049842,1.890119476,2.104623413,-3.436703339,4.451170765
16.67050042,1.970202942,2.330354004,-3.770658875,4.850785273
16.68050342,1.821412354,2.525847473,-3.962559814,5.039774668
16.69050642,1.525178375,2.692001953,-3.83083374,4.92425941
16.70050842,1.221909027,2.884950714,-3.423381042,4.640640048
16.71051142,0.6682104492,3.06322998,-3.074007568,4.390832
16.72051429,-0.5777984619,3.250340881,-2.658172302,4.238448643
16.73051629,-2.337389374,3.548221436,-1.800605621,4.614698803
16.74051929,-4.159550171,4.063450012,-0.460891571,5.833172779
16.75052129,-6.268364868,4.205953674,1.225800934,7.647550743
16.76052429,-9.233698425,3.812571716,3.073109436,10.45183674
16.77052729,-13.65475479,2.451152802,4.802912292,14.68088706
16.78052929,-20.39733353,-0.6786886597,6.859335938,21.5304975
16.79053229,-28.49324799,-4.508025513,8.599617004,30.10217413
16.80053529,-36.35519897,-7.483238525,9.693841553,38.36235023
16.81053729,-42.78672455,-8.029302979,11.21183487,44.95418496
16.82054029,-48.29706573,-5.857319641,14.35574707,50.72476935
16.83054329,-53.15401566,-3.92798172,17.22812393,56.01416495
16.84054529,-53.49231216,-4.244124298,17.76595551,56.5249434
16.85054829,-50.90988235,-7.143295441,17.80951492,54.40608066
16.86055029,-47.27469177,-11.9930603,19.20566162,52.41743427
16.87055329,-41.30839874,-15.82329529,21.87191711,49.34715026
16.88055629,-34.19878326,-16.79761917,24.1546701,45.11280167
16.89055829,-28.54504028,-16.1283609,24.34791824,40.83827216
16.90056129,-24.72184067,-14.45124847,22.34373596,36.32148848
16.91056429,-21.68345901,-12.21564743,18.50167557,31.01139203
16.92056629,-19.06989395,-9.869127045,13.39040451,25.30540371
16.93056929,-17.0467012,-7.332801361,8.487051086,20.40563731
16.94057229,-15.63813034,-4.863386536,4.377646637,16.9519155
16.95057429,-14.19677765,-2.610720978,0.7737409973,14.45555377
16.96057729,-12.19274506,-0.9638456726,-2.392025757,12.46249645
16.97057929,-9.600136414,-0.0288899231,-5.000202026,10.82430017
16.98058229,-6.609355774,0.3474275208,-6.878645782,9.545682659
16.99058529,-3.589984589,0.2300715637,-8.052055664,8.81909988
17.00058729,-0.7917036438,0.2157014465,-8.563991089,8.60321249
17.01059029,1.619781647,0.4650828552,-8.728948059,8.890136605
17.02059329,3.117716675,0.3147953796,-8.827592926,9.367264823
17.03059529,3.772006073,-0.7851173401,-8.71592514,9.529522029
17.04059829,4.423601074,-1.784738617,-9.238039398,10.39687022
17.05060129,4.576283569,-2.637664948,-9.189540253,10.59940082
17.06060329,5.177283783,-3.034789124,-9.514813843,11.24926197
17.07060629,5.947132874,-3.047512665,-10.31370255,12.28935243
17.08060929,6.512507172,-2.843037872,-10.84958817,12.96954808
17.09061129,6.55367157,-2.602787476,-10.69885162,12.81368564
17.10061429,6.082301788,-2.490970001,-9.75266922,11.76069231
17.11061629,4.904101868,-2.577190704,-8.02915329,9.754969483
17.12061929,3.888613586,-2.819536743,-6.397246857,7.999741897
17.13062229,3.335214386,-3.146606598,-4.929848328,6.732621526
17.14062429,3.035537567,-3.487896881,-3.304528198,5.683293023
