Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
20.0035515,-20.82783829,-37.10933075,6.957531738,43.11969996
20.0135545,-18.15709213,-32.13023483,3.747307434,37.09547544
20.0235565,-11.46525787,-29.55424164,-2.880160675,31.8308131
20.0335595,-6.429878998,-29.04080933,-1.904788971,29.80503601
20.0435615,-7.620952148,-28.06648544,6.389612732,29.77639447
20.0535645,-7.797734528,-25.40651688,8.433911591,27.88237128
20.0635665,-5.602699127,-21.89242447,7.638465729,23.85402786
20.0735685,-3.128194885,-18.56065292,6.399791565,19.88066328
20.0835715,-1.142723694,-15.23906021,5.220693512,16.1490066
20.0935735,0.1465452576,-11.98123489,4.265080719,12.71858399
20.1035765,1.183888092,-9.06110733,3.381767578,9.74379849
20.1135785,1.646126862,-6.526278534,2.530787201,7.190753021
20.1235805,1.535656586,-4.157005463,1.830693054,4.794827695
20.1335835,1.356778564,-2.070943451,1.229243774,2.76418073
20.1435855,1.146914978,-0.67045578,0.8511300659,1.577766557
20.1535885,0.962049408,0.1480421448,0.6020480347,1.144516219
20.1635905,1.234931946,0.9675878906,0.3303630066,1.603253864
20.1735935,2.052531738,2.733166351,0.04326004028,3.418326531
20.1835955,0.0130229187,8.404273224,0.1767823792,8.406142399
20.1935975,2.278561707,33.01250015,1.796564026,33.13977447
20.2036005,4.814588013,16.18838608,0.00209564209,16.88917126
20.2136025,3.54417984,4.980742493,-0.05523513794,6.113268965
20.2236055,2.826123047,1.66034729,0.4237687683,3.305042295
20.2336075,2.088906097,0.1851649475,0.7265890503,2.21940226
20.2436095,1.156944122,-0.8870553589,1.094823303,1.823190878
20.2536125,0.9596543884,-0.9939331055,1.085392914,1.756962533
20.2636145,0.8090675354,-0.8927435303,1.031355286,1.585961857
20.2736175,0.643661499,-0.8690927124,0.9337582397,1.428820044
20.2836195,0.4824467468,-0.9056167603,0.8976832581,1.36335315
20.2936225,0.3350033569,-0.9574090576,0.9891430664,1.41677922
20.3036245,0.2411485291,-0.9379495239,1.143023071,1.498133393
20.3136265,0.2222877502,-0.8298742676,1.272653503,1.53549669
20.3236295,0.3176394653,-0.5758525085,1.309027863,1.46494194
20.3336315,0.5066963196,-0.1555265808,1.20170105,1.313398299
20.3436345,0.6691085815,0.4337979126,1.077309723,1.340329498
20.3536365,0.9035211182,1.685794373,1.006806335,2.161460635
20.3636385,1.24376358,3.316353607,0.9533674622,3.667977455
20.3736415,1.024170227,2.780018921,0.9392967224,3.108007109
20.3836435,0.5593867493,1.278790741,0.9855505371,1.708662973
20.3936465,0.4291575623,0.6884184265,1.057251434,1.332620253
20.4036485,0.4195774841,0.553099823,1.05425766,1.262308953
20.4136515,0.3668870544,0.5138813782,0.9883946228,1.172861506
20.4236535,0.2981799316,0.5858816528,0.9458830261,1.151895517
20.4336555,0.2029779053,0.6086343384,0.9333091736,1.132564259
20.4436585,0.09984237671,0.5587879944,0.8411009216,1.014723255
20.4536605,0.07978408813,0.5113366699,0.7228468323,0.8890096927
20.4636635,0.1336720276,0.457149353,0.5986051941,0.7649718428
20.4736655,0.1273851013,0.3032693481,0.5287005615,0.6226745099
20.4836675,0.04999603271,-0.08771759033,0.5176235962,0.5273785797
20.4936705,-0.06197113037,-0.6288423157,0.5222639465,0.8197821106
20.5036725,-0.06706054688,-0.8978329468,0.6403683472,1.104840594
20.5136755,-0.1486408997,-1.06009552,0.8553213501,1.370208466
20.5236775,-0.2348616028,-1.958527222,1.075812836,2.24685605
20.5336805,0.3963757324,-6.412365417,2.019001465,6.73438274
20.5436825,-1.479373627,-23.57926666,9.08221344,25.31120233
20.5536845,-9.86493576,-64.50057037,24.2887912,69.6246071
20.5636875,-18.66618347,-91.32658539,32.2752832,98.64413571
20.5736895,-14.90705063,-62.04013687,20.02326141,66.87398402
20.5836925,-8.312963104,-35.85239456,7.942633209,37.65082965
20.5936945,-8.996890869,-32.31884262,3.546125793,33.73465046
20.6036975,-15.41524384,-38.0377002,-11.41092087,42.59936025
20.6136995,-22.23326569,-45.27949081,-37.68248886,62.96443725
20.6237015,-12.64585281,-38.15550522,5.698499908,40.59843683
20.6337045,-9.061556396,-35.67740845,11.37514526,38.52769403
20.6437065,-8.423583069,-35.47757401,9.485175476,37.67736141
20.6537095,-7.367828522,-31.35619446,8.218359833,33.24210081
20.6637115,-7.288792877,-25.78942062,6.060447235,27.47634871
20.6737135,-7.152276764,-21.35129974,4.741839294,23.01126036
20.6837165,-6.346053314,-17.83496201,3.338058472,19.22240611
20.6937185,-5.367538147,-14.7507756,2.213596802,15.85231395
20.7037215,-4.224515076,-11.88124283,1.325792999,12.67943949
20.7137235,-2.932102661,-8.947044525,0.8650511169,9.454900591
20.7237265,-1.941313019,-6.160139923,0.6601272583,6.492440843
20.7337285,-1.132993927,-3.626209259,0.5192701721,3.834411342
20.7437305,-0.4447251892,-1.646126862,0.4517605591,1.763973282
20.7537335,0.01002914429,-0.4418811035,0.4263134766,0.6140868617
20.7637355,0.3903881836,0.1791773987,0.4150868225,0.5973311848
20.7737385,0.7003935242,0.325872345,0.2092648315,0.8003347073
20.7837405,0.841999054,0.3062631226,0.1794767761,0.9137677059
20.7937435,1.405577087,1.167122955,0.276026001,1.847704872
20.8037455,7.869435425,28.24701004,-1.214424591,29.347852
20.8137475,8.768016815,30.9137146,-2.875520325,32.26150161
20.8237505,5.840704193,11.48696274,-0.6087840271,12.90095952
20.8337525,2.932701416,3.08089325,1.56319931,4.531692056
20.8437555,1.010398865,-0.7798782349,1.703757019,2.128826885
20.8537575,0.7282356262,-0.8746311951,1.342258759,1.759819715
20.8637595,0.5854325867,-0.9081614685,1.328936462,1.712764049
20.8737625,0.4691244507,-1.033301239,1.459614716,1.848854867
20.8837645,0.340841217,-1.063688049,1.529519348,1.893946789
20.8937675,0.200433197,-1.059646454,1.403631134,1.770085996
20.9037695,0.1068777466,-1.05545517,1.222058716,1.618281796
20.9137715,0.06152206421,-1.129850464,1.132544861,1.600938755
20.9237745,-0.002395019531,-1.299896851,1.278042297,1.822945329
20.9337765,-0.1779798889,-1.470392303,1.653012543,2.219500131
20.9437795,-0.2389031982,-1.497336273,1.935774536,2.458925316
20.9537815,-0.1637594604,-1.335822144,1.932331696,2.354812889
20.9637845,-0.02290237427,-0.9494755554,1.695224762,1.943145734
20.9737865,0.255668335,-0.4120930481,1.328188019,1.413955583
20.9837885,0.4273612976,0.03622467041,0.9565109253,1.048266691
20.9937915,0.554147644,0.730480957,0.7238946533,1.168206107
21.0037935,1.283131714,3.492986298,0.7866142273,3.803438209
21.0137965,2.050885162,5.880072327,0.6430627441,6.260583855
21.0237985,1.864822083,4.928052063,0.329614563,5.279384841
21.0338005,1.382824402,3.501817932,0.5285508728,3.801880874
21.0438035,0.8063731384,2.20207077,0.9434880066,2.527750568
21.0538055,0.2682421875,1.183888092,1.336869965,1.805759172
21.0638085,-0.4270619202,0.4453239441,1.544338531,1.663032411
21.0738105,-0.7580236816,-0.1872605896,1.715881805,1.885183493
21.0838135,-0.7352709961,-0.9044192505,2.060914307,2.367691998
21.0938155,-1.017733612,-1.497186584,2.382745056,2.99246109
21.1038175,-1.283431091,-2.028431854,2.410886536,3.402073638
21.1138205,-1.501677246,-2.555934906,2.383792877,3.803985578
21.1238225,-2.110461273,-3.597019958,2.341730347,4.78291756
21.1338255,-3.504512329,-7.13521225,2.93105484,8.472540527
21.1438275,-7.215595093,-20.5290596,6.029162292,22.58003318
21.1538305,-16.99865112,-49.64486298,11.5564183,53.73190266
21.16383212,-23.61354538,-76.01103424,14.71245529,80.94277727
21.17383413,-17.38020767,-63.92995697,10.29544052,67.04555998
21.18383712,-8.489895172,-38.41506546,4.700525208,39.62184387
21.19383913,-7.16440155,-31.99207214,1.737886047,32.83049767
21.20384213,-10.35396881,-38.83688828,-4.190236359,40.41121926
21.21384412,-9.23429718,-50.64223892,-48.57982773,70.78070549
21.22384613,-8.051157532,-51.66566071,-3.916006622,52.43564381
21.23384912,-8.618477783,-42.15803192,12.18002151,44.72058518
21.24385113,-6.552324371,-32.95951035,7.576793976,34.44807809
21.25385413,-6.386469269,-30.03998154,7.728728027,31.66892353
21.26385612,-6.625671844,-27.9675412,5.744154968,29.3100359
21.27385913,-7.217840424,-24.66046829,4.071533203,26.01563567
21.28386112,-8.125852203,-21.27914978,3.349883881,23.02288886
21.29386312,-8.299790497,-18.6233725,3.170107727,20.63410062
21.30386613,-7.542066193,-15.7833284,2.687810669,17.69803786
21.31386812,-6.255940704,-12.54660919,2.018103333,14.16428386
21.32387113,-4.915029144,-9.209299164,1.282682648,10.51731797
21.33387313,-3.777544556,-6.219416656,0.6210585022,7.303197935
21.34387612,-2.672093353,-3.761228485,0.2362088013,4.619817876
21.35387813,-1.654060364,-1.974543915,0.05703140259,2.576430077
21.36388012,-0.9354048157,-0.7940986633,0.0636177063,1.228666785
21.37388313,-0.3502716064,-0.01152603149,0.276026001,0.4461091805
21.38388513,0.02260299683,0.4177812195,0.4321513367,0.6015037993
21.39388812,0.09864486694,0.705333252,0.4870870972,0.8628323396
21.40389013,-1.132993927,17.23156677,-1.050665131,17.30070709
21.41389212,1.731299744,31.2999115,-0.1272354126,31.34801505
21.42389513,4.01689682,15.50580551,0.7370672607,16.03461047
21.43389713,2.074985046,3.624862061,1.415007477,4.409924496
21.44390012,1.53865036,-1.301393738,1.674867096,2.620353102
21.45390213,1.783690796,-1.252146149,1.51993927,2.656997971
21.46390412,1.938319244,-1.377285919,1.421144714,2.770135429
21.47390713,1.966610413,-1.534459076,1.510209503,2.915965349
21.48390913,2.004481659,-1.592238922,1.462758179,2.948361069
21.49391212,1.790875854,-1.617386627,1.287622375,2.735168589
