Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
10.00148779,0.330662384,-1.057999878,-0.5056484985,1.218352067
10.01149079,0.5105882263,-1.303040314,-1.049168243,1.749105028
10.02149279,0.5261558533,-1.370100861,-1.764380951,2.295006861
10.03149579,0.6617738342,-1.318458252,-1.977986755,2.467530825
10.04149879,0.8894503784,-1.178648987,-2.070943451,2.543450842
10.05150079,1.00515976,-1.038839722,-2.589165802,2.965352198
10.06150379,1.379381561,-0.8493338013,-3.203937378,3.590163801
10.07150579,1.753303986,-0.5093907166,-3.640429688,4.072625944
10.08150879,2.395917664,-0.7945477295,-4.16898056,4.873615337
10.09151179,1.615740051,-1.923500061,-1.322499847,2.838921317
10.10151379,-0.1290316772,-3.865112457,6.435716858,7.508275099
10.11151679,1.441801758,-6.077062683,5.466332703,8.300016649
10.12151979,8.209677887,-11.83364182,-13.99245255,20.08040383
10.13152179,7.087012482,-21.50383255,-13.43111984,26.32556819
10.14152479,4.406686249,-33.05890366,-15.06452316,36.59576277
10.15152779,6.391858063,-44.52221558,-33.68639877,56.19481285
10.16152979,7.609276428,-42.27883072,-21.6544194,48.10732267
10.17153279,4.9540979,-29.90286667,-9.475146332,31.75693498
10.18153579,4.938230896,-21.9397261,-2.38933136,22.61518539
10.19153779,6.486611023,-21.63930084,-3.453468475,22.8530503
10.20154079,7.110962677,-22.59760803,-6.841822357,24.65822808
10.21154379,9.441316681,-24.84293884,-11.04253693,28.77929278
10.22154579,8.947044525,-27.81455933,-12.1098175,31.62826262
10.23154879,8.674611053,-29.02883423,-11.79442337,32.51200572
10.24155079,8.294252014,-28.56764328,-11.26242966,31.80797354
10.25155379,6.594386902,-26.83649323,-10.45111679,29.54503595
10.26155654,4.00641861,-24.34657104,-8.836125183,26.20847229
10.27155854,1.896256714,-20.71587112,-7.770640869,22.20643973
10.28156154,0.5902226257,-16.30274826,-5.927523651,17.35694386
10.29156454,0.9084608459,-12.09185486,-3.433559875,12.6026818
10.30156654,1.491348724,-8.208480377,-2.431244202,8.6898918
10.31156954,0.7788304138,-5.062023468,-1.744172974,5.410434157
10.32157254,0.992585907,-3.378474426,-1.44269989,3.80535139
10.33157454,2.074236603,-2.417323151,-1.404529266,3.481179564
10.34157754,2.595003662,-1.014739838,-1.576970673,3.201652299
10.35158054,1.992955627,-0.1206491089,-1.478924561,2.484682313
10.36158254,0.9102571106,0.3359014893,-0.955612793,1.361834655
10.37158554,0.6295907593,0.8994795227,0.1399589539,1.106813645
10.38158754,0.7247927856,1.333576813,1.035696259,1.837503316
10.39159054,0.6809339905,1.616039429,1.50122818,2.308449822
10.40159354,0.4544549561,1.774559784,1.903142395,2.641503873
10.41159554,0.203127594,1.694925385,2.265538788,2.836670386
10.42159854,-0.05224136353,1.474433899,2.034868469,2.513438714
10.43160154,-0.3420387268,0.9913883972,1.398691406,1.748193094
10.44160354,-0.6732998657,0.4264631653,0.9740245056,1.258541727
10.45160654,-0.8137078857,-0.04954696655,0.8896000671,1.20663321
10.46160954,-0.7777825928,-0.4369413757,0.8214916992,1.212729211
10.47161154,-0.8433462524,-0.6535409546,0.7908055115,1.328051971
10.48161454,-0.9195378113,-0.7815248108,0.6828799438,1.386598656
10.49161754,-0.852177887,-0.8771759033,0.3751199341,1.279202752
10.50161954,-0.5445675659,-0.9151968384,0.1199006653,1.071688041
10.51162254,-0.1215472412,-0.9217831421,-0.1266366577,0.9383468101
10.52162454,0.3240760803,-0.8943901062,-0.5523513794,1.100023188
10.53162754,0.7903564453,-0.9190887451,-1.195414124,1.702469488
10.54163054,1.121467896,-0.9499246216,-1.80539566,2.32798207
10.55163254,1.482068024,-0.8631051636,-1.803898773,2.489081544
10.56163554,1.846859436,-0.6622229004,-1.5527211,2.502073492
10.57163854,1.721120911,-0.5307962036,-1.215472412,2.172872519
10.58164054,1.118025055,-0.6930587769,-1.196911011,1.778456201
10.59164354,0.7438032532,-0.9484277344,-1.343605957,1.805002885
10.60164654,0.573457489,-0.9680369568,-1.336869965,1.747332351
10.61164854,0.0730480957,-0.9101074219,-1.216520233,1.521036824
10.62165154,-0.6161187744,-0.9993218994,-1.783391418,2.135118628
10.63165354,-0.5237608337,-1.357077942,-3.332819366,3.636436564
10.64165654,0.7219487,-2.082619171,-2.752176819,3.526044495
10.65165954,2.29682373,-3.424728241,2.818937988,4.99505497
10.66166154,4.293970642,-5.555696869,6.443800049,9.530294363
10.67166454,13.27559326,-12.50065475,-12.03272781,21.84706581
10.68166754,9.932595062,-24.55613525,-7.417525177,27.50781531
10.69166954,2.749033356,-33.01040451,-9.15945282,34.3677111
10.70167254,13.33621719,-40.54259125,-16.17521347,45.64201929
10.71167554,10.8450975,-36.00881927,-4.071682892,37.82631104
10.72167754,4.750072174,-28.05750412,-14.17851563,31.79334881
10.73168054,5.497168579,-26.17771317,-11.04897354,28.94082489
10.74168354,9.851164398,-24.7665976,-7.711513824,27.74702222
10.75168554,14.37071594,-26.06409943,-10.82563797,31.67095188
10.76168854,14.59854218,-28.93557816,-12.86155426,34.86839106
