Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
10.00309933,-4.114344177,-21.01330261,-4.984484711,21.98480845
10.01310233,-3.843407593,-16.40453659,-4.790637817,17.51658681
10.02310433,-3.689527588,-12.05084015,-3.815864868,13.16799859
10.03310733,-3.150947571,-8.787027283,-3.796105957,10.07723868
10.04311033,-3.286565552,-6.029910736,-3.197201385,7.575185365
10.05311333,-2.570305023,-3.629203033,-3.054847412,5.395338292
10.06311533,-0.6767427063,-1.823507996,-2.593506775,3.241826567
10.07311833,0.9683363342,-0.6982978821,-2.361788635,2.646382577
10.08312133,1.712738342,-0.07259902954,-2.450404358,2.99052249
10.09312333,2.762355652,0.2550695801,-0.9855505371,2.943973352
10.10312633,3.064726868,0.2920426941,0.6803352356,3.15288689
10.11312933,1.980381775,1.02027832,0.6620732117,2.324052659
10.12313133,0.8147557068,1.71184021,0.33230896,1.924747519
10.13313433,0.2424957275,1.891616364,0.427660675,1.954459081
10.14313733,-0.03248245239,2.131118317,0.2266287231,2.143380733
10.15314033,-0.9457333374,1.942061462,-1.360221405,2.552688101
10.16314233,-3.178939362,0.649050293,-6.637646942,7.388185073
10.17314533,-3.766617279,0.2016307068,-0.9036708069,3.878747426
10.18314833,-2.070793762,0.2878514099,3.572171631,4.139016236
10.19315071,-0.02874023438,-0.3520678711,2.921025696,2.942306732
10.20315371,0.8750802612,-0.8881031799,2.489473114,2.784235821
10.21315671,1.034199371,-1.1771521,1.531764679,2.191245864
10.22315971,0.9880952454,-1.199605408,0.7667056274,1.732980919
10.23316171,0.9999206543,-1.064286804,0.2389031982,1.479737292
10.24316471,1.016536102,-0.7949967957,-0.2472857666,1.313969483
10.25316771,0.9833052063,-0.3324586487,-0.9991722107,1.440750842
10.26316971,0.735869751,-0.1216969299,-1.939367065,2.077849621
10.27317271,0.4328997803,-0.09924362183,-1.582808533,1.643938675
10.28317571,0.1724414062,0.1282832336,-0.02948867798,0.2169382602
10.29317871,-0.02694396973,0.4261637878,0.8515791321,0.9526429393
10.30318071,0.02005828857,0.5153782654,0.885408783,1.024678391
10.31318371,-0.4686753845,0.4381388855,0.6497987366,0.9131597325
10.32318671,-1.046773224,0.4055067444,0.5923182678,1.269256015
10.33318871,-1.309776306,0.08367599487,0.3279679871,1.352803993
10.34319171,-1.201401672,-0.4237687683,-0.2339634705,1.295254744
10.35319471,-0.5739065552,-0.8852590942,-0.8659492493,1.364888457
10.36319671,0.4055067444,-1.220262451,-2.035018158,2.407233905
10.37319971,0.9852511597,-1.242117004,-3.09137146,3.474212429
10.38320271,0.5614823914,-0.7360194397,-2.854863281,3.001204999
10.39320571,0.1429527283,0.1158590698,-2.578986969,2.585542998
10.40320771,0.1137634277,-0.06227050781,-2.608026581,2.611249199
10.41321071,-0.1296304321,-1.543739777,-2.008672943,2.536671744
10.42321371,-0.7458988953,-3.973936157,0.6065386963,4.088572237
10.43321571,-3.117566986,-10.54616913,-10.49228119,15.19963393
10.44321871,-7.371421051,-22.73801605,-17.73377243,29.76309639
10.45322171,-6.083648987,-31.29751648,-5.473068695,32.34964921
10.46322471,-1.059197388,-39.37621674,-13.43860428,41.61976007
10.47322671,0.05269042969,-46.67893066,-13.11991699,48.48770531
10.48322971,3.329226837,-49.41074982,-16.2039537,52.10637259
10.49323271,-2.715203705,-39.64730301,-13.88796982,42.09699125
10.50323471,-8.098908234,-31.05202698,-7.120542755,32.87130699
10.51323771,-9.797575836,-26.99321732,-7.976013794,29.80340701
10.52324071,-9.947563934,-25.17704407,-9.705517273,28.75820999
10.53324371,-8.547974396,-24.38653793,-9.239685974,27.44344905
10.54324571,-7.114405518,-25.86321716,-6.877897339,27.69162761
10.55324871,-6.163732452,-28.93917068,-6.129603424,30.21653911
10.56325171,-5.441184998,-29.86709106,-7.219936066,31.20540177
10.57325371,-4.396657104,-28.03879303,-7.137008514,29.26502005
10.58325671,-3.984264679,-24.10182999,-6.04937027,25.16679269
10.59325971,-3.334016876,-18.3566272,-4.376748505,19.16343805
10.60326271,-2.534529419,-12.9274173,-3.282973022,13.57644538
10.61326471,-1.735491028,-8.850195923,-1.072669373,9.082318898
10.62326771,-1.498982849,-5.258265381,-1.02731369,5.56342321
10.63327071,-0.8216413879,-2.419867859,-2.14833252,3.338590667
10.64327271,1.091380463,-0.9758207703,-1.719025269,2.257960443
10.65327571,2.65727417,-0.9882449341,-0.4538562012,2.871187823
10.66327871,3.058140564,-1.250349884,0.5941145325,3.356869169
10.67328171,2.521955566,-0.7280859375,0.2125579834,2.633543223
10.68328371,1.868115234,0.6125262451,-0.5638774109,2.045238535
10.69328671,1.040935364,1.361867981,-0.7015910339,1.85215032
10.70328971,0.5815406799,1.604363708,-0.5563929749,1.794922175
10.71329171,0.4770579529,1.852846985,-0.4117936707,1.957089744
10.72329471,0.1383123779,2.151475983,-1.289867706,2.512317241
10.73329771,-1.352886658,2.487527161,-7.316784668,7.845599503
10.74330071,-2.659220123,2.832260284,-5.903573456,7.067200969
10.75330271,-3.44703186,2.304457855,1.646725616,4.461419047
10.76330571,-4.161496124,1.414408722,5.017416229,6.67031241
10.77330871,-1.701811066,1.189426575,4.44635376,4.907235295
10.78331071,1.005608826,0.7319778442,2.298919373,2.613823054
10.79331371,0.9966275024,0.1508862305,1.428329773,1.748187339
10.80331671,0.9202862549,0.09190887451,0.8921447754,1.285027755
10.81331871,0.8529263306,0.04864883423,0.7747888184,1.153320314
10.82332171,0.7797285461,-0.112565918,0.7836204529,1.111174471
10.83332471,0.767454071,-0.3173400879,0.7694000244,1.132107274
10.84332771,0.7770341492,-0.4581971741,0.7390132141,1.166133461
10.85332971,0.7512876892,-0.5577401733,0.6077362061,1.115728726
10.86333271,0.6879693604,-0.7099736023,-0.005987548828,0.9886355281
10.87333571,0.2891986084,-0.9857002258,-2.058668976,2.300730041
10.88333771,-0.5206173706,-1.113684082,-2.627186737,2.900593876
10.89334071,-1.073417816,-0.8282276917,-1.438358917,1.976629275
10.90334371,-1.310225372,-0.603993988,-0.5571414185,1.546578748
10.91334671,-1.178948364,-0.4652325439,-0.0375718689,1.267979578
10.92334871,-0.9557624817,-0.6518943787,-0.006137237549,1.1569295
