Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
24.84941762,21.64603683,11.29595993,1.981579285,24.49645439
24.85935662,19.13665512,10.54152878,0.5921685791,21.85603033
24.86929562,17.34113892,9.762398987,1.379381561,19.94798803
24.87923462,16.09722565,8.306676178,2.607278137,18.30080441
24.88917362,14.60273346,6.527476044,2.766696625,16.23275633
24.89911262,12.77383667,5.44208313,2.681224365,14.14129188
24.90905162,10.75827805,4.752317505,3.222798157,12.19473231
24.91899062,8.717871094,4.02857254,3.88352417,10.35917145
24.92892962,6.818919983,3.407064972,4.109703827,8.659990012
24.93886863,4.886887665,2.581381989,4.138444061,6.904485735
24.94880762,3.023861847,1.442849579,3.590583344,4.910992173
24.95874763,1.632505188,0.9166937256,3.043620758,3.573377659
24.96868662,0.5255570984,0.540226593,2.609224091,2.715898634
24.97862562,-0.4022135925,0.322130127,2.413730621,2.468124613
24.98856463,-1.496288452,0.08277786255,2.615810394,3.014663385
24.99850362,-2.162852325,-0.3586541748,2.752925262,3.519255674
25.00844262,-2.506537628,-0.8529263306,2.748883667,3.816618349
25.01838162,-2.568808136,-0.89394104,3.101999359,4.125567336
25.02832062,-2.041454773,-0.6469546509,2.999312897,3.685371862
25.03825962,-1.371148682,-0.4294569397,2.58003479,2.953144339
25.04819862,-0.9279203796,-0.2254312134,2.281106415,2.472913654
25.05813762,-0.7970924377,-0.06975494385,2.033820648,2.185554514
25.06807663,-0.4237687683,0.1285826111,2.238594818,2.28197726
25.07801562,-0.2306703186,0.2389031982,2.28874054,2.312707675
25.08795563,-0.2671943665,0.3044668579,2.334545288,2.369429172
25.09789462,-0.3234773254,0.2941383362,2.136207733,2.180490408
25.10783362,-0.2341131592,0.4314028931,1.82186142,1.886821788
25.11777263,-0.05897735596,0.5523513794,1.221909027,1.342248876
25.12771162,0.1920506287,0.4179309082,0.7605683899,0.8888272969
25.13765062,0.2817141724,0.2845582581,0.6635700989,0.7750235824
25.14758963,-0.02993774414,0.04565505981,0.8759783936,0.8776780725
25.15752862,0.07005432129,-0.1944456482,0.9633966064,0.9853170755
25.16746762,0.3802093506,-0.1911524963,1.199605408,1.272851744
25.17740662,0.6315367126,-0.08158035278,1.244062958,1.39756453
25.18734562,0.9247769165,-0.22348526,1.237326965,1.560812617
25.19728462,1.279539185,-0.1778302002,1.298250275,1.831474237
25.20722362,1.465751953,0.007783813477,1.388811951,2.019229559
25.21716262,2.131567383,0.1471440125,1.541793823,2.63483568
25.22710262,4.017794952,0.6280938721,1.518592072,4.340887014
25.23704162,6.260131989,1.141825562,1.587299194,6.558394381
25.24698063,9.314380646,1.773362274,2.591860199,9.829559495
25.25691962,14.32895279,2.878813477,2.862198029,14.89290545
25.26685862,22.84534286,4.991370392,3.713178406,23.67722878
25.27679763,34.07558945,9.886940002,8.208480377,36.4180797
25.28673662,37.70494217,15.73602676,13.16033295,42.92411403
25.29667562,30.58829132,16.83339478,13.07755508,37.28309527
25.30661388,22.4573497,8.371042328,2.218237152,24.0692227
25.31655287,24.4360849,10.86066513,-10.03632935,28.56228631
25.32649187,38.03710144,19.53467743,-4.832850037,43.03232678
25.33643088,37.05469437,17.47376312,2.715054016,41.05793822
25.34636987,28.19027802,12.94927185,-0.6219566345,31.02841031
25.35630887,25.98416565,11.80475189,4.20999527,28.84879706
25.36624887,23.27944016,10.68777466,1.877695312,25.68436491
25.37618787,20.78113541,9.512119446,-0.0419128418,22.85470984
25.38612688,18.71767639,8.381819916,0.6042933655,20.51758965
25.39606587,16.37579636,7.063361664,1.733994141,17.91827335
25.40600487,13.6373909,6.16522934,2.026186523,15.10277839
25.41594387,10.63538361,5.383854218,2.564167786,12.19312212
25.42588287,8.633446655,4.34336792,3.978127441,10.45115993
25.43582187,7.124434662,3.303031311,5.023852844,9.322375368
25.44576087,5.568121033,2.015109558,5.376968536,7.998526677
25.45569987,3.218307495,0.6230044556,4.961282959,5.946424664
25.46563888,1.586999817,-0.3505709839,3.542383575,3.897428618
25.47557787,0.05987548828,-0.3951782227,2.599045258,2.629598287
25.48551687,-0.62599823,-0.2643502808,1.999541931,2.111852928
25.49545588,-1.540446625,-1.015787659,2.989134064,3.512794162
25.50539587,-2.62329483,-2.10267746,4.11868515,5.316624458
25.51533488,-2.865790558,-2.470462646,4.291725311,5.721437525
25.52527387,-1.869911499,-1.795366516,3.474275208,4.334800821
25.53521287,-0.6526428223,-0.7640112305,3.356470184,3.503647801
25.54515187,0.1332229614,-0.4296066284,3.007545776,3.040993556
25.55509087,0.1234931946,-0.04430786133,3.167263641,3.169979926
