Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
19.88376433,4.322112122,1.119222565,-1.071022797,4.59133991
19.89370333,4.362528076,0.630788269,-0.7571255493,4.472447222
19.90364333,4.440066833,0.0940045166,-0.4198768616,4.460866162
19.91358233,4.689897308,-0.5903723145,-0.1782792664,4.730270577
19.92352233,5.23491394,-1.734592896,-0.1233435059,5.516189817
19.93346133,6.276597748,-3.627556458,-0.2514770508,7.253832494
19.94340133,7.67454071,-6.412664795,-0.5471122742,10.01599604
19.95334033,9.30689621,-9.898615723,-0.8876541138,13.61575705
19.96328033,11.86552551,-14.19842422,-1.329535217,18.55137758
19.97321933,16.26382919,-19.94257919,-1.648222504,25.78633829
19.98315933,21.60906372,-26.74982346,-1.801054688,34.43469889
19.99309833,22.64326309,-28.58111526,-1.412462769,36.49099292
20.00303833,22.04884918,-28.3444574,-1.004561005,35.92449246
20.01297733,25.01567963,-31.92201782,-0.4520599365,40.55864652
20.02291733,25.8707016,-32.89304855,1.207239532,41.86529913
20.03285633,23.29665436,-29.60932709,3.121907959,37.80466458
20.04279633,20.50974976,-25.79076782,4.660109253,33.27957569
20.05273533,18.66498596,-22.38205627,6.066285095,29.76806945
20.06267533,17.70563095,-19.26239365,7.279661865,27.1573683
20.07261433,17.53438705,-16.43163025,8.271948395,25.41413646
20.08255433,17.37077728,-13.85922958,8.827443237,23.91120871
20.09249333,16.86917038,-11.35673355,8.514294434,22.04625855
20.10243333,15.51089493,-9.058412933,7.152127075,19.33379497
20.11237233,13.38471634,-6.97953598,4.762945404,15.82877768
20.12231233,11.21617584,-4.567451935,1.457369385,12.19787454
20.13225133,8.945397949,-2.259102173,-2.107018433,9.463784326
20.14219133,6.951095123,-0.4427792358,-5.523364105,8.889394125
20.15213033,5.813311157,1.45437561,-8.786278839,10.63524757
20.16207033,4.524790649,3.45990509,-12.8955336,14.09749838
20.17200933,0.8948391724,4.828509064,-19.11315399,19.73392745
20.18195262,-2.494412842,4.211043091,-21.88793381,22.42847801
20.19189162,-1.582658844,2.761906586,-16.68505325,16.98599244
20.20183163,0.08996292114,2.630779266,-9.216484222,9.585023438
20.21177062,-0.1258882141,2.585573273,-4.92371109,5.562730255
20.22171063,-1.727856903,1.958826599,-2.059417419,3.326212746
20.23164962,-2.977009277,1.128652954,0.44697052,3.214999903
20.24158963,-4.281845856,1.494492188,1.814077606,4.884525401
20.25152963,-5.113666077,2.432890778,2.026485901,6.014580899
20.26146863,-5.084626465,2.866539001,2.671644287,6.41935786
20.27140863,-4.080963593,2.544109497,2.906655579,5.619199554
20.28134763,-2.486778717,1.817221069,2.476450195,3.952109104
20.29128763,-0.9273216248,1.229842529,1.803599396,2.371794431
20.30122663,0.299078064,1.141526184,1.22160965,1.698487519
20.31116663,1.220112762,1.301842804,0.7194039917,1.92380143
20.32110563,1.791923676,1.503024445,0.2972817993,2.357636403
20.33104563,2.191442871,1.689686279,-0.02514770508,2.767326144
20.34098463,2.717299347,1.981130219,-0.3338058472,3.379351865
20.35092463,3.149300995,2.284249878,-0.559536438,3.93051845
20.36086363,3.453468475,2.496358795,-0.6655160522,4.312906602
20.37080363,3.759132843,2.576142883,-0.6903643799,4.60914253
20.38074263,4.202061768,2.556833038,-0.6155200195,4.957174919
20.39068263,4.885241089,2.217488708,-0.5150788879,5.389632912
20.40062163,5.763464813,1.113833771,-0.3942800903,5.883333163
20.41056163,6.820117493,-0.8144563293,-0.3225791931,6.876147109
20.42050063,8.135282593,-3.503464508,-0.2287243652,8.860553101
20.43044063,9.685009918,-7.082821198,-0.2477348328,12.00113102
20.44037963,11.53591095,-11.75041489,-0.4146377563,16.47183705
20.45031963,14.65572327,-17.08996124,-0.8464897156,22.5293929
20.46025863,20.28147446,-23.67132523,-1.562151489,31.21073792
20.47019863,27.70618469,-31.4338829,-2.362237701,41.96786666
20.48013763,29.45035767,-31.3291008,-2.347867584,43.06214818
20.49007762,30.07740372,-30.16467224,-2.268233185,42.65797168
20.50001663,31.51202042,-30.08728317,-2.294877777,43.62933077
20.50995662,30.49144272,-28.04403214,-1.701960754,41.46194023
20.51989563,27.74570251,-24.61870514,-0.7119195557,37.10001995
20.52983562,24.55613525,-21.2152327,0.519868927,32.45551017
20.53977463,22.12010101,-18.50586685,2.158661041,28.92102685
20.54971462,20.32233948,-16.17700974,3.92917923,26.27035545
20.55965363,18.45003296,-13.68080063,5.450016632,23.60658178
20.56959362,16.25409943,-11.33053802,6.434818726,20.83227621
20.57953263,13.84875137,-9.195378113,6.699618073,17.92282834
20.58947262,11.40268799,-6.893764343,6.106401672,14.65719692
20.59941163,8.979976044,-4.201612701,4.302802277,10.8077577
20.60935162,6.585555267,-1.742526398,1.456022186,6.96605606
20.61929063,4.509672089,-0.155975647,-1.567989349,4.777034786
20.62923062,2.73795639,0.790506134,-4.092190247,4.986714967
20.63916963,1.222657471,1.619182892,-5.868097229,6.20896204
20.64910962,-0.6048921204,2.385738831,-7.923922119,8.297360182
20.65904863,-3.052302704,3.153941345,-10.39977356,11.2880108
20.66898862,-4.856351166,3.528761902,-11.671978,13.12521914
20.67892763,-5.000052338,3.203488312,-10.83970871,12.35969845
20.68886762,-4.516108704,2.686164093,-8.371341705,9.883829081
20.69880663,-4.353097687,2.314786377,-5.723797302,7.554439158
20.70874662,-4.614603882,1.86512146,-3.949836273,6.35408952
20.71868563,-5.121898956,1.06593338,-2.939886475,6.00108285
20.72862562,-5.744604034,0.2387535095,-2.503843231,6.271101153
20.73856463,-6.023773499,-0.2008822632,-2.422412567,6.495712701
20.74850462,-5.6269487,-0.1823208618,-2.37645813,6.11092021
20.75844363,-4.536017303,0.07679031372,-2.197280731,5.04077299
20.76838362,-2.871179352,0.375718689,-1.829196167,3.425024674
20.77832263,-1.113235016,0.6432124329,-1.372944946,1.880955146
20.78826262,0.4180805969,0.7747888184,-1.027613068,1.353173202
20.79820163,1.638792114,0.7946974182,-0.6041436768,1.918898945
20.80814162,2.519560547,0.7934999084,-0.1112187195,2.64389808
20.81808063,3.090623016,0.8268804932,0.07409591675,3.200183149
20.82802062,3.353027344,0.833915863,0.227227478,3.462634887
20.83795963,3.426374817,0.7882608032,0.4813989258,3.548682066
20.84789962,3.615431671,0.7253915405,0.6459068298,3.743625875
20.85783863,3.902085571,0.5463638306,0.9228309631,4.04677677
20.86777862,4.37959259,0.2302212524,1.156495056,4.535561034
20.87771763,5.27353363,-0.479153595,1.285826111,5.449136987
20.88765762,6.450536041,-1.81482605,1.281784515,6.822461459
20.89759663,7.95655426,-3.816313934,1.093176727,8.891908856
20.90753662,9.441915436,-6.794371033,0.8887019348,11.66632058
20.91747562,11.27919479,-10.81441132,0.666713562,15.64021209
20.92741563,14.0500827,-15.69456299,0.5034031677,21.07077469
20.93735462,18.10814392,-21.52463928,0.2513273621,28.12966651
20.94729463,21.19996445,-26.51975189,0.01496887207,33.95196544
20.95723362,20.44238983,-26.09074402,-0.4525090027,33.14849906
20.96717363,20.7559877,-25.53599762,-1.199605408,32.92927653
20.97711262,24.44551529,-28.8526506,-1.63924118,37.85162845
20.98705263,27.14919296,-30.41884369,-1.294957123,40.79291169
20.99699162,27.05593689,-28.08310089,-0.5915698242,39.00043886
21.00693163,26.07442795,-24.94951721,0.2174977112,36.0888003
21.01687062,24.5449086,-21.51969955,1.172960815,32.66383082
21.02681063,22.87872345,-17.9385466,1.909878387,29.1354608
21.03674962,21.53197403,-14.90196121,2.395917664,26.29514737
21.04668963,20.09466293,-12.43464203,2.736758881,23.78877151
21.05662862,18.47832413,-10.45411057,2.596350861,21.38873367
21.06656863,16.36202499,-8.677155762,1.718576202,18.60006447
21.07650762,13.85803207,-6.580016785,0.03517684937,15.34089017
21.08644763,11.20659576,-4.287683716,-2.119143219,12.18453069
21.09638662,8.855584717,-2.180066528,-4.252656555,10.06276098
21.10632663,6.932533722,-0.07170089722,-6.051166534,9.20227044
21.11626562,5.004992065,2.039059753,-7.455995178,9.208668435
21.12620563,2.521955566,3.691922607,-8.90438324,9.963864376
21.13614462,0.2499801636,4.868625641,-9.654922485,10.81589265
21.14608463,-0.7482939148,5.188660126,-8.965905304,10.38602887
21.15602362,-0.8716374207,4.693040771,-6.853797455,8.352180735
21.16596363,-1.392554169,4.084705811,-4.500391388,6.23518655
21.17590262,-2.406246185,3.670816498,-2.622097321,5.112759414
21.18583971,-3.319646759,3.128494263,-1.307980042,4.745349591
21.19577871,-4.768334198,2.291285248,-0.4314028931,5.307834546
21.20571871,-6.326294403,1.409019928,-0.3484753418,6.490668155
21.21565771,-7.059320068,1.224004669,-0.5613327026,7.186604321
21.22559771,-6.755302277,1.479074249,-0.6688092041,6.947594924
21.23553671,-5.273982697,1.552272034,-0.8605604553,5.564620944
21.24547671,-3.202440491,1.394500122,-0.9505233765,3.619910272
21.25541571,-1.028660889,1.313668213,-0.9484277344,1.919214049
21.26535571,0.7150630188,1.333127747,-0.8147557068,1.718246656
21.27529471,1.879341888,1.414558411,-0.5818400574,2.423105298
21.28523471,2.633623352,1.531315613,-0.3341052246,3.064722788
21.29517471,3.101699982,1.61708725,-0.06242019653,3.498486849
21.30511371,3.378324738,1.652413788,0.2659968567,3.770186161
21.31505271,3.666325836,1.687440948,0.6140231323,4.08245349
21.32499271,3.998485107,1.695224762,0.9505233765,4.445803059
21.33493171,4.431534576,1.610650635,1.294208679,4.889547042
21.34487171,5.04076767,1.317111053,1.589095459,5.446957371
21.35481071,5.827381897,0.7972421265,1.748813324,6.136148859
21.36475071,6.71862854,-0.2073188782,1.835333405,6.967883415
21.37468971,7.889044647,-1.983525238,1.775906982,8.3261782
21.38462971,9.185498657,-4.52000061,1.631008301,10.36648345
21.39456871,10.63373703,-7.632777557,1.329834595,13.15690376
21.40450871,12.1271814,-10.83970871,0.8336164856,16.28688828
21.41444771,14.11070663,-14.0846608,0.1213975525,19.93751361
21.42438771,16.53461609,-17.6598262,-0.7940986633,24.20523876
21.43432671,19.21643921,-21.11374374,-2.001936951,28.61938962
21.44426671,22.58533356,-25.46384766,-3.438050537,34.21001346
21.45420571,27.5256601,-31.13435577,-4.579127655,41.8088326
21.46414571,30.41450272,-33.4087262,-4.715643768,45.4249079
21.47408471,29.64031265,-32.03263779,-3.667673035,43.79600259
21.48402471,29.1831633,-29.85900787,-1.852098541,41.79291376
21.49396371,27.215056,-26.12202896,0.4203259277,37.7252746
21.50390371,24.53772354,-21.64543808,2.268083496,32.79891872
21.51384271,22.41214371,-17.87403076,3.449875946,28.87363512
21.52378271,20.20498352,-15.01153336,4.287983093,25.53378726
21.53372171,17.81131119,-12.58223511,4.704716492,22.30896241
21.54366171,15.11257324,-10.35172348,4.535717926,18.87116282
21.55360071,12.15023346,-8.095764771,3.588338013,15.03481792
21.56354071,9.316775665,-5.969586182,1.817370758,11.21343411
21.57347971,6.715335388,-4.258793793,-0.436791687,7.963908646
21.58341971,4.100722504,-2.852019196,-2.685864716,5.67131447
21.59335871,1.435814209,-1.217268677,-4.485572205,4.864531167
21.60329871,-1.563947754,0.6737489319,-5.999972992,6.236950064
21.61323771,-4.20056488,2.553839264,-7.113507385,8.646896994
21.62317771,-5.748046875,3.673361206,-7.311246185,9.999397292
21.63311671,-5.791456604,3.861220551,-6.59229126,9.586881547
21.64305671,-4.939278717,3.597768402,-5.214406586,8.033084573
21.65299571,-4.132157135,3.420836334,-3.871249695,6.615392506
21.66293571,-3.624712372,3.311563568,-2.833158417,5.668490069
21.67287571,-3.391946411,3.053051147,-2.073787537,5.012685559
21.68281471,-3.233426056,2.550396423,-1.523082733,4.39082532
21.69275371,-3.112776947,1.898052979,-1.178050232,3.831421118
21.70269371,-3.252436523,1.14197525,-1.009650421,3.591913805
21.71263271,-3.712130585,0.2962339783,-1.014739838,3.85971048
21.72257271,-4.146976318,-0.1863624573,-1.234183502,4.330745025
21.73251171,-3.911665649,0.003442840576,-1.466949463,4.177688444
21.74245171,-2.665806427,0.5637277222,-1.519639893,3.119874718
21.75239071,-0.8876541138,0.9601034546,-1.309626617,1.85063512
21.76233071,0.7643106079,0.987197113,-0.9205856323,1.551195266
21.77226971,1.820065155,0.8729846191,-0.3864962769,2.055266086
21.78220971,2.403252411,0.7903564453,0.1335223389,2.533399628
21.79214871,2.800825653,0.7893086243,0.4993615723,2.95245566
21.80208871,3.059637451,0.8385562134,0.8852590942,3.29366688
21.81202771,3.20603302,0.7770341492,1.280587006,3.538690842
21.82196771,3.218008118,0.572409668,1.618733826,3.647400207
21.83190671,3.272494812,0.4082011414,1.804946594,3.759479043
21.84184671,3.683240662,0.1149609375,1.895657959,4.144031477
21.85178571,4.358935547,-0.8252339172,1.816772003,4.793953549
21.86172571,5.118605804,-2.667902069,1.592687988,5.987861209
21.87166471,6.34650238,-5.244643707,1.265019379,8.329745141
21.88160471,8.120762787,-8.462801514,0.8222401428,11.75763057
21.89154371,10.15278717,-12.17672836,0.4242178345,15.85975289
21.90148371,13.80010254,-16.31457367,-0.2633024597,21.37001339
21.91142271,19.85965164,-21.21882523,-1.317859497,29.09262898
21.92136271,24.93589554,-25.04172546,-2.692301331,35.44200032
21.93130171,25.20862839,-25.32957687,-3.938908997,35.95243266
21.94124171,25.55964844,-26.93723373,-4.963228912,37.46390037
21.95118071,27.09186218,-30.58260315,-5.046755219,41.16715135
21.96112071,26.56974792,-31.34062683,-3.839964752,41.26659332
21.97105971,24.52350311,-29.16535034,-1.546583862,38.13675113
21.98099971,22.65868103,-26.33294037,0.7478448486,34.74764519
21.99093871,21.29860931,-23.24770615,2.409689026,31.62108792
22.00087871,20.20423508,-19.83016296,3.721710663,28.55341676
22.01081771,19.36148758,-16.06848541,4.602179718,25.57818373
22.02075771,18.30438583,-12.60678406,5.06067627,22.79456052
22.03069671,16.62966843,-9.494605865,5.093458099,19.81506316
22.04063671,14.42415482,-6.6554599,4.288132782,16.45416274
22.05057571,11.43696671,-4.179309082,2.391127625,12.40920316
22.06051571,8.094417572,-2.481240234,-0.1895059204,8.468297434
22.07045471,5.243895264,-1.232536926,-2.75442215,6.050159187
22.08039471,2.884651337,-0.08292755127,-4.807103577,5.606811492
22.09033371,0.4805007935,1.007554779,-6.737938385,6.829777546
22.10027371,-2.311642914,2.066303101,-9.061855774,9.577605731
22.11021271,-4.596790924,2.881507874,-10.51548294,11.83253802
22.12015271,-4.90619751,2.81519577,-9.891730042,11.39484201
22.13009171,-3.833827515,2.194885712,-7.180118866,8.430294398
22.14003171,-3.298840027,1.747466125,-4.123026123,5.561953595
22.14997071,-3.579356689,1.702709198,-2.013912048,4.445993102
22.15991071,-3.628155212,1.916165314,-0.5125341797,4.134959618
22.16984971,-3.584296417,2.632126465,1.137185211,4.590039296
22.17978971,-3.143163757,3.377426605,1.953288116,5.010171988
22.18972812,-2.28170517,3.57456665,2.38813385,4.866917762
22.19966813,-1.595831451,3.120860138,2.789748688,4.479859793
22.20960712,-1.05306015,2.4724086,2.607876892,3.744697831
22.21954713,-0.6752458191,1.972298584,2.105970612,2.963280418
22.22948612,-0.4745132446,1.701960754,1.478625183,2.303945672
22.23942613,-0.3062631226,1.522184601,0.8719367981,1.780762994
22.24936512,-0.07005432129,1.343755646,0.3950285339,1.402367422
22.25930513,0.2573149109,1.193019104,0.07978408813,1.223058072
22.26924412,0.686023407,1.071471863,-0.08666976929,1.275222222
22.27918413,1.293160858,1.101259918,-0.2327659607,1.714414887
22.28912312,2.006876678,1.266366577,-0.3553610229,2.399483229
22.29906313,2.825973358,1.424587555,-0.4376898193,3.194862673
22.30900212,3.673061829,1.472038879,-0.5113366699,3.989955745
22.31894213,4.493356018,1.319506073,-0.5513035583,4.715430012
22.32888112,5.469476166,0.7545808411,-0.7325765991,5.569670569
