Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
24.84987104,1.371148682,-0.9183403015,-1.534758453,2.25363731
24.85981004,0.6920109558,-1.897454224,-3.522474976,4.060423826
24.86974904,-1.492695923,-3.120261383,-4.958289185,6.045560673
24.87968904,-15.60310318,-8.936716003,-11.19327347,21.18044128
24.88962804,-68.11839706,-34.59456024,-10.71531738,77.14737613
24.89956704,-80.80032486,-63.78775269,19.10626831,104.702528
24.90950704,-78.50335144,-29.12373688,28.18264389,88.34721079
24.91944604,-77.91312881,8.039032745,43.35868515,89.52685221
24.92938504,-51.01750854,2.782863007,71.00394653,87.47623065
24.93932504,-3.140619049,-4.192481689,66.30027786,66.50689615
24.94926404,-15.99409012,-1.078357544,27.5202713,31.84869081
24.95920304,-26.52573944,0.7360194397,3.016826477,26.70688712
24.96914304,-11.9267482,-0.07978408813,-3.959266663,12.56699967
24.97908204,-3.337010651,0.4595443726,-4.034111023,5.25555638
24.98902204,0.5596861267,1.292861481,-3.710933075,3.969353053
24.99896104,2.015259247,1.226699066,-3.579356689,4.286940021
25.00890004,2.261347504,0.4351451111,-2.981050873,3.766922896
25.01884004,2.02663559,-0.09984237671,-2.675536194,3.357933031
25.02877904,1.996847534,-0.3077600098,-2.533780975,3.240703987
25.03871804,1.965412903,-0.3839515686,-2.190844116,2.968175303
25.04865804,1.864073639,-0.4679269409,-1.944755859,2.734191198
25.05859704,1.892215118,-0.5587879944,-1.844464417,2.700883385
25.06853604,1.966011658,-0.6253994751,-1.838327179,2.763290278
25.07847604,2.310445404,-0.6236032104,-2.046843567,3.149064546
25.08841504,2.695744171,-0.6509962463,-2.462379456,3.708658158
25.09835404,3.194057922,-0.5830375671,-3.047213287,4.452802223
25.10829404,3.428470459,-0.3420387268,-3.842060394,5.160700364
25.11823304,2.594853973,0.06182144165,-4.691843262,5.361947615
25.12817204,1.399140472,0.2552192688,-5.138065338,5.331270614
25.13811204,1.543590088,0.0217048645,-5.289250946,5.50992895
25.14805104,1.202599182,-0.3414399719,-5.426515503,5.568653028
25.15799004,0.8448431396,-0.789458313,-5.774541779,5.889171174
25.16793004,0.7824229431,-1.257385254,-6.107299805,6.284291069
25.17786904,0.9377998352,-1.465901642,-6.27046051,6.507458119
25.18780804,1.200353851,-1.505269775,-6.710245972,6.980980409
25.19774804,1.479074249,-1.408121796,-7.039112091,7.329363319
25.20768704,1.76093811,-1.182391205,-6.841373291,7.162635025
25.21762604,2.032323761,-1.032852173,-6.530170441,6.91666462
25.22756604,2.205962677,-0.8909472656,-6.244264984,6.682133159
25.23750504,2.200274506,-0.6842271423,-5.474415894,5.939579451
25.24744404,2.167492676,-0.4396357727,-4.338128815,4.869359889
25.25738404,2.210153961,-0.2137554932,-3.361110535,4.02834159
25.26732304,2.244133301,-0.07933502197,-2.526146851,3.37991808
25.27726204,2.320624237,0.07768844604,-1.858535156,2.974136055
25.28720204,2.419418793,0.1981878662,-1.385668488,2.795164196
25.29714104,2.233505402,0.3049159241,-0.8487350464,2.408707388
25.30708104,1.902393951,0.3264710999,-0.2683918762,1.948774057
25.31702004,1.877096558,0.2032772827,0.06885681152,1.889326441
25.32695904,1.851200409,0.07214996338,0.2185455322,1.865451881
25.33689904,1.849254456,-0.08637039185,0.1392105103,1.856497092
25.34683804,2.121238861,-0.2748284912,-0.445922699,2.184955848
25.35677704,2.590513,-0.4652325439,-1.811682587,3.195214034
25.36671704,1.43686203,-0.8042774963,-5.363346863,5.610429962
25.37665604,-2.446961517,-2.169588318,-9.382189636,9.935804774
25.38659504,-8.631201324,-4.53990921,-11.93647797,15.41388719
25.39653504,-22.28460892,-8.628057861,-16.2437709,28.89476199
25.40647404,-65.23389542,-23.04293198,-15.28995438,70.85351459
25.41641304,-80.44286819,-37.01622437,3.786974945,88.6318063
25.42635304,-78.31085175,-13.83018997,13.14057404,80.60110633
25.43629204,-78.60289444,5.605243835,20.29629364,81.37427916
25.44623104,-65.55737274,-1.382674713,28.98752014,71.69349506
25.45617104,1.27654541,-1.505269775,68.43079742,68.45925388
25.46611004,-6.380781097,0.9467811584,41.88215561,42.37600406
25.47604904,-24.26169754,-0.9904902649,2.160307617,24.37781712
25.48598904,-11.59503799,-1.086740112,-0.619561615,11.66232253
25.49592804,-6.384074249,-0.2415975952,-1.847458191,6.650404137
25.50586704,-2.550695801,0.2884501648,-2.582579498,3.641286782
25.51580704,-0.6179150391,0.3285667419,-3.050207062,3.129462928
25.52574604,0.1459465027,-0.03502716064,-3.262765045,3.266215398
25.53568504,0.5523513794,-0.2664459229,-3.445385284,3.49953786
25.54562504,0.8360115051,-0.3555107117,-3.119213562,3.248814607
25.55556404,0.9264234924,-0.2713856506,-2.723286896,2.889325557
25.56550404,0.9839039612,-0.1886077881,-3.030597839,3.191890218
25.57544304,0.9125024414,-0.2019300842,-4.383484497,4.482005444
25.58538204,0.6682104492,-0.09220825195,-5.318889313,5.361491498
25.59532204,0.6620732117,-0.04805007935,-5.67140625,5.710122468
25.60526104,0.9921368408,0.05044509888,-5.575306091,5.663119126
25.61520004,1.130748596,0.004939727783,-5.519472198,5.634109525
25.62514004,0.6876699829,-0.3700305176,-5.615123291,5.66916415
25.63507904,0.2073188782,-0.6882687378,-6.576723633,6.61588911
25.64501804,0.7270381165,-0.6807843018,-8.193661194,8.253976947
25.65495804,1.523681488,-0.4813989258,-9.005423126,9.146091837
25.66489704,2.582729187,-0.5393284607,-9.171727295,9.543686228
25.67483604,3.344046021,-0.6117778015,-9.557774506,10.14435653
25.68477604,3.521277466,-0.5625302124,-9.755513306,10.38681256
25.69471504,3.43775116,-0.3887416077,-9.069040833,9.706531548
25.70465404,3.090922394,-0.1115180969,-7.862699432,8.449158532
25.71459404,2.733615417,0.04221221924,-6.432723083,6.989589501
25.72453304,2.64200592,0.07274871826,-5.17533783,5.811162475
25.73447204,2.602188721,0.1460961914,-3.788621521,4.598519682
25.74441204,2.602039032,0.3131488037,-2.445165253,3.58434128
25.75435104,2.398312683,0.6114784241,-1.484912109,2.886307946
25.76429004,2.139351196,0.8879534912,-1.105451202,2.566575014
25.77423004,1.915716248,0.9800120544,-0.9791139221,2.364118534
25.78416929,1.579964447,1.021026764,-0.8069718933,2.04694576
25.79410829,1.321452026,0.9798623657,-0.5396278381,1.731347428
25.80404829,1.037492523,0.8538244629,-0.3758683777,1.395236176
25.81398729,0.7982899475,0.763711853,-0.2136058044,1.125233342
25.82392629,0.8849597168,0.6024971008,-0.2406994629,1.097311573
25.83386629,1.325493622,0.3860472107,-0.5117857361,1.472375777
25.84380529,1.775457916,0.1166075134,-0.8976832581,1.992908266
25.85374429,2.072440338,-0.3293151855,-0.8858578491,2.277762405
25.86368429,2.188598785,-1.724863129,-0.1047821045,2.788565356
25.87362329,0.9183403015,-2.908002777,2.259102173,3.795177425
25.88356229,-0.7243437195,-1.929786987,-0.252973938,2.076715545
25.89350229,-2.631078644,-2.755769348,-0.9874964905,3.935986388
25.90344129,-22.96195038,-12.06820404,-3.531605988,26.17947583
25.91338129,-74.7096405,-47.6445726,24.8487767,92.0271557
25.92332029,-80.34257675,-61.63822266,45.00675797,110.8142969
25.93325929,-78.57101074,-21.29546585,45.15135727,93.08891265
25.94319929,-63.6894072,8.275091858,54.50031601,84.2324295
25.95313829,-15.65294952,2.995121613,63.12852356,65.10910896
25.96307729,2.99302597,3.151546326,46.6771344,46.87904995
25.97301729,-20.60375427,2.040257263,20.63593735,29.23216123
25.98295629,-24.69145386,-0.3466790771,4.282893677,25.06254692
25.99289529,-12.91903473,-0.9279203796,-1.021176453,12.99250922
26.00283529,-4.521946564,-0.4448748779,-1.942959595,4.941761464
26.01277429,-0.1375639343,0.3818559265,-2.303110657,2.338601394
26.02271329,1.155596924,0.8813671875,-1.656904449,2.20398383
26.03265329,1.488654327,0.7114704895,-1.568438416,2.276462393
26.04259229,1.932780762,0.3770658875,-2.027982788,2.826753322
26.05253129,2.235151978,0.2561174011,-2.581082611,3.423957934
26.06247129,2.548001404,0.314046936,-2.759361877,3.768954046
26.07241029,2.814896393,0.569715271,-2.478545837,3.793600751
26.08234929,2.833607483,0.8360115051,-2.331401825,3.76346663
26.09228929,2.679428101,1.035247192,-2.120789795,3.570549124
26.10222829,2.607128448,1.19466568,-2.126777344,3.570367867
26.11216729,2.982098694,1.244062958,-2.373164978,4.009054412
26.12210729,3.466341705,1.142873383,-2.766846313,4.58007892
26.13204629,3.662134552,0.8662486267,-2.757116547,4.665116056
26.14198529,3.066373444,0.4179309082,-3.639232178,4.777166857
26.15192529,1.961970062,0.01197509766,-5.216651917,5.573412523
26.16186429,1.676513672,-0.2519261169,-6.589447174,6.804041367
26.17180329,1.404978333,-0.4963677979,-8.318800964,8.451200778
26.18174329,0.5111869812,-0.6782395935,-10.00235001,10.03834283
26.19168229,0.5957611084,-1.059796143,-11.29551086,11.36075107
26.20162129,1.301543427,-1.644779663,-10.8251889,11.02651487
26.21156129,1.681154022,-1.899549866,-9.183253326,9.527156459
26.22150029,2.134411469,-1.6217276,-8.116571503,8.547774312
26.23143929,2.414479065,-1.265169067,-7.518864441,7.997729953
26.24137929,2.564916229,-1.109043732,-6.651867371,7.214992223
26.25131829,2.667453003,-0.9753717041,-5.533842316,6.220133942
26.26125829,2.71220993,-0.8681945801,-4.380041656,5.224424317
26.27119729,2.781515808,-0.7604187012,-3.428769836,4.480126045
26.28113629,2.804567871,-0.6303392029,-2.6701474,3.9233424
26.29107629,2.928061066,-0.4936734009,-2.302062836,3.757226148
26.30101529,3.199147339,-0.3932322693,-2.177372131,3.889746099
26.31095429,2.763253784,-0.346230011,-1.305435333,3.075647591
26.32089429,2.644999695,-0.3134481812,-0.8141569519,2.78516152
26.33083329,2.527793427,-0.1133143616,-0.2459385681,2.542255992
26.34077229,2.056124268,0.01541793823,0.2112107849,2.067001382
26.35071229,1.657952271,0.006885681152,0.5607339478,1.750221616
26.36065129,1.510508881,-0.02395019531,1.057999878,1.84433577
26.37059029,2.245480499,-0.4667294312,1.71648056,2.864668314
26.38053029,0.2056723022,-1.197809143,4.056414642,4.234565809
26.39046929,-1.227746887,-1.154100037,3.563938751,3.942203538
26.40040829,-1.025966492,-1.521286469,-2.791694641,3.340730269
26.41034829,-5.686824188,-3.15334259,-3.667523346,7.465538583
26.42028729,-32.43021103,-10.65783691,-7.516319733,34.9543007
26.43022629,-78.39647369,-35.72456039,23.13573898,89.20489741
26.44016629,-79.35163742,-28.28937195,36.06615005,91.63917343
26.45010529,-77.61315262,14.12807053,66.71746033,103.3180688
26.46004429,-59.17255005,4.046834564,75.75102493,96.20803151
26.46998429,-50.88308807,-4.247118073,37.94264786,63.61423732
26.47992329,-38.26223328,-1.457668762,4.705165558,38.57799731
26.48986229,-16.58730652,-1.521735535,-1.653461609,16.73882767
26.49980229,-4.194876709,-0.9141490173,-0.5751040649,4.33167447
26.50974129,0.4685256958,-0.4813989258,-0.9677375793,1.17803959
26.51968029,1.782942352,-0.408949585,-1.181044006,2.177381028
26.52962029,1.740879822,-0.5742059326,-1.967358856,2.689028798
26.53955929,1.837728424,-0.6050418091,-2.462678833,3.131789965
26.54949829,2.265838165,-0.6246510315,-2.844385071,3.689815434
26.55943829,2.461181946,-0.5652246094,-2.726130981,3.716003977
26.56937729,2.781366119,-0.3475772095,-2.703527985,3.894338323
26.57931629,3.164718933,0.06810836792,-2.760110321,4.199796859
26.58925629,3.871100006,0.4849914551,-3.287463684,5.101769246
26.59919529,4.891977081,0.5855822754,-4.031716003,6.366245385
