Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.973130417,-5.39059021,-26.47783905,3.53370163,27.25108201
4.983069417,-9.073082428,-23.11283661,4.812492371,25.29197746
4.993009417,-10.85916824,-20.98037109,5.424419861,24.23884975
5.002948417,-11.7900824,-19.92820908,5.165009308,23.72376195
5.012888417,-12.58403137,-18.98951111,4.818479919,23.28469726
5.022827417,-12.46892075,-17.35146744,3.707041168,21.68616059
5.032766417,-11.68889282,-15.10673538,2.763553162,19.29976413
5.042706417,-10.78731766,-12.48074615,2.664758606,16.71036161
5.052645417,-9.615404663,-9.918674011,2.926115112,14.12084454
5.062584417,-7.874973907,-8.104147339,2.702480164,11.61877004
5.072524417,-5.838458862,-6.861730957,2.035616913,9.236595143
5.082463417,-4.230802002,-5.914051666,1.53745285,7.432324936
5.092402417,-2.659968567,-5.097499695,0.5355862427,5.774667829
5.102342417,-1.246308289,-4.237837372,-0.656534729,4.465824425
5.112281417,-0.2805166626,-3.32189209,-1.032403107,3.489915877
5.122221417,0.397124176,-2.239343262,-0.8354127502,2.422866137
5.132160417,0.9232800293,-0.7967930603,-0.2426454163,1.243463707
5.142099417,1.362616425,0.7719447327,0.8836125183,1.798163862
5.152039417,1.741777954,1.963616638,2.003284149,3.301927941
5.161978417,2.305954742,2.908302155,2.801873474,4.650391775
5.171917417,2.944526825,3.556005249,3.317850494,5.685379799
5.181857417,3.72201004,3.701502686,3.724255371,6.436191338
5.191796417,4.424349518,3.283122711,3.264112244,6.403763903
5.201735417,4.366569672,2.271975403,1.790127411,5.237686424
5.211675417,3.251089325,1.105451202,0.8373587036,3.534511813
5.221614417,2.067201233,0.2616558838,0.4132905579,2.124286662
5.231554417,1.563648376,-0.1778302002,0.1338217163,1.579407508
5.241493417,1.20753891,-0.5041516113,-0.1347198486,1.31547273
5.251432417,0.9987231445,-0.7776329041,-0.3848497009,1.322977757
5.261372417,0.8637039185,-0.9804611206,-0.6042933655,1.439603744
5.271311417,0.6613247681,-1.096469879,-0.9478289795,1.593102765
5.281250417,0.4114942932,-1.123862915,-1.367256775,1.817081862
5.291190417,0.1046324158,-1.117126923,-1.636397095,1.984115913
5.301129417,-0.21061203,-1.047671356,-1.79611496,2.08997647
5.311068417,-0.445922699,-0.9331594849,-1.772015076,2.051748305
5.321008417,-0.5792953491,-0.8077203369,-1.491049347,1.791988672
5.330947417,-0.5222639465,-0.7116201782,-1.127305756,1.431775532
5.340887417,-0.3273692322,-0.8117619324,-0.7788304138,1.171624881
5.35082625,0.03787124634,-1.136736145,0.2399510193,1.162402592
5.36076525,0.7426057434,-1.775757294,6.792724457,7.06016167
5.37070525,-0.4032614136,-3.156785431,22.71256897,22.9344436
5.38064425,-2.889291687,-5.67963913,13.84605698,15.24203401
5.39058325,-2.753823395,-4.297413483,-5.893095245,7.796145041
5.40052325,-4.020339661,-5.052144012,-2.633323975,6.972925158
5.41046225,-7.551047516,-7.966433716,0.3779640198,10.98295231
5.42040225,-8.902287598,-10.99403778,-1.574276276,14.23369021
