Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
9.945814792,-2.581831055,-1.31396759,-0.1508862305,2.900884189
9.955753792,-4.0941362,-0.7400610352,0.2671943665,4.169056774
9.965693792,-5.567821655,-0.4086502075,0.959355011,5.664626644
9.975633792,-6.664740601,-0.4927752686,1.789528656,6.918381859
9.985572792,-7.533983002,-1.22625,2.472857666,8.023690795
9.995512792,-8.651109924,-2.609673157,3.46349762,9.677185162
10.00545179,-8.724607086,-4.11284729,4.220024414,10.52819489
10.01539179,-6.722670135,-5.028942261,3.984713745,9.293142506
10.02533079,-4.12452301,-4.751419373,2.748284912,6.865911889
10.03527079,-1.958227844,-3.635639648,1.088237,4.270455679
10.04520979,-0.5153782654,-2.341730347,-0.3697311401,2.426111475
10.05514979,0.04026626587,-1.738185425,-0.9717791748,1.991799364
10.06508979,0.31943573,-1.249002686,-1.112336884,1.702744912
10.07502879,0.495769043,-0.8717871094,-1.175206146,1.544962522
10.08496879,0.5818400574,-0.5231620789,-1.224902802,1.453486597
10.09490779,0.7179071045,-0.0679586792,-1.233734436,1.429024021
10.10484779,0.8952882385,0.4123924255,-1.046623535,1.43771672
10.11478679,0.9240284729,0.7990383911,-1.085542603,1.634225722
10.12472679,0.6810836792,0.966839447,-1.329984283,1.779750457
10.13466679,0.526305542,0.9865983582,-1.514251099,1.882373564
10.14460579,0.6340814209,0.6915618896,-1.363065491,1.654770264
10.15454579,0.8488847351,0.05987548828,-0.8872050476,1.229358843
10.16448479,0.9885443115,-0.7206015015,0.3520678711,1.272964322
10.17442479,1.401236115,-2.139800262,4.523892517,5.196904013
10.18436379,2.330952759,-3.063679047,5.298531647,6.549344065
10.19430379,4.138294373,-3.640579376,2.337239685,5.98681784
10.20424279,8.304879913,-5.65389267,7.025939484,12.25974544
10.21418279,12.20127731,-7.489076385,15.90128311,21.39645386
10.22412279,12.87742126,-8.605155487,8.197553101,17.52359998
10.23406179,11.84067719,-8.756191406,-4.104315033,15.28783588
10.24400179,15.97642685,-11.5856076,-3.315455475,20.01161571
10.25394079,22.89144699,-16.60946045,-1.417402496,28.3178663
10.26388079,27.90527069,-21.30354904,-0.4445755005,35.11043978
10.27381979,33.27969452,-27.1048851,0.4079017639,42.92294547
10.28375979,37.06502289,-31.26443527,0.5046006775,48.49263301
10.29369879,35.03060349,-31.96408035,2.536325684,47.48977323
10.30363879,28.82106628,-29.80541931,6.831643524,42.02009323
10.31357879,22.63532959,-22.65748352,7.781867523,32.95871914
10.32351779,20.647164,-16.61260391,6.229745178,27.22303648
10.33345779,18.01892944,-13.04043228,6.549779663,23.18694258
10.34339679,14.71574844,-10.86575455,6.383774872,19.3744795
10.35333679,12.80721725,-10.06761429,5.438191223,17.17427131
10.36327579,12.47670456,-9.1079599,4.325704651,16.04165861
10.37321579,12.39901611,-7.832911377,3.097359009,14.98945409
10.38315579,11.80669785,-6.518794098,1.975891113,13.63073498
10.39309479,10.43854294,-5.278024292,1.099763031,11.74862536
10.40303479,8.303981781,-4.202061768,0.5234614563,9.321343702
10.41297379,6.044280853,-3.259621582,0.2318678284,6.871115381
10.42291379,4.110901337,-2.33783844,0.1555265808,4.731721345
10.43285279,2.34487381,-1.625020752,0.06586303711,2.853675449
10.44279279,0.7372169495,-1.203197937,-0.21061203,1.426720552
10.45273179,-0.8711883545,-0.8473878479,-0.490380249,1.310537333
10.46267179,-2.248174896,-0.3778143311,-0.6480024719,2.3700087
10.47261179,-3.389551392,-0.03622467041,-0.5608836365,3.435834879
10.48255079,-4.410129089,0.08816665649,0.04206253052,4.411210854
10.49249079,-5.323379974,-0.04490661621,1.051263885,5.426375099
10.50242979,-6.063740387,-0.5649252319,2.201921082,6.475843146
10.51236979,-6.843019867,-1.679956512,3.091521149,7.694587565
10.52230879,-6.811435547,-3.042722626,3.585942993,8.27724606
10.53224879,-5.595813446,-3.872746582,3.229534149,7.532674494
10.54218879,-4.023333435,-3.760180664,1.833686829,5.804186243
10.55212796,-2.137854309,-2.893033905,0.347277832,3.613954637
10.56206796,-0.7815248108,-2.214494934,-0.627046051,2.430628642
10.57200696,-0.186512146,-1.844464417,-0.9280700684,2.073197968
10.58194696,0.09789642334,-1.31756012,-0.8662486267,1.579852861
10.59188596,0.2532733154,-0.7020401001,-0.7526348877,1.059937238
10.60182596,0.3418890381,-0.09669891357,-0.67045578,0.758781752
10.61176496,0.5114863586,0.4355941772,-0.5764512634,0.8852438316
10.62170496,0.5870791626,0.8652008057,-0.6625222778,1.237808606
10.63164496,0.5755531311,1.079555054,-0.9080117798,1.523543866
10.64158396,0.5740562439,1.180744629,-1.094972992,1.709580154
10.65152396,0.5038522339,1.178499298,-1.006207581,1.629472726
10.66146296,0.4302053833,0.8228388977,-0.5598358154,1.084230909
10.67140296,0.4794529724,0.01960922241,0.3381468201,0.5870289143
10.68134196,1.555265808,-1.395547943,7.160659332,7.459319531
10.69128196,2.504142609,-3.139720917,9.392518158,10.21508566
10.70122196,3.378624115,-3.797902222,1.535806274,5.310166015
10.71116096,4.12811554,-3.476520538,-1.220711517,5.533323556
10.72110096,5.865851898,-4.539609833,-0.2085163879,7.420226075
10.73103996,11.21258331,-8.297395477,9.837542725,17.0688618
10.74097996,15.52152283,-12.07958038,8.53929245,21.44186206
10.75091896,17.24039841,-13.87135437,-1.727108459,22.19524077
10.76085896,23.44559464,-19.58691879,1.193917236,30.57398786
10.77079796,28.93258438,-23.51265518,-0.8190966797,37.29088779
10.78073796,33.97694458,-27.87772797,-0.9794132996,43.96088864
10.79067796,36.65068451,-32.54187881,3.069816284,49.10876015
10.80061696,33.10770218,-32.38994476,6.789580994,46.81161048
10.81055696,27.56682449,-26.75087128,7.973618774,39.23158833
10.82049596,24.64594849,-18.39360031,7.391179962,31.62873457
10.83043596,22.40361145,-13.8735997,5.459447021,26.91104116
10.84037496,18.75554764,-11.36751114,4.632865906,22.41549293
10.85031496,15.60519882,-9.939630432,3.758683777,18.8797825
10.86025396,13.72944946,-9.342821503,2.968926086,16.8701102
10.87019396,13.01019516,-9.289532318,2.177821198,16.1339237
10.88013396,12.23510696,-9.065747681,1.53041748,15.30450264
10.89007296,10.737621,-8.312813416,0.9211843872,13.61058237
10.90001296,8.888366547,-7.233408051,0.4704716492,11.46937642
10.90995196,6.95618454,-6.03993988,0.3480262756,9.2190292
10.91989196,5.049748993,-4.755460968,0.5363346863,6.957156661
10.92983096,3.456911316,-3.46813797,0.9586065674,4.989703736
10.93977096,2.000589752,-2.430495758,1.221310272,3.376576338
10.94971096,0.5769003296,-1.638193359,1.058299255,2.033835978
10.95964996,-0.9659413147,-1.018781433,0.5438191223,1.505555535
10.96958996,-2.35774704,-0.2402503967,0.04715194702,2.370424996
10.97952896,-3.444337463,0.3418890381,-0.08622070312,3.462337749
10.98946896,-4.166435852,0.7219487,0.3570075989,4.24356596
10.99940796,-4.738695831,0.8711883545,1.142274628,4.95166625
11.00934796,-4.99511261,0.5812413025,1.981429596,5.405095252
11.01928696,-5.160967712,-0.5426216125,2.830164642,5.910994658
11.02922696,-4.902006226,-2.264341278,3.531755676,6.452147287
11.03916696,-4.000730438,-3.653602295,3.821403351,6.630066164
11.04910596,-3.199596405,-4.172124023,3.203787689,6.156970974
11.05904596,-2.165097656,-3.868106232,1.796414337,4.782990503
11.06898496,-0.9448352051,-2.981050873,0.2186952209,3.134837391
11.07892496,-0.2118095398,-2.166295166,-0.9259744263,2.365402009
11.08886396,0.0260458374,-1.690285034,-1.43805954,2.219404677
11.09880396,0.07918533325,-1.169068909,-1.557810516,1.949298857
11.10874296,0.0904119873,-0.6625222778,-1.384470978,1.537488206
11.11868296,0.1453477478,-0.1683998108,-1.102607117,1.124823061
11.12862296,0.2429447937,0.2896476746,-0.7887098694,0.8746320405
11.13856196,0.4189787292,0.5930667114,-0.6348298645,0.9645103714
11.14850196,0.5833369446,0.7685018921,-0.7295828247,1.209614917
11.15844096,0.6966513062,0.8442443848,-0.8072712708,1.360058281
11.16838096,0.9755213928,0.7439529419,-0.423918457,1.29800417
11.17831996,1.495989075,0.09265731812,3.265908508,3.593428318
11.18825996,1.715432739,-1.764231262,9.067843323,9.395797143
11.19819896,2.324067078,-3.678600311,6.882837067,8.142900842
11.20813896,3.574866028,-4.202660522,0.6408174133,5.55451794
11.21807896,3.708837433,-3.747906189,-0.9304650879,5.354254494
11.22801796,5.854325867,-5.622458038,1.16068634,8.199534043
11.23795796,10.28870453,-10.16386414,10.0740509,17.62521139
11.24789696,13.76642258,-13.00076477,3.32772995,19.22519341
11.25783696,17.4328981,-15.50984711,0.9868977356,23.35455546
11.26777596,22.01232513,-19.42151276,1.589694214,29.39837994
11.27771596,29.96184402,-26.93304245,4.251758423,40.51145915
11.28765496,36.36717407,-32.37078461,6.268813934,49.08907286
11.29759496,37.57471298,-32.99214249,5.281467133,50.28155145
11.30753496,31.49181244,-28.73634247,4.371060333,42.85577905
11.31747396,24.58442642,-20.76122681,2.321372681,32.26160771
11.32741396,21.88179657,-15.24010803,-0.116308136,26.66622286
11.33735296,19.8641423,-12.62759079,-0.1224453735,23.53837699
11.34729296,16.99610641,-11.04448288,0.5539979553,20.27696104
11.35723196,14.04978333,-10.17284546,1.016685791,17.37575455
11.36717196,12.0620668,-9.078471222,1.542691956,15.17537458
11.37711196,11.6692836,-8.201594696,1.881287842,14.38671537
11.38705096,11.84426971,-7.762108612,1.703906708,14.26325185
11.39699096,11.52887558,-7.627987518,1.404678955,13.89511744
11.40692996,10.45381119,-7.28265564,1.309476929,12.80757476
11.41686996,9.046138458,-6.445446625,1.404828644,11.19597904
11.42680896,7.138954468,-5.186414795,1.588197327,8.965820658
11.43674896,4.933740234,-3.982019348,1.65450943,6.552531743
11.44668796,3.101999359,-2.89363266,1.503323822,4.500610237
11.45662796,1.525926819,-1.920655975,1.19346817,2.727954968
11.46656796,-0.02679428101,-1.30468689,0.7244934082,1.492587187
11.47650696,-1.490749969,-0.841999054,0.5700146484,1.804498428
11.48644696,-2.761906586,-0.3162922668,0.8572673035,2.909136644
11.49638596,-3.90343277,0.09116043091,1.523382111,4.191156245
11.50632596,-4.639302521,0.3766168213,2.414778442,5.243674574
11.51626496,-5.269641724,0.359103241,3.689826965,6.44305068
11.52620496,-5.792953491,-0.3531156921,4.850213928,7.563568998
11.53614496,-5.30751297,-1.579964447,4.508923645,7.141174554
11.54608396,-4.190984802,-2.342029724,2.998115387,5.6602255
11.55602408,-3.475772095,-2.592009888,1.387165375,4.552332884
11.56596308,-2.46073288,-2.493963776,0.02185455322,3.503646563
11.57590308,-1.657503204,-2.235900421,-0.6828799438,2.865814471
11.58584208,-1.32684082,-2.013013916,-0.7586224365,2.527496704
11.59578208,-1.027613068,-1.643282776,-0.6647676086,2.048971174
11.60572108,-0.5766009521,-1.166224823,-0.6068380737,1.435549178
11.61566108,-0.1260379028,-0.7283853149,-0.7360194397,1.043146843
11.62560108,0.203127594,-0.4857398987,-1.101259918,1.220646335
11.63554008,0.4540058899,-0.3381468201,-1.439556427,1.546863707
11.64548008,0.6234535217,-0.1044827271,-1.667232971,1.783052639
11.65541908,0.7882608032,0.1344204712,-1.855990448,2.020921696
11.66535908,1.061143341,0.2371069336,-1.979633331,2.258582081
11.67529808,1.284628601,0.1484912109,-1.899250488,2.297710317
11.68523808,1.31756012,-0.279768219,-1.505269775,2.019918816
11.69517708,1.246008911,-1.034498749,-1.08120163,1.947234663
11.70511708,1.782493286,-2.405048676,2.725831604,4.048666371
11.71505708,3.560046844,-4.528532867,10.78058167,12.2230309
11.72499608,5.448819122,-5.171296234,7.270680542,10.45441199
11.73493608,9.672885132,-6.976991272,7.369924164,14.01994637
11.74487508,10.19784348,-8.301437073,6.531517639,14.68232242
11.75481508,11.59339142,-9.449250183,0.4710704041,14.96385515
11.76475408,14.70901245,-11.22006775,-3.358715515,18.80228543
11.77469408,23.31880829,-18.35902222,2.109862518,29.75352142
11.78463408,30.91461273,-26.04419083,6.87655014,41.00365957
11.79457308,34.09310303,-29.39691879,5.959557037,45.40963365
11.80451308,36.5698526,-31.48821991,6.111790466,48.64376728
11.81445208,33.06309494,-29.73970596,8.551566925,45.2851814
11.82439208,26.79293381,-22.14794312,6.114784241,35.29565515
11.83433108,23.67267242,-15.9863063,2.023791504,28.63656999
11.84427108,21.38677597,-13.53365662,1.041833496,25.33060333
11.85421008,19.01211411,-12.4337439,1.798060913,22.78796816
11.86415008,16.77845901,-12.97591644,1.681303711,21.27716797
11.87409008,15.28142212,-13.52617218,1.679208069,20.47679017
11.88402908,14.08750488,-13.02321808,1.937271423,19.28250563
11.89396908,12.52804779,-11.9360289,2.208058319,17.44409037
11.90390808,10.81830322,-10.55604858,2.318977661,15.29194244
11.91384808,9.058562622,-8.766669617,2.625091095,12.87645744
