Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
24.85017837,-0.8719367981,-0.008681945801,5.350024567,5.420619155
24.86011738,-0.5387297058,0.1317260742,5.173691254,5.203331879
24.87005638,-0.4339476013,0.359103241,5.226681061,5.256944033
24.87999537,-0.1670526123,0.420176239,5.315596161,5.334793079
24.88993538,-0.4755610657,0.03053649902,5.415588226,5.4365142
24.89987437,-0.679586792,0.08187973022,5.743705902,5.784349573
24.90981338,-1.145118713,0.1519340515,6.235882416,6.341972117
24.91975337,-1.564546509,0.3573069763,6.591243439,6.783801598
24.92969238,-2.006128235,0.4870870972,6.795418854,7.102078691
24.93963137,-2.309247894,0.3700305176,7.283703461,7.649959773
24.94957037,-2.570754089,0.5087919617,7.6149646,8.053280804
24.95951037,-2.751727753,0.7173083496,7.893684998,8.390280075
24.96944937,-2.927312622,0.7846682739,8.350385284,8.883343846
24.97938838,-3.245700531,0.9116043091,8.687633972,9.318829239
24.98932737,-3.538192291,1.016087036,9.058562622,9.777974961
24.99926738,-3.739972687,1.050066376,9.468110962,10.23401975
25.00920637,-4.05671402,1.086889801,9.938881989,10.78979301
25.01914538,-4.227059784,1.137783966,10.54482193,11.41734892
25.02908537,-4.362378387,1.097368011,11.0866951,11.96450458
25.03902438,-4.261637878,0.7430548096,11.63111298,12.4095317
25.04896338,-4.253704376,-0.0005987548828,11.80804504,12.55085372
25.05890237,-4.137695618,-0.929866333,11.75340866,12.49511071
25.06884238,-3.876189423,-1.776505737,11.73679321,12.48731885
25.07878137,-3.690276031,-2.321522369,11.41735748,12.22144244
25.08872038,-3.251089325,-1.739532623,11.0602002,11.65862702
25.09865938,-3.081641693,-0.8431965637,11.00691101,11.46122096
25.10859938,-3.152145081,-0.02035766602,11.37574402,11.80440532
25.11853838,-3.593577118,0.3252735901,12.13885712,12.66378504
25.12847737,-4.1339534,0.02020797729,13.11557602,13.75166584
25.13841638,-4.629872131,-0.7087760925,14.00337982,14.76593126
25.14835637,-4.342320099,-1.632505188,14.29347656,15.02745119
25.15829538,-2.82926651,-2.538121948,14.51411774,15.0035471
25.16823438,-0.01242416382,-4.039799194,14.07987076,14.64796547
25.17817438,3.605402527,-4.747826843,11.82301392,13.24101375
25.18811338,6.000422058,-5.189258881,11.83154617,14.24496253
25.19805237,6.438111877,-4.25909317,13.23143509,15.31861723
25.20799138,5.823340302,-2.664459229,13.26945602,14.73394375
25.21793137,3.592529297,-0.9976753235,12.84493881,13.375129
25.22787038,1.552571411,-0.01032852173,12.92427383,13.01719781
25.23780938,0.7864645386,0.3378474426,13.2260463,13.25371525
25.24774837,0.8003855896,-0.05703140259,12.77308823,12.79826756
