Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
14.91092362,11.11633347,-6.006259918,2.423759766,12.8655602
14.92086263,11.11932724,-5.647156677,3.013683014,12.83012479
14.93080162,10.96410004,-5.03837265,3.586092682,12.58796049
14.94074062,10.6473587,-4.340823212,3.941603394,12.1550496
14.95067963,10.14859589,-3.999832306,3.976780243,11.61066053
14.96061754,9.818532257,-4.215384064,3.896247711,11.37338053
14.97055654,9.978848877,-4.560865631,3.822301483,11.61847274
14.98049554,10.561138,-4.84063385,3.786076813,12.21899135
14.99043454,11.0030191,-5.00214798,3.627556458,12.61931376
15.00037354,11.25509491,-4.953199768,3.44478653,12.77019591
15.01031254,11.63665146,-4.682562561,3.19899765,12.94494632
15.02025154,11.55327484,-4.157604218,2.919079742,12.62081055
15.03018954,11.27006378,-3.47861618,2.543361053,12.06581094
15.04012854,11.07007965,-2.786904602,2.143841858,11.61505741
15.05006754,10.40112076,-2.239792328,1.870659943,10.8027474
15.06000654,9.448052673,-1.948049011,1.573378143,9.774257673
15.06994554,8.317304077,-1.857038269,1.267564087,8.615849172
15.07988454,7.333250427,-1.781894531,1.061891785,7.620979209
15.08982354,6.781048737,-1.650916901,1.050066376,7.05767582
15.09976254,6.416257324,-1.560355225,1.165775757,6.705378408
15.10970154,6.151008911,-1.594933319,1.260977783,6.478332184
15.11964054,5.929170227,-1.630559235,1.253942413,6.275838954
15.12957954,5.738466797,-1.657054138,1.109642487,6.075124364
15.13951854,5.674549713,-1.60541153,0.9523196411,5.973673353
15.14945754,6.007307739,-1.414708099,0.8235873413,6.226350567
15.15939654,6.077811127,-1.0975177,0.6947053528,6.215058223
15.16933554,6.117628326,-0.8449928284,0.5806425476,6.20294567
15.17927454,6.374045105,-0.8656498718,0.490380249,6.451222635
15.18921354,6.735094299,-1.09167984,0.3739224243,6.833233354
15.19915254,7.066355438,-1.305435333,0.4812492371,7.202023425
15.20909154,7.319029999,-1.57607254,0.7066804504,7.520079922
15.21903054,7.55763382,-1.81362854,1.154399414,7.857462405
15.22896954,7.860454102,-1.957479401,1.682950287,8.273499015
15.23890854,8.096213837,-1.963167572,2.199975128,8.616414334
15.24884754,8.239166565,-1.868564301,2.603236542,8.840375485
15.25878654,8.357570343,-1.759441223,2.855911102,9.005600684
15.26872554,8.489296417,-1.691183167,3.027454376,9.170263582
15.27866454,8.613388367,-1.648970947,3.083288269,9.296033073
15.28860354,8.686586151,-1.588496704,2.956052856,9.312268748
15.29854254,8.803493042,-1.540596313,2.696342926,9.335158912
15.30848154,9.005572815,-1.552272034,2.468367004,9.465871638
15.31842054,9.299411774,-1.68609375,2.301164703,9.727144003
15.32835954,9.722881165,-1.974244537,2.211201782,10.16471706
15.33829854,10.25382706,-2.285447388,2.165995789,10.72640559
15.34823754,10.77264816,-2.562371521,2.220632172,11.29366652
15.35817654,11.30494125,-2.77433075,2.441123657,11.89359881
15.36811554,11.864328,-2.915487213,2.760409698,12.52526273
15.37805354,12.18181778,-2.78600647,3.137176208,12.8841139
15.38799254,12.3898851,-2.476899261,3.338507538,13.06866157
15.39793154,12.6141188,-2.156715088,3.367696838,13.23286799
15.40787054,12.98624496,-2.047142944,3.251538391,13.54274176
15.41780954,13.43950241,-2.515069885,3.094365234,14.01859115
15.42774854,13.80668884,-3.380869446,3.152594147,14.56000635
15.43768754,14.16459457,-4.03096756,3.564238129,15.15216923
15.44762654,14.42714859,-4.064497833,4.078568573,15.53375295
15.45756554,14.38598419,-3.477568359,4.513563995,15.47327641
15.46750454,13.80983231,-2.522404633,4.574786682,14.76491336
15.47744354,12.86439835,-1.652413788,4.269571381,13.65475946
15.48738254,12.05652832,-1.271605682,3.741469574,12.68761013
15.49732154,11.5219899,-1.440454559,3.244802399,12.05652948
15.50726054,11.56060959,-1.751058655,2.990930328,12.06895044
15.51719954,11.94366302,-2.056124268,2.940335541,12.47093848
15.52713854,12.44452148,-2.673290863,2.910547485,13.05694779
15.53707754,12.88849823,-3.474574585,2.96263916,13.67345187
15.54701654,13.52557343,-4.138893127,3.047662354,14.46927153
15.55695554,13.89126297,-4.467010803,3.17205368,14.93262525
15.56689454,13.67361557,-4.273313599,3.270099792,14.69430245
15.57683354,13.28277832,-3.939208374,3.19555481,14.21833791
15.58677254,12.90735901,-3.786226501,3.231629791,13.8339748
15.59671154,12.31833389,-3.743565216,3.376678162,13.31005582
15.60665054,11.4649585,-3.562441864,3.44942688,12.49138948
15.61658954,10.55964111,-3.385360107,3.383264465,11.59366905
15.62652854,9.685608673,-3.334016876,3.2235466,10.73861893
15.63646754,8.971294098,-3.359014893,3.038980408,10.05000004
15.64640654,8.253087616,-3.401077423,2.743345184,9.338454135
15.65634554,7.508685608,-3.393592987,2.265688477,8.545769549
15.66628454,6.843468933,-3.351530457,1.72007309,7.811816362
15.67622354,6.45652359,-3.303330688,1.349743195,7.377024956
15.68616154,6.212830353,-3.247945862,1.078058167,7.092998148
15.69610054,5.998625793,-3.119063873,0.8334667969,6.812249097
15.70603954,5.801785126,-3.049458618,0.5795947266,6.579957337
15.71597854,5.585634613,-3.066523132,0.3367996216,6.380933485
15.72591754,5.508844299,-3.137475586,0.1951940918,6.34265081
15.73585654,5.532046051,-3.169508972,0.2065704346,6.379027511
15.74579554,5.52516037,-3.177143097,0.3582051086,6.383568459
15.75573454,5.430557098,-3.315305786,0.433049469,6.377282705
15.76567354,5.482499084,-3.549119568,0.483943634,6.548911922
15.77561254,5.621260529,-3.774401093,0.6210585022,6.79929314
15.78555154,5.77199707,-3.972289581,0.8526269531,7.058470615
15.79549054,5.969885559,-4.064946899,1.10694809,7.306754475
15.80542954,6.204747162,-4.055366821,1.473984833,7.557613293
15.81536854,6.487509155,-4.104315033,2.140399017,7.969597536
15.82530754,6.621031494,-4.18888916,2.376009064,8.187201568
15.83524654,6.307134247,-4.279899902,2.077829132,7.900307556
15.84518554,6.124663696,-4.44395874,1.680555267,7.751421849
15.85512454,6.156697083,-4.687053223,1.590891724,7.89964071
15.86506354,6.469247131,-5.069208527,1.810485077,8.415811889
15.87500254,7.128027191,-5.422324219,1.819765778,9.13903272
15.88494154,7.580685883,-5.626499634,1.98217804,9.646415208
15.89488054,8.257877655,-5.993237,2.170636139,10.43183082
