Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
9.940125917,-11.24940674,0.8075706482,-3.020718384,11.67587521
9.950065917,-10.71037766,0.03353027344,-2.115101624,10.91727845
9.960004917,-9.839788055,-0.5674699402,-1.355880432,9.948962903
9.969944917,-9.001531219,-1.056502991,-0.926124115,9.110514186
9.979884917,-8.340206451,-1.346899109,-0.7515870667,8.481630974
9.989823917,-7.860154724,-1.499132538,-0.7241940308,8.0345434
9.999763917,-7.472760315,-1.601968689,-0.6753955078,7.672327515
10.00970392,-7.028633881,-1.740730133,-0.5857319641,7.264634716
10.01964292,-6.707701263,-1.772763519,-0.4728666687,6.954103078
10.02958292,-6.43541748,-1.575174408,-0.2062710571,6.628598669
10.03952292,-6.058800659,-1.345402222,0.2176473999,6.210196692
10.04946192,-5.83875824,-1.135987701,0.5884263611,5.977274581
10.05940192,-5.866600342,-0.6020480347,0.9440867615,5.972500416
10.06934192,-5.785618744,-0.2127076721,1.453477478,5.969189692
10.07928092,-5.882916412,0.07948471069,2.145189056,6.262336578
10.08922092,-6.223607941,0.3604504395,2.790946198,6.830270931
10.09916092,-6.649472351,0.5680686951,3.409759369,7.494307409
10.10909992,-6.875053253,0.7869136047,4.095633087,8.041131801
10.11903992,-6.973249054,0.9163943481,4.889432373,8.565776667
10.12897992,-6.948999481,0.8759783936,6.027665405,9.240599665
10.13891892,-7.007976837,0.4716691589,6.711293793,9.714714382
10.14885892,-7.340136108,0.009879455566,5.936205597,9.440139437
10.15879892,-7.865992584,-0.3466790771,5.000351715,9.327247343
10.16873792,-8.209677887,-0.7899073792,4.762795715,9.524021614
10.17867792,-8.222850494,-1.175206146,5.063670044,9.728161905
10.18861792,-8.104446716,-1.220861206,5.483247528,9.860961521
10.19855692,-8.23033493,-0.4569996643,5.599555664,9.965053206
10.20849692,-8.777746582,0.9515711975,5.23027359,10.26207019
10.21843692,-9.168733521,2.056723022,4.402045898,10.37659829
10.22837592,-9.685009918,2.724933472,3.407064972,10.62227712
10.23831592,-10.21625519,3.102598114,2.488574982,10.96316517
10.24825592,-10.24095383,2.989882507,1.961970062,10.84738951
10.25819492,-10.19410126,1.958227844,2.074236603,10.58568912
10.26813492,-10.7668103,0.6577322388,2.876867523,11.16392326
10.27807492,-11.1914772,0.1740879822,4.259392548,11.975888
10.28801392,-11.36122421,0.3014730835,6.142476654,12.91891331
10.29795392,-11.39400604,0.5117857361,7.948321381,13.90183841
10.30789392,-11.37709122,0.5156776428,8.978628845,14.50241028
10.31783292,-11.52109177,0.1893562317,8.862171021,14.53648811
10.32777292,-12.1894519,-0.6460565186,7.800877991,14.48633232
10.33771292,-13.30463287,-1.497485962,5.866151276,14.61736812
10.34765192,-14.30904419,-2.150128784,3.514840851,14.89046358
10.35759192,-15.01572464,-2.667902069,1.574575653,15.33195931
10.36753192,-15.22229507,-2.914589081,0.1059796143,15.49917187
10.37747092,-14.35963898,-2.389930115,-1.181193695,14.60500654
10.38741092,-12.64091309,-0.9406439209,-2.085163879,12.84622135
10.39735092,-10.83491867,0.420176239,-2.232008514,11.07040526
10.40728992,-9.077423401,1.058448944,-1.751507721,9.305251693
10.41722992,-7.792345734,0.7271878052,-0.8650511169,7.873866113
10.42716992,-8.185428314,-0.9939331055,-0.2646496582,8.249798734
10.43710892,-9.595945129,-2.899320831,-0.3480262756,10.03042105
10.44704883,-11.20435043,-4.081412659,-0.7574249268,11.94860203
10.45698883,-12.41428436,-4.504582672,-1.20514389,13.26114976
10.46692783,-12.50739075,-3.828738098,-1.43805954,13.15910612
10.47686783,-11.66179916,-2.338287506,-1.047671356,11.93996497
10.48680783,-11.12232101,-0.9202862549,-0.337098999,11.16541926
10.49674683,-10.86186264,0.1954934692,0.392334137,10.87070392
10.50668683,-10.48898804,1.160536652,1.045126648,10.60462187
10.51662683,-9.971065063,1.910477142,1.49419281,10.26180654
10.52656583,-9.200766907,2.443069611,1.913321228,9.709969048
10.53650583,-8.355025635,2.650987244,2.103276215,9.014319584
10.54644583,-7.544461212,2.389031982,2.010020142,8.164958651
10.55638483,-6.993906097,1.665436707,1.904339905,7.437399572
10.56632483,-6.589447174,0.9933343506,1.807341614,6.904636913
10.57626483,-6.129304047,0.1954934692,1.562899933,6.328447044
10.58620383,-5.780529327,-0.5114863586,1.331780548,5.953971534
10.59614383,-5.674100647,-1.053359528,0.9741741943,5.852691672
10.60608383,-5.664071503,-1.516346741,0.5704637146,5.891217385
10.61602283,-5.701343994,-1.920506287,0.3700305176,6.027486236
10.62596283,-5.873336334,-1.98681839,0.3745211792,6.211585395
10.63590283,-6.108197937,-1.5328125,0.5147795105,6.318591152
10.64584183,-6.240672455,-0.9083111572,0.8231382751,6.35991969
10.65578183,-6.292015686,-0.4513114929,1.277892609,6.436315171
10.66572183,-6.478527832,-0.1969903564,1.82410675,6.733312224
10.67566083,-6.791826324,-0.09610015869,2.469115448,7.227355751
10.68560083,-7.09539505,-0.180075531,3.222947845,7.795155606
10.69554083,-7.357799377,-0.4451742554,4.002077637,8.387610936
10.70548083,-7.598049774,-0.7168592834,4.731660461,8.979580075
10.71541983,-7.709567871,-0.8952882385,5.480553131,9.501338875
10.72535983,-7.843239899,-0.7783813477,6.169420624,10.00919779
10.73529983,-8.127648468,-0.2649490356,5.929170227,10.06399161
10.74523883,-8.797655182,0.1444496155,4.908592529,10.07540982
10.75517883,-9.526339874,0.3712280273,4.11524231,10.3838423
10.76511883,-9.967622223,0.4085005188,3.5898349,10.60222996
10.77505783,-10.24873764,-0.2799179077,3.279081116,10.76416974
10.78499783,-10.57161621,-1.664837952,3.219355316,11.17564331
10.79493683,-10.99792969,-3.087629242,3.560046844,11.96502592
10.80487683,-11.31047974,-4.131408691,4.518054657,12.86111611
10.81481683,-11.1543544,-4.440066833,6.240971832,13.53083682
10.82475583,-10.49243088,-3.71736969,8.339308319,13.90877444
10.83469583,-10.16012192,-2.553240509,10.18646713,14.61202338
10.84463583,-10.57341248,-1.271306305,10.23272095,14.76894881
10.85457483,-11.86807022,-0.4465214539,8.42463089,14.56107406
10.86451483,-13.24924805,0.03427871704,6.88598053,14.93186113
10.87445483,-14.58716583,0.1243913269,5.439987488,15.56901873
10.88439483,-15.87418945,-0.2112107849,3.636388092,16.28673752
10.89433383,-16.5132106,-0.5601351929,2.170037384,16.66460135
10.90427383,-16.13075592,-0.8704399109,1.142873383,16.19460132
10.91421383,-14.80556168,-1.285377045,0.3415896606,14.86517858
10.92415283,-13.07261536,-1.380279694,-0.4336482239,13.15243305
10.93409283,-11.47528702,-0.770148468,-1.082249451,11.55190914
10.94403183,-10.23227188,0.1411564636,-1.555116119,10.35073423
10.95397183,-9.276958466,1.033600616,-2.013912048,9.549142912
10.96391183,-8.740923157,1.78907959,-2.597698059,9.292608817
10.97385183,-8.77565094,2.453547821,-3.101250916,9.625471603
10.98379083,-9.144034882,2.787054291,-3.478167114,10.17244769
10.99373083,-9.896370392,2.566113739,-3.653751984,10.85693282
11.00367083,-10.70259384,1.679357758,-3.406915283,11.3566205
11.01360983,-10.95841187,0.5562432861,-2.768193512,11.31631974
11.02354983,-10.64271835,-0.1487905884,-2.046544189,10.8387239
