Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.969890292,3.187770996,-8.479866028,-1.071471863,9.122393531
4.979830292,3.733835449,-8.560697937,-0.08936416626,9.339971214
4.989769292,4.090244293,-8.948691101,0.9776170349,9.88761376
4.999709292,4.108356628,-9.090296631,1.212029572,10.0489354
5.009648292,3.771856384,-8.976682892,1.11862381,9.800972174
5.019587292,3.386407928,-8.692274323,0.9830058289,9.380282086
5.029527292,3.32653244,-8.160729675,0.7939489746,8.848371708
5.039466292,3.683090973,-7.595505066,1.230740662,8.530625938
5.049406292,4.114493866,-7.329657898,2.591261444,8.795884296
5.059345292,4.541256409,-7.721542969,2.530038757,9.308401136
5.069284292,5.211861877,-8.407865753,1.503772888,10.00585047
5.079224292,6.129304047,-9.244326324,0.7882608032,11.11968041
5.089163292,6.96905777,-9.937235413,0.4420307922,12.1454438
5.099103292,7.341782684,-10.21356079,0.4679269409,12.58719797
5.109042292,7.49207016,-10.21909927,0.6834786987,12.68969063
5.118981292,7.425159302,-9.983040161,1.161584473,12.49573367
5.128921292,7.029981079,-9.716743927,2.158361664,12.18582257
5.138860292,6.397546234,-9.599238281,3.190315704,11.96879642
5.148800292,5.908064117,-9.639354858,3.436403961,11.81656701
5.158739292,5.993386688,-9.774224396,2.552042999,11.74602358
5.168678292,6.65890274,-9.915680237,1.071920929,11.99211052
5.178618292,7.490722961,-10.06042923,-0.00419128418,12.54285392
5.188557292,8.118667145,-10.25487488,-0.5544470215,13.09131874
5.198497292,8.43870163,-10.41549088,-0.7253915405,13.4246165
5.208436292,8.426277466,-10.43330383,-0.2549198914,13.41346208
5.218375292,8.094417572,-10.35576508,1.155746613,13.19459042
5.228315292,7.632777557,-10.48000671,3.683689728,13.47810832
5.238254292,7.15856369,-10.88311844,6.624474335,14.61406724
5.248194292,6.823260956,-11.37843842,7.716902618,15.34849624
5.258133292,6.950047302,-11.52797745,6.322402496,14.87179192
5.268072292,6.824458466,-11.04193817,4.4006987,13.7063409
5.278012292,6.281986542,-10.07704468,3.47981369,12.37413786
