Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
29.82159908,-0.05224136353,-5.451064453,0.2513273621,5.457105302
29.83153908,-0.9228309631,-5.444178772,-1.115630035,5.63341192
29.84147908,-1.416354675,-4.957840118,-1.574126587,5.39111433
29.85141908,-1.402433624,-3.603007507,-1.566941528,4.17178486
29.86135908,-1.370250549,-2.245181122,-1.573378143,3.064954097
29.87129908,-1.072519684,-0.8997789001,-1.190923462,1.837987822
29.88123908,-0.6411167908,-0.1592687988,-0.3758683777,0.7600488978
29.89118008,-0.2779719543,0.2624043274,0.05987548828,0.3869231352
29.90112008,-0.2124082947,0.3388952637,0.1260379028,0.4193481088
29.91106008,-0.1251397705,0.554147644,0.08577163696,0.5745401181
29.92100008,-0.03338058472,1.285826111,0.09026229858,1.289422481
29.93094008,-0.01676513672,2.038610687,0.6607260132,2.143075703
29.94088008,0.6697073364,2.643652496,1.009500732,2.908005875
29.95082008,3.71617218,3.461401978,0.8104147339,5.142763009
29.96076008,8.403674469,3.438200226,1.00156723,9.134883814
29.97070008,13.44833405,2.544408875,0.3338058472,13.69098723
29.98064008,19.17602325,1.0086026,0.7623646545,19.21765717
29.99058008,25.74032272,0.1046324158,1.195414124,25.7682785
30.00052008,30.39204941,-0.6756948853,0.3032693481,30.4010724
30.01046008,30.02201889,-1.869163055,1.093775482,30.1000288
30.02040008,27.44872009,-3.154390411,2.714155884,27.76236762
30.03034108,23.74646896,-2.931354218,4.789290619,24.40133051
30.04028108,21.7539624,-1.233884125,5.689817963,22.51957768
30.05022108,22.27667542,-0.2652484131,5.069807281,22.84783513
30.06016108,23.3797316,1.80779068,4.702171783,23.91632029
30.07010108,21.57822784,1.803898773,4.78450058,22.17578439
30.08004108,21.9371814,-0.55579422,4.543651428,22.40967655
30.08998108,23.97309769,-3.584595795,8.398585052,25.65336178
30.09992108,19.32496353,-10.28571075,21.25654678,30.51378119
