Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
29.82668367,26.71240128,-23.46400635,0.9720785522,35.56763856
29.83662267,32.16316635,-27.90452225,0.7027885437,42.5866827
29.84656167,33.75226181,-29.62249969,0.6843768311,44.91298295
29.85650067,29.00922501,-26.36796753,1.063089294,39.21651445
29.86643967,24.24987213,-22.22967316,1.487606506,32.93064895
29.87637867,21.44171173,-18.90314072,1.64747406,28.63197342
29.88631867,19.68975494,-15.80024323,1.28822113,25.27832371
29.89625767,18.79895737,-13.1715596,0.7183561707,22.96533945
29.90619667,18.44494354,-10.90587112,0.5231620789,21.43426383
29.91613567,18.0871875,-8.446485443,0.5270539856,19.96915757
29.92607467,16.93368622,-5.761818237,0.2501298523,17.8888469
29.93601367,14.64524506,-3.088227997,-0.349972229,14.97140058
29.94595267,11.45986908,-0.6227050781,-1.206491089,11.54001654
29.95589167,7.908354492,1.150956573,-2.418071594,8.349481543
29.96583167,4.72013443,2.026036835,-3.757935333,6.364477375
29.97577067,2.082020416,2.13186676,-5.012775879,5.831602431
29.98570967,-0.06810836792,1.750609589,-5.950426025,6.202970463
29.99564867,-1.986369324,1.504371643,-6.189927979,6.672631079
30.00558767,-3.629801788,1.767374725,-5.74744812,7.023690934
30.01552667,-4.674179993,2.481240234,-4.951253815,7.247028773
30.02546567,-4.95529541,3.305126953,-4.178261261,7.275760025
30.03540467,-4.553680573,3.789369965,-3.709436188,6.989652947
30.04534467,-3.725153503,3.979624329,-3.567082214,6.514464978
30.05528367,-2.786156158,3.957320709,-3.678001556,6.078712757
30.06522267,-1.875150604,3.683540039,-3.921844482,5.697852328
30.07516167,-1.206640778,3.220403137,-4.139342194,5.381554806
30.08510067,-0.6433621216,2.746338959,-4.199966125,5.059249742
30.09503967,0.001646575928,2.313588867,-4.176764374,4.77473107
30.10497867,0.6764433289,1.976040802,-3.986360321,4.5003757
30.11491767,1.317859497,1.787133636,-3.664529572,4.28478439
30.12485767,1.934427338,1.666334839,-3.287014618,4.162108362
30.13479667,2.494562531,1.492695923,-2.875220947,4.088750278
30.14473567,2.912194061,1.314117279,-2.433639221,4.016264226
30.15467467,3.432212677,1.208287354,-1.895657959,4.102872321
30.16461367,4.050576782,0.8568182373,-1.267863464,4.329987012
30.17455267,4.672832794,-0.0643661499,-0.7427554321,4.731933532
30.18449167,5.56842041,-1.630559235,-0.48559021,5.822527555
30.19443167,6.726262665,-3.806135101,-0.386945343,7.738152269
30.20437067,8.340954895,-6.494394836,-0.4513114929,10.58075493
30.21430967,10.67834427,-9.726324005,-0.6417155457,14.45822305
30.22424867,14.18540131,-13.76567413,-1.022074585,19.79302986
30.23418767,19.79857864,-19.07633057,-1.55855896,27.5375963
30.24412667,28.42124771,-25.87504257,-1.867516479,38.48081038
30.25406567,38.02632385,-32.72270279,-2.35894455,50.22291512
30.26400467,38.66863815,-31.50049438,-2.655926971,49.94595751
30.27394467,32.78602112,-26.84951614,-2.504741364,42.45107098
30.28388367,27.43494873,-24.07129349,-1.56439682,36.53150585
30.29382267,22.33849686,-20.89519821,0.3279679871,30.58962754
30.30376167,17.82298691,-17.31404526,1.790875854,24.91269279
30.31370067,14.18195847,-14.11609543,2.460283813,20.16048344
30.32363967,11.53830597,-11.34805161,2.603535919,16.39174119
30.33357867,9.680219879,-8.840316467,2.146236877,13.28398227
30.34351767,7.815697174,-6.401438141,1.046773224,10.15673504
30.35345767,5.839656372,-3.83786911,-0.8259823608,7.036552615
30.36339667,3.773652649,-1.48835495,-3.29030777,5.223196339
30.37333567,1.971400452,0.1959425354,-5.610782318,5.950268182
30.38327467,0.3567082214,1.318158875,-7.544910278,7.667493377
30.39321367,-0.9584568787,2.226919098,-8.632548523,8.966532343
30.40315267,-1.700314178,2.967429199,-8.58614502,9.242217843
30.41309167,-1.827100525,3.614683228,-7.4862323,8.511633522
30.42303067,-1.538201294,4.234244843,-6.127507782,7.605343137
30.43297067,-1.228195953,4.612059174,-4.971461792,6.891660719
30.44290967,-0.7726931763,4.666545868,-4.109105072,6.265656356
30.45284867,-0.2694396973,4.464166718,-3.293151855,5.553938366
30.46278767,0.2405497742,4.162993011,-2.491868134,4.857754811
30.47272667,0.6804849243,3.814966736,-1.790426788,4.268800653
30.48266567,1.017733612,3.35931427,-1.252146149,3.726747113
30.49260467,1.268312531,2.807711334,-0.937350769,3.220323908
30.50254367,1.314716034,2.190993805,-0.7890092468,2.674222821
30.51248367,1.136736145,1.60062149,-0.7679031372,2.108040191
30.52242267,0.9219328308,0.9915380859,-0.790506134,1.567803517
30.53236167,0.6318360901,0.3336561584,-0.7529342651,1.038004472
30.54230108,0.1999841309,-0.2625540161,-0.6824308777,0.7580502403
30.55224008,-0.07604187012,-0.5529501343,-0.5484594727,0.7825241275
30.56217908,-0.1278341675,-0.6179150391,-0.3329077148,0.7134340309
30.57211808,-0.04311035156,-0.7649093628,-0.1520837402,0.7810725317
30.58205808,0.3736230469,-1.042282562,-0.01781295776,1.107368241
30.59199708,1.151705017,-1.472038879,0.146844635,1.874802991
30.60193608,2.060016174,-2.268981628,0.2781216431,3.07722211
