Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.970866208,-0.8539741516,-1.39240448,1.387315063,2.143059769
4.980807208,-1.024918671,-1.462309113,1.577419739,2.382658023
4.990747208,-1.029109955,-1.629511414,2.256557465,2.967562356
5.000687208,-1.214723969,-1.852547607,2.780917053,3.555416518
5.010627208,-1.634451141,-2.016905823,3.30662384,4.203938731
5.020567208,-1.939816132,-2.272723846,4.476441193,5.382070796
5.030507208,-1.865420837,-2.647993469,5.830375671,6.6697035
5.040448208,-1.648821259,-2.894680481,7.174879761,7.910542725
5.050388208,-1.352138214,-2.961890717,8.240064697,8.860007934
5.060328208,-0.9072633362,-2.849324799,8.74526413,9.242371085
5.070268208,-0.5580395508,-2.708018646,9.232949982,9.63805678
5.080208208,-1.022823029,-2.649640045,9.512418823,9.927379875
5.090148208,-2.245929565,-2.581831055,8.896749115,9.532166387
5.100089208,-3.367996216,-2.018702087,7.156018982,8.162546435
5.110029208,-3.467389526,-1.097368011,4.844974823,6.058117506
5.119969208,-2.89363266,-0.004790039062,2.677332458,3.942238198
5.129909208,-2.532433777,1.321152649,2.257305908,3.640617409
5.139849208,-1.905238037,2.634970551,3.138523407,4.519217958
5.149789208,-0.4314028931,3.498225403,4.932842102,6.062723862
5.159729208,3.187770996,3.714076538,7.944130096,9.330886959
5.169670208,15.45101944,4.138294373,16.07103012,22.67460013
5.179610208,53.27466476,4.444557495,31.55692703,62.07885019
5.189550208,79.10884232,2.653082886,27.81351151,83.89779022
5.199490208,78.464133,7.376809845,17.25716354,80.67742673
5.209430208,76.11177475,5.213807831,5.412594452,76.48190784
5.219370208,55.13948685,-1.297950897,-3.956272888,55.29647169
5.229311208,25.17090683,-6.983727264,-36.1650943,44.61234182
5.239251208,-10.55649765,-16.88833054,-78.73836273,81.21813293
5.249191208,-7.87347702,-12.83670593,-49.33380981,51.58097954
5.259131208,4.29891037,-5.901178436,-12.79643967,14.73273245
5.269071208,7.557334442,-4.143982544,-1.160836029,8.696748558
5.279011208,5.667664032,-3.420836334,2.214494934,6.980581968
5.288952208,2.992277527,-3.087479553,2.350262604,4.899998887
5.298892208,1.250499573,-2.592159576,2.257455597,3.657751526
5.308832208,0.2011816406,-2.164798279,2.142644348,3.052499049
5.318772208,-0.2517764282,-1.867067413,1.843416595,2.635814265
5.328712208,-0.2360591125,-1.689087524,1.925895081,2.57251092
5.338652208,0.03263214111,-1.725012817,2.789000244,3.279520764
5.348592208,0.09310638428,-1.903890839,3.432961121,3.926664129
5.358533208,0.2308200073,-2.298919373,3.975732422,4.598342794
5.368473208,0.3887416077,-2.816992035,4.815635834,5.592576566
5.378413208,0.9837542725,-2.87372406,6.197562103,6.901872099
5.388353208,1.926793213,-2.772085419,7.852071533,8.547047269
5.398293208,3.04691391,-2.813100128,9.652976532,10.50605409
5.408233208,2.96144165,-2.894081726,10.48853897,11.27631569
5.418173208,1.612446899,-2.972219238,9.519903259,10.10260512
5.428114208,1.023122406,-2.982248383,7.63008316,8.255831509
5.438054208,1.105301514,-2.32032486,6.085894318,6.606338512
5.447994208,0.7878117371,-1.50242569,4.981940002,5.262856304
5.457934208,0.0383203125,-0.8979826355,4.039050751,4.137846327
5.467874208,-1.009201355,-0.02724334717,3.155288544,3.31286513
5.477814208,-1.808090057,0.8131091309,2.358794861,3.081273975
5.487755208,-1.779948578,1.233884125,1.033750305,2.399859718
5.497695208,-1.527573395,1.795216827,0.6062393188,2.433887846
5.507635208,-1.172661438,2.507286072,1.207838287,3.020015169
5.517575208,0.4180805969,3.24465271,2.960244141,4.411984584
5.527515208,7.656128998,3.720662842,7.566764832,11.38927448
5.537455208,33.83054901,4.732558594,21.92221252,40.58924191
5.547396208,69.58504715,2.462529144,30.07545776,75.84639739
5.557336208,79.22245605,2.731968842,25.14710632,83.16272094
5.567276208,78.14993637,3.570225677,11.74562485,79.10827244
5.577216208,66.87493286,-0.5441184998,-1.242865448,66.8886943
5.587156208,37.52950699,-3.33596283,-12.27821732,39.62760608
5.597096208,8.743467865,-8.299491119,-50.75016449,52.16233295
5.607036208,-16.36756348,-13.45132782,-74.32389267,77.28438637
5.616977208,-8.356522522,-9.035809937,-31.76888626,34.06962671
5.626917208,1.320254517,-5.333409119,-6.555168457,8.553277636
5.636857208,2.40220459,-4.052672424,-0.3968247986,4.727812453
5.646797208,0.6777905273,-3.047812042,0.9912387085,3.275837667
5.656737208,-0.3743714905,-2.202669525,1.008003845,2.451117868
5.666677208,-0.6315367126,-1.510508881,1.198258209,2.028866293
5.676617208,-0.6837780762,-1.043929138,1.147513733,1.695325417
5.686558208,-0.6840774536,-0.7945477295,1.160985718,1.564338804
5.696498208,-0.688717804,-0.7336244202,1.034199371,1.442950222
5.706438208,-0.7943980408,-0.7795788574,0.8887019348,1.424290199
5.716378208,-0.6634204102,-0.9126521301,1.533860321,1.904150214
5.726318208,-0.650098114,-1.217118988,2.648741913,2.986610103
5.736258208,-0.532742157,-1.483864288,3.518882446,3.85593064
5.746199208,0.523611145,-1.767674103,4.423900452,4.7926752
5.756139208,2.047891388,-2.091450806,5.7649617,6.465509185
5.766079208,3.761976929,-2.258653107,7.416477356,8.617315164
5.776019208,4.656516724,-2.356250153,8.534053345,10.00325593
5.785959208,4.074077911,-2.391427002,8.801098022,9.988811758
5.795899208,3.17908905,-1.739682312,8.297395477,9.054273767
5.805839208,2.298170929,-1.258882141,7.431296539,7.879755207
5.815780208,1.144519958,-0.8337661743,6.626869354,6.776465849
5.825720208,0.3227288818,-0.3314108276,5.87962326,5.897792532
5.835660208,-0.2980302429,0.1784289551,5.49357605,5.504546914
5.845600208,-0.8791218567,0.5858816528,4.881349182,4.994365064
5.855540208,-1.235680389,0.6030958557,3.450325012,3.714212343
5.865480208,-1.056502991,0.8578660583,2.44202179,2.795640028
5.875420208,0.5373825073,1.171912994,3.118614807,3.37459899
5.885361208,6.300997009,1.24032074,6.397546234,9.064742504
5.895301208,27.04021957,0.4465214539,19.9704213,33.61830726
5.905241208,61.51068787,-3.657344513,28.02397385,67.69256976
5.915181208,78.6843251,-3.716920624,22.33640121,81.877673
5.925121208,78.20891373,0.09714797974,12.47386047,79.19747988
5.935061208,67.80330231,0.01092727661,-0.7430548096,67.80737463
5.945001208,42.62760544,-1.816322937,-8.992400208,43.60361265
5.954942208,19.14249298,-3.647315369,-22.12893265,29.48605784
5.964882208,-17.15118393,-12.67444336,-71.15632965,74.28342934
5.974822208,-13.05659866,-9.601034546,-43.90385147,46.79960264
5.984762208,-2.865790558,-3.844156036,-13.3520842,14.186911
5.994702208,-2.277064819,-2.63736557,-5.641169128,6.630498509
6.004642208,-1.338366852,-1.969753876,-1.156495056,2.647383043
6.014583208,-1.275198212,-1.601070557,0.7200027466,2.169783713
6.024523208,-1.472338257,-1.087937622,1.616338806,2.4421178
6.034463208,-1.554966431,-0.7635621643,1.786834259,2.488719439
6.044403208,-1.465751953,-0.7327262878,1.795067139,2.430551919
6.054343208,-1.350491638,-0.7479945374,1.668879547,2.273429664
6.064283208,-1.433119812,-0.746048584,1.838327179,2.447420622
6.074223208,-1.536255341,-0.7647596741,2.742447052,3.23511262
6.084164208,-1.710493011,-0.8331674194,3.752696228,4.207455677
6.094104208,-1.925296326,-1.006506958,4.569248199,5.059431915
6.104044208,-2.012714539,-1.265468445,5.08866806,5.616669193
6.113984208,-1.954485626,-1.48131958,5.458099823,5.983742595
6.123924208,-1.82889679,-1.615141296,5.773344269,6.267778627
6.133864208,-1.647024994,-1.741927643,5.905669098,6.373690512
6.143804208,-1.660496979,-1.950444031,5.830824738,6.368673273
6.153745208,-1.514251099,-2.107168121,5.544619904,6.121758224
6.1636855,-1.468895416,-2.342628479,5.17997818,5.871774509
6.1736255,-1.416803741,-2.35535202,5.128934326,5.819019101
6.1835655,-0.9496252441,-1.79252243,5.700745239,6.050902499
6.1935055,-0.6134243774,-1.030756531,6.735543365,6.841512473
6.2034455,0.1989363098,-0.9107061768,7.463180237,7.521171494
6.2133865,2.455044708,-0.8044271851,8.615633698,8.994636826
6.2233265,8.339607697,-1.271156616,12.03886505,14.70031181
6.2332665,21.00297409,-3.571423187,18.07027267,27.93590412
6.2432065,42.00954071,-6.268215179,22.24973145,47.9493752
6.2531465,65.10501343,-10.03722748,17.13052689,68.06514277
6.2630865,72.50861755,-11.57183624,11.20360199,74.2760238
6.2730265,62.3131691,-4.559069366,4.207300873,62.62122274
6.2829665,47.79066879,0.8408015442,-1.788929901,47.83152978
6.2929075,34.76730103,-1.505120087,-5.488636322,35.23004025
6.3028475,23.34230942,-3.724554749,-10.27807663,25.77546462
6.3127875,6.852450256,-6.870562592,-29.59600479,31.1461748
6.3227275,-19.55024506,-11.19162689,-67.43297241,71.09620498
6.3326675,-14.49720291,-7.298522644,-35.13688248,38.70449373
6.3426075,-1.676064606,-2.676584015,-9.021888885,9.558649152
6.3525475,-0.2362088013,-1.038390656,-2.662513275,2.867582029
6.3624885,-0.6251000977,0.06646179199,0.8280780029,1.03965402
6.3724285,-1.242715759,-0.4758604431,1.341510315,1.889559617
6.3823685,-1.453627167,-0.8855584717,1.5527211,2.303950642
6.3923085,-1.548230438,-0.8391549683,1.692081299,2.442199352
6.4022485,-1.520987091,-0.8065228271,1.598675537,2.34939232
6.4121885,-1.425036621,-0.7488926697,1.632505188,2.292736965
6.4221285,-1.322350159,-0.5373825073,2.380649414,2.775766837
6.4320695,-1.496737518,-0.4565505981,2.87836441,3.276223943
6.4420095,-1.595382385,-0.3215313721,2.931204529,3.35269852
6.4519495,-1.740281067,-0.3040177917,3.393443298,3.825762986
