Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.002236541652,3.996239777,-3.969295807,9.490264893,11.0358674
0.01217554166,4.111799469,-3.714076538,-4.19831955,6.951772899
0.02211554165,5.273234253,-4.022584991,-5.055586853,8.339493266
0.03205554164,8.420589294,-5.870641937,-4.186494141,11.08591422
0.04199554166,11.84202438,-8.134833527,-4.611460419,15.08889079
0.05193554165,15.00000732,-9.851014709,-5.394631805,18.73885703
0.06187454166,18.39210342,-11.30673752,-5.862558746,22.3714411
0.07181454165,22.94787964,-13.82899246,-5.626200256,27.37700389
0.08175454166,29.68836273,-17.81699936,-4.882397003,34.96687216
0.09169454165,40.26461929,-23.87175842,-0.556842041,46.81250357
0.1016345416,43.47978333,-26.21723099,10.39932449,51.82644796
0.1115735417,31.37999496,-21.55951675,32.0019516,49.73571908
0.1215135416,21.24532013,-17.69844589,8.582253113,28.95261099
0.1314535417,17.4713681,-15.22933044,-4.555776215,23.62067539
0.1413935416,14.53522385,-11.83843185,-7.715854797,20.27204026
0.1513335417,12.02659058,-9.051078186,-6.666387177,16.46212669
0.1612725416,8.706943817,-7.347919922,-3.107088776,11.8091828
0.1712125417,4.771028595,-6.350993042,0.4757107544,7.957645832
0.1811525417,3.040776672,-5.114564209,1.059347076,6.043782429
0.1910925416,3.248095551,-4.079317017,0.2700384521,5.221481858
0.2010325417,3.391946411,-3.315605164,-0.2088157654,4.747856578
0.2109715416,3.075205078,-2.406994629,-0.2266287231,3.911760473
0.2209115417,2.369871826,-1.209035797,0.2371069336,2.67100725
0.2308515417,1.425485687,0.5915698242,0.4393363953,1.604674662
0.2407915416,0.1881587219,2.317031708,0.6340814209,2.409584796
0.2507315417,-0.4890330505,2.892584839,0.9274713135,3.076752088
0.2606705416,-0.5197192383,2.729873199,0.872535553,2.91266786
0.2706105417,-0.2880010986,2.370769958,0.6042933655,2.463466115
0.2805505416,-0.2356100464,1.828148346,-0.1913021851,1.853168906
0.2904905417,-0.1368154907,1.234782257,-1.129700775,1.679175257
0.3004305417,-0.0940045166,0.8482859802,-1.585053864,1.800228237
0.3103705416,-0.2713856506,0.7216493225,-1.676214294,1.845026362
0.3203095417,-0.537532196,0.7379653931,-1.646126862,1.882356881
0.3302495416,-0.7450007629,1.038240967,-1.121617584,1.700293047
