Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
9.940495792,-1.646875305,-0.5182223511,-1.250349884,2.131695923
9.950434792,-1.963167572,-0.6786886597,-1.390757904,2.499770542
9.960374792,-1.91661438,-0.6448590088,-1.409019928,2.464668533
9.970313792,-1.689835968,-0.4990621948,-1.2952565,2.186846605
9.980252792,-1.443747711,-0.357456665,-1.118025055,1.860688782
9.990192792,-1.291214905,-0.2769241333,-0.9129515076,1.605429339
10.00013179,-2.072739716,-1.170266418,0.06421646118,2.381154588
10.01007179,-2.607577515,-1.650767212,0.3207829285,3.102804307
10.02001079,-2.491568756,-0.6981481934,0.5767506409,2.651031322
10.02995079,-3.450025635,0.9036708069,2.706222382,4.476933927
10.03988979,-4.007466431,2.104324036,5.537584534,7.152119218
10.04982879,-1.491797791,2.411036224,5.918991394,6.563003538
10.05976879,1.793420563,2.161505127,3.698808289,4.644313134
10.06970779,2.016606445,0.4875361633,-0.2418969727,2.088757337
10.07964779,2.168839874,1.60062149,-0.5755531311,2.756286807
10.08958679,3.352428589,2.918930054,-0.9665400696,4.548970192
10.09952679,5.409001923,5.034630432,-2.618055725,7.83958042
10.10946579,24.93065643,10.6088887,-5.726042633,27.69248479
10.11940479,58.29447601,21.97684891,-2.506986694,62.34992224
10.12934479,78.54197113,31.78310669,2.093396759,84.75487838
10.13928379,77.91761948,32.13951553,-1.920805664,84.30773024
10.14922379,52.7167749,20.55136322,5.598058777,56.85732273
10.15916279,20.47292633,11.72586594,15.81850525,28.40531205
10.16910279,10.0541423,8.295000458,12.2134021,17.86225072
10.17904179,7.161258087,5.760471039,5.494324493,10.70767228
10.18898079,4.732708282,3.058290253,1.633103943,5.866744876
10.19892079,2.35774704,1.217418365,-0.2468367004,2.664959087
10.20885979,0.6053411865,0.2809657288,-0.9999206543,1.202173452
10.21879979,-0.1866618347,-0.05807922363,-0.7744894409,0.7987801518
10.22873879,-0.5408253479,-0.1878593445,-0.6387217712,0.8577579445
10.23867879,-0.8083190918,-0.386945343,-0.562230835,1.057927202
10.24861779,-0.9391470337,-0.5700146484,-0.7032376099,1.30439909
10.25855679,-0.9571096802,-0.6735992432,-1.063538361,1.581426168
10.26849679,-1.172661438,-0.8327183533,-1.207389221,1.877856074
10.27843579,-1.610500946,-1.285377045,-1.21217926,2.390666435
10.28837579,-1.960922241,-1.738335114,-1.314566345,2.931741748
10.29831479,-2.280357971,-2.269879761,-1.57607254,3.582790987
10.30825479,-2.91354126,-3.114423523,-1.766476593,4.616145157
10.31819379,-3.419788513,-3.82379837,-1.832189941,5.447321125
10.32813279,-3.261717224,-3.854185181,-1.654958496,5.313419829
10.33807279,-2.806663513,-3.464096375,-1.0683284,4.584610053
10.34801179,-2.6104216,-3.171305237,-0.522563324,4.140597815
10.35795179,-2.668201447,-2.909349976,-0.2032772827,3.952839219
10.36789079,-2.559377747,-2.600392456,-0.1240919495,3.650733377
10.37783079,-2.1857547,-2.225272522,-0.1175056458,3.121404969
10.38776979,-1.750310211,-1.786834259,-0.1118174744,2.503770287
10.39770879,-1.14556778,-1.248553619,-0.03487747192,1.694823919
10.40764842,-0.05733078003,-0.2317181396,0.3327580261,0.4095216948
10.41758742,2.623594208,4.084556122,3.056943054,5.736875989
10.42752742,4.376898193,3.709286499,5.037923584,7.635228757
10.43746642,3.045267334,0.3230282593,1.490300903,3.40573005
10.44740642,3.246149597,-0.2411485291,0.3144960022,3.27025191
10.45734542,7.169490967,0.8996292114,1.29181366,7.340280374
10.46728442,17.70922348,2.99542099,0.819994812,17.97947537
10.47722442,41.06859741,9.153016205,-2.939138031,42.17873791
10.48716342,66.77688675,22.24778549,-0.7099736023,70.3890661
10.49710342,76.54662048,32.80443283,-3.161276093,83.33972395
10.50704242,65.83489563,34.73856079,-4.125570831,74.55213896
10.51698242,39.40346008,22.68936722,3.744613037,45.62304438
10.52692142,19.92102402,12.95510971,10.54182816,25.99638833
10.53686042,10.18003052,8.39304657,10.7455545,17.01596878
10.54680042,5.412145386,5.629044342,7.196434937,10.61913997
10.55673942,2.611918488,3.001558228,4.153113556,5.75150608
10.56667942,0.6607260132,1.208886108,2.151176605,2.55451077
10.57661842,-0.5373825073,0.08382568359,1.122216339,1.247067046
10.58655842,-1.038690033,-0.5369334412,0.9581575012,1.511701129
10.59649742,-1.318009186,-0.8755293274,0.7804769897,1.764325409
10.60643742,-1.551822968,-1.192420349,0.4809498596,2.015275063
10.61637642,-1.630708923,-1.608704681,0.3173400879,2.312541259
10.62631542,-1.691332855,-2.20446579,0.4029620361,2.807606569
10.63625542,-1.754800873,-2.766397247,0.3246748352,3.292065246
10.64619442,-1.833237762,-3.145708466,-0.004790039062,3.64091546
10.65613442,-1.992207184,-3.260220337,-0.3965254211,3.841244397
10.66607342,-2.17871933,-3.287613373,-0.8749305725,4.039891473
10.67601342,-2.426903229,-3.386407928,-1.226848755,4.343129725
10.68595242,-2.52509903,-3.453318787,-1.206191711,4.444821053
10.69589142,-2.65487915,-3.749702454,-1.108744354,4.726305728
10.70583142,-2.844983826,-4.06015686,-1.178798676,5.095917289
10.71577042,-2.824925537,-4.070485382,-0.9933343506,5.053292854
10.72571042,-2.229314117,-3.774999847,-0.7119195557,4.441541932
10.73564942,-1.457818451,-3.432811432,-0.8020321655,3.814798102
10.74558942,-0.752485199,-2.408192139,-1.149908752,2.772708692
10.75552842,-0.1637594604,-0.6251000977,-1.375489655,1.519716777
10.76546742,0.6149212646,0.8876541138,-1.21801712,1.627766474
10.77540742,2.017504578,1.488205261,-0.3879931641,2.536852048
10.78534642,3.818559265,0.7885601807,0.9828561401,4.021097886
10.79528642,5.835465088,0.1038839722,1.486109619,6.022621229
10.80522542,10.24903702,1.084345093,1.563348999,10.42413661
10.81516542,19.98988083,4.737498322,-0.0260458374,20.54360982
10.82510442,36.86039841,11.73230255,-3.873345337,38.87593983
10.83504342,57.7067981,21.96696945,-3.546425171,61.84819662
10.84498342,75.49251251,32.32692581,3.209475861,82.18546291
10.85492242,70.78165878,35.37354034,9.958191833,79.75271883
10.86486242,40.46535187,23.40592712,7.411088562,47.33081829
10.87480142,16.53790924,18.79701141,15.93002335,29.67483317
10.88474142,4.411027222,14.86304214,16.72591827,22.80621681
10.89468042,1.895358582,9.058113556,10.59062668,14.0642518
10.90461942,4.795876923,5.319039001,1.530267792,7.323546332
10.91455942,4.773273926,3.833528137,-2.276166687,6.53154015
10.92449842,2.556383972,2.564167786,-3.169359283,4.811953212
10.93443842,0.9469308472,1.710043945,-2.884801025,3.484681518
10.94437742,-0.3716770935,1.182241516,-2.48288681,2.774989329
10.95431742,-1.071172485,0.7595205688,-2.23949295,2.596076013
10.96425642,-1.265917511,0.2140548706,-1.519639893,1.989389865
10.97419542,-1.332229614,-0.2656974792,-0.9719288635,1.670352242
10.98413542,-1.467548218,-0.6732998657,-0.9714797974,1.884357577
10.99407442,-1.569785614,-0.9870474243,-1.173260193,2.194317427
11.00401442,-1.569486237,-1.237476654,-1.250050507,2.357384522
11.01395342,-1.797312469,-1.516496429,-1.217118988,2.647918459
11.02389342,-2.319726105,-1.81482605,-1.154100037,3.163332054
11.03383242,-2.928061066,-2.22437439,-1.040037231,3.821395095
