Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.969044,4.317920837,-8.648415527,1.566193085,9.792471203
4.978983,4.100722504,-8.12510376,1.725012817,9.263309634
4.988923,3.818708954,-7.832162933,1.401535492,8.825509392
4.998862,3.519181824,-7.453899536,0.982407074,8.30122778
5.008802,3.441792755,-7.158863068,0.6911128235,7.973261235
5.018741,3.180585938,-6.843618622,0.5851332092,7.569255156
5.028681,3.032693481,-6.620283051,0.5433700562,7.302097537
5.03862,3.050506439,-6.303541718,0.6824308777,7.036045738
5.04856,3.110681305,-6.037993927,0.9577084351,6.859366902
5.058499,3.150498505,-5.868995361,1.053658905,6.743956144
5.068439,3.028352509,-5.730832672,1.283281403,6.60758452
5.078378,3.016826477,-5.869294739,1.493444366,6.766109576
5.088317,3.021466827,-5.897885284,1.713486786,6.84473152
5.098257,2.951861572,-6.024971008,1.947300568,6.986110641
5.108196,2.81175293,-6.269263,2.104174347,7.185900277
5.118136,2.888543243,-6.425238647,2.190694427,7.377432875
5.128075,2.990481262,-6.586603088,2.268382874,7.581020992
5.138015,3.177292786,-6.777755585,2.290536804,7.828136372
5.147954,3.47277832,-6.906936951,2.098037109,8.010476079
5.157894,3.854185181,-6.968608704,1.877695312,8.181808502
5.167833,4.322561188,-6.991361389,1.675465851,8.388733821
5.177773,4.649331665,-7.048841858,1.608704681,8.595951793
5.187712,4.806804199,-7.198680267,1.649569702,8.811778731
5.197651,4.902305603,-7.533084869,1.865570526,9.179342093
5.207591,4.915927277,-8.166717224,2.133363647,9.767950228
5.21753,4.796775055,-8.913514252,2.490970001,10.42423708
5.22747,4.678520966,-9.454788666,2.778671722,10.90883145
5.237409,4.355193329,-9.88020401,3.203488312,11.26270294
5.247349,4.033212891,-10.07764343,3.697610779,11.46725899
5.257288,3.915856934,-10.12868729,4.052073669,11.59066619
5.267228,3.920646973,-9.973160706,4.182452545,11.50340456
5.277167,3.832630005,-9.772128754,4.066892853,11.25713865
5.287106,4.228406982,-9.250014496,3.862567749,10.87941282
5.297046,4.817881165,-9.08221344,3.728147278,10.9360716
5.306985,5.455704803,-9.577683105,3.39553894,11.5337077
5.316925,5.87737793,-10.26550278,2.842888184,12.16577707
5.326864,6.148464203,-11.03235809,2.092498627,12.80215168
5.336804,6.325246582,-11.70401138,1.190474396,13.35701524
5.346743,6.212680664,-11.79382462,0.3155438232,13.33383921
5.356683,6.109844513,-11.41346558,0.1685494995,12.94703848
5.366622,5.861361237,-11.33383118,0.08187973022,12.76001524
5.376562,4.804259491,-11.21497833,-0.1207987976,12.20128029
5.386501,4.389172668,-10.76965439,0.2972817993,11.6335149
5.39644,4.742737427,-10.21356079,0.6048921204,11.27724598
5.40638,4.94826004,-9.72572525,-0.2869532776,10.91592191
5.416319,4.876858521,-9.647438049,-1.216071167,10.87821856
5.426259,5.18581604,-9.51631073,-1.481768646,10.93839551
5.436198,5.639672241,-9.488618317,-0.9669891357,11.08038125
5.446138,5.481451263,-9.590706024,-0.9160949707,11.0845469
5.456077,5.494623871,-9.584718475,-0.8439450073,11.08016078
