Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.97217175,9.814041595,-5.764063568,-3.917952576,12.03703425
4.98211075,9.080117798,-6.003565521,-4.082161102,11.6256345
4.99205075,8.183482361,-6.027665405,-4.151017914,10.97875601
5.00198975,7.455246735,-5.816005554,-4.089645538,10.30203015
5.01192975,7.218439178,-5.34733017,-3.901337128,9.79388766
5.02186875,7.455546112,-4.722679138,-3.561843109,9.517121015
5.03180875,7.890691223,-4.082310791,-3.084036713,9.404230528
5.04174775,8.093968506,-3.548221436,-2.547103271,9.197278761
5.05168775,8.153394928,-3.170556793,-2.093396759,8.995142535
5.06162675,8.071814575,-2.966980133,-1.76677597,8.779445254
5.07156675,7.917485504,-2.89243515,-1.514400787,8.56423771
5.08150675,7.740553436,-2.883154449,-1.331930237,8.366766713
5.09144575,7.519762573,-2.967728577,-1.318009186,8.190933419
5.10138575,7.333998871,-3.093167725,-1.415905609,8.084554082
5.11132475,7.257657623,-3.195105743,-1.531315613,8.076337189
5.12126475,7.243137817,-3.263663177,-1.645827484,8.113155421
5.13120375,7.31304245,-3.257376251,-1.797013092,8.204897682
5.14114375,7.479645996,-3.173999634,-2.129022675,8.399530668
5.15108275,7.729925537,-3.133284302,-2.102378082,8.601698258
5.16102275,7.882308655,-3.355572052,-2.018253021,8.801363462
5.17096175,8.152047729,-3.301384735,-2.293680267,9.089333998
5.18090175,8.368198242,-3.155438232,-2.273322601,9.227758553
5.19084175,8.554411011,-3.117267609,-2.424807587,9.422048446
5.20078075,8.787775726,-3.034789124,-2.580334167,9.648475095
5.21072075,9.00617157,-2.901117096,-2.688559113,9.836460586
5.22065975,9.193881226,-2.798730011,-2.802621918,10.01074579
5.23059975,9.459578705,-2.749931488,-2.887495422,10.26564086
5.24053875,9.857002258,-2.812501373,-2.989134064,10.67733955
5.25047875,10.37013519,-2.994672546,-3.127745819,11.23790734
5.26041775,10.92563004,-3.276835785,-3.245700531,11.85924181
5.27035775,11.51570297,-3.611240387,-3.297043762,12.51091402
5.28029675,12.11311066,-3.901486816,-3.315605164,13.15075233
5.29023675,12.66665955,-4.090843048,-3.323538666,13.71951785
5.30017675,13.06034088,-4.097279663,-3.244802399,14.06730064
5.31011575,13.30178879,-3.848796387,-3.169958038,14.20561342
5.32005575,13.57571915,-3.514391785,-3.153492279,14.3734343
5.32999475,14.03271881,-3.298390961,-3.265609131,14.78041891
5.33993475,14.71544907,-3.356170807,-3.47517334,15.48822628
5.34987375,15.466138,-3.679648132,-3.688330078,16.32008008
5.35981375,16.02043533,-4.09997406,-3.735182648,16.95333964
5.36975275,16.23044861,-4.376898193,-3.572770386,17.18573211
5.379692208,15.88122482,-4.446952515,-3.301085358,16.81921083
5.389632208,15.02710098,-4.241130524,-2.914439392,15.88379391
5.399571208,13.97763336,-3.776945801,-2.499202881,14.69304492
5.409511208,12.96738419,-3.139421539,-2.143392792,13.51307341
5.419450208,12.16849548,-2.558030548,-1.974244537,12.59021223
5.429390208,11.53636002,-2.193987579,-1.94355835,11.90288213
5.439329208,11.24356888,-2.146536255,-2.129621429,11.64305572
5.449269208,11.09702362,-2.505639496,-2.334245911,11.61339169
5.459208208,10.99538498,-3.11831543,-2.585573273,11.71783133
5.469148208,10.95736404,-3.899989929,-2.797083435,11.96233355
5.479087208,10.83866089,-4.758604431,-2.966381378,12.20329072
5.489027208,10.56547897,-5.591173096,-3.141966248,12.35971336
5.498967208,10.14754807,-6.260281677,-3.252586212,12.358931
5.508906208,9.538165283,-6.75021286,-3.313359833,12.1457945
5.518846208,8.977730713,-6.867419128,-3.012485504,11.69769905
5.528785208,8.652307434,-6.678661652,-2.976410522,11.32810509
5.538725208,8.56848175,-6.363566895,-2.780018921,11.02915991
5.548664208,8.7416716,-5.745502167,-2.279759216,10.7063028
5.558604208,9.138047333,-5.026547241,-1.794468384,10.58254237
5.568543208,9.18400177,-4.470453644,-1.428329773,10.31363031
5.578483208,9.273815002,-4.016597443,-1.13853241,10.1701994
5.588423208,9.38054306,-3.63189743,-0.889151001,10.09830959
5.598362208,9.430389404,-3.381019135,-0.6798861694,10.04120411
5.608302208,9.414672089,-3.277883606,-0.5972579956,9.986855791
5.618241208,9.394164734,-3.322490845,-0.6532415771,9.985789955
5.628181208,9.316925354,-3.558849335,-0.8153544617,10.00676319
5.638120208,9.058862,-3.900438995,-1.004860382,9.913937133
5.648060208,8.766519928,-4.21927597,-1.304836578,9.816147913
5.657999208,8.533604279,-4.521647186,-1.594484253,9.788262118
5.667939208,8.282875671,-4.799768829,-1.760339355,9.733581296
5.677878208,8.029752045,-4.997956696,-1.862576752,9.63979674
5.687818208,7.798932037,-5.152435455,-1.981878662,9.55503925
5.697758208,7.622449036,-5.277275848,-2.06525528,9.498244525
