Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
14.91112525,-8.496331787,-0.1251397705,3.215313721,9.085238363
14.92106425,-7.91913208,-0.145796814,2.777174835,8.393247862
14.93100425,-7.525899811,-0.1954934692,2.343825989,7.884852942
14.94094325,-7.37276825,-0.2381547546,1.960323486,7.632646823
14.95088325,-7.400909729,-0.2561174011,1.653162231,7.587621914
14.96082225,-7.495363312,-0.2222877502,1.470541992,7.641490481
14.97076225,-7.563321991,-0.1507365417,1.332828369,7.681340541
14.98070125,-7.555089111,-0.1627116394,1.285676422,7.665429565
14.99064125,-7.519313507,-0.2957849121,1.334924011,7.642616466
15.00058025,-7.553592224,-0.5577401733,1.483115845,7.717995996
15.01052025,-7.526498566,-0.9168434143,1.73519165,7.778153545
15.02045925,-7.548053741,-1.243015137,2.066452789,7.923915007
15.03039925,-7.590715027,-1.390757904,2.512674866,8.115830034
15.04033825,-7.553292847,-1.324296112,3.030448151,8.245581181
15.05027825,-7.491022339,-1.184037781,3.581751709,8.387270501
15.06021725,-7.429500275,-0.9982740784,4.090393982,8.539633973
15.07015725,-7.44761261,-0.7658074951,4.540657654,8.7561959
15.08009625,-7.535479889,-0.4117936707,4.740192719,8.911927861
15.09003625,-7.820936279,-0.09999206543,4.445605316,8.996691021
15.09997525,-8.28886322,-0.08996292114,3.867357788,9.147119933
15.10991525,-8.652157745,-0.3809577942,3.350183258,9.285940467
15.11985425,-8.9102211,-0.8927435303,2.935844879,9.42381113
15.12979425,-9.22381897,-1.412911835,2.595901794,9.685755642
15.13973425,-9.612111511,-1.67202301,2.328857117,10.03054954
15.14967325,-10.1563797,-1.769021301,2.247875519,10.55151313
15.15961325,-10.81261505,-1.878294067,2.545007629,11.26577546
15.16955225,-11.4357692,-1.755848694,3.353326721,12.04593798
15.17949225,-11.73320068,-1.182091827,4.658462677,12.6793775
15.18943088,-11.70595734,-0.6020480347,6.238576813,13.27824309
15.19937087,-11.42918289,-0.2550695801,7.43473938,13.6369583
15.20930988,-11.38637192,-0.09295669556,7.501799927,13.63580245
15.21924987,-12.30950226,0.01871109009,6.670877838,14.00088594
15.22918888,-13.67825592,0.1776805115,5.695206757,14.81761234
15.23912887,-15.00389923,0.3436853027,4.635260925,15.70734718
15.24906788,-15.98720444,0.4047583008,3.483705597,16.36736814
15.25900787,-16.1801532,-0.09924362183,2.359243927,16.35155157
15.26894688,-15.45895294,-1.266366577,1.270108795,15.56265038
15.27888687,-13.66672989,-2.093546448,0.3311114502,13.83011487
15.28882588,-11.39714951,-1.91541687,-0.4481680298,11.56566873
15.29876587,-9.603279877,-0.8469387817,-0.9113049316,9.683530677
15.30870488,-8.044571228,0.1115180969,-1.096769257,8.119757714
15.31864487,-7.189698944,0.7005432129,-1.187929688,7.320772407
15.32858388,-7.29433136,1.087488556,-1.281485138,7.485459605
15.33852387,-8.195158081,1.255888367,-1.408870239,8.409684115
15.34846288,-9.242979126,1.165177002,-1.561852112,9.446146441
15.35840287,-10.04171814,1.040336609,-1.78084671,10.25133252
15.36834188,-10.43285477,0.8677455139,-1.969604187,10.65254812
