Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.002283916692,3.096460876,-5.197641449,-0.87522995,6.113065848
0.01222291667,1.940564575,-5.315596161,-1.218466187,5.788437895
0.02216291669,0.7833210754,-5.305567017,-1.290017395,5.516047331
0.03210191667,-0.233664093,-5.144501953,-1.019380188,5.249727157
0.04204191669,-1.217418365,-4.863985291,-0.5924679565,5.048908661
0.05198091667,-2.092648315,-4.639601898,-0.1733395386,5.092654449
0.06191991668,-2.774181061,-4.626129913,0.01796264648,5.394208115
0.07185991667,-2.97790741,-4.942272491,0.5755531311,5.798728423
0.08179891668,-2.185305634,-5.583538971,2.262245636,6.408527403
0.09173891667,0.02709365845,-6.081703033,4.723427582,7.700559329
0.1016779167,2.560575256,-6.43661499,7.220534821,10.00613218
0.1116179167,5.34373764,-7.09539505,10.46608566,13.72731263
0.1215569167,8.037984924,-8.50531311,13.89006546,18.16269449
0.1314959167,10.51697983,-10.75453583,14.79283813,21.09727389
0.1414359167,12.55065079,-12.98085617,13.92928391,22.80452613
0.1513749167,14.50079544,-13.4794693,14.85121674,24.74929897
0.1613149167,16.13419876,-11.2247081,14.15591263,24.22181463
0.1712539167,16.42354706,-7.544610901,11.80250656,21.58594943
0.1811939167,14.42235855,-3.98995285,8.584797821,17.25175074
0.1911329167,11.55716675,-1.635948029,6.443051605,13.33256701
0.2010729167,9.969568176,-0.8322692871,3.980223083,10.76694653
0.2110119167,9.427844696,-2.31209198,-1.761087799,9.865670538
0.2209519167,9.332792358,-5.7158638,-7.818990326,13.4502313
0.2308909167,8.911867676,-9.417216797,-10.40501266,16.62436905
0.2408299167,8.525072021,-11.41795624,-10.400522,17.64135583
0.2507699167,8.943152618,-12.20352264,-7.682025146,16.96818947
0.2607089167,9.334738312,-12.9711264,-3.136727142,16.28577652
0.2706489167,11.57153687,-13.55805588,9.80760498,20.34478951
0.2805879167,7.043602753,-12.02509369,16.19197861,21.3634124
0.2905279167,0.282462616,-9.078620911,4.925058289,10.33234445
0.3004669167,-1.374741211,-6.734345856,-0.9306147766,6.935947762
0.3104069167,-2.534529419,-5.913303223,-0.9809101868,6.50793202
0.3203459167,-2.009421387,-6.17451004,-1.498982849,6.664030172
0.3302849167,-0.08666976929,-7.051536255,-2.229613495,7.39613761
0.3402249167,1.079704742,-8.451125793,-2.184257813,8.795355121
0.3501639167,2.054777069,-9.935139771,-2.217638397,10.38494252
0.3601039167,2.910996552,-10.98355957,-2.267784119,11.58686008
0.3700429167,3.5102005,-11.09313171,-2.301015015,11.86059648
0.3799829167,3.841162262,-10.2837648,-2.250869293,11.20610363
0.3899219167,3.902384949,-9.263935547,-2.038910065,10.2570105
0.3998619167,3.719914398,-8.441246338,-1.970502319,9.432671003
0.4098009167,3.754941559,-7.698191528,-1.921105042,8.777948707
0.4197399167,3.48565155,-7.468269653,-1.891766052,8.455979963
0.4296799167,3.222947845,-7.533234558,-2.010918274,8.436871934
0.4396189167,3.444636841,-7.571854248,-2.466121674,8.676419528
0.4495589167,4.31881897,-7.575895844,-2.654579773,9.115546549
0.4594979167,5.384452972,-7.722890167,-1.688937836,9.564929553
0.4694379167,5.955066376,-7.889044647,-0.8369096375,9.919690455
0.4793769167,5.898933105,-7.77872406,-0.5399272156,9.777396442
0.4893169167,5.778882751,-7.525899811,-0.1044827271,9.489234451
0.4992559167,6.054459686,-7.254214783,0.7388635254,9.477659707
0.5091949167,6.4869104,-7.091503143,2.022144928,9.821328499
0.5191349167,6.759942627,-6.952292633,3.617826691,10.34987281
0.5290739167,6.763235779,-6.704707489,3.82499588,10.26279953
0.5390139167,6.773564301,-6.688990173,2.041005707,9.735988248
0.5489529167,6.703210602,-6.686744843,0.5695655823,9.485251389
0.5588929167,6.454427948,-6.544989624,-0.2655477905,9.196034197
0.5688319167,6.372847595,-6.408623199,-0.8138575745,9.074469788
0.5787719167,6.424190826,-6.372548218,-1.249002686,9.134528246
0.5887109167,6.827601929,-6.475084991,-1.258882141,9.493558763
0.5986499167,7.214547272,-6.649472351,-0.9919871521,9.861501579
