Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.005286999978,-1.601669312,-9.353000336,1.494641876,9.606139402
0.01522599999,-1.372645569,-9.246272278,1.888772278,9.536517583
0.02516399999,-1.541793823,-9.383237457,2.33544342,9.791658151
0.03510299997,-2.228565674,-9.736353149,2.582878876,10.31670204
0.04504199998,-3.93845993,-10.10368927,1.607806549,10.96271159
0.05498099999,-5.377866669,-10.12359787,0.286204834,11.46693494
0.06491999998,-6.265520782,-9.83110611,-0.1553768921,11.65896822
0.07485799998,-6.948849792,-9.469009094,0.0940045166,11.74553036
0.08479699999,-7.522157593,-9.245074768,0.5243595886,11.93018086
0.094736,-7.979306946,-9.081315308,0.8937913513,12.12181876
0.104675,-8.117469635,-8.923693085,1.490450592,12.15512462
0.114614,-7.8418927,-8.936716003,2.428250427,12.13493198
0.124552,-6.905290375,-9.336983643,3.194506989,12.04438349
0.134491,-5.852080536,-10.07569748,3.6190242,12.20097793
0.14443,-5.197192383,-11.08055786,3.38745575,12.69899317
0.154369,-5.264402618,-12.06805435,2.767145691,13.45395726
0.164308,-5.720803528,-12.74195297,2.888543243,14.26284125
0.174247,-5.934858398,-12.75288025,3.718716888,14.54947951
0.184185,-6.020031281,-11.90698929,4.03560791,13.93927192
0.194124,-6.108647003,-10.83297272,1.769320679,12.56182159
0.204063,-5.875881042,-9.836644592,-0.4466711426,11.46669394
0.214002,-5.55210434,-9.303902435,0.5619314575,10.84915804
0.223941,-4.800666962,-9.55612793,2.872825928,11.07335148
0.233879,-3.61094101,-10.18257523,2.598296814,11.1119251
0.243818,-2.703378296,-10.83551743,0.4209246826,11.17559259
0.253757,-2.065105591,-11.15824631,-1.825753326,11.49367204
0.263696,-2.01016983,-11.24042542,-3.376528473,11.90751405
0.273635,-2.496059418,-11.57198593,-3.996539154,12.49453866
0.283574,-3.313210144,-12.31833389,-3.683240662,13.27723515
0.293512,-3.991898804,-12.81230667,-2.932402039,13.73642748
0.303451,-4.372706909,-12.90571243,-2.06286026,13.78163167
0.31339,-4.443359985,-12.65513351,-1.057251434,13.4541307
0.323329,-4.393962708,-11.97689392,-0.1197509766,12.75802636
0.333268,-4.596790924,-11.02936432,0.9503736877,11.9866832
0.343206,-4.175866241,-10.25068359,1.060993652,11.11935612
0.353145,-3.777694244,-9.852960663,-0.1981878662,10.55419756
0.3630847083,-3.707340546,-9.625882874,-1.109792175,10.37466306
0.3730237083,-3.751798096,-9.510622559,-1.355880432,10.31340594
0.3829627083,-3.714076538,-9.216933289,-0.8527766418,9.973637841
0.3929017083,-3.695664825,-8.6036586,-0.3752696228,9.371323658
0.4028397083,-3.762875061,-8.066126404,0.1636097717,8.902156595
0.4127787083,-3.411106567,-7.697443085,0.5233117676,8.435646582
0.4227177083,-2.736609192,-7.329957275,0.2742297363,7.828953026
0.4326567083,-1.945055237,-7.085216217,-0.03727249146,7.347442954
0.4425957083,-1.369951172,-6.996899872,-0.2273771667,7.133377489
0.4525337083,-1.132544861,-7.030579834,-0.1913021851,7.123784611
0.4624727083,-1.115630035,-7.05557785,-0.01766326904,7.143257042
0.4724117083,-1.178050232,-7.040758667,0.1094224548,7.139471845
0.4823507083,-1.25199646,-7.029981079,-0.07259902954,7.140966302
0.4922897083,-1.091829529,-7.059619446,-0.3109034729,7.150313239
0.5022277083,-0.5712121582,-7.093898163,-0.3254232788,7.124294687
0.5121667083,0.2415975952,-7.118447113,-0.2237846375,7.126060501
0.5221057083,0.9398954773,-7.151827698,-0.1041833496,7.214076316
0.5320447083,1.44509491,-7.176825714,0.1821711731,7.32313546
0.5419837083,1.850751343,-7.220085754,0.7499404907,7.491150083
0.5519227083,1.953587494,-7.281757507,1.536554718,7.694250899
